issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Sports Betting - My Bets,770,open,https://github.com/AugurProject/augur-core/issues/770,AugurProject/augur-core,"['sports', 'betting', 'my', 'bets']","['sport', 'bet', 'my', 'bet']"
Meet with Thom and Andy about UI testing concerns,766,closed,https://github.com/AugurProject/augur-core/issues/766,AugurProject/augur-core,"['meet', 'thom', 'andy', 'ui', 'testing', 'concern']","['meet', 'thom', 'andi', 'ui', 'test', 'concern']"
Think of useful questions to ask,765,closed,https://github.com/AugurProject/augur-core/issues/765,AugurProject/augur-core,"['think', 'useful', 'question', 'ask']","['think', 'use', 'question', 'ask']"
Update README.md,764,closed,https://github.com/AugurProject/augur-core/issues/764,AugurProject/augur-core,"['update', 'readmemd']","['updat', 'readm', 'md']"
Augur-core on Rinkeby is still at commit 0x091a598c82cec3361edbb207d7fb4f1d8fae7963,763,closed,https://github.com/AugurProject/augur-core/issues/763,AugurProject/augur-core,"['augurcore', 'rinkeby', 'still', 'commit', '0x091a598c82cec3361edbb207d7fb4f1d8fae7963']","['augur', 'core', 'rinkebi', 'still', 'commit', '0x091a598c82cec3361edbb207d7fb4f1d8fae7963']"
Open Order does not remove after cancelled/Cancel just remains grayed out,762,closed,https://github.com/AugurProject/augur-core/issues/762,AugurProject/augur-core,"['open', 'order', 'remove', 'cancelledcancel', 'remains', 'grayed']","['open', 'order', 'remov', 'cancel', 'cancel', 'remain', 'gray']"
Incorrect Escrowed eth Value -displayed,761,closed,https://github.com/AugurProject/augur-core/issues/761,AugurProject/augur-core,"['incorrect', 'escrowed', 'eth', 'value', 'displayed']","['incorrect', 'escrow', 'eth', 'valu', 'display']"
Update contributing info to redirect to monorepo,760,closed,https://github.com/AugurProject/augur-core/issues/760,AugurProject/augur-core,"['update', 'contributing', 'info', 'redirect', 'monorepo']","['updat', 'contribut', 'info', 'redirect', 'monorepo']"
Evaluate what contracts should be delegates,759,closed,https://github.com/AugurProject/augur-core/issues/759,AugurProject/augur-core,"['evaluate', 'contract', 'delegate']","['evalu', 'contract', 'deleg']"
Take order transaction fails on categorical market,758,closed,https://github.com/AugurProject/augur-core/issues/758,AugurProject/augur-core,"['take', 'order', 'transaction', 'fails', 'categorical', 'market']","['take', 'order', 'transact', 'fail', 'categor', 'market']"
