issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
"Returned values aren't valid, did it run Out of Gas?",3969,open,https://github.com/ChainSafe/web3.js/issues/3969,ChainSafe/web3.js,"['returned', 'value', 'arent', 'valid', 'run', 'out', 'gas']","['return', 'valu', 'valid', 'run', 'out', 'ga']"
npm web3 install raises 'security vulnerability' alert,3968,open,https://github.com/ChainSafe/web3.js/issues/3968,ChainSafe/web3.js,"['npm', 'web3', 'install', 'raise', 'security', 'vulnerability', 'alert']","['npm', 'web3', 'instal', 'rais', 'secur', 'vulner', 'alert']"
"Typically you will have only one Web3 connection, use const",3967,open,https://github.com/ChainSafe/web3.js/issues/3967,ChainSafe/web3.js,"['typically', 'one', 'web3', 'connection', 'use', 'const']","['typic', 'one', 'web3', 'connect', 'use', 'const']"
Release/1.3.5,3966,open,https://github.com/ChainSafe/web3.js/issues/3966,ChainSafe/web3.js,['release135'],"['releas', '1', '3', '5']"
Feature/web3 eth iban es6 (#3964),3965,closed,https://github.com/ChainSafe/web3.js/issues/3965,ChainSafe/web3.js,"['featureweb3', 'eth', 'iban', 'es6', '3964']","['featur', 'web3', 'eth', 'iban', 'es6', '3964']"
Feature/web3 eth iban es6,3964,closed,https://github.com/ChainSafe/web3.js/issues/3964,ChainSafe/web3.js,"['featureweb3', 'eth', 'iban', 'es6']","['featur', 'web3', 'eth', 'iban', 'es6']"
Support for Berlin hard-fork,3963,open,https://github.com/ChainSafe/web3.js/issues/3963,ChainSafe/web3.js,"['support', 'berlin', 'hardfork']","['support', 'berlin', 'hard', 'fork']"
Clarify commitment to semantic versioning (#3961),3962,closed,https://github.com/ChainSafe/web3.js/issues/3962,ChainSafe/web3.js,"['clarify', 'commitment', 'semantic', 'versioning', '3961']","['clarifi', 'commit', 'semant', 'version', '3961']"
Debugging failing test,3961,closed,https://github.com/ChainSafe/web3.js/issues/3961,ChainSafe/web3.js,"['debugging', 'failing', 'test']","['debug', 'fail', 'test']"
Debugging failing tests (#3959),3960,closed,https://github.com/ChainSafe/web3.js/issues/3960,ChainSafe/web3.js,"['debugging', 'failing', 'test', '3959']","['debug', 'fail', 'test', '3959']"
Debugging failing tests,3959,closed,https://github.com/ChainSafe/web3.js/issues/3959,ChainSafe/web3.js,"['debugging', 'failing', 'test']","['debug', 'fail', 'test']"
