issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
OhCheesy Abuse Token Create erc20 tokens oats2,159,open,https://github.com/ConsenSys/Tokens/issues/159,ConsenSys/Tokens,"['ohcheesy', 'abuse', 'token', 'create', 'erc20', 'token', 'oats2']","['ohcheesi', 'abus', 'token', 'creat', 'erc20', 'token', 'oats2']"
Facing error while installing in Ubuntu 20.04.1,157,open,https://github.com/ConsenSys/Tokens/issues/157,ConsenSys/Tokens,"['facing', 'error', 'installing', 'ubuntu', '20041']","['face', 'error', 'instal', 'ubuntu', '20', '04', '1']"
Why isn't totalSupply = _initialAmount * (10 ** uint256(decimals)),156,open,https://github.com/ConsenSys/Tokens/issues/156,ConsenSys/Tokens,"['why', 'isnt', 'totalsupply', '_initialamount', '10', 'uint256decimals']","['whi', 'totalsuppli', '_initialamount', '10', 'uint256', 'decim']"
WIP: Update to solium and pin versions.,155,closed,https://github.com/ConsenSys/Tokens/issues/155,ConsenSys/Tokens,"['wip', 'update', 'solium', 'pin', 'version']","['wip', 'updat', 'solium', 'pin', 'version']"
Bump eslint from 4.13.1 to 4.18.2,154,closed,https://github.com/ConsenSys/Tokens/issues/154,ConsenSys/Tokens,"['bump', 'eslint', '4131', '4182']","['bump', 'eslint', '4', '13', '1', '4', '18', '2']"
Regular Expression Denial of Service (ReDoS),153,open,https://github.com/ConsenSys/Tokens/issues/153,ConsenSys/Tokens,"['regular', 'expression', 'denial', 'service', 'redos']","['regular', 'express', 'denial', 'servic', 'redo']"
Insecure Credential Storage,152,open,https://github.com/ConsenSys/Tokens/issues/152,ConsenSys/Tokens,"['insecure', 'credential', 'storage']","['insecur', 'credenti', 'storag']"
Regular Expression Denial of Service (ReDoS),151,open,https://github.com/ConsenSys/Tokens/issues/151,ConsenSys/Tokens,"['regular', 'expression', 'denial', 'service', 'redos']","['regular', 'express', 'denial', 'servic', 'redo']"
Arbitrary Code Injection,150,open,https://github.com/ConsenSys/Tokens/issues/150,ConsenSys/Tokens,"['arbitrary', 'code', 'injection']","['arbitrari', 'code', 'inject']"
Configure for ebudz,149,closed,https://github.com/ConsenSys/Tokens/issues/149,ConsenSys/Tokens,"['configure', 'ebudz']","['configur', 'ebudz']"
Question about test file,148,open,https://github.com/ConsenSys/Tokens/issues/148,ConsenSys/Tokens,"['question', 'test', 'file']","['question', 'test', 'file']"
Adds guiding principles of repository,144,closed,https://github.com/ConsenSys/Tokens/issues/144,ConsenSys/Tokens,"['adds', 'guiding', 'principle', 'repository']","['add', 'guid', 'principl', 'repositori']"
"Improved logic in ""TransferFrom"" function",143,open,https://github.com/ConsenSys/Tokens/issues/143,ConsenSys/Tokens,"['improved', 'logic', 'transferfrom', 'function']","['improv', 'logic', 'transferfrom', 'function']"
Additional logical sense in transferFrom function,142,closed,https://github.com/ConsenSys/Tokens/issues/142,ConsenSys/Tokens,"['additional', 'logical', 'sense', 'transferfrom', 'function']","['addit', 'logic', 'sens', 'transferfrom', 'function']"
Add deprecation message.,141,closed,https://github.com/ConsenSys/Tokens/issues/141,ConsenSys/Tokens,"['add', 'deprecation', 'message']","['add', 'deprec', 'messag']"
Update eip20.js test by removing distracting code,140,open,https://github.com/ConsenSys/Tokens/issues/140,ConsenSys/Tokens,"['update', 'eip20js', 'test', 'removing', 'distracting', 'code']","['updat', 'eip20', 'js', 'test', 'remov', 'distract', 'code']"
Hotfix ropsten migration,139,open,https://github.com/ConsenSys/Tokens/issues/139,ConsenSys/Tokens,"['hotfix', 'ropsten', 'migration']","['hotfix', 'ropsten', 'migrat']"
Ropsten migration doesn't work out of the box,138,open,https://github.com/ConsenSys/Tokens/issues/138,ConsenSys/Tokens,"['ropsten', 'migration', 'doesnt', 'work', 'box']","['ropsten', 'migrat', 'work', 'box']"
It is recommended to add a line of code.,137,open,https://github.com/ConsenSys/Tokens/issues/137,ConsenSys/Tokens,"['it', 'recommended', 'add', 'line', 'code']","['it', 'recommend', 'add', 'line', 'code']"
Problem with a error and compiler version,136,closed,https://github.com/ConsenSys/Tokens/issues/136,ConsenSys/Tokens,"['problem', 'error', 'compiler', 'version']","['problem', 'error', 'compil', 'version']"
