issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Bump axios from 0.18.0 to 0.21.1,142,open,https://github.com/ConsenSys/ethql/issues/142,ConsenSys/ethql,"['bump', 'axios', '0180', '0211']","['bump', 'axio', '0', '18', '0', '0', '21', '1']"
Bump ini from 1.3.5 to 1.3.7,141,open,https://github.com/ConsenSys/ethql/issues/141,ConsenSys/ethql,"['bump', 'ini', '135', '137']","['bump', 'ini', '1', '3', '5', '1', '3', '7']"
Bump object-path from 0.11.4 to 0.11.5,140,open,https://github.com/ConsenSys/ethql/issues/140,ConsenSys/ethql,"['bump', 'objectpath', '0114', '0115']","['bump', 'object', 'path', '0', '11', '4', '0', '11', '5']"
Bump node-fetch from 2.3.0 to 2.6.1,139,open,https://github.com/ConsenSys/ethql/issues/139,ConsenSys/ethql,"['bump', 'nodefetch', '230', '261']","['bump', 'node', 'fetch', '2', '3', '0', '2', '6', '1']"
Bump handlebars from 4.1.0 to 4.7.6,138,open,https://github.com/ConsenSys/ethql/issues/138,ConsenSys/ethql,"['bump', 'handlebar', '410', '476']","['bump', 'handlebar', '4', '1', '0', '4', '7', '6']"
Bump decompress from 4.2.0 to 4.2.1,137,open,https://github.com/ConsenSys/ethql/issues/137,ConsenSys/ethql,"['bump', 'decompress', '420', '421']","['bump', 'decompress', '4', '2', '0', '4', '2', '1']"
Bump lodash from 4.17.11 to 4.17.19,136,open,https://github.com/ConsenSys/ethql/issues/136,ConsenSys/ethql,"['bump', 'lodash', '41711', '41719']","['bump', 'lodash', '4', '17', '11', '4', '17', '19']"
Bump apollo-server from 2.4.2 to 2.14.2,135,open,https://github.com/ConsenSys/ethql/issues/135,ConsenSys/ethql,"['bump', 'apolloserver', '242', '2142']","['bump', 'apollo', 'server', '2', '4', '2', '2', '14', '2']"
Bump https-proxy-agent from 2.2.1 to 2.2.4,134,open,https://github.com/ConsenSys/ethql/issues/134,ConsenSys/ethql,"['bump', 'httpsproxyagent', '221', '224']","['bump', 'http', 'proxi', 'agent', '2', '2', '1', '2', '2', '4']"
Bump acorn from 5.7.3 to 5.7.4,133,open,https://github.com/ConsenSys/ethql/issues/133,ConsenSys/ethql,"['bump', 'acorn', '573', '574']","['bump', 'acorn', '5', '7', '3', '5', '7', '4']"
SyntaxError on Install,132,open,https://github.com/ConsenSys/ethql/issues/132,ConsenSys/ethql,"['syntaxerror', 'install']","['syntaxerror', 'instal']"
Bump handlebars from 4.1.0 to 4.5.3,131,closed,https://github.com/ConsenSys/ethql/issues/131,ConsenSys/ethql,"['bump', 'handlebar', '410', '453']","['bump', 'handlebar', '4', '1', '0', '4', '5', '3']"
How to query ERC20 transfers emitted from a specific contract?,130,open,https://github.com/ConsenSys/ethql/issues/130,ConsenSys/ethql,"['how', 'query', 'erc20', 'transfer', 'emitted', 'specific', 'contract']","['how', 'queri', 'erc20', 'transfer', 'emit', 'specif', 'contract']"
Updated dependencies,129,open,https://github.com/ConsenSys/ethql/issues/129,ConsenSys/ethql,"['updated', 'dependency']","['updat', 'depend']"
Port log fixes to lerna,128,closed,https://github.com/ConsenSys/ethql/issues/128,ConsenSys/ethql,"['port', 'log', 'fix', 'lerna']","['port', 'log', 'fix', 'lerna']"
Update EthQL to be EIP-1767 Compliant,127,open,https://github.com/ConsenSys/ethql/issues/127,ConsenSys/ethql,"['update', 'ethql', 'eip1767', 'compliant']","['updat', 'ethql', 'eip', '1767', 'compliant']"
Enable tracing,126,open,https://github.com/ConsenSys/ethql/issues/126,ConsenSys/ethql,"['enable', 'tracing']","['enabl', 'trace']"
Lerna work,125,closed,https://github.com/ConsenSys/ethql/issues/125,ConsenSys/ethql,"['lerna', 'work']","['lerna', 'work']"
GraphQL Subscriptions,124,open,https://github.com/ConsenSys/ethql/issues/124,ConsenSys/ethql,"['graphql', 'subscriptions']","['graphql', 'subscript']"
Make ENS Resolvers configurable,123,open,https://github.com/ConsenSys/ethql/issues/123,ConsenSys/ethql,"['make', 'ens', 'resolvers', 'configurable']","['make', 'en', 'resolv', 'configur']"
Mutation operations,122,open,https://github.com/ConsenSys/ethql/issues/122,ConsenSys/ethql,"['mutation', 'operation']","['mutat', 'oper']"
Issue 118: Topic Filter in Logs (Rebased),121,closed,https://github.com/ConsenSys/ethql/issues/121,ConsenSys/ethql,"['issue', '118', 'topic', 'filter', 'logs', 'rebased']","['issu', '118', 'topic', 'filter', 'log', 'rebas']"
Issue 118: Topic filter in Logs,120,closed,https://github.com/ConsenSys/ethql/issues/120,ConsenSys/ethql,"['issue', '118', 'topic', 'filter', 'logs']","['issu', '118', 'topic', 'filter', 'log']"
Unit conversion: For transaction values,119,open,https://github.com/ConsenSys/ethql/issues/119,ConsenSys/ethql,"['unit', 'conversion', 'for', 'transaction', 'value']","['unit', 'convers', 'for', 'transact', 'valu']"
Transaction Logs Query of blocksRange not working?,118,closed,https://github.com/ConsenSys/ethql/issues/118,ConsenSys/ethql,"['transaction', 'logs', 'query', 'blocksrange', 'working']","['transact', 'log', 'queri', 'blocksrang', 'work']"
lerna build,117,closed,https://github.com/ConsenSys/ethql/issues/117,ConsenSys/ethql,"['lerna', 'build']","['lerna', 'build']"
"[WIP] Implementation of plugins for ERC165, ERC721 and cryptokitties",116,open,https://github.com/ConsenSys/ethql/issues/116,ConsenSys/ethql,"['wip', 'implementation', 'plugins', 'erc165', 'erc721', 'cryptokitties']","['wip', 'implement', 'plugin', 'erc165', 'erc721', 'cryptokitti']"
Add ERC20 decimal field support,115,open,https://github.com/ConsenSys/ethql/issues/115,ConsenSys/ethql,"['add', 'erc20', 'decimal', 'field', 'support']","['add', 'erc20', 'decim', 'field', 'support']"
Get ERC20 contract decimals,114,open,https://github.com/ConsenSys/ethql/issues/114,ConsenSys/ethql,"['get', 'erc20', 'contract', 'decimal']","['get', 'erc20', 'contract', 'decim']"
Lerna build (WIP PR),113,closed,https://github.com/ConsenSys/ethql/issues/113,ConsenSys/ethql,"['lerna', 'build', 'wip', 'pr']","['lerna', 'build', 'wip', 'pr']"
Publish distro version of EthQL in npm registry,112,closed,https://github.com/ConsenSys/ethql/issues/112,ConsenSys/ethql,"['publish', 'distro', 'version', 'ethql', 'npm', 'registry']","['publish', 'distro', 'version', 'ethql', 'npm', 'registri']"
ens plugin,111,closed,https://github.com/ConsenSys/ethql/issues/111,ConsenSys/ethql,"['en', 'plugin']","['en', 'plugin']"
Lerna build  (WIP PR),110,closed,https://github.com/ConsenSys/ethql/issues/110,ConsenSys/ethql,"['lerna', 'build', 'wip', 'pr']","['lerna', 'build', 'wip', 'pr']"
"ERC721 (non-fungible tokens), ERC165 (introspection) and CryptoKitties",109,open,https://github.com/ConsenSys/ethql/issues/109,ConsenSys/ethql,"['erc721', 'nonfungible', 'token', 'erc165', 'introspection', 'cryptokitties']","['erc721', 'non', 'fungibl', 'token', 'erc165', 'introspect', 'cryptokitti']"
Fix plugin dependsOn always throwing error,108,closed,https://github.com/ConsenSys/ethql/issues/108,ConsenSys/ethql,"['fix', 'plugin', 'dependson', 'always', 'throwing', 'error']","['fix', 'plugin', 'dependson', 'alway', 'throw', 'error']"
Lerna build,107,closed,https://github.com/ConsenSys/ethql/issues/107,ConsenSys/ethql,"['lerna', 'build']","['lerna', 'build']"
Support resolving ENS names in queries (as a plugin),106,closed,https://github.com/ConsenSys/ethql/issues/106,ConsenSys/ethql,"['support', 'resolving', 'ens', 'name', 'query', 'plugin']","['support', 'resolv', 'en', 'name', 'queri', 'plugin']"
🎉 Plugin architecture and embeddable runtime,105,closed,https://github.com/ConsenSys/ethql/issues/105,ConsenSys/ethql,"['plugin', 'architecture', 'embeddable', 'runtime']","['plugin', 'architectur', 'embedd', 'runtim']"
Block->ommers shows ommers of a given block.,104,open,https://github.com/ConsenSys/ethql/issues/104,ConsenSys/ethql,"['blockommers', 'show', 'ommers', 'given', 'block']","['block', 'ommer', 'show', 'ommer', 'given', 'block']"
Build typescript inside docker using multistages,103,closed,https://github.com/ConsenSys/ethql/issues/103,ConsenSys/ethql,"['build', 'typescript', 'inside', 'docker', 'using', 'multistage']","['build', 'typescript', 'insid', 'docker', 'use', 'multistag']"
Block->miner retrieves the account of the miner for this block.,102,closed,https://github.com/ConsenSys/ethql/issues/102,ConsenSys/ethql,"['blockminer', 'retrieves', 'account', 'miner', 'block']","['block', 'miner', 'retriev', 'account', 'miner', 'block']"
Block->ommers: resolve into EthqlBlocks,101,open,https://github.com/ConsenSys/ethql/issues/101,ConsenSys/ethql,"['blockommers', 'resolve', 'ethqlblocks']","['block', 'ommer', 'resolv', 'ethqlblock']"
Block->miner: resolve into an EthqlAccount,100,closed,https://github.com/ConsenSys/ethql/issues/100,ConsenSys/ethql,"['blockminer', 'resolve', 'ethqlaccount']","['block', 'miner', 'resolv', 'ethqlaccount']"
modularity: web3 => ethService,99,closed,https://github.com/ConsenSys/ethql/issues/99,ConsenSys/ethql,"['modularity', 'web3', 'ethservice']","['modular', 'web3', 'ethservic']"
"modularity: Introduce the notion of ""services""",98,closed,https://github.com/ConsenSys/ethql/issues/98,ConsenSys/ethql,"['modularity', 'introduce', 'notion', 'service']","['modular', 'introduc', 'notion', 'servic']"
"modularity: Introduce the notion of ""capabilities""",97,closed,https://github.com/ConsenSys/ethql/issues/97,ConsenSys/ethql,"['modularity', 'introduce', 'notion', 'capability']","['modular', 'introduc', 'notion', 'capabl']"
modularity: Separate resolvers from model,96,closed,https://github.com/ConsenSys/ethql/issues/96,ConsenSys/ethql,"['modularity', 'separate', 'resolvers', 'model']","['modular', 'separ', 'resolv', 'model']"
Populate Account->type field,95,closed,https://github.com/ConsenSys/ethql/issues/95,ConsenSys/ethql,"['populate', 'accounttype', 'field']","['popul', 'account', 'type', 'field']"
Adds support for checking interface support via ERC-165,94,closed,https://github.com/ConsenSys/ethql/issues/94,ConsenSys/ethql,"['adds', 'support', 'checking', 'interface', 'support', 'via', 'erc165']","['add', 'support', 'check', 'interfac', 'support', 'via', 'erc', '165']"
Update README.md,93,closed,https://github.com/ConsenSys/ethql/issues/93,ConsenSys/ethql,"['update', 'readmemd']","['updat', 'readm', 'md']"
Expose ERC165 supportsInterface operation in schema,92,open,https://github.com/ConsenSys/ethql/issues/92,ConsenSys/ethql,"['expose', 'erc165', 'supportsinterface', 'operation', 'schema']","['expos', 'erc165', 'supportsinterfac', 'oper', 'schema']"
