issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
fix code quality issues,1153,open,https://github.com/ConsenSys/quorum/issues/1153,ConsenSys/quorum,"['fix', 'code', 'quality', 'issue']","['fix', 'code', 'qualiti', 'issu']"
Only initialise PTM for nodes,1152,open,https://github.com/ConsenSys/quorum/issues/1152,ConsenSys/quorum,"['only', 'initialise', 'ptm', 'node']","['onli', 'initialis', 'ptm', 'node']"
Cloudsmith Migration,1151,closed,https://github.com/ConsenSys/quorum/issues/1151,ConsenSys/quorum,"['cloudsmith', 'migration']","['cloudsmith', 'migrat']"
Use github.com/Consensys secp256k1 module in bind_test.go,1150,closed,https://github.com/ConsenSys/quorum/issues/1150,ConsenSys/quorum,"['use', 'githubcomconsensys', 'secp256k1', 'module', 'bind_testgo']","['use', 'github', 'com', 'consensi', 'secp256k1', 'modul', 'bind_test', 'go']"
[Upgrade] Go-Ethereum release v1.9.20,1149,closed,https://github.com/ConsenSys/quorum/issues/1149,ConsenSys/quorum,"['upgrade', 'goethereum', 'release', 'v1920']","['upgrad', 'go', 'ethereum', 'releas', 'v1', '9', '20']"
Add debug_privateStateRoot ,1148,closed,https://github.com/ConsenSys/quorum/issues/1148,ConsenSys/quorum,"['add', 'debug_privatestateroot']","['add', 'debug_privatestateroot']"
Privacy support using precompile (draft for initial review and testing),1147,closed,https://github.com/ConsenSys/quorum/issues/1147,ConsenSys/quorum,"['privacy', 'support', 'using', 'precompile', 'draft', 'initial', 'review', 'testing']","['privaci', 'support', 'use', 'precompil', 'draft', 'initi', 'review', 'test']"
[Upgrade] Go-Ethereum release v1.9.19,1146,closed,https://github.com/ConsenSys/quorum/issues/1146,ConsenSys/quorum,"['upgrade', 'goethereum', 'release', 'v1919']","['upgrad', 'go', 'ethereum', 'releas', 'v1', '9', '19']"
[Fix] Replace of the secp256k1 library to the right replace address,1145,closed,https://github.com/ConsenSys/quorum/issues/1145,ConsenSys/quorum,"['fix', 'replace', 'secp256k1', 'library', 'right', 'replace', 'address']","['fix', 'replac', 'secp256k1', 'librari', 'right', 'replac', 'address']"
Go-Ethereum Upstream Upgrade up to 1.9.20,1144,open,https://github.com/ConsenSys/quorum/issues/1144,ConsenSys/quorum,"['goethereum', 'upstream', 'upgrade', '1920']","['go', 'ethereum', 'upstream', 'upgrad', '1', '9', '20']"
[Upgrade] Go-Ethereum release v1.9.19,1143,closed,https://github.com/ConsenSys/quorum/issues/1143,ConsenSys/quorum,"['upgrade', 'goethereum', 'release', 'v1919']","['upgrad', 'go', 'ethereum', 'releas', 'v1', '9', '19']"
[Upgrade] Go-Ethereum release v1.9.18,1142,closed,https://github.com/ConsenSys/quorum/issues/1142,ConsenSys/quorum,"['upgrade', 'goethereum', 'release', 'v1918']","['upgrad', 'go', 'ethereum', 'releas', 'v1', '9', '18']"
I can't import data,1141,open,https://github.com/ConsenSys/quorum/issues/1141,ConsenSys/quorum,"['i', 'cant', 'import', 'data']","['i', 'import', 'data']"
[Upgrade] Go-Ethereum release v1.9.17,1140,closed,https://github.com/ConsenSys/quorum/issues/1140,ConsenSys/quorum,"['upgrade', 'goethereum', 'release', 'v1917']","['upgrad', 'go', 'ethereum', 'releas', 'v1', '9', '17']"
Support EIP-155 signatures for private transactions,1139,open,https://github.com/ConsenSys/quorum/issues/1139,ConsenSys/quorum,"['support', 'eip155', 'signature', 'private', 'transaction']","['support', 'eip', '155', 'signatur', 'privat', 'transact']"
