issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
zkp-utils replaced with @eyblockchain/zkp-utils,468,open,https://github.com/EYBlockchain/nightfall/issues/468,EYBlockchain/nightfall,"['zkputils', 'replaced', 'eyblockchainzkputils']","['zkp', 'util', 'replac', 'eyblockchain', 'zkp', 'util']"
build(deps): bump socket.io from 2.3.0 to 2.4.1 in /ui,467,open,https://github.com/EYBlockchain/nightfall/issues/467,EYBlockchain/nightfall,"['builddeps', 'bump', 'socketio', '230', '241', 'ui']","['build', 'dep', 'bump', 'socket', 'io', '2', '3', '0', '2', '4', '1', 'ui']"
build(deps): bump ini from 1.3.5 to 1.3.7 in /offchain,466,open,https://github.com/EYBlockchain/nightfall/issues/466,EYBlockchain/nightfall,"['builddeps', 'bump', 'ini', '135', '137', 'offchain']","['build', 'dep', 'bump', 'ini', '1', '3', '5', '1', '3', '7', 'offchain']"
build(deps): bump ini from 1.3.5 to 1.3.7,465,open,https://github.com/EYBlockchain/nightfall/issues/465,EYBlockchain/nightfall,"['builddeps', 'bump', 'ini', '135', '137']","['build', 'dep', 'bump', 'ini', '1', '3', '5', '1', '3', '7']"
build(deps): bump ini from 1.3.5 to 1.3.7 in /accounts,464,open,https://github.com/EYBlockchain/nightfall/issues/464,EYBlockchain/nightfall,"['builddeps', 'bump', 'ini', '135', '137', 'account']","['build', 'dep', 'bump', 'ini', '1', '3', '5', '1', '3', '7', 'account']"
build(deps): bump ini from 1.3.5 to 1.3.7 in /database,463,open,https://github.com/EYBlockchain/nightfall/issues/463,EYBlockchain/nightfall,"['builddeps', 'bump', 'ini', '135', '137', 'database']","['build', 'dep', 'bump', 'ini', '1', '3', '5', '1', '3', '7', 'databas']"
fixes security vulnerabilities,462,closed,https://github.com/EYBlockchain/nightfall/issues/462,EYBlockchain/nightfall,"['fix', 'security', 'vulnerability']","['fix', 'secur', 'vulner']"
implement zkp-utils module,461,closed,https://github.com/EYBlockchain/nightfall/issues/461,EYBlockchain/nightfall,"['implement', 'zkputils', 'module']","['implement', 'zkp', 'util', 'modul']"
build(deps): bump http-proxy from 1.18.0 to 1.18.1 in /ui,460,open,https://github.com/EYBlockchain/nightfall/issues/460,EYBlockchain/nightfall,"['builddeps', 'bump', 'httpproxy', '1180', '1181', 'ui']","['build', 'dep', 'bump', 'http', 'proxi', '1', '18', '0', '1', '18', '1', 'ui']"
build(deps): bump decompress from 4.2.0 to 4.2.1 in /zkp,459,open,https://github.com/EYBlockchain/nightfall/issues/459,EYBlockchain/nightfall,"['builddeps', 'bump', 'decompress', '420', '421', 'zkp']","['build', 'dep', 'bump', 'decompress', '4', '2', '0', '4', '2', '1', 'zkp']"
build(deps): bump bl from 2.2.0 to 2.2.1 in /database,458,open,https://github.com/EYBlockchain/nightfall/issues/458,EYBlockchain/nightfall,"['builddeps', 'bump', 'bl', '220', '221', 'database']","['build', 'dep', 'bump', 'bl', '2', '2', '0', '2', '2', '1', 'databas']"
errors while running transactions ,457,open,https://github.com/EYBlockchain/nightfall/issues/457,EYBlockchain/nightfall,"['error', 'running', 'transaction']","['error', 'run', 'transact']"
build(deps): bump elliptic from 6.4.1 to 6.5.3,456,open,https://github.com/EYBlockchain/nightfall/issues/456,EYBlockchain/nightfall,"['builddeps', 'bump', 'elliptic', '641', '653']","['build', 'dep', 'bump', 'ellipt', '6', '4', '1', '6', '5', '3']"
build(deps): bump elliptic from 6.5.2 to 6.5.3 in /ui,455,open,https://github.com/EYBlockchain/nightfall/issues/455,EYBlockchain/nightfall,"['builddeps', 'bump', 'elliptic', '652', '653', 'ui']","['build', 'dep', 'bump', 'ellipt', '6', '5', '2', '6', '5', '3', 'ui']"
shield and hash contracts moved to nightlite,454,closed,https://github.com/EYBlockchain/nightfall/issues/454,EYBlockchain/nightfall,"['shield', 'hash', 'contract', 'moved', 'nightlite']","['shield', 'hash', 'contract', 'move', 'nightlit']"
 checkCorrectness function of nightlite called,453,closed,https://github.com/EYBlockchain/nightfall/issues/453,EYBlockchain/nightfall,"['checkcorrectness', 'function', 'nightlite', 'called']","['checkcorrect', 'function', 'nightlit', 'call']"
nightlite 'overrideDefaultConfig' function called,452,closed,https://github.com/EYBlockchain/nightfall/issues/452,EYBlockchain/nightfall,"['nightlite', 'overridedefaultconfig', 'function', 'called']","['nightlit', 'overridedefaultconfig', 'function', 'call']"
build(deps): bump lodash from 4.17.15 to 4.17.19 in /offchain,451,closed,https://github.com/EYBlockchain/nightfall/issues/451,EYBlockchain/nightfall,"['builddeps', 'bump', 'lodash', '41715', '41719', 'offchain']","['build', 'dep', 'bump', 'lodash', '4', '17', '15', '4', '17', '19', 'offchain']"
