issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Insufficient ether for `rake ethereum:test:setup`?,148,open,https://github.com/EthWorks/ethereum.rb/issues/148,EthWorks/ethereum.rb,"['insufficient', 'ether', 'rake', 'ethereumtestsetup']","['insuffici', 'ether', 'rake', 'ethereum', 'test', 'setup']"
Fix allowance of passing alternate transaction nonce value on contract,147,closed,https://github.com/EthWorks/ethereum.rb/issues/147,EthWorks/ethereum.rb,"['fix', 'allowance', 'passing', 'alternate', 'transaction', 'nonce', 'value', 'contract']","['fix', 'allow', 'pass', 'altern', 'transact', 'nonc', 'valu', 'contract']"
Problem loading Smart Contract,146,closed,https://github.com/EthWorks/ethereum.rb/issues/146,EthWorks/ethereum.rb,"['problem', 'loading', 'smart', 'contract']","['problem', 'load', 'smart', 'contract']"
Contract default block,145,closed,https://github.com/EthWorks/ethereum.rb/issues/145,EthWorks/ethereum.rb,"['contract', 'default', 'block']","['contract', 'default', 'block']"
Add support for http basic auth,144,open,https://github.com/EthWorks/ethereum.rb/issues/144,EthWorks/ethereum.rb,"['add', 'support', 'http', 'basic', 'auth']","['add', 'support', 'http', 'basic', 'auth']"
Support for Diamonds,143,open,https://github.com/EthWorks/ethereum.rb/issues/143,EthWorks/ethereum.rb,"['support', 'diamonds']","['support', 'diamond']"
BigDecimal.new is deprecated in Ruby 2.7,142,closed,https://github.com/EthWorks/ethereum.rb/issues/142,EthWorks/ethereum.rb,"['bigdecimalnew', 'deprecated', 'ruby', '27']","['bigdecim', 'new', 'deprec', 'rubi', '2', '7']"
undefined method `decode_tuple',141,open,https://github.com/EthWorks/ethereum.rb/issues/141,EthWorks/ethereum.rb,"['undefined', 'method', 'decode_tuple']","['undefin', 'method', 'decode_tupl']"
Update README.md,140,closed,https://github.com/EthWorks/ethereum.rb/issues/140,EthWorks/ethereum.rb,"['update', 'readmemd']","['updat', 'readm', 'md']"
"BigDecimal.new is deprecated in Ruby 2.6.x, removed from 2.7.x",139,closed,https://github.com/EthWorks/ethereum.rb/issues/139,EthWorks/ethereum.rb,"['bigdecimalnew', 'deprecated', 'ruby', '26x', 'removed', '27x']","['bigdecim', 'new', 'deprec', 'rubi', '2', '6', 'x', 'remov', '2', '7', 'x']"
Tested with solc 0.5.16,138,closed,https://github.com/EthWorks/ethereum.rb/issues/138,EthWorks/ethereum.rb,"['tested', 'solc', '0516']","['test', 'solc', '0', '5', '16']"
Update issue templates,137,closed,https://github.com/EthWorks/ethereum.rb/issues/137,EthWorks/ethereum.rb,"['update', 'issue', 'template']","['updat', 'issu', 'templat']"
Ruby 2.7.0 Released,136,closed,https://github.com/EthWorks/ethereum.rb/issues/136,EthWorks/ethereum.rb,"['ruby', '270', 'released']","['rubi', '2', '7', '0', 'releas']"
support Solidity >=0.5.11,135,closed,https://github.com/EthWorks/ethereum.rb/issues/135,EthWorks/ethereum.rb,"['support', 'solidity', '0511']","['support', 'solid', '0', '5', '11']"
Bump version to 2.3,133,closed,https://github.com/EthWorks/ethereum.rb/issues/133,EthWorks/ethereum.rb,"['bump', 'version', '23']","['bump', 'version', '2', '3']"
"Update parity 2.5.12, default testnet is Görli now.",132,closed,https://github.com/EthWorks/ethereum.rb/issues/132,EthWorks/ethereum.rb,"['update', 'parity', '2512', 'default', 'testnet', 'görli']","['updat', 'pariti', '2', '5', '12', 'default', 'testnet', 'görli']"
fixed mined,131,closed,https://github.com/EthWorks/ethereum.rb/issues/131,EthWorks/ethereum.rb,"['fixed', 'mined']","['fix', 'mine']"
Fixed format error,130,closed,https://github.com/EthWorks/ethereum.rb/issues/130,EthWorks/ethereum.rb,"['fixed', 'format', 'error']","['fix', 'format', 'error']"
"how we can use on test network ropsten, rinkeby",129,open,https://github.com/EthWorks/ethereum.rb/issues/129,EthWorks/ethereum.rb,"['use', 'test', 'network', 'ropsten', 'rinkeby']","['use', 'test', 'network', 'ropsten', 'rinkebi']"
Support of Ruby 2.3 has ended.,128,closed,https://github.com/EthWorks/ethereum.rb/issues/128,EthWorks/ethereum.rb,"['support', 'ruby', '23', 'ended']","['support', 'rubi', '2', '3', 'end']"
Tested with solc 0.4.16,127,closed,https://github.com/EthWorks/ethereum.rb/issues/127,EthWorks/ethereum.rb,"['tested', 'solc', '0416']","['test', 'solc', '0', '4', '16']"
add travis notification to maintainer's slack,126,closed,https://github.com/EthWorks/ethereum.rb/issues/126,EthWorks/ethereum.rb,"['add', 'travis', 'notification', 'maintainer', 'slack']","['add', 'travi', 'notif', 'maintain', 'slack']"
Fix CI,125,closed,https://github.com/EthWorks/ethereum.rb/issues/125,EthWorks/ethereum.rb,"['fix', 'ci']","['fix', 'ci']"
fix(transaction): ensure transactions are retried,124,closed,https://github.com/EthWorks/ethereum.rb/issues/124,EthWorks/ethereum.rb,"['fixtransaction', 'ensure', 'transaction', 'retried']","['fix', 'transact', 'ensur', 'transact', 'retri']"
Fix NoMethodError when result is null,123,closed,https://github.com/EthWorks/ethereum.rb/issues/123,EthWorks/ethereum.rb,"['fix', 'nomethoderror', 'result', 'null']","['fix', 'nomethoderror', 'result', 'null']"
