issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Tx dropped in etherscan and pending in Metamask extension without gas refund,10686,open,https://github.com/MetaMask/metamask-extension/issues/10686,MetaMask/metamask-extension,"['tx', 'dropped', 'etherscan', 'pending', 'metamask', 'extension', 'without', 'gas', 'refund']","['tx', 'drop', 'etherscan', 'pend', 'metamask', 'extens', 'without', 'ga', 'refund']"
How to disconnect metamask?,10685,open,https://github.com/MetaMask/metamask-extension/issues/10685,MetaMask/metamask-extension,"['how', 'disconnect', 'metamask']","['how', 'disconnect', 'metamask']"
Access Trezor without connect.trezor.io,10684,open,https://github.com/MetaMask/metamask-extension/issues/10684,MetaMask/metamask-extension,"['access', 'trezor', 'without', 'connecttrezorio']","['access', 'trezor', 'without', 'connect', 'trezor', 'io']"
Improved Contacts Manger Flow in Settings,10683,open,https://github.com/MetaMask/metamask-extension/issues/10683,MetaMask/metamask-extension,"['improved', 'contacts', 'manger', 'flow', 'settings']","['improv', 'contact', 'manger', 'flow', 'set']"
Adding default properties to NetworkForm,10682,open,https://github.com/MetaMask/metamask-extension/issues/10682,MetaMask/metamask-extension,"['adding', 'default', 'property', 'networkform']","['ad', 'default', 'properti', 'networkform']"
Warning: A component is changing an uncontrolled input of type text to be controlled....,10681,open,https://github.com/MetaMask/metamask-extension/issues/10681,MetaMask/metamask-extension,"['warning', 'a', 'component', 'changing', 'uncontrolled', 'input', 'type', 'text', 'controlled']","['warn', 'a', 'compon', 'chang', 'uncontrol', 'input', 'type', 'text', 'control']"
[Fix] 10365 part 2,10680,open,https://github.com/MetaMask/metamask-extension/issues/10680,MetaMask/metamask-extension,"['fix', '10365', 'part', '2']","['fix', '10365', 'part', '2']"
ETH contract approval makes extension stuck in loading screen,10679,open,https://github.com/MetaMask/metamask-extension/issues/10679,MetaMask/metamask-extension,"['eth', 'contract', 'approval', 'make', 'extension', 'stuck', 'loading', 'screen']","['eth', 'contract', 'approv', 'make', 'extens', 'stuck', 'load', 'screen']"
Increase hash cycles for vault encryption,10678,open,https://github.com/MetaMask/metamask-extension/issues/10678,MetaMask/metamask-extension,"['increase', 'hash', 'cycle', 'vault', 'encryption']","['increas', 'hash', 'cycl', 'vault', 'encrypt']"
Add a key in window.ethereum if hardware wallet is connected,10677,open,https://github.com/MetaMask/metamask-extension/issues/10677,MetaMask/metamask-extension,"['add', 'key', 'windowethereum', 'hardware', 'wallet', 'connected']","['add', 'key', 'window', 'ethereum', 'hardwar', 'wallet', 'connect']"
Persisting MetaMetrics opt-in screen pre account setup,10676,open,https://github.com/MetaMask/metamask-extension/issues/10676,MetaMask/metamask-extension,"['persisting', 'metametrics', 'optin', 'screen', 'pre', 'account', 'setup']","['persist', 'metametr', 'opt', 'screen', 'pre', 'account', 'setup']"
Opting in/and out of MetaMetrics in the onboarding flow does not save before creating or importing an account,10675,open,https://github.com/MetaMask/metamask-extension/issues/10675,MetaMask/metamask-extension,"['opting', 'inand', 'metametrics', 'onboarding', 'flow', 'save', 'creating', 'importing', 'account']","['opt', 'metametr', 'onboard', 'flow', 'save', 'creat', 'import', 'account']"
Don't render faucet row in deposit modal for custom chains,10674,closed,https://github.com/MetaMask/metamask-extension/issues/10674,MetaMask/metamask-extension,"['dont', 'render', 'faucet', 'row', 'deposit', 'modal', 'custom', 'chain']","['don', 'render', 'faucet', 'row', 'deposit', 'modal', 'custom', 'chain']"
Export account as encrypted (password protected) json file,10673,open,https://github.com/MetaMask/metamask-extension/issues/10673,MetaMask/metamask-extension,"['export', 'account', 'encrypted', 'password', 'protected', 'json', 'file']","['export', 'account', 'encrypt', 'password', 'protect', 'json', 'file']"
Refactor Tx State Manager,10672,open,https://github.com/MetaMask/metamask-extension/issues/10672,MetaMask/metamask-extension,"['refactor', 'tx', 'state', 'manager']","['refactor', 'tx', 'state', 'manag']"
eth_requestAccounts returns an address with all lowercase; MetaMask expects otherwise.,10671,open,https://github.com/MetaMask/metamask-extension/issues/10671,MetaMask/metamask-extension,"['eth_requestaccounts', 'return', 'address', 'lowercase', 'metamask', 'expects', 'otherwise']","['eth_requestaccount', 'return', 'address', 'lowercas', 'metamask', 'expect', 'otherwis']"
Allow 11 characters in symbol for RPC,10670,open,https://github.com/MetaMask/metamask-extension/issues/10670,MetaMask/metamask-extension,"['allow', '11', 'character', 'symbol', 'rpc']","['allow', '11', 'charact', 'symbol', 'rpc']"
MM extension shows wrong number of tokens after token re-denomination. How to fix?,10669,closed,https://github.com/MetaMask/metamask-extension/issues/10669,MetaMask/metamask-extension,"['mm', 'extension', 'show', 'wrong', 'number', 'token', 'token', 'redenomination', 'how', 'fix']","['mm', 'extens', 'show', 'wrong', 'number', 'token', 'token', 'denomin', 'how', 'fix']"
Incorrect gas estimation when sending ETH to fallback function of contract,10668,open,https://github.com/MetaMask/metamask-extension/issues/10668,MetaMask/metamask-extension,"['incorrect', 'gas', 'estimation', 'sending', 'eth', 'fallback', 'function', 'contract']","['incorrect', 'ga', 'estim', 'send', 'eth', 'fallback', 'function', 'contract']"
