issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
"When the mnemonic phrase is verified (reclicked by the user), you can't proceed if the mnemonic phrase contains duplicate words.",3904,closed,https://github.com/MyCryptoHQ/MyCrypto/issues/3904,MyCryptoHQ/MyCrypto,"['when', 'mnemonic', 'phrase', 'verified', 'reclicked', 'user', 'cant', 'proceed', 'mnemonic', 'phrase', 'contains', 'duplicate', 'word']","['when', 'mnemon', 'phrase', 'verifi', 'reclick', 'user', 'proceed', 'mnemon', 'phrase', 'contain', 'duplic', 'word']"
Bump is-svg from 4.2.1 to 4.3.1,3903,open,https://github.com/MyCryptoHQ/MyCrypto/issues/3903,MyCryptoHQ/MyCrypto,"['bump', 'issvg', '421', '431']","['bump', 'svg', '4', '2', '1', '4', '3', '1']"
Bump eth-scan and unlock-scan libs,3902,closed,https://github.com/MyCryptoHQ/MyCrypto/issues/3902,MyCryptoHQ/MyCrypto,"['bump', 'ethscan', 'unlockscan', 'libs']","['bump', 'eth', 'scan', 'unlock', 'scan', 'lib']"
Remove ScreenLock,3901,closed,https://github.com/MyCryptoHQ/MyCrypto/issues/3901,MyCryptoHQ/MyCrypto,"['remove', 'screenlock']","['remov', 'screenlock']"
Check if number is in safe range,3900,closed,https://github.com/MyCryptoHQ/MyCrypto/issues/3900,MyCryptoHQ/MyCrypto,"['check', 'number', 'safe', 'range']","['check', 'number', 'safe', 'rang']"
Fix WebUSB for adding Ledger accounts on Windows,3899,closed,https://github.com/MyCryptoHQ/MyCrypto/issues/3899,MyCryptoHQ/MyCrypto,"['fix', 'webusb', 'adding', 'ledger', 'account', 'windows']","['fix', 'webusb', 'ad', 'ledger', 'account', 'window']"
Purge StoreProvider,3898,closed,https://github.com/MyCryptoHQ/MyCrypto/issues/3898,MyCryptoHQ/MyCrypto,"['purge', 'storeprovider']","['purg', 'storeprovid']"
Fix ok-to-test MyCryptoBuilds,3897,closed,https://github.com/MyCryptoHQ/MyCrypto/issues/3897,MyCryptoHQ/MyCrypto,"['fix', 'oktotest', 'mycryptobuilds']","['fix', 'ok', 'test', 'mycryptobuild']"
Fix contract deployment issues,3896,open,https://github.com/MyCryptoHQ/MyCrypto/issues/3896,MyCryptoHQ/MyCrypto,"['fix', 'contract', 'deployment', 'issue']","['fix', 'contract', 'deploy', 'issu']"
Update eth-scan batch size to fix token scanning issues,3895,closed,https://github.com/MyCryptoHQ/MyCrypto/issues/3895,MyCryptoHQ/MyCrypto,"['update', 'ethscan', 'batch', 'size', 'fix', 'token', 'scanning', 'issue']","['updat', 'eth', 'scan', 'batch', 'size', 'fix', 'token', 'scan', 'issu']"
XDAI Unlock Memberships,3894,closed,https://github.com/MyCryptoHQ/MyCrypto/issues/3894,MyCryptoHQ/MyCrypto,"['xdai', 'unlock', 'memberships']","['xdai', 'unlock', 'membership']"
