issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
[Snyk] Upgrade @sentry/integrations from 6.2.2 to 6.2.3,2921,open,https://github.com/MyEtherWallet/MyEtherWallet/issues/2921,MyEtherWallet/MyEtherWallet,"['snyk', 'upgrade', 'sentryintegrations', '622', '623']","['snyk', 'upgrad', 'sentri', 'integr', '6', '2', '2', '6', '2', '3']"
[Snyk] Upgrade @sentry/browser from 6.2.2 to 6.2.3,2920,open,https://github.com/MyEtherWallet/MyEtherWallet/issues/2920,MyEtherWallet/MyEtherWallet,"['snyk', 'upgrade', 'sentrybrowser', '622', '623']","['snyk', 'upgrad', 'sentri', 'browser', '6', '2', '2', '6', '2', '3']"
Can't log into myetherwallet.com with keystore file. Help!,2919,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2919,MyEtherWallet/MyEtherWallet,"['cant', 'log', 'myetherwalletcom', 'keystore', 'file', 'help']","['can', 'log', 'myetherwallet', 'com', 'keystor', 'file', 'help']"
ETH Transaction Failed,2918,open,https://github.com/MyEtherWallet/MyEtherWallet/issues/2918,MyEtherWallet/MyEtherWallet,"['eth', 'transaction', 'failed']","['eth', 'transact', 'fail']"
[Snyk] Upgrade graphql-tag from 2.11.0 to 2.12.1,2917,open,https://github.com/MyEtherWallet/MyEtherWallet/issues/2917,MyEtherWallet/MyEtherWallet,"['snyk', 'upgrade', 'graphqltag', '2110', '2121']","['snyk', 'upgrad', 'graphql', 'tag', '2', '11', '0', '2', '12', '1']"
V6/UI fix merge,2916,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2916,MyEtherWallet/MyEtherWallet,"['v6ui', 'fix', 'merge']","['v6', 'ui', 'fix', 'merg']"
updating module token,2915,open,https://github.com/MyEtherWallet/MyEtherWallet/issues/2915,MyEtherWallet/MyEtherWallet,"['updating', 'module', 'token']","['updat', 'modul', 'token']"
V6/setup env unlock,2914,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2914,MyEtherWallet/MyEtherWallet,"['v6setup', 'env', 'unlock']","['v6', 'setup', 'env', 'unlock']"
Multi Problems after update with sending offline,2913,open,https://github.com/MyEtherWallet/MyEtherWallet/issues/2913,MyEtherWallet/MyEtherWallet,"['multi', 'problems', 'update', 'sending', 'offline']","['multi', 'problem', 'updat', 'send', 'offlin']"
V6/fix create wallet nnemonic,2912,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2912,MyEtherWallet/MyEtherWallet,"['v6fix', 'create', 'wallet', 'nnemonic']","['v6', 'fix', 'creat', 'wallet', 'nnemon']"
v6/fix create wallet keystore layouts,2911,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2911,MyEtherWallet/MyEtherWallet,"['v6fix', 'create', 'wallet', 'keystore', 'layout']","['v6', 'fix', 'creat', 'wallet', 'keystor', 'layout']"
V6/update wallet side menu content,2910,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2910,MyEtherWallet/MyEtherWallet,"['v6update', 'wallet', 'side', 'menu', 'content']","['v6', 'updat', 'wallet', 'side', 'menu', 'content']"
release/v5.7.24,2909,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2909,MyEtherWallet/MyEtherWallet,['releasev5724'],"['releas', 'v5', '7', '24']"
V6/fix create wallet hardware layout,2908,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2908,MyEtherWallet/MyEtherWallet,"['v6fix', 'create', 'wallet', 'hardware', 'layout']","['v6', 'fix', 'creat', 'wallet', 'hardwar', 'layout']"
add check before passing 0x to bignumber lib,2907,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2907,MyEtherWallet/MyEtherWallet,"['add', 'check', 'passing', '0x', 'bignumber', 'lib']","['add', 'check', 'pass', '0x', 'bignumb', 'lib']"
"Nonce Failure, NaN when should be 0",2906,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2906,MyEtherWallet/MyEtherWallet,"['nonce', 'failure', 'nan', '0']","['nonc', 'failur', 'nan', '0']"
Bug/ledger paths,2905,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2905,MyEtherWallet/MyEtherWallet,"['bugledger', 'path']","['bug', 'ledger', 'path']"
Bug/token values,2904,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2904,MyEtherWallet/MyEtherWallet,"['bugtoken', 'value']","['bug', 'token', 'valu']"
access issue,2903,open,https://github.com/MyEtherWallet/MyEtherWallet/issues/2903,MyEtherWallet/MyEtherWallet,"['access', 'issue']","['access', 'issu']"
[Snyk] Upgrade @sentry/integrations from 6.2.1 to 6.2.2,2902,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2902,MyEtherWallet/MyEtherWallet,"['snyk', 'upgrade', 'sentryintegrations', '621', '622']","['snyk', 'upgrad', 'sentri', 'integr', '6', '2', '1', '6', '2', '2']"
[Snyk] Upgrade @sentry/browser from 6.2.1 to 6.2.2,2901,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2901,MyEtherWallet/MyEtherWallet,"['snyk', 'upgrade', 'sentrybrowser', '621', '622']","['snyk', 'upgrad', 'sentri', 'browser', '6', '2', '1', '6', '2', '2']"
V6/update mobile menu UI,2900,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2900,MyEtherWallet/MyEtherWallet,"['v6update', 'mobile', 'menu', 'ui']","['v6', 'updat', 'mobil', 'menu', 'ui']"
Can't select custom HD derivaton path for Ethereum,2899,open,https://github.com/MyEtherWallet/MyEtherWallet/issues/2899,MyEtherWallet/MyEtherWallet,"['cant', 'select', 'custom', 'hd', 'derivaton', 'path', 'ethereum']","['can', 'select', 'custom', 'hd', 'derivaton', 'path', 'ethereum']"
V6/move tokens to state,2898,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2898,MyEtherWallet/MyEtherWallet,"['v6move', 'token', 'state']","['v6', 'move', 'token', 'state']"
Correct Avalanche derivation paths,2897,open,https://github.com/MyEtherWallet/MyEtherWallet/issues/2897,MyEtherWallet/MyEtherWallet,"['correct', 'avalanche', 'derivation', 'path']","['correct', 'avalanch', 'deriv', 'path']"
Wrong derivation paths for Avalanche,2896,open,https://github.com/MyEtherWallet/MyEtherWallet/issues/2896,MyEtherWallet/MyEtherWallet,"['wrong', 'derivation', 'path', 'avalanche']","['wrong', 'deriv', 'path', 'avalanch']"
V6/wallet mobile header,2895,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2895,MyEtherWallet/MyEtherWallet,"['v6wallet', 'mobile', 'header']","['v6', 'wallet', 'mobil', 'header']"
fix weird issue with token symbols and balance with waay too long of …,2894,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2894,MyEtherWallet/MyEtherWallet,"['fix', 'weird', 'issue', 'token', 'symbol', 'balance', 'waay', 'long']","['fix', 'weird', 'issu', 'token', 'symbol', 'balanc', 'waay', 'long']"
devop: change the way we are checking lend balance,2893,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2893,MyEtherWallet/MyEtherWallet,"['devop', 'change', 'way', 'checking', 'lend', 'balance']","['devop', 'chang', 'way', 'check', 'lend', 'balanc']"
Bug/remove no balance tokens,2892,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2892,MyEtherWallet/MyEtherWallet,"['bugremove', 'balance', 'token']","['bug', 'remov', 'balanc', 'token']"
V6/nfts,2891,closed,https://github.com/MyEtherWallet/MyEtherWallet/issues/2891,MyEtherWallet/MyEtherWallet,['v6nfts'],"['v6', 'nft']"
