issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Pick one support mechanism,667,closed,https://github.com/Nethereum/Nethereum/issues/667,Nethereum/Nethereum,"['pick', 'one', 'support', 'mechanism']","['pick', 'one', 'support', 'mechan']"
"Code Generator: When generating a service, if a ""constant / view"" function has not a return value it fails",666,open,https://github.com/Nethereum/Nethereum/issues/666,Nethereum/Nethereum,"['code', 'generator', 'when', 'generating', 'service', 'constant', 'view', 'function', 'return', 'value', 'fails']","['code', 'gener', 'when', 'gener', 'servic', 'constant', 'view', 'function', 'return', 'valu', 'fail']"
Question: multiple subscriptions of the same type,665,closed,https://github.com/Nethereum/Nethereum/issues/665,Nethereum/Nethereum,"['question', 'multiple', 'subscription', 'type']","['question', 'multipl', 'subscript', 'type']"
Nethereum .NET 5 integration,664,closed,https://github.com/Nethereum/Nethereum/issues/664,Nethereum/Nethereum,"['nethereum', 'net', '5', 'integration']","['nethereum', 'net', '5', 'integr']"
what is the connection between wallet password and genrated addreses,663,closed,https://github.com/Nethereum/Nethereum/issues/663,Nethereum/Nethereum,"['connection', 'wallet', 'password', 'genrated', 'addreses']","['connect', 'wallet', 'password', 'genrat', 'addres']"
Error using StreamingWebSocketClient ,662,open,https://github.com/Nethereum/Nethereum/issues/662,Nethereum/Nethereum,"['error', 'using', 'streamingwebsocketclient']","['error', 'use', 'streamingwebsocketcli']"
Will Nethereum work on Binance SmartChain?,661,closed,https://github.com/Nethereum/Nethereum/issues/661,Nethereum/Nethereum,"['will', 'nethereum', 'work', 'binance', 'smartchain']","['will', 'nethereum', 'work', 'binanc', 'smartchain']"
the method personal_importRawKey does not exist/is not available,660,closed,https://github.com/Nethereum/Nethereum/issues/660,Nethereum/Nethereum,"['method', 'personal_importrawkey', 'existis', 'available']","['method', 'personal_importrawkey', 'exist', 'avail']"
Error connecting to AWS Ethereum Preview,659,closed,https://github.com/Nethereum/Nethereum/issues/659,Nethereum/Nethereum,"['error', 'connecting', 'aws', 'ethereum', 'preview']","['error', 'connect', 'aw', 'ethereum', 'preview']"
fix keyword collision,658,open,https://github.com/Nethereum/Nethereum/issues/658,Nethereum/Nethereum,"['fix', 'keyword', 'collision']","['fix', 'keyword', 'collis']"
fix for reserved words,657,closed,https://github.com/Nethereum/Nethereum/issues/657,Nethereum/Nethereum,"['fix', 'reserved', 'word']","['fix', 'reserv', 'word']"
Get Pending Transaction,656,closed,https://github.com/Nethereum/Nethereum/issues/656,Nethereum/Nethereum,"['get', 'pending', 'transaction']","['get', 'pend', 'transact']"
Not passing the cancellation token properly to Task.Delay,655,closed,https://github.com/Nethereum/Nethereum/issues/655,Nethereum/Nethereum,"['not', 'passing', 'cancellation', 'token', 'properly', 'taskdelay']","['not', 'pass', 'cancel', 'token', 'properli', 'task', 'delay']"
The Account.Address class is returning some uppercase ,654,closed,https://github.com/Nethereum/Nethereum/issues/654,Nethereum/Nethereum,"['the', 'accountaddress', 'class', 'returning', 'uppercase']","['the', 'account', 'address', 'class', 'return', 'uppercas']"
Ganache does not support windows 32bit is there an alternative to Ganache,653,closed,https://github.com/Nethereum/Nethereum/issues/653,Nethereum/Nethereum,"['ganache', 'support', 'window', '32bit', 'alternative', 'ganache']","['ganach', 'support', 'window', '32bit', 'altern', 'ganach']"
"Hello,  Is there a way to get the lowest and average price miners are asking for gas? Some statistics sites seem to have prices but they are outdated.",652,closed,https://github.com/Nethereum/Nethereum/issues/652,Nethereum/Nethereum,"['hello', 'is', 'way', 'get', 'lowest', 'average', 'price', 'miner', 'asking', 'gas', 'some', 'statistic', 'site', 'seem', 'price', 'outdated']","['hello', 'is', 'way', 'get', 'lowest', 'averag', 'price', 'miner', 'ask', 'ga', 'some', 'statist', 'site', 'seem', 'price', 'outdat']"
Nethereum Generators (Change order FSharp move implementation types at the bottom),651,open,https://github.com/Nethereum/Nethereum/issues/651,Nethereum/Nethereum,"['nethereum', 'generators', 'change', 'order', 'fsharp', 'move', 'implementation', 'type', 'bottom']","['nethereum', 'gener', 'chang', 'order', 'fsharp', 'move', 'implement', 'type', 'bottom']"
"Test issue, testing webhook",650,closed,https://github.com/Nethereum/Nethereum/issues/650,Nethereum/Nethereum,"['test', 'issue', 'testing', 'webhook']","['test', 'issu', 'test', 'webhook']"
It is possible to remove the portable and migrate to Netstandard 2.0? ,649,closed,https://github.com/Nethereum/Nethereum/issues/649,Nethereum/Nethereum,"['it', 'possible', 'remove', 'portable', 'migrate', 'netstandard', '20']","['it', 'possibl', 'remov', 'portabl', 'migrat', 'netstandard', '2', '0']"
OfflineTransactionHelper docs are outdated,648,closed,https://github.com/Nethereum/Nethereum/issues/648,Nethereum/Nethereum,"['offlinetransactionhelper', 'doc', 'outdated']","['offlinetransactionhelp', 'doc', 'outdat']"
"Sending transaction as per documentation gives ""invalid sender""",647,closed,https://github.com/Nethereum/Nethereum/issues/647,Nethereum/Nethereum,"['sending', 'transaction', 'per', 'documentation', 'give', 'invalid', 'sender']","['send', 'transact', 'per', 'document', 'give', 'invalid', 'sender']"
Nuget Nethereum.HdWallet TypeLoadException,646,open,https://github.com/Nethereum/Nethereum/issues/646,Nethereum/Nethereum,"['nuget', 'nethereumhdwallet', 'typeloadexception']","['nuget', 'nethereum', 'hdwallet', 'typeloadexcept']"
Code cleanup in UnityRPCRequests,645,closed,https://github.com/Nethereum/Nethereum/issues/645,Nethereum/Nethereum,"['code', 'cleanup', 'unityrpcrequests']","['code', 'cleanup', 'unityrpcrequest']"
