issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Update lockfile,316,open,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/316,OpenZeppelin/openzeppelin-upgrades,"['update', 'lockfile']","['updat', 'lockfil']"
Add UUPS support (WIP),315,open,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/315,OpenZeppelin/openzeppelin-upgrades,"['add', 'uups', 'support', 'wip']","['add', 'uup', 'support', 'wip']"
Update lockfile,314,closed,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/314,OpenZeppelin/openzeppelin-upgrades,"['update', 'lockfile']","['updat', 'lockfil']"
Expose implementation address in hardhat plugin,313,open,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/313,OpenZeppelin/openzeppelin-upgrades,"['expose', 'implementation', 'address', 'hardhat', 'plugin']","['expos', 'implement', 'address', 'hardhat', 'plugin']"
Add support for constructor in logic holding contracts.,312,open,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/312,OpenZeppelin/openzeppelin-upgrades,"['add', 'support', 'constructor', 'logic', 'holding', 'contract']","['add', 'support', 'constructor', 'logic', 'hold', 'contract']"
deployProxy function doesn't work for Optimism (OVM) network,311,closed,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/311,OpenZeppelin/openzeppelin-upgrades,"['deployproxy', 'function', 'doesnt', 'work', 'optimism', 'ovm', 'network']","['deployproxi', 'function', 'work', 'optim', 'ovm', 'network']"
Add support for UUPS proxy pattern. ,310,open,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/310,OpenZeppelin/openzeppelin-upgrades,"['add', 'support', 'uups', 'proxy', 'pattern']","['add', 'support', 'uup', 'proxi', 'pattern']"
Support for Optimism Network,309,open,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/309,OpenZeppelin/openzeppelin-upgrades,"['support', 'optimism', 'network']","['support', 'optim', 'network']"
Update lockfile,306,closed,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/306,OpenZeppelin/openzeppelin-upgrades,"['update', 'lockfile']","['updat', 'lockfil']"
Way to upgrade + call atomically via truffle plugin,305,closed,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/305,OpenZeppelin/openzeppelin-upgrades,"['way', 'upgrade', 'call', 'atomically', 'via', 'truffle', 'plugin']","['way', 'upgrad', 'call', 'atom', 'via', 'truffl', 'plugin']"
Manifest file is always named `unknown-1337.json` even if network id is different,304,open,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/304,OpenZeppelin/openzeppelin-upgrades,"['manifest', 'file', 'always', 'named', 'unknown1337json', 'even', 'network', 'id', 'different']","['manifest', 'file', 'alway', 'name', 'unknown', '1337', 'json', 'even', 'network', 'id', 'differ']"
Update dependency lerna to v4,303,closed,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/303,OpenZeppelin/openzeppelin-upgrades,"['update', 'dependency', 'lerna', 'v4']","['updat', 'depend', 'lerna', 'v4']"
Update lockfile,302,closed,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/302,OpenZeppelin/openzeppelin-upgrades,"['update', 'lockfile']","['updat', 'lockfil']"
Add support for enum keys in mappings,301,closed,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/301,OpenZeppelin/openzeppelin-upgrades,"['add', 'support', 'enum', 'key', 'mapping']","['add', 'support', 'enum', 'key', 'map']"
Issue with upgrading contracts with enum value as a key in a mapping,300,closed,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/300,OpenZeppelin/openzeppelin-upgrades,"['issue', 'upgrading', 'contract', 'enum', 'value', 'key', 'mapping']","['issu', 'upgrad', 'contract', 'enum', 'valu', 'key', 'map']"
Update lockfile,299,closed,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/299,OpenZeppelin/openzeppelin-upgrades,"['update', 'lockfile']","['updat', 'lockfil']"
Update dependency eslint-config-prettier to v8,298,closed,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/298,OpenZeppelin/openzeppelin-upgrades,"['update', 'dependency', 'eslintconfigprettier', 'v8']","['updat', 'depend', 'eslint', 'config', 'prettier', 'v8']"
Use prepareUpgrade on already deployed project,297,closed,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/297,OpenZeppelin/openzeppelin-upgrades,"['use', 'prepareupgrade', 'already', 'deployed', 'project']","['use', 'prepareupgrad', 'alreadi', 'deploy', 'project']"
add support for custom gasPrice,296,closed,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/296,OpenZeppelin/openzeppelin-upgrades,"['add', 'support', 'custom', 'gasprice']","['add', 'support', 'custom', 'gaspric']"
Hardhat upgrades plugin: Proxy admin is not the one registered,295,open,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/295,OpenZeppelin/openzeppelin-upgrades,"['hardhat', 'upgrade', 'plugin', 'proxy', 'admin', 'one', 'registered']","['hardhat', 'upgrad', 'plugin', 'proxi', 'admin', 'one', 'regist']"
Update dependency cbor to v7,294,closed,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/294,OpenZeppelin/openzeppelin-upgrades,"['update', 'dependency', 'cbor', 'v7']","['updat', 'depend', 'cbor', 'v7']"
Update wrap-provider.ts,293,open,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/293,OpenZeppelin/openzeppelin-upgrades,"['update', 'wrapproviderts']","['updat', 'wrap', 'provid', 'ts']"
Hardhat deploy on xDAI “TransactionMinedTimeout [Error]: Timed out waiting for transaction” txhash doesnt exist,292,closed,https://github.com/OpenZeppelin/openzeppelin-upgrades/issues/292,OpenZeppelin/openzeppelin-upgrades,"['hardhat', 'deploy', 'xdai', 'transactionminedtimeout', 'error', 'timed', 'waiting', 'transaction', 'txhash', 'doesnt', 'exist']","['hardhat', 'deploy', 'xdai', 'transactionminedtimeout', 'error', 'time', 'wait', 'transact', 'txhash', 'doesnt', 'exist']"
