issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Bump jinja2 from 2.9.6 to 2.11.3,231,open,https://github.com/TokenMarketNet/smart-contracts/issues/231,TokenMarketNet/smart-contracts,"['bump', 'jinja2', '296', '2113']","['bump', 'jinja2', '2', '9', '6', '2', '11', '3']"
"docs: fix simple typo, ugprade -> upgrade",230,open,https://github.com/TokenMarketNet/smart-contracts/issues/230,TokenMarketNet/smart-contracts,"['doc', 'fix', 'simple', 'typo', 'ugprade', 'upgrade']","['doc', 'fix', 'simpl', 'typo', 'ugprad', 'upgrad']"
Bump cryptography from 2.4.2 to 3.2,229,open,https://github.com/TokenMarketNet/smart-contracts/issues/229,TokenMarketNet/smart-contracts,"['bump', 'cryptography', '242', '32']","['bump', 'cryptographi', '2', '4', '2', '3', '2']"
Create Trifecta.sol,204,open,https://github.com/TokenMarketNet/smart-contracts/issues/204,TokenMarketNet/smart-contracts,"['create', 'trifectasol']","['creat', 'trifecta', 'sol']"
smartcontracts/paymentsplitter/realestate/Trifecta.sol,182,open,https://github.com/TokenMarketNet/smart-contracts/issues/182,TokenMarketNet/smart-contracts,['smartcontractspaymentsplitterrealestatetrifectasol'],"['smartcontract', 'paymentsplitt', 'realest', 'trifecta', 'sol']"
 contracts/PaymentSplitters.sol/Owner.TRIFECTA,177,open,https://github.com/TokenMarketNet/smart-contracts/issues/177,TokenMarketNet/smart-contracts,['contractspaymentsplitterssolownertrifecta'],"['contract', 'paymentsplitt', 'sol', 'owner', 'trifecta']"
merge,176,open,https://github.com/TokenMarketNet/smart-contracts/issues/176,TokenMarketNet/smart-contracts,['merge'],['merg']
TokenVault: Implementing full EIP-20 support and improved tests,175,open,https://github.com/TokenMarketNet/smart-contracts/issues/175,TokenMarketNet/smart-contracts,"['tokenvault', 'implementing', 'full', 'eip20', 'support', 'improved', 'test']","['tokenvault', 'implement', 'full', 'eip', '20', 'support', 'improv', 'test']"
Bump werkzeug from 0.12.2 to 0.15.3,174,open,https://github.com/TokenMarketNet/smart-contracts/issues/174,TokenMarketNet/smart-contracts,"['bump', 'werkzeug', '0122', '0153']","['bump', 'werkzeug', '0', '12', '2', '0', '15', '3']"
InvestorInteractionContract: Voting cannot be gamed anymore,173,open,https://github.com/TokenMarketNet/smart-contracts/issues/173,TokenMarketNet/smart-contracts,"['investorinteractioncontract', 'voting', 'gamed', 'anymore']","['investorinteractioncontract', 'vote', 'game', 'anymor']"
RestrictedTransferAgent: Changing KYC to be public,172,open,https://github.com/TokenMarketNet/smart-contracts/issues/172,TokenMarketNet/smart-contracts,"['restrictedtransferagent', 'changing', 'kyc', 'public']","['restrictedtransferag', 'chang', 'kyc', 'public']"
CheckpointToken: Verify transactions only for transferFrom() and transfer(),171,closed,https://github.com/TokenMarketNet/smart-contracts/issues/171,TokenMarketNet/smart-contracts,"['checkpointtoken', 'verify', 'transaction', 'transferfrom', 'transfer']","['checkpointtoken', 'verifi', 'transact', 'transferfrom', 'transfer']"
Add Ethereum address to FUNDING.yml,170,open,https://github.com/TokenMarketNet/smart-contracts/issues/170,TokenMarketNet/smart-contracts,"['add', 'ethereum', 'address', 'fundingyml']","['add', 'ethereum', 'address', 'fund', 'yml']"
SecurityToken: Changing checkpoint creation to be manual,169,closed,https://github.com/TokenMarketNet/smart-contracts/issues/169,TokenMarketNet/smart-contracts,"['securitytoken', 'changing', 'checkpoint', 'creation', 'manual']","['securitytoken', 'chang', 'checkpoint', 'creation', 'manual']"
New BasicKYC and related modifications,168,closed,https://github.com/TokenMarketNet/smart-contracts/issues/168,TokenMarketNet/smart-contracts,"['new', 'basickyc', 'related', 'modification']","['new', 'basickyc', 'relat', 'modif']"
Feat/tokenvault improved recovery,167,closed,https://github.com/TokenMarketNet/smart-contracts/issues/167,TokenMarketNet/smart-contracts,"['feattokenvault', 'improved', 'recovery']","['feat', 'tokenvault', 'improv', 'recoveri']"
Feat/security token cleanup,166,closed,https://github.com/TokenMarketNet/smart-contracts/issues/166,TokenMarketNet/smart-contracts,"['featsecurity', 'token', 'cleanup']","['feat', 'secur', 'token', 'cleanup']"
Feat/token vault improvements,163,closed,https://github.com/TokenMarketNet/smart-contracts/issues/163,TokenMarketNet/smart-contracts,"['feattoken', 'vault', 'improvement']","['feat', 'token', 'vault', 'improv']"
"Implement withdraw tokens, change price and start ICO from function functionalities (issues #159, #160, #161)",162,closed,https://github.com/TokenMarketNet/smart-contracts/issues/162,TokenMarketNet/smart-contracts,"['implement', 'withdraw', 'token', 'change', 'price', 'start', 'ico', 'function', 'functionality', 'issue', '159', '160', '161']","['implement', 'withdraw', 'token', 'chang', 'price', 'start', 'ico', 'function', 'function', 'issu', '159', '160', '161']"
Start ICO  by calling function functionality,161,open,https://github.com/TokenMarketNet/smart-contracts/issues/161,TokenMarketNet/smart-contracts,"['start', 'ico', 'calling', 'function', 'functionality']","['start', 'ico', 'call', 'function', 'function']"
Change price functionality,160,open,https://github.com/TokenMarketNet/smart-contracts/issues/160,TokenMarketNet/smart-contracts,"['change', 'price', 'functionality']","['chang', 'price', 'function']"
Withdraw tokens functionality,159,open,https://github.com/TokenMarketNet/smart-contracts/issues/159,TokenMarketNet/smart-contracts,"['withdraw', 'token', 'functionality']","['withdraw', 'token', 'function']"
fix contract factory in token-vault,158,closed,https://github.com/TokenMarketNet/smart-contracts/issues/158,TokenMarketNet/smart-contracts,"['fix', 'contract', 'factory', 'tokenvault']","['fix', 'contract', 'factori', 'token', 'vault']"
TokenVault: Implementing separate taps for each participant,157,closed,https://github.com/TokenMarketNet/smart-contracts/issues/157,TokenMarketNet/smart-contracts,"['tokenvault', 'implementing', 'separate', 'tap', 'participant']","['tokenvault', 'implement', 'separ', 'tap', 'particip']"
"PayoutContract: Fixing payout distribution, and tests",156,open,https://github.com/TokenMarketNet/smart-contracts/issues/156,TokenMarketNet/smart-contracts,"['payoutcontract', 'fixing', 'payout', 'distribution', 'test']","['payoutcontract', 'fix', 'payout', 'distribut', 'test']"
Error on sending ETH to the network,155,closed,https://github.com/TokenMarketNet/smart-contracts/issues/155,TokenMarketNet/smart-contracts,"['error', 'sending', 'eth', 'network']","['error', 'send', 'eth', 'network']"
TokenVault: Implementing full EIP-20 support,154,open,https://github.com/TokenMarketNet/smart-contracts/issues/154,TokenMarketNet/smart-contracts,"['tokenvault', 'implementing', 'full', 'eip20', 'support']","['tokenvault', 'implement', 'full', 'eip', '20', 'support']"
fix currentProvider error,153,closed,https://github.com/TokenMarketNet/smart-contracts/issues/153,TokenMarketNet/smart-contracts,"['fix', 'currentprovider', 'error']","['fix', 'currentprovid', 'error']"
added more checks for payout_contract,152,closed,https://github.com/TokenMarketNet/smart-contracts/issues/152,TokenMarketNet/smart-contracts,"['added', 'check', 'payout_contract']","['ad', 'check', 'payout_contract']"
SecurityToken: Improved tests (ERC-865 nonce reuse),151,open,https://github.com/TokenMarketNet/smart-contracts/issues/151,TokenMarketNet/smart-contracts,"['securitytoken', 'improved', 'test', 'erc865', 'nonce', 'reuse']","['securitytoken', 'improv', 'test', 'erc', '865', 'nonc', 'reus']"
Feat/security token improvements,150,closed,https://github.com/TokenMarketNet/smart-contracts/issues/150,TokenMarketNet/smart-contracts,"['featsecurity', 'token', 'improvement']","['feat', 'secur', 'token', 'improv']"
RestrictedTransferAgent and AdvancedTransferAgent,149,closed,https://github.com/TokenMarketNet/smart-contracts/issues/149,TokenMarketNet/smart-contracts,"['restrictedtransferagent', 'advancedtransferagent']","['restrictedtransferag', 'advancedtransferag']"
PaymentSplitter,148,closed,https://github.com/TokenMarketNet/smart-contracts/issues/148,TokenMarketNet/smart-contracts,['paymentsplitter'],['paymentsplitt']
Update requests in requirements.txt,147,closed,https://github.com/TokenMarketNet/smart-contracts/issues/147,TokenMarketNet/smart-contracts,"['update', 'request', 'requirementstxt']","['updat', 'request', 'requir', 'txt']"
Upgrade requests,146,closed,https://github.com/TokenMarketNet/smart-contracts/issues/146,TokenMarketNet/smart-contracts,"['upgrade', 'request']","['upgrad', 'request']"
Security token,145,closed,https://github.com/TokenMarketNet/smart-contracts/issues/145,TokenMarketNet/smart-contracts,"['security', 'token']","['secur', 'token']"
pin web3 version to 3.11.1,144,closed,https://github.com/TokenMarketNet/smart-contracts/issues/144,TokenMarketNet/smart-contracts,"['pin', 'web3', 'version', '3111']","['pin', 'web3', 'version', '3', '11', '1']"
Quick token sale walkthrough,143,closed,https://github.com/TokenMarketNet/smart-contracts/issues/143,TokenMarketNet/smart-contracts,"['quick', 'token', 'sale', 'walkthrough']","['quick', 'token', 'sale', 'walkthrough']"
update pycryptodome version,142,closed,https://github.com/TokenMarketNet/smart-contracts/issues/142,TokenMarketNet/smart-contracts,"['update', 'pycryptodome', 'version']","['updat', 'pycryptodom', 'version']"
using tokenmarket tools with infura,141,closed,https://github.com/TokenMarketNet/smart-contracts/issues/141,TokenMarketNet/smart-contracts,"['using', 'tokenmarket', 'tool', 'infura']","['use', 'tokenmarket', 'tool', 'infura']"
UpgradeAgent Contract issue,140,closed,https://github.com/TokenMarketNet/smart-contracts/issues/140,TokenMarketNet/smart-contracts,"['upgradeagent', 'contract', 'issue']","['upgradeag', 'contract', 'issu']"
Web3 4.x and  solidity > 0.4.20 support,139,closed,https://github.com/TokenMarketNet/smart-contracts/issues/139,TokenMarketNet/smart-contracts,"['web3', '4x', 'solidity', '0420', 'support']","['web3', '4', 'x', 'solid', '0', '4', '20', 'support']"
Hard coded dated seems to be outdated and `PreICOProxyBuyer` State enums doesn't match with `Crowdsale` enums,138,open,https://github.com/TokenMarketNet/smart-contracts/issues/138,TokenMarketNet/smart-contracts,"['hard', 'coded', 'dated', 'seems', 'outdated', 'preicoproxybuyer', 'state', 'enums', 'doesnt', 'match', 'crowdsale', 'enums']","['hard', 'code', 'date', 'seem', 'outdat', 'preicoproxybuy', 'state', 'enum', 'match', 'crowdsal', 'enum']"
Feat/rfd 136 create tapped tokenvault,137,closed,https://github.com/TokenMarketNet/smart-contracts/issues/137,TokenMarketNet/smart-contracts,"['featrfd', '136', 'create', 'tapped', 'tokenvault']","['feat', 'rfd', '136', 'creat', 'tap', 'tokenvault']"
monkey patch populus code to make timeout configurable,136,closed,https://github.com/TokenMarketNet/smart-contracts/issues/136,TokenMarketNet/smart-contracts,"['monkey', 'patch', 'populus', 'code', 'make', 'timeout', 'configurable']","['monkey', 'patch', 'populu', 'code', 'make', 'timeout', 'configur']"
"requests.exceptions.ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response',))",135,closed,https://github.com/TokenMarketNet/smart-contracts/issues/135,TokenMarketNet/smart-contracts,"['requestsexceptionsconnectionerror', 'connection', 'aborted', 'remotedisconnectedremote', 'end', 'closed', 'connection', 'without', 'response']","['request', 'except', 'connectionerror', 'connect', 'abort', 'remotedisconnect', 'remot', 'end', 'close', 'connect', 'without', 'respons']"
[WIP] Made ico compatible with the latest version of populus and solidity,134,closed,https://github.com/TokenMarketNet/smart-contracts/issues/134,TokenMarketNet/smart-contracts,"['wip', 'made', 'ico', 'compatible', 'latest', 'version', 'populus', 'solidity']","['wip', 'made', 'ico', 'compat', 'latest', 'version', 'populu', 'solid']"
populus.utils.compat.compat_stdlib.Timeout: 120 seconds,133,closed,https://github.com/TokenMarketNet/smart-contracts/issues/133,TokenMarketNet/smart-contracts,"['populusutilscompatcompat_stdlibtimeout', '120', 'second']","['populu', 'util', 'compat', 'compat_stdlib', 'timeout', '120', 'second']"
The raw weis per token is too rough for generic pricing purposes. Ada…,132,closed,https://github.com/TokenMarketNet/smart-contracts/issues/132,TokenMarketNet/smart-contracts,"['the', 'raw', 'wei', 'per', 'token', 'rough', 'generic', 'pricing', 'purpose', 'ada']","['the', 'raw', 'wei', 'per', 'token', 'rough', 'gener', 'price', 'purpos', 'ada']"
Solc contract type error while deploying contract,131,closed,https://github.com/TokenMarketNet/smart-contracts/issues/131,TokenMarketNet/smart-contracts,"['solc', 'contract', 'type', 'error', 'deploying', 'contract']","['solc', 'contract', 'type', 'error', 'deploy', 'contract']"
added __init__.py to tests and ico,130,closed,https://github.com/TokenMarketNet/smart-contracts/issues/130,TokenMarketNet/smart-contracts,"['added', '__init__py', 'test', 'ico']","['ad', '__init__', 'py', 'test', 'ico']"
Parametrize docker installation for different KGSes,129,open,https://github.com/TokenMarketNet/smart-contracts/issues/129,TokenMarketNet/smart-contracts,"['parametrize', 'docker', 'installation', 'different', 'kgses']","['parametr', 'docker', 'instal', 'differ', 'kgse']"
ERC827: Improved test,128,closed,https://github.com/TokenMarketNet/smart-contracts/issues/128,TokenMarketNet/smart-contracts,"['erc827', 'improved', 'test']","['erc827', 'improv', 'test']"
"ERC827: Support for ERC827 tokens, including basic acceptance tests",127,closed,https://github.com/TokenMarketNet/smart-contracts/issues/127,TokenMarketNet/smart-contracts,"['erc827', 'support', 'erc827', 'token', 'including', 'basic', 'acceptance', 'test']","['erc827', 'support', 'erc827', 'token', 'includ', 'basic', 'accept', 'test']"
WaveX (wvx),126,closed,https://github.com/TokenMarketNet/smart-contracts/issues/126,TokenMarketNet/smart-contracts,"['wavex', 'wvx']","['wavex', 'wvx']"
ImportError: No module named ico.cmd.deploycontracts,125,closed,https://github.com/TokenMarketNet/smart-contracts/issues/125,TokenMarketNet/smart-contracts,"['importerror', 'no', 'module', 'named', 'icocmddeploycontracts']","['importerror', 'no', 'modul', 'name', 'ico', 'cmd', 'deploycontract']"
Zeppelin: Update to OpenZeppelin contracts to 7586e38,124,closed,https://github.com/TokenMarketNet/smart-contracts/issues/124,TokenMarketNet/smart-contracts,"['zeppelin', 'update', 'openzeppelin', 'contract', '7586e38']","['zeppelin', 'updat', 'openzeppelin', 'contract', '7586e38']"
Dockerfile,123,closed,https://github.com/TokenMarketNet/smart-contracts/issues/123,TokenMarketNet/smart-contracts,['dockerfile'],['dockerfil']
Minor Typo Fix,122,closed,https://github.com/TokenMarketNet/smart-contracts/issues/122,TokenMarketNet/smart-contracts,"['minor', 'typo', 'fix']","['minor', 'typo', 'fix']"
SafeMathLib overlaps with SafeMath in OpenZeppelin,121,closed,https://github.com/TokenMarketNet/smart-contracts/issues/121,TokenMarketNet/smart-contracts,"['safemathlib', 'overlap', 'safemath', 'openzeppelin']","['safemathlib', 'overlap', 'safemath', 'openzeppelin']"
"eth_utils throws ""force_text"" Error",120,closed,https://github.com/TokenMarketNet/smart-contracts/issues/120,TokenMarketNet/smart-contracts,"['eth_utils', 'throw', 'force_text', 'error']","['eth_util', 'throw', 'force_text', 'error']"
is there any example for crowdsale via transfer function?,119,closed,https://github.com/TokenMarketNet/smart-contracts/issues/119,TokenMarketNet/smart-contracts,"['example', 'crowdsale', 'via', 'transfer', 'function']","['exampl', 'crowdsal', 'via', 'transfer', 'function']"
Assertion error Verification: assert crowdsale.call().getState() == CrowdsaleState.PreFunding,118,closed,https://github.com/TokenMarketNet/smart-contracts/issues/118,TokenMarketNet/smart-contracts,"['assertion', 'error', 'verification', 'assert', 'crowdsalecallgetstate', 'crowdsalestateprefunding']","['assert', 'error', 'verif', 'assert', 'crowdsal', 'call', 'getstat', 'crowdsalest', 'prefund']"
Fixed Typo in TokenVault.sol,117,closed,https://github.com/TokenMarketNet/smart-contracts/issues/117,TokenMarketNet/smart-contracts,"['fixed', 'typo', 'tokenvaultsol']","['fix', 'typo', 'tokenvault', 'sol']"
VDOC Launch for realises,116,closed,https://github.com/TokenMarketNet/smart-contracts/issues/116,TokenMarketNet/smart-contracts,"['vdoc', 'launch', 'realises']","['vdoc', 'launch', 'realis']"
error: command '/usr/bin/clang' failed with exit status 1,115,closed,https://github.com/TokenMarketNet/smart-contracts/issues/115,TokenMarketNet/smart-contracts,"['error', 'command', 'usrbinclang', 'failed', 'exit', 'status', '1']","['error', 'command', 'usr', 'bin', 'clang', 'fail', 'exit', 'statu', '1']"
Run Populus with Parity?,114,closed,https://github.com/TokenMarketNet/smart-contracts/issues/114,TokenMarketNet/smart-contracts,"['run', 'populus', 'parity']","['run', 'populu', 'pariti']"
