issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Bump eslint from 3.19.0 to 6.6.0,195,open,https://github.com/WeTrustPlatform/rosca-contracts/issues/195,WeTrustPlatform/rosca-contracts,"['bump', 'eslint', '3190', '660']","['bump', 'eslint', '3', '19', '0', '6', '6', '0']"
use node 10,194,closed,https://github.com/WeTrustPlatform/rosca-contracts/issues/194,WeTrustPlatform/rosca-contracts,"['use', 'node', '10']","['use', 'node', '10']"
lock down solc 0.4.15,193,closed,https://github.com/WeTrustPlatform/rosca-contracts/issues/193,WeTrustPlatform/rosca-contracts,"['lock', 'solc', '0415']","['lock', 'solc', '0', '4', '15']"
lock down solc 0.4.15,192,closed,https://github.com/WeTrustPlatform/rosca-contracts/issues/192,WeTrustPlatform/rosca-contracts,"['lock', 'solc', '0415']","['lock', 'solc', '0', '4', '15']"
migrate error:Network state unknown.,191,open,https://github.com/WeTrustPlatform/rosca-contracts/issues/191,WeTrustPlatform/rosca-contracts,"['migrate', 'errornetwork', 'state', 'unknown']","['migrat', 'error', 'network', 'state', 'unknown']"
version change to 0.2.5 ,190,closed,https://github.com/WeTrustPlatform/rosca-contracts/issues/190,WeTrustPlatform/rosca-contracts,"['version', 'change', '025']","['version', 'chang', '0', '2', '5']"
test for Mainnet,189,closed,https://github.com/WeTrustPlatform/rosca-contracts/issues/189,WeTrustPlatform/rosca-contracts,"['test', 'mainnet']","['test', 'mainnet']"
Update master to0.2.2,188,closed,https://github.com/WeTrustPlatform/rosca-contracts/issues/188,WeTrustPlatform/rosca-contracts,"['update', 'master', 'to022']","['updat', 'master', 'to0', '2', '2']"
add check to make sure contract creator is a part of the memberList passed in constructor,187,closed,https://github.com/WeTrustPlatform/rosca-contracts/issues/187,WeTrustPlatform/rosca-contracts,"['add', 'check', 'make', 'sure', 'contract', 'creator', 'part', 'memberlist', 'passed', 'constructor']","['add', 'check', 'make', 'sure', 'contract', 'creator', 'part', 'memberlist', 'pass', 'constructor']"
Audit result - Other Issues,186,closed,https://github.com/WeTrustPlatform/rosca-contracts/issues/186,WeTrustPlatform/rosca-contracts,"['audit', 'result', 'other', 'issues']","['audit', 'result', 'other', 'issu']"
