issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
fixed typo in npm package spelling,252,open,https://github.com/Web3Modal/web3modal/issues/252,Web3Modal/web3modal,"['fixed', 'typo', 'npm', 'package', 'spelling']","['fix', 'typo', 'npm', 'packag', 'spell']"
"@YZhenY tested everything and works fine! Thanks, merged now",251,open,https://github.com/Web3Modal/web3modal/issues/251,Web3Modal/web3modal,"['yzheny', 'tested', 'everything', 'work', 'fine', 'thanks', 'merged']","['yzheni', 'test', 'everyth', 'work', 'fine', 'thank', 'merg']"
Walletlink (Coinbase wallet) integration,250,open,https://github.com/Web3Modal/web3modal/issues/250,Web3Modal/web3modal,"['walletlink', 'coinbase', 'wallet', 'integration']","['walletlink', 'coinbas', 'wallet', 'integr']"
Question: best way to determine if the modal will/will not appear?,249,open,https://github.com/Web3Modal/web3modal/issues/249,Web3Modal/web3modal,"['question', 'best', 'way', 'determine', 'modal', 'willwill', 'appear']","['question', 'best', 'way', 'determin', 'modal', 'appear']"
Reject core.connectTo promise with original error,248,open,https://github.com/Web3Modal/web3modal/issues/248,Web3Modal/web3modal,"['reject', 'coreconnectto', 'promise', 'original', 'error']","['reject', 'core', 'connectto', 'promis', 'origin', 'error']"
Bump react-dev-utils from 11.0.1 to 11.0.4 in /example,247,open,https://github.com/Web3Modal/web3modal/issues/247,Web3Modal/web3modal,"['bump', 'reactdevutils', '1101', '1104', 'example']","['bump', 'react', 'dev', 'util', '11', '0', '1', '11', '0', '4', 'exampl']"
Support WalletLink,246,open,https://github.com/Web3Modal/web3modal/issues/246,Web3Modal/web3modal,"['support', 'walletlink']","['support', 'walletlink']"
Binance Smart Chain (BSC) Error!,245,open,https://github.com/Web3Modal/web3modal/issues/245,Web3Modal/web3modal,"['binance', 'smart', 'chain', 'bsc', 'error']","['binanc', 'smart', 'chain', 'bsc', 'error']"
"Hangs on .connect() in Chrome, works in other browsers",244,open,https://github.com/Web3Modal/web3modal/issues/244,Web3Modal/web3modal,"['hangs', 'connect', 'chrome', 'work', 'browser']","['hang', 'connect', 'chrome', 'work', 'browser']"
how to custom the UI layout and colors. ,243,open,https://github.com/Web3Modal/web3modal/issues/243,Web3Modal/web3modal,"['custom', 'ui', 'layout', 'color']","['custom', 'ui', 'layout', 'color']"
"""Install MetaMask""",242,open,https://github.com/Web3Modal/web3modal/issues/242,Web3Modal/web3modal,"['install', 'metamask']","['instal', 'metamask']"
Add Asynchrounous provider package loading,241,open,https://github.com/Web3Modal/web3modal/issues/241,Web3Modal/web3modal,"['add', 'asynchrounous', 'provider', 'package', 'loading']","['add', 'asynchroun', 'provid', 'packag', 'load']"
Lattice Support,240,open,https://github.com/Web3Modal/web3modal/issues/240,Web3Modal/web3modal,"['lattice', 'support']","['lattic', 'support']"
"Angular using vanilla JS implementation, styles hidden",239,open,https://github.com/Web3Modal/web3modal/issues/239,Web3Modal/web3modal,"['angular', 'using', 'vanilla', 'js', 'implementation', 'style', 'hidden']","['angular', 'use', 'vanilla', 'js', 'implement', 'style', 'hidden']"
"Authereum, Walletconnect and MEW connect aren't working following instructions",238,open,https://github.com/Web3Modal/web3modal/issues/238,Web3Modal/web3modal,"['authereum', 'walletconnect', 'mew', 'connect', 'arent', 'working', 'following', 'instruction']","['authereum', 'walletconnect', 'mew', 'connect', 'work', 'follow', 'instruct']"
Add binance testnet,237,open,https://github.com/Web3Modal/web3modal/issues/237,Web3Modal/web3modal,"['add', 'binance', 'testnet']","['add', 'binanc', 'testnet']"
I see no way how to determine the current provider,236,open,https://github.com/Web3Modal/web3modal/issues/236,Web3Modal/web3modal,"['i', 'see', 'way', 'determine', 'current', 'provider']","['i', 'see', 'way', 'determin', 'current', 'provid']"
