issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Merge back 0.6.4,770,open,https://github.com/Zokrates/ZoKrates/issues/770,Zokrates/ZoKrates,"['merge', 'back', '064']","['merg', 'back', '0', '6', '4']"
force tag creation,769,closed,https://github.com/Zokrates/ZoKrates/issues/769,Zokrates/ZoKrates,"['force', 'tag', 'creation']","['forc', 'tag', 'creation']"
Force deploy 064,768,closed,https://github.com/Zokrates/ZoKrates/issues/768,Zokrates/ZoKrates,"['force', 'deploy', '064']","['forc', 'deploy', '064']"
Add CHANGELOG,767,open,https://github.com/Zokrates/ZoKrates/issues/767,Zokrates/ZoKrates,"['add', 'changelog']","['add', 'changelog']"
Rc/0.6.4,766,closed,https://github.com/Zokrates/ZoKrates/issues/766,Zokrates/ZoKrates,['rc064'],"['rc', '0', '6', '4']"
Rc/0.6.4,765,closed,https://github.com/Zokrates/ZoKrates/issues/765,Zokrates/ZoKrates,['rc064'],"['rc', '0', '6', '4']"
Release 0.6.4,764,closed,https://github.com/Zokrates/ZoKrates/issues/764,Zokrates/ZoKrates,"['release', '064']","['releas', '0', '6', '4']"
compiler bug: returned boolean of a function cannot be assigned to boolean array element,763,closed,https://github.com/Zokrates/ZoKrates/issues/763,Zokrates/ZoKrates,"['compiler', 'bug', 'returned', 'boolean', 'function', 'assigned', 'boolean', 'array', 'element']","['compil', 'bug', 'return', 'boolean', 'function', 'assign', 'boolean', 'array', 'element']"
Add negative and positive unary operators,762,open,https://github.com/Zokrates/ZoKrates/issues/762,Zokrates/ZoKrates,"['add', 'negative', 'positive', 'unary', 'operator']","['add', 'neg', 'posit', 'unari', 'oper']"
Constant range check,761,open,https://github.com/Zokrates/ZoKrates/issues/761,Zokrates/ZoKrates,"['constant', 'range', 'check']","['constant', 'rang', 'check']"
Can't install older version of zokrates,760,closed,https://github.com/Zokrates/ZoKrates/issues/760,Zokrates/ZoKrates,"['cant', 'install', 'older', 'version', 'zokrates']","['can', 'instal', 'older', 'version', 'zokrat']"
Fix panic warning,759,closed,https://github.com/Zokrates/ZoKrates/issues/759,Zokrates/ZoKrates,"['fix', 'panic', 'warning']","['fix', 'panic', 'warn']"
Use write_all to write the whole pk in cli_setup(),758,closed,https://github.com/Zokrates/ZoKrates/issues/758,Zokrates/ZoKrates,"['use', 'write_all', 'write', 'whole', 'pk', 'cli_setup']","['use', 'write_al', 'write', 'whole', 'pk', 'cli_setup']"
Add back parser tests,757,open,https://github.com/Zokrates/ZoKrates/issues/757,Zokrates/ZoKrates,"['add', 'back', 'parser', 'test']","['add', 'back', 'parser', 'test']"
Use write_all to write the whole pk in setup(),756,closed,https://github.com/Zokrates/ZoKrates/issues/756,Zokrates/ZoKrates,"['use', 'write_all', 'write', 'whole', 'pk', 'setup']","['use', 'write_al', 'write', 'whole', 'pk', 'setup']"
Enforce clippy in CI,755,open,https://github.com/Zokrates/ZoKrates/issues/755,Zokrates/ZoKrates,"['enforce', 'clippy', 'ci']","['enforc', 'clippi', 'ci']"
Generic embeds,754,open,https://github.com/Zokrates/ZoKrates/issues/754,Zokrates/ZoKrates,"['generic', 'embeds']","['gener', 'emb']"
