issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Added Intercom script to HTML,1547,closed,https://github.com/aragon/client/issues/1547,aragon/client,"['added', 'intercom', 'script', 'html']","['ad', 'intercom', 'script', 'html']"
"Revert ""Replaced help button""",1546,closed,https://github.com/aragon/client/issues/1546,aragon/client,"['revert', 'replaced', 'help', 'button']","['revert', 'replac', 'help', 'button']"
Cache clearing without total storage/indexedDB wipe,1545,open,https://github.com/aragon/client/issues/1545,aragon/client,"['cache', 'clearing', 'without', 'total', 'storageindexeddb', 'wipe']","['cach', 'clear', 'without', 'total', 'storag', 'indexeddb', 'wipe']"
Replaced help button,1544,closed,https://github.com/aragon/client/issues/1544,aragon/client,"['replaced', 'help', 'button']","['replac', 'help', 'button']"
assignVested() causing GUI to hang and then crash,1543,open,https://github.com/aragon/client/issues/1543,aragon/client,"['assignvested', 'causing', 'gui', 'hang', 'crash']","['assignvest', 'caus', 'gui', 'hang', 'crash']"
known-organization file prepared for Enzyme,1542,open,https://github.com/aragon/client/issues/1542,aragon/client,"['knownorganization', 'file', 'prepared', 'enzyme']","['known', 'organ', 'file', 'prepar', 'enzym']"
Aragon Wrapper dependency updated,1541,open,https://github.com/aragon/client/issues/1541,aragon/client,"['aragon', 'wrapper', 'dependency', 'updated']","['aragon', 'wrapper', 'depend', 'updat']"
Martspace,1540,closed,https://github.com/aragon/client/issues/1540,aragon/client,['martspace'],['martspac']
add walletconnect wallet,1539,closed,https://github.com/aragon/client/issues/1539,aragon/client,"['add', 'walletconnect', 'wallet']","['add', 'walletconnect', 'wallet']"
"""removeChild"" su ""Node"" for DAO?",1538,open,https://github.com/aragon/client/issues/1538,aragon/client,"['removechild', 'su', 'node', 'dao']","['removechild', 'su', 'node', 'dao']"
wallets: added support for WalletConnect,1537,closed,https://github.com/aragon/client/issues/1537,aragon/client,"['wallet', 'added', 'support', 'walletconnect']","['wallet', 'ad', 'support', 'walletconnect']"
"""An unexpected error has occurred""",1536,closed,https://github.com/aragon/client/issues/1536,aragon/client,"['an', 'unexpected', 'error', 'occurred']","['an', 'unexpect', 'error', 'occur']"
"Tiny edit for ""name"" field on index.js",1535,closed,https://github.com/aragon/client/issues/1535,aragon/client,"['tiny', 'edit', 'name', 'field', 'indexjs']","['tini', 'edit', 'name', 'field', 'index', 'js']"
Update index.js,1534,closed,https://github.com/aragon/client/issues/1534,aragon/client,"['update', 'indexjs']","['updat', 'index', 'js']"
