issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Licensing issue,527,open,https://github.com/cosmos/ethermint-archive/issues/527,cosmos/ethermint-archive,"['licensing', 'issue']","['licens', 'issu']"
创建公共,526,open,https://github.com/cosmos/ethermint-archive/issues/526,cosmos/ethermint-archive,['创建公共'],['创建公共']
Node/docs,525,closed,https://github.com/cosmos/ethermint-archive/issues/525,cosmos/ethermint-archive,['nodedocs'],"['node', 'doc']"
v0.2.0,524,open,https://github.com/cosmos/ethermint-archive/issues/524,cosmos/ethermint-archive,['v020'],"['v0', '2', '0']"
Bump lodash,523,closed,https://github.com/cosmos/ethermint-archive/issues/523,cosmos/ethermint-archive,"['bump', 'lodash']","['bump', 'lodash']"
statedb to table tests,522,closed,https://github.com/cosmos/ethermint-archive/issues/522,cosmos/ethermint-archive,"['statedb', 'table', 'test']","['statedb', 'tabl', 'test']"
Justin/new,521,closed,https://github.com/cosmos/ethermint-archive/issues/521,cosmos/ethermint-archive,['justinnew'],"['justin', 'new']"
WIP: Fix AnteHandler gas consumption,520,closed,https://github.com/cosmos/ethermint-archive/issues/520,cosmos/ethermint-archive,"['wip', 'fix', 'antehandler', 'gas', 'consumption']","['wip', 'fix', 'antehandl', 'ga', 'consumpt']"
update readme,519,closed,https://github.com/cosmos/ethermint-archive/issues/519,cosmos/ethermint-archive,"['update', 'readme']","['updat', 'readm']"
Update README.md,518,open,https://github.com/cosmos/ethermint-archive/issues/518,cosmos/ethermint-archive,"['update', 'readmemd']","['updat', 'readm', 'md']"
webiste down,517,closed,https://github.com/cosmos/ethermint-archive/issues/517,cosmos/ethermint-archive,['webiste'],['webist']
Update Current State - Completed vs Current Work,516,open,https://github.com/cosmos/ethermint-archive/issues/516,cosmos/ethermint-archive,"['update', 'current', 'state', 'completed', 'v', 'current', 'work']","['updat', 'current', 'state', 'complet', 'vs', 'current', 'work']"
Fail running make test-import,515,closed,https://github.com/cosmos/ethermint-archive/issues/515,cosmos/ethermint-archive,"['fail', 'running', 'make', 'testimport']","['fail', 'run', 'make', 'test', 'import']"
Is there any develop plan about EVM and web3 api?,514,open,https://github.com/cosmos/ethermint-archive/issues/514,cosmos/ethermint-archive,"['is', 'develop', 'plan', 'evm', 'web3', 'api']","['is', 'develop', 'plan', 'evm', 'web3', 'api']"
Add chainsafe to readme,513,closed,https://github.com/cosmos/ethermint-archive/issues/513,cosmos/ethermint-archive,"['add', 'chainsafe', 'readme']","['add', 'chainsaf', 'readm']"
Daemon framework,512,closed,https://github.com/cosmos/ethermint-archive/issues/512,cosmos/ethermint-archive,"['daemon', 'framework']","['daemon', 'framework']"
Switch package management to go modules,511,closed,https://github.com/cosmos/ethermint-archive/issues/511,cosmos/ethermint-archive,"['switch', 'package', 'management', 'go', 'module']","['switch', 'packag', 'manag', 'go', 'modul']"
