issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
macOS binary was replaced in binaries.soliditylang.org,629,closed,https://github.com/crytic/echidna/issues/629,crytic/echidna,"['macos', 'binary', 'replaced', 'binariessoliditylangorg']","['maco', 'binari', 'replac', 'binari', 'soliditylang', 'org']"
Reworked mutators to be more efficient,628,open,https://github.com/crytic/echidna/issues/628,crytic/echidna,"['reworked', 'mutators', 'efficient']","['rework', 'mutat', 'effici']"
Coverage types refactor and added corpus size in UI,627,closed,https://github.com/crytic/echidna/issues/627,crytic/echidna,"['coverage', 'type', 'refactor', 'added', 'corpus', 'size', 'ui']","['coverag', 'type', 'refactor', 'ad', 'corpu', 'size', 'ui']"
Parse error on input while compiling with stack,626,closed,https://github.com/crytic/echidna/issues/626,crytic/echidna,"['parse', 'error', 'input', 'compiling', 'stack']","['pars', 'error', 'input', 'compil', 'stack']"
Add the config options to the cli ,625,open,https://github.com/crytic/echidna/issues/625,crytic/echidna,"['add', 'config', 'option', 'cli']","['add', 'config', 'option', 'cli']"
Added the number of frames as coverage information to record,624,open,https://github.com/crytic/echidna/issues/624,crytic/echidna,"['added', 'number', 'frame', 'coverage', 'information', 'record']","['ad', 'number', 'frame', 'coverag', 'inform', 'record']"
Bump default.nix to 1.7.0,623,closed,https://github.com/crytic/echidna/issues/623,crytic/echidna,"['bump', 'defaultnix', '170']","['bump', 'default', 'nix', '1', '7', '0']"
First step to refactor the Test type,622,closed,https://github.com/crytic/echidna/issues/622,crytic/echidna,"['first', 'step', 'refactor', 'test', 'type']","['first', 'step', 'refactor', 'test', 'type']"
Echidna 1.7.0,621,closed,https://github.com/crytic/echidna/issues/621,crytic/echidna,"['echidna', '170']","['echidna', '1', '7', '0']"
Coverage filenames now will include the current time to avoid overwritting,620,closed,https://github.com/crytic/echidna/issues/620,crytic/echidna,"['coverage', 'filename', 'include', 'current', 'time', 'avoid', 'overwritting']","['coverag', 'filenam', 'includ', 'current', 'time', 'avoid', 'overwrit']"
Readme improvements,619,closed,https://github.com/crytic/echidna/issues/619,crytic/echidna,"['readme', 'improvement']","['readm', 'improv']"
improve the interface and simplify some code in areas,618,closed,https://github.com/crytic/echidna/issues/618,crytic/echidna,"['improve', 'interface', 'simplify', 'code', 'area']","['improv', 'interfac', 'simplifi', 'code', 'area']"
Refact `Num a` on `MutationConsts`,617,closed,https://github.com/crytic/echidna/issues/617,crytic/echidna,"['refact', 'num', 'mutationconsts']","['refact', 'num', 'mutationconst']"
Refactor in Corpus.hs using a mutator function,616,closed,https://github.com/crytic/echidna/issues/616,crytic/echidna,"['refactor', 'corpushs', 'using', 'mutator', 'function']","['refactor', 'corpu', 'hs', 'use', 'mutat', 'function']"
Refactor and improve etheno support to be more useful,615,closed,https://github.com/crytic/echidna/issues/615,crytic/echidna,"['refactor', 'improve', 'etheno', 'support', 'useful']","['refactor', 'improv', 'etheno', 'support', 'use']"
Helpful error message when using wrong function signature for echidna property,614,open,https://github.com/crytic/echidna/issues/614,crytic/echidna,"['helpful', 'error', 'message', 'using', 'wrong', 'function', 'signature', 'echidna', 'property']","['help', 'error', 'messag', 'use', 'wrong', 'function', 'signatur', 'echidna', 'properti']"
uppercase True/False in function names seem to get lowercased,613,closed,https://github.com/crytic/echidna/issues/613,crytic/echidna,"['uppercase', 'truefalse', 'function', 'name', 'seem', 'get', 'lowercased']","['uppercas', 'true', 'fals', 'function', 'name', 'seem', 'get', 'lowercas']"
Nix workflow,612,closed,https://github.com/crytic/echidna/issues/612,crytic/echidna,"['nix', 'workflow']","['nix', 'workflow']"
Updated README to show an example of covered source code,611,closed,https://github.com/crytic/echidna/issues/611,crytic/echidna,"['updated', 'readme', 'show', 'example', 'covered', 'source', 'code']","['updat', 'readm', 'show', 'exampl', 'cover', 'sourc', 'code']"
Type refactoring for prepareContract campaign and ui,610,open,https://github.com/crytic/echidna/issues/610,crytic/echidna,"['type', 'refactoring', 'preparecontract', 'campaign', 'ui']","['type', 'refactor', 'preparecontract', 'campaign', 'ui']"
Update hevm to 0.44.1,609,open,https://github.com/crytic/echidna/issues/609,crytic/echidna,"['update', 'hevm', '0441']","['updat', 'hevm', '0', '44', '1']"
Pin nixpkgs and remove slither workaround,608,closed,https://github.com/crytic/echidna/issues/608,crytic/echidna,"['pin', 'nixpkgs', 'remove', 'slither', 'workaround']","['pin', 'nixpkg', 'remov', 'slither', 'workaround']"
Change Ubuntu release to be tar.gz which simply expands to echidna-test,607,closed,https://github.com/crytic/echidna/issues/607,crytic/echidna,"['change', 'ubuntu', 'release', 'targz', 'simply', 'expands', 'echidnatest']","['chang', 'ubuntu', 'releas', 'tar', 'gz', 'simpli', 'expand', 'echidna', 'test']"
Remove pragma version to fix CI,606,closed,https://github.com/crytic/echidna/issues/606,crytic/echidna,"['remove', 'pragma', 'version', 'fix', 'ci']","['remov', 'pragma', 'version', 'fix', 'ci']"
Enable use of coverage by default,605,closed,https://github.com/crytic/echidna/issues/605,crytic/echidna,"['enable', 'use', 'coverage', 'default']","['enabl', 'use', 'coverag', 'default']"
Update nix to run test suite without any additional setup,604,closed,https://github.com/crytic/echidna/issues/604,crytic/echidna,"['update', 'nix', 'run', 'test', 'suite', 'without', 'additional', 'setup']","['updat', 'nix', 'run', 'test', 'suit', 'without', 'addit', 'setup']"
Update nix build for 1.6.1,603,closed,https://github.com/crytic/echidna/issues/603,crytic/echidna,"['update', 'nix', 'build', '161']","['updat', 'nix', 'build', '1', '6', '1']"
Fix hlint issue after last merge,602,closed,https://github.com/crytic/echidna/issues/602,crytic/echidna,"['fix', 'hlint', 'issue', 'last', 'merge']","['fix', 'hlint', 'issu', 'last', 'merg']"
Assertions are not detected in internal transactions,601,open,https://github.com/crytic/echidna/issues/601,crytic/echidna,"['assertions', 'detected', 'internal', 'transaction']","['assert', 'detect', 'intern', 'transact']"
Echidna 1.6.1 release,600,closed,https://github.com/crytic/echidna/issues/600,crytic/echidna,"['echidna', '161', 'release']","['echidna', '1', '6', '1', 'releas']"
Rethink how to run the basic_multicontract test,599,open,https://github.com/crytic/echidna/issues/599,crytic/echidna,"['rethink', 'run', 'basic_multicontract', 'test']","['rethink', 'run', 'basic_multicontract', 'test']"
dev-auto: Improve etheno error message ,598,open,https://github.com/crytic/echidna/issues/598,crytic/echidna,"['devauto', 'improve', 'etheno', 'error', 'message']","['dev', 'auto', 'improv', 'etheno', 'error', 'messag']"
