issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Fix favicon by adding .ico file containing UBQ logo,360,closed,https://github.com/cubedro/eth-netstats/issues/360,cubedro/eth-netstats,"['fix', 'favicon', 'adding', 'ico', 'file', 'containing', 'ubq', 'logo']","['fix', 'favicon', 'ad', 'ico', 'file', 'contain', 'ubq', 'logo']"
Bump lodash from 3.10.1 to 4.17.19,359,open,https://github.com/cubedro/eth-netstats/issues/359,cubedro/eth-netstats,"['bump', 'lodash', '3101', '41719']","['bump', 'lodash', '3', '10', '1', '4', '17', '19']"
Eth netstat uses minimal-icons.,358,open,https://github.com/cubedro/eth-netstats/issues/358,cubedro/eth-netstats,"['eth', 'netstat', 'us', 'minimalicons']","['eth', 'netstat', 'use', 'minim', 'icon']"
Eth-netstats in not installed,357,open,https://github.com/cubedro/eth-netstats/issues/357,cubedro/eth-netstats,"['ethnetstats', 'installed']","['eth', 'netstat', 'instal']"
TypeError: Cannot read property 'height' of undefined,356,open,https://github.com/cubedro/eth-netstats/issues/356,cubedro/eth-netstats,"['typeerror', 'can', 'read', 'property', 'height', 'undefined']","['typeerror', 'can', 'read', 'properti', 'height', 'undefin']"
accumulating JS errors in Chrome console,355,open,https://github.com/cubedro/eth-netstats/issues/355,cubedro/eth-netstats,"['accumulating', 'js', 'error', 'chrome', 'console']","['accumul', 'js', 'error', 'chrome', 'consol']"
"my running nodes in docker containers does not appear in eth-netstats interface, the api returns web3 connection failed",354,open,https://github.com/cubedro/eth-netstats/issues/354,cubedro/eth-netstats,"['running', 'node', 'docker', 'container', 'appear', 'ethnetstats', 'interface', 'api', 'return', 'web3', 'connection', 'failed']","['run', 'node', 'docker', 'contain', 'appear', 'eth', 'netstat', 'interfac', 'api', 'return', 'web3', 'connect', 'fail']"
Bump ws from 1.1.5 to 7.2.0,353,open,https://github.com/cubedro/eth-netstats/issues/353,cubedro/eth-netstats,"['bump', 'w', '115', '720']","['bump', 'ws', '1', '1', '5', '7', '2', '0']"
Bump debug from 2.2.0 to 4.1.1,352,open,https://github.com/cubedro/eth-netstats/issues/352,cubedro/eth-netstats,"['bump', 'debug', '220', '411']","['bump', 'debug', '2', '2', '0', '4', '1', '1']"
Bump semver from 4.1.0 to 4.3.2 in /web-app/.meteor/local/build/programs/server,351,open,https://github.com/cubedro/eth-netstats/issues/351,cubedro/eth-netstats,"['bump', 'semver', '410', '432', 'webappmeteorlocalbuildprogramsserver']","['bump', 'semver', '4', '1', '0', '4', '3', '2', 'web', 'app', 'meteor', 'local', 'build', 'program', 'server']"
Bump lodash from 3.10.1 to 4.17.15,350,closed,https://github.com/cubedro/eth-netstats/issues/350,cubedro/eth-netstats,"['bump', 'lodash', '3101', '41715']","['bump', 'lodash', '3', '10', '1', '4', '17', '15']"
Best block is ahead of time,348,closed,https://github.com/cubedro/eth-netstats/issues/348,cubedro/eth-netstats,"['best', 'block', 'ahead', 'time']","['best', 'block', 'ahead', 'time']"
Empty response from server,347,closed,https://github.com/cubedro/eth-netstats/issues/347,cubedro/eth-netstats,"['empty', 'response', 'server']","['empti', 'respons', 'server']"
Create Dockerfile,346,open,https://github.com/cubedro/eth-netstats/issues/346,cubedro/eth-netstats,"['create', 'dockerfile']","['creat', 'dockerfil']"
eth-netstats statistics is not correct,345,closed,https://github.com/cubedro/eth-netstats/issues/345,cubedro/eth-netstats,"['ethnetstats', 'statistic', 'correct']","['eth', 'netstat', 'statist', 'correct']"
Fix README titles ,344,closed,https://github.com/cubedro/eth-netstats/issues/344,cubedro/eth-netstats,"['fix', 'readme', 'title']","['fix', 'readm', 'titl']"
Added changes from karalabe fork,343,closed,https://github.com/cubedro/eth-netstats/issues/343,cubedro/eth-netstats,"['added', 'change', 'karalabe', 'fork']","['ad', 'chang', 'karalab', 'fork']"
unable to use eth-netstats along with --ethstats in geth,342,open,https://github.com/cubedro/eth-netstats/issues/342,cubedro/eth-netstats,"['unable', 'use', 'ethnetstats', 'along', 'ethstats', 'geth']","['unabl', 'use', 'eth', 'netstat', 'along', 'ethstat', 'geth']"
