issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Add thread unsafe set constructor with given elements,76,open,https://github.com/deckarep/golang-set/issues/76,deckarep/golang-set,"['add', 'thread', 'unsafe', 'set', 'constructor', 'given', 'element']","['add', 'thread', 'unsaf', 'set', 'constructor', 'given', 'element']"
[Question] Generic type,75,closed,https://github.com/deckarep/golang-set/issues/75,deckarep/golang-set,"['question', 'generic', 'type']","['question', 'gener', 'type']"
feat: improve add performance,74,open,https://github.com/deckarep/golang-set/issues/74,deckarep/golang-set,"['feat', 'improve', 'add', 'performance']","['feat', 'improv', 'add', 'perform']"
Travis-ci: added support for ppc64le and updated go versions 1.14 & 1.15,73,closed,https://github.com/deckarep/golang-set/issues/73,deckarep/golang-set,"['travisci', 'added', 'support', 'ppc64le', 'updated', 'go', 'version', '114', '115']","['travi', 'ci', 'ad', 'support', 'ppc64le', 'updat', 'go', 'version', '1', '14', '1', '15']"
Accept arbitrary type slices to NewSetFromSlice methods,72,open,https://github.com/deckarep/golang-set/issues/72,deckarep/golang-set,"['accept', 'arbitrary', 'type', 'slice', 'newsetfromslice', 'method']","['accept', 'arbitrari', 'type', 'slice', 'newsetfromslic', 'method']"
subsets of size k,71,open,https://github.com/deckarep/golang-set/issues/71,deckarep/golang-set,"['subset', 'size', 'k']","['subset', 'size', 'k']"
Helpers to transform between types,70,open,https://github.com/deckarep/golang-set/issues/70,deckarep/golang-set,"['helpers', 'transform', 'type']","['helper', 'transform', 'type']"
Add Len() to get  the number of all  Set members,69,closed,https://github.com/deckarep/golang-set/issues/69,deckarep/golang-set,"['add', 'len', 'get', 'number', 'set', 'member']","['add', 'len', 'get', 'number', 'set', 'member']"
Feature Request: TOML Serialization,68,open,https://github.com/deckarep/golang-set/issues/68,deckarep/golang-set,"['feature', 'request', 'toml', 'serialization']","['featur', 'request', 'toml', 'serial']"
Add Ethereum address to FUNDING.yml,67,closed,https://github.com/deckarep/golang-set/issues/67,deckarep/golang-set,"['add', 'ethereum', 'address', 'fundingyml']","['add', 'ethereum', 'address', 'fund', 'yml']"
