issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Bump elliptic from 6.5.3 to 6.5.4 in /ui,310,open,https://github.com/district0x/ethlance/issues/310,district0x/ethlance,"['bump', 'elliptic', '653', '654', 'ui']","['bump', 'ellipt', '6', '5', '3', '6', '5', '4', 'ui']"
Bump elliptic from 6.5.3 to 6.5.4,309,open,https://github.com/district0x/ethlance/issues/309,district0x/ethlance,"['bump', 'elliptic', '653', '654']","['bump', 'ellipt', '6', '5', '3', '6', '5', '4']"
"Namespace ""react"" is not available",308,open,https://github.com/district0x/ethlance/issues/308,district0x/ethlance,"['namespace', 'react', 'available']","['namespac', 'react', 'avail']"
Show real data on /user/profile page,307,open,https://github.com/district0x/ethlance/issues/307,district0x/ethlance,"['show', 'real', 'data', 'userprofile', 'page']","['show', 'real', 'data', 'user', 'profil', 'page']"
Jobs list won't load,306,open,https://github.com/district0x/ethlance/issues/306,district0x/ethlance,"['jobs', 'list', 'wont', 'load']","['job', 'list', 'load']"
Bump axios from 0.19.2 to 0.21.1 in /server,305,open,https://github.com/district0x/ethlance/issues/305,district0x/ethlance,"['bump', 'axios', '0192', '0211', 'server']","['bump', 'axio', '0', '19', '2', '0', '21', '1', 'server']"
Bump axios from 0.19.0 to 0.21.1 in /ui,304,open,https://github.com/district0x/ethlance/issues/304,district0x/ethlance,"['bump', 'axios', '0190', '0211', 'ui']","['bump', 'axio', '0', '19', '0', '0', '21', '1', 'ui']"
Add diagram showing components involved in dev workflow,303,closed,https://github.com/district0x/ethlance/issues/303,district0x/ethlance,"['add', 'diagram', 'showing', 'component', 'involved', 'dev', 'workflow']","['add', 'diagram', 'show', 'compon', 'involv', 'dev', 'workflow']"
Fix sign up forms,302,closed,https://github.com/district0x/ethlance/issues/302,district0x/ethlance,"['fix', 'sign', 'form']","['fix', 'sign', 'form']"
Cleanup some code to make Linter happy,301,closed,https://github.com/district0x/ethlance/issues/301,district0x/ethlance,"['cleanup', 'code', 'make', 'linter', 'happy']","['cleanup', 'code', 'make', 'linter', 'happi']"
Code cleanup linter errors,300,closed,https://github.com/district0x/ethlance/issues/300,district0x/ethlance,"['code', 'cleanup', 'linter', 'error']","['code', 'cleanup', 'linter', 'error']"
Fix Sign Up Forms,299,closed,https://github.com/district0x/ethlance/issues/299,district0x/ethlance,"['fix', 'sign', 'up', 'forms']","['fix', 'sign', 'up', 'form']"
Update package.lock,298,closed,https://github.com/district0x/ethlance/issues/298,district0x/ethlance,"['update', 'packagelock']","['updat', 'packag', 'lock']"
Improve docs and getting started for new devs,297,closed,https://github.com/district0x/ethlance/issues/297,district0x/ethlance,"['improve', 'doc', 'getting', 'started', 'new', 'devs']","['improv', 'doc', 'get', 'start', 'new', 'dev']"
Fix/test suite,296,closed,https://github.com/district0x/ethlance/issues/296,district0x/ethlance,"['fixtest', 'suite']","['fix', 'test', 'suit']"
Bump apollo-server-express from 2.12.0 to 2.14.2 in /server,295,open,https://github.com/district0x/ethlance/issues/295,district0x/ethlance,"['bump', 'apolloserverexpress', '2120', '2142', 'server']","['bump', 'apollo', 'server', 'express', '2', '12', '0', '2', '14', '2', 'server']"
