issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
build(deps-dev): bump eslint from 6.8.0 to 7.22.0 in /site,2474,open,https://github.com/embarklabs/embark/issues/2474,embarklabs/embark,"['builddepsdev', 'bump', 'eslint', '680', '7220', 'site']","['build', 'dep', 'dev', 'bump', 'eslint', '6', '8', '0', '7', '22', '0', 'site']"
build(deps): [security] bump yargs-parser from 5.0.0 to 5.0.1 in /site,2473,open,https://github.com/embarklabs/embark/issues/2473,embarklabs/embark,"['builddeps', 'security', 'bump', 'yargsparser', '500', '501', 'site']","['build', 'dep', 'secur', 'bump', 'yarg', 'parser', '5', '0', '0', '5', '0', '1', 'site']"
build(deps): [security] bump pug-code-gen from 2.0.2 to 2.0.3 in /site,2472,open,https://github.com/embarklabs/embark/issues/2472,embarklabs/embark,"['builddeps', 'security', 'bump', 'pugcodegen', '202', '203', 'site']","['build', 'dep', 'secur', 'bump', 'pug', 'code', 'gen', '2', '0', '2', '2', '0', '3', 'site']"
build(deps-dev): bump eslint from 6.8.0 to 7.21.0 in /site,2471,closed,https://github.com/embarklabs/embark/issues/2471,embarklabs/embark,"['builddepsdev', 'bump', 'eslint', '680', '7210', 'site']","['build', 'dep', 'dev', 'bump', 'eslint', '6', '8', '0', '7', '21', '0', 'site']"
build(deps): bump hexo from 4.2.0 to 5.4.0 in /site,2470,open,https://github.com/embarklabs/embark/issues/2470,embarklabs/embark,"['builddeps', 'bump', 'hexo', '420', '540', 'site']","['build', 'dep', 'bump', 'hexo', '4', '2', '0', '5', '4', '0', 'site']"
build(deps): [security] bump lodash from 4.17.15 to 4.17.21 in /site,2469,open,https://github.com/embarklabs/embark/issues/2469,embarklabs/embark,"['builddeps', 'security', 'bump', 'lodash', '41715', '41721', 'site']","['build', 'dep', 'secur', 'bump', 'lodash', '4', '17', '15', '4', '17', '21', 'site']"
build(deps-dev): bump eslint from 6.8.0 to 7.20.0 in /site,2468,closed,https://github.com/embarklabs/embark/issues/2468,embarklabs/embark,"['builddepsdev', 'bump', 'eslint', '680', '7200', 'site']","['build', 'dep', 'dev', 'bump', 'eslint', '6', '8', '0', '7', '20', '0', 'site']"
build(deps): bump hexo-renderer-marked from 2.0.0 to 4.0.0 in /site,2467,open,https://github.com/embarklabs/embark/issues/2467,embarklabs/embark,"['builddeps', 'bump', 'hexorenderermarked', '200', '400', 'site']","['build', 'dep', 'bump', 'hexo', 'render', 'mark', '2', '0', '0', '4', '0', '0', 'site']"
build(deps): [security] bump nested-object-assign from 1.0.3 to 1.0.4,2466,open,https://github.com/embarklabs/embark/issues/2466,embarklabs/embark,"['builddeps', 'security', 'bump', 'nestedobjectassign', '103', '104']","['build', 'dep', 'secur', 'bump', 'nest', 'object', 'assign', '1', '0', '3', '1', '0', '4']"
build(deps-dev): bump eslint from 6.8.0 to 7.19.0 in /site,2465,closed,https://github.com/embarklabs/embark/issues/2465,embarklabs/embark,"['builddepsdev', 'bump', 'eslint', '680', '7190', 'site']","['build', 'dep', 'dev', 'bump', 'eslint', '6', '8', '0', '7', '19', '0', 'site']"
build(deps-dev): bump eslint from 6.8.0 to 7.18.0 in /site,2463,closed,https://github.com/embarklabs/embark/issues/2463,embarklabs/embark,"['builddepsdev', 'bump', 'eslint', '680', '7180', 'site']","['build', 'dep', 'dev', 'bump', 'eslint', '6', '8', '0', '7', '18', '0', 'site']"
Scripts are broken,2462,open,https://github.com/embarklabs/embark/issues/2462,embarklabs/embark,"['scripts', 'broken']","['script', 'broken']"
Add --force flag to embark build to force a redeploy of a smart contract,2461,open,https://github.com/embarklabs/embark/issues/2461,embarklabs/embark,"['add', 'force', 'flag', 'embark', 'build', 'force', 'redeploy', 'smart', 'contract']","['add', 'forc', 'flag', 'embark', 'build', 'forc', 'redeploy', 'smart', 'contract']"
