issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Nothing gets done with AMD and MESA,2234,open,https://github.com/ethereum-mining/ethminer/issues/2234,ethereum-mining/ethminer,"['nothing', 'get', 'done', 'amd', 'mesa']","['noth', 'get', 'done', 'amd', 'mesa']"
Error: Could not convert,2233,open,https://github.com/ethereum-mining/ethminer/issues/2233,ethereum-mining/ethminer,"['error', 'could', 'convert']","['error', 'could', 'convert']"
CMake build error,2232,open,https://github.com/ethereum-mining/ethminer/issues/2232,ethereum-mining/ethminer,"['cmake', 'build', 'error']","['cmake', 'build', 'error']"
compiling error on Ubuntu 18.04,2231,closed,https://github.com/ethereum-mining/ethminer/issues/2231,ethereum-mining/ethminer,"['compiling', 'error', 'ubuntu', '1804']","['compil', 'error', 'ubuntu', '18', '04']"
Hi~ Could u release a x64 uwp version? will test rig on Xbox series X use dev mode~,2230,closed,https://github.com/ethereum-mining/ethminer/issues/2230,ethereum-mining/ethminer,"['hi', 'could', 'u', 'release', 'x64', 'uwp', 'version', 'test', 'rig', 'xbox', 'series', 'x', 'use', 'dev', 'mode']","['hi', 'could', 'u', 'releas', 'x64', 'uwp', 'version', 'test', 'rig', 'xbox', 'seri', 'x', 'use', 'dev', 'mode']"
Worker thread exception running on linux RTX 3070,2229,open,https://github.com/ethereum-mining/ethminer/issues/2229,ethereum-mining/ethminer,"['worker', 'thread', 'exception', 'running', 'linux', 'rtx', '3070']","['worker', 'thread', 'except', 'run', 'linux', 'rtx', '3070']"
Update POOL_EXAMPLES_ETH.md,2228,open,https://github.com/ethereum-mining/ethminer/issues/2228,ethereum-mining/ethminer,"['update', 'pool_examples_ethmd']","['updat', 'pool_examples_eth', 'md']"
CUDA 11.0 mining speed slow 2.44Mh/s,2227,open,https://github.com/ethereum-mining/ethminer/issues/2227,ethereum-mining/ethminer,"['cuda', '110', 'mining', 'speed', 'slow', '244mhs']","['cuda', '11', '0', 'mine', 'speed', 'slow', '2', '44mh']"
Unable to Flush the old Jobs,2226,open,https://github.com/ethereum-mining/ethminer/issues/2226,ethereum-mining/ethminer,"['unable', 'flush', 'old', 'jobs']","['unabl', 'flush', 'old', 'job']"
./ethminer: /lib64/libc.so.6: version `GLIBC_2.18' not found (required by ./ethminer),2225,open,https://github.com/ethereum-mining/ethminer/issues/2225,ethereum-mining/ethminer,"['ethminer', 'lib64libcso6', 'version', 'glibc_218', 'found', 'required', 'ethminer']","['ethmin', 'lib64', 'libc', '6', 'version', 'glibc_2', '18', 'found', 'requir', 'ethmin']"
