issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
[ethers] Support hardhat contract factories,359,open,https://github.com/ethereum-ts/TypeChain/issues/359,ethereum-ts/TypeChain,"['ether', 'support', 'hardhat', 'contract', 'factory']","['ether', 'support', 'hardhat', 'contract', 'factori']"
Add example-hardhat-truffle,358,closed,https://github.com/ethereum-ts/TypeChain/issues/358,ethereum-ts/TypeChain,"['add', 'examplehardhattruffle']","['add', 'exampl', 'hardhat', 'truffl']"
[ethers] Add a flag NOT to generate full signatures when they are not needed,357,open,https://github.com/ethereum-ts/TypeChain/issues/357,ethereum-ts/TypeChain,"['ether', 'add', 'flag', 'not', 'generate', 'full', 'signature', 'needed']","['ether', 'add', 'flag', 'not', 'gener', 'full', 'signatur', 'need']"
export abi and bytecode,356,closed,https://github.com/ethereum-ts/TypeChain/issues/356,ethereum-ts/TypeChain,"['export', 'abi', 'bytecode']","['export', 'abi', 'bytecod']"
Version Packages,355,closed,https://github.com/ethereum-ts/TypeChain/issues/355,ethereum-ts/TypeChain,"['version', 'packages']","['version', 'packag']"
Fix code generation for events with tuples,354,closed,https://github.com/ethereum-ts/TypeChain/issues/354,ethereum-ts/TypeChain,"['fix', 'code', 'generation', 'event', 'tuples']","['fix', 'code', 'gener', 'event', 'tupl']"
[ethers-v5] Error generating code for events with tuples,353,closed,https://github.com/ethereum-ts/TypeChain/issues/353,ethereum-ts/TypeChain,"['ethersv5', 'error', 'generating', 'code', 'event', 'tuples']","['ether', 'v5', 'error', 'gener', 'code', 'event', 'tupl']"
add example-hardhat-truffle,352,closed,https://github.com/ethereum-ts/TypeChain/issues/352,ethereum-ts/TypeChain,"['add', 'examplehardhattruffle']","['add', 'exampl', 'hardhat', 'truffl']"
Coordinate ethers.js types improvements,351,open,https://github.com/ethereum-ts/TypeChain/issues/351,ethereum-ts/TypeChain,"['coordinate', 'ethersjs', 'type', 'improvement']","['coordin', 'ether', 'js', 'type', 'improv']"
Allowed passing `from` as part of the overrides to contract call,350,closed,https://github.com/ethereum-ts/TypeChain/issues/350,ethereum-ts/TypeChain,"['allowed', 'passing', 'part', 'override', 'contract', 'call']","['allow', 'pass', 'part', 'overrid', 'contract', 'call']"
