issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
"Revert ""EIP-3372 - Apply minor modifications to the Ethash algorithm to break current ASIC implementations (EIP-969 resubmission)""",3421,open,https://github.com/ethereum/EIPs/issues/3421,ethereum/EIPs,"['revert', 'eip3372', 'apply', 'minor', 'modification', 'ethash', 'algorithm', 'break', 'current', 'asic', 'implementation', 'eip969', 'resubmission']","['revert', 'eip', '3372', 'appli', 'minor', 'modif', 'ethash', 'algorithm', 'break', 'current', 'asic', 'implement', 'eip', '969', 'resubmiss']"
How to write Security Considerations ?,3420,open,https://github.com/ethereum/EIPs/issues/3420,ethereum/EIPs,"['how', 'write', 'security', 'considerations']","['how', 'write', 'secur', 'consider']"
Micah zoltu patch 1,3419,open,https://github.com/ethereum/EIPs/issues/3419,ethereum/EIPs,"['micah', 'zoltu', 'patch', '1']","['micah', 'zoltu', 'patch', '1']"
3074 two value operands,3418,closed,https://github.com/ethereum/EIPs/issues/3418,ethereum/EIPs,"['3074', 'two', 'value', 'operand']","['3074', 'two', 'valu', 'operand']"
Move EIP-3382 to review,3417,closed,https://github.com/ethereum/EIPs/issues/3417,ethereum/EIPs,"['move', 'eip3382', 'review']","['move', 'eip', '3382', 'review']"
EIP-3416: Median gas premium,3416,open,https://github.com/ethereum/EIPs/issues/3416,ethereum/EIPs,"['eip3416', 'median', 'gas', 'premium']","['eip', '3416', 'median', 'ga', 'premium']"
[EIP-3074] rationale: add value and expand self-sponsoring,3415,closed,https://github.com/ethereum/EIPs/issues/3415,ethereum/EIPs,"['eip3074', 'rationale', 'add', 'value', 'expand', 'selfsponsoring']","['eip', '3074', 'rational', 'add', 'valu', 'expand', 'self', 'sponsor']"
```suggestion,3414,closed,https://github.com/ethereum/EIPs/issues/3414,ethereum/EIPs,['suggestion'],['suggest']
Revamp motivation,3413,closed,https://github.com/ethereum/EIPs/issues/3413,ethereum/EIPs,"['revamp', 'motivation']","['revamp', 'motiv']"
3368: Fixes typo of `=` instead of `==`,3412,open,https://github.com/ethereum/EIPs/issues/3412,ethereum/EIPs,"['3368', 'fixes', 'typo', 'instead']","['3368', 'fix', 'typo', 'instead']"
Update EIP-3322 Opcodes to be compatible with EIP-3198,3411,closed,https://github.com/ethereum/EIPs/issues/3411,ethereum/EIPs,"['update', 'eip3322', 'opcodes', 'compatible', 'eip3198']","['updat', 'eip', '3322', 'opcod', 'compat', 'eip', '3198']"
Create EIP-3410.md,3410,open,https://github.com/ethereum/EIPs/issues/3410,ethereum/EIPs,"['create', 'eip3410md']","['creat', 'eip', '3410', 'md']"
"Revert ""add ende to spellcheck whitelist (#3359)""",3409,closed,https://github.com/ethereum/EIPs/issues/3409,ethereum/EIPs,"['revert', 'add', 'ende', 'spellcheck', 'whitelist', '3359']","['revert', 'add', 'end', 'spellcheck', 'whitelist', '3359']"
Feature Request: Strict Smart Contract Address Check.,3408,open,https://github.com/ethereum/EIPs/issues/3408,ethereum/EIPs,"['feature', 'request', 'strict', 'smart', 'contract', 'address', 'check']","['featur', 'request', 'strict', 'smart', 'contract', 'address', 'check']"
EIP 2981 improvements,3407,closed,https://github.com/ethereum/EIPs/issues/3407,ethereum/EIPs,"['eip', '2981', 'improvement']","['eip', '2981', 'improv']"
Update eip-3374.md,3406,closed,https://github.com/ethereum/EIPs/issues/3406,ethereum/EIPs,"['update', 'eip3374md']","['updat', 'eip', '3374', 'md']"
Update eip-3368.md,3405,closed,https://github.com/ethereum/EIPs/issues/3405,ethereum/EIPs,"['update', 'eip3368md']","['updat', 'eip', '3368', 'md']"
A proposed longer-term rework to SLOAD/SSTORE gas costs,3404,open,https://github.com/ethereum/EIPs/issues/3404,ethereum/EIPs,"['a', 'proposed', 'longerterm', 'rework', 'sloadsstore', 'gas', 'cost']","['a', 'propos', 'longer', 'term', 'rework', 'sload', 'sstore', 'ga', 'cost']"
EIP 3403: Partial removal of refunds,3403,closed,https://github.com/ethereum/EIPs/issues/3403,ethereum/EIPs,"['eip', '3403', 'partial', 'removal', 'refund']","['eip', '3403', 'partial', 'remov', 'refund']"
"#!/usr/bin/env bash domain=""https://api.aax.com"" path=""/v2/futures/position/openInterest?symbol=BTCUSDFP"" verb=""GET"" output=`curl -s -H ""accept: application/json;charset=UTF-8"" \ -X ${verb} ""${domain}${path}""` echo ""result: $output""",3402,closed,https://github.com/ethereum/EIPs/issues/3402,ethereum/EIPs,"['usrbinenv', 'bash', 'domainhttpsapiaaxcom', 'pathv2futurespositionopeninterestsymbolbtcusdfp', 'verbget', 'outputcurl', 'h', 'accept', 'applicationjsoncharsetutf8', 'x', 'verb', 'domainpath', 'echo', 'result', 'output']","['usr', 'bin', 'env', 'bash', 'domain', 'http', 'api', 'aax', 'com', 'path', 'v2', 'futur', 'posit', 'openinterest', 'symbol', 'btcusdfp', 'verb', 'get', 'output', 'curl', 'h', 'accept', 'applic', 'json', 'charset', 'utf', '8', 'x', 'verb', 'domain', 'path', 'echo', 'result', 'output']"
3368 fixes divide by zero error.,3401,closed,https://github.com/ethereum/EIPs/issues/3401,ethereum/EIPs,"['3368', 'fix', 'divide', 'zero', 'error']","['3368', 'fix', 'divid', 'zero', 'error']"
Some updates to 3074,3400,closed,https://github.com/ethereum/EIPs/issues/3400,ethereum/EIPs,"['some', 'update', '3074']","['some', 'updat', '3074']"
Jekyll theme only supports headings up to `###`,3399,open,https://github.com/ethereum/EIPs/issues/3399,ethereum/EIPs,"['jekyll', 'theme', 'support', 'heading']","['jekyl', 'theme', 'support', 'head']"
Move 3074 to review,3398,closed,https://github.com/ethereum/EIPs/issues/3398,ethereum/EIPs,"['move', '3074', 'review']","['move', '3074', 'review']"
add impl for eip3074,3397,closed,https://github.com/ethereum/EIPs/issues/3397,ethereum/EIPs,"['add', 'impl', 'eip3074']","['add', 'impl', 'eip3074']"
Add anchor tags to eip headings,3396,open,https://github.com/ethereum/EIPs/issues/3396,ethereum/EIPs,"['add', 'anchor', 'tag', 'eip', 'heading']","['add', 'anchor', 'tag', 'eip', 'head']"
EIP1559: remove spelling error / remove wrong reference implemenation,3395,open,https://github.com/ethereum/EIPs/issues/3395,ethereum/EIPs,"['eip1559', 'remove', 'spelling', 'error', 'remove', 'wrong', 'reference', 'implemenation']","['eip1559', 'remov', 'spell', 'error', 'remov', 'wrong', 'refer', 'implemen']"
Update eip-3374.md,3394,closed,https://github.com/ethereum/EIPs/issues/3394,ethereum/EIPs,"['update', 'eip3374md']","['updat', 'eip', '3374', 'md']"
Explicitly state intrinsic cost of eip-1559 txs,3393,closed,https://github.com/ethereum/EIPs/issues/3393,ethereum/EIPs,"['explicitly', 'state', 'intrinsic', 'cost', 'eip1559', 'tx']","['explicitli', 'state', 'intrins', 'cost', 'eip', '1559', 'tx']"
Fix Date and EIP-3382 ,3392,closed,https://github.com/ethereum/EIPs/issues/3392,ethereum/EIPs,"['fix', 'date', 'eip3382']","['fix', 'date', 'eip', '3382']"
Fix/eip2718 grammar,3391,closed,https://github.com/ethereum/EIPs/issues/3391,ethereum/EIPs,"['fixeip2718', 'grammar']","['fix', 'eip2718', 'grammar']"
Simplify EIP-3382,3390,closed,https://github.com/ethereum/EIPs/issues/3390,ethereum/EIPs,"['simplify', 'eip3382']","['simplifi', 'eip', '3382']"
EIP-3374 update code block,3389,closed,https://github.com/ethereum/EIPs/issues/3389,ethereum/EIPs,"['eip3374', 'update', 'code', 'block']","['eip', '3374', 'updat', 'code', 'block']"
Fix divide by zero,3388,closed,https://github.com/ethereum/EIPs/issues/3388,ethereum/EIPs,"['fix', 'divide', 'zero']","['fix', 'divid', 'zero']"
Style Guide for EIPs,3387,open,https://github.com/ethereum/EIPs/issues/3387,ethereum/EIPs,"['style', 'guide', 'eips']","['style', 'guid', 'eip']"
"Create EIP for a ERC-721, ERC-1155 to ERC-20 Wrapper (#3386)",3386,open,https://github.com/ethereum/EIPs/issues/3386,ethereum/EIPs,"['create', 'eip', 'erc721', 'erc1155', 'erc20', 'wrapper', '3386']","['creat', 'eip', 'erc', '721', 'erc', '1155', 'erc', '20', 'wrapper', '3386']"
[EIP-3074] Move to AUTHCALL version,3385,closed,https://github.com/ethereum/EIPs/issues/3385,ethereum/EIPs,"['eip3074', 'move', 'authcall', 'version']","['eip', '3074', 'move', 'authcal', 'version']"
ERC-721 and ERC-1155 to ERC-20 Wrapper,3384,open,https://github.com/ethereum/EIPs/issues/3384,ethereum/EIPs,"['erc721', 'erc1155', 'erc20', 'wrapper']","['erc', '721', 'erc', '1155', 'erc', '20', 'wrapper']"
Update eip-3368.md,3383,closed,https://github.com/ethereum/EIPs/issues/3383,ethereum/EIPs,"['update', 'eip3368md']","['updat', 'eip', '3368', 'md']"
Hardcoded Gas Limit,3382,closed,https://github.com/ethereum/EIPs/issues/3382,ethereum/EIPs,"['hardcoded', 'gas', 'limit']","['hardcod', 'ga', 'limit']"
Subroutines,3381,closed,https://github.com/ethereum/EIPs/issues/3381,ethereum/EIPs,['subroutines'],['subroutin']
Subroutines,3380,closed,https://github.com/ethereum/EIPs/issues/3380,ethereum/EIPs,['subroutines'],['subroutin']
Subroutines,3379,closed,https://github.com/ethereum/EIPs/issues/3379,ethereum/EIPs,['subroutines'],['subroutin']
Subroutines,3378,closed,https://github.com/ethereum/EIPs/issues/3378,ethereum/EIPs,['subroutines'],['subroutin']
Subroutines,3377,closed,https://github.com/ethereum/EIPs/issues/3377,ethereum/EIPs,['subroutines'],['subroutin']
Subroutines,3376,closed,https://github.com/ethereum/EIPs/issues/3376,ethereum/EIPs,['subroutines'],['subroutin']
Combine shared ownership & NFT divisibility,3375,open,https://github.com/ethereum/EIPs/issues/3375,ethereum/EIPs,"['combine', 'shared', 'ownership', 'nft', 'divisibility']","['combin', 'share', 'ownership', 'nft', 'divis']"
EIP-3374: Predictable Proof-of-Work (POW) Sunsetting,3374,closed,https://github.com/ethereum/EIPs/issues/3374,ethereum/EIPs,"['eip3374', 'predictable', 'proofofwork', 'pow', 'sunsetting']","['eip', '3374', 'predict', 'proof', 'work', 'pow', 'sunset']"
Updates EIP-2535,3373,closed,https://github.com/ethereum/EIPs/issues/3373,ethereum/EIPs,"['updates', 'eip2535']","['updat', 'eip', '2535']"
EIP-3372 - Apply minor modifications to the Ethash algorithm to break current ASIC implementations (EIP-969 resubmission),3372,closed,https://github.com/ethereum/EIPs/issues/3372,ethereum/EIPs,"['eip3372', 'apply', 'minor', 'modification', 'ethash', 'algorithm', 'break', 'current', 'asic', 'implementation', 'eip969', 'resubmission']","['eip', '3372', 'appli', 'minor', 'modif', 'ethash', 'algorithm', 'break', 'current', 'asic', 'implement', 'eip', '969', 'resubmiss']"
Eip submission,3370,closed,https://github.com/ethereum/EIPs/issues/3370,ethereum/EIPs,"['eip', 'submission']","['eip', 'submiss']"
EIP-681: move to Last Call,3369,open,https://github.com/ethereum/EIPs/issues/3369,ethereum/EIPs,"['eip681', 'move', 'last', 'call']","['eip', '681', 'move', 'last', 'call']"
Block Reward Increase with scheduled decrease to 1ETH BR - 3368.md,3368,closed,https://github.com/ethereum/EIPs/issues/3368,ethereum/EIPs,"['block', 'reward', 'increase', 'scheduled', 'decrease', '1eth', 'br', '3368md']","['block', 'reward', 'increas', 'schedul', 'decreas', '1eth', 'br', '3368', 'md']"
EIP2981,3367,closed,https://github.com/ethereum/EIPs/issues/3367,ethereum/EIPs,['eip2981'],['eip2981']
EIP-2315:  Simple Subroutines for the EVM ,3366,closed,https://github.com/ethereum/EIPs/issues/3366,ethereum/EIPs,"['eip2315', 'simple', 'subroutines', 'evm']","['eip', '2315', 'simpl', 'subroutin', 'evm']"
Pull request//full node,3365,closed,https://github.com/ethereum/EIPs/issues/3365,ethereum/EIPs,"['pull', 'requestfull', 'node']","['pull', 'request', 'full', 'node']"
Update eip-3338.md,3364,closed,https://github.com/ethereum/EIPs/issues/3364,ethereum/EIPs,"['update', 'eip3338md']","['updat', 'eip', '3338', 'md']"
"fix typo: ""SELFEDESTRUCT"" to ""SELFDESTRUCT"" for EIP-2929",3363,closed,https://github.com/ethereum/EIPs/issues/3363,ethereum/EIPs,"['fix', 'typo', 'selfedestruct', 'selfdestruct', 'eip2929']","['fix', 'typo', 'selfedestruct', 'selfdestruct', 'eip', '2929']"
EIP-3361: New JSON-RPC method for signing Ethereum messages (eth_signMessage),3361,open,https://github.com/ethereum/EIPs/issues/3361,ethereum/EIPs,"['eip3361', 'new', 'jsonrpc', 'method', 'signing', 'ethereum', 'message', 'eth_signmessage']","['eip', '3361', 'new', 'json', 'rpc', 'method', 'sign', 'ethereum', 'messag', 'eth_signmessag']"
EIP-2315: Simple Subroutines for the EVM,3360,closed,https://github.com/ethereum/EIPs/issues/3360,ethereum/EIPs,"['eip2315', 'simple', 'subroutines', 'evm']","['eip', '2315', 'simpl', 'subroutin', 'evm']"
Add ende to spell check whitelist,3359,closed,https://github.com/ethereum/EIPs/issues/3359,ethereum/EIPs,"['add', 'ende', 'spell', 'check', 'whitelist']","['add', 'end', 'spell', 'check', 'whitelist']"
EIP-1: disallow links to external domains,3358,open,https://github.com/ethereum/EIPs/issues/3358,ethereum/EIPs,"['eip1', 'disallow', 'link', 'external', 'domain']","['eip', '1', 'disallow', 'link', 'extern', 'domain']"
EIP-1: Remove duplicative EIP reference style note,3357,open,https://github.com/ethereum/EIPs/issues/3357,ethereum/EIPs,"['eip1', 'remove', 'duplicative', 'eip', 'reference', 'style', 'note']","['eip', '1', 'remov', 'duplic', 'eip', 'refer', 'style', 'note']"
Add Micah as author [EIP-3074],3356,closed,https://github.com/ethereum/EIPs/issues/3356,ethereum/EIPs,"['add', 'micah', 'author', 'eip3074']","['add', 'micah', 'author', 'eip', '3074']"
Update eip-2535.md,3355,closed,https://github.com/ethereum/EIPs/issues/3355,ethereum/EIPs,"['update', 'eip2535md']","['updat', 'eip', '2535', 'md']"
Remove depthLeft [EIP-3074],3354,closed,https://github.com/ethereum/EIPs/issues/3354,ethereum/EIPs,"['remove', 'depthleft', 'eip3074']","['remov', 'depthleft', 'eip', '3074']"
Sip 116 migration update,3353,closed,https://github.com/ethereum/EIPs/issues/3353,ethereum/EIPs,"['sip', '116', 'migration', 'update']","['sip', '116', 'migrat', 'updat']"
Fix header formatting; s/shall/must/g [EIP-3074],3352,closed,https://github.com/ethereum/EIPs/issues/3352,ethereum/EIPs,"['fix', 'header', 'formatting', 'sshallmustg', 'eip3074']","['fix', 'header', 'format', 'shall', 'must', 'g', 'eip', '3074']"
EIP Linting Bot,3351,open,https://github.com/ethereum/EIPs/issues/3351,ethereum/EIPs,"['eip', 'linting', 'bot']","['eip', 'lint', 'bot']"
backup PR (gonna delete and re-create to be cleaner),3350,closed,https://github.com/ethereum/EIPs/issues/3350,ethereum/EIPs,"['backup', 'pr', 'gon', 'na', 'delete', 'recreate', 'cleaner']","['backup', 'pr', 'gon', 'na', 'delet', 'creat', 'cleaner']"
Generalized interface for ERC721 wrapping and unwrapping,3349,closed,https://github.com/ethereum/EIPs/issues/3349,ethereum/EIPs,"['generalized', 'interface', 'erc721', 'wrapping', 'unwrapping']","['gener', 'interfac', 'erc721', 'wrap', 'unwrap']"
Add depthLeft [EIP-3074],3348,closed,https://github.com/ethereum/EIPs/issues/3348,ethereum/EIPs,"['add', 'depthleft', 'eip3074']","['add', 'depthleft', 'eip', '3074']"
Added @seibelj as contributor to EIP-2981,3347,closed,https://github.com/ethereum/EIPs/issues/3347,ethereum/EIPs,"['added', 'seibelj', 'contributor', 'eip2981']","['ad', 'seibelj', 'contributor', 'eip', '2981']"
Remove unnecessary signature fields; rename to CALLFROM,3346,closed,https://github.com/ethereum/EIPs/issues/3346,ethereum/EIPs,"['remove', 'unnecessary', 'signature', 'field', 'rename', 'callfrom']","['remov', 'unnecessari', 'signatur', 'field', 'renam', 'callfrom']"
ERC3345: Call Chaining Standard,3345,open,https://github.com/ethereum/EIPs/issues/3345,ethereum/EIPs,"['erc3345', 'call', 'chaining', 'standard']","['erc3345', 'call', 'chain', 'standard']"
"General clean-up, argument locations, and other small tweaks for EIP-3074",3344,closed,https://github.com/ethereum/EIPs/issues/3344,ethereum/EIPs,"['general', 'cleanup', 'argument', 'location', 'small', 'tweak', 'eip3074']","['gener', 'clean', 'argument', 'locat', 'small', 'tweak', 'eip', '3074']"
"Move EIP-2537 review, add new contributor",3343,closed,https://github.com/ethereum/EIPs/issues/3343,ethereum/EIPs,"['move', 'eip2537', 'review', 'add', 'new', 'contributor']","['move', 'eip', '2537', 'review', 'add', 'new', 'contributor']"
