issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Disable nightly builds,5921,closed,https://github.com/ethereum/aleth/issues/5921,ethereum/aleth,"['disable', 'nightly', 'build']","['disabl', 'nightli', 'build']"
[CVE-2020-26800] Stack based buffer overflow while parsing JSON file,5917,open,https://github.com/ethereum/aleth/issues/5917,ethereum/aleth,"['cve202026800', 'stack', 'based', 'buffer', 'overflow', 'parsing', 'json', 'file']","['cve', '2020', '26800', 'stack', 'base', 'buffer', 'overflow', 'pars', 'json', 'file']"
HashedExpression class needs null check or variable needs default value.,5916,open,https://github.com/ethereum/aleth/issues/5916,ethereum/aleth,"['hashedexpression', 'class', 'need', 'null', 'check', 'variable', 'need', 'default', 'value']","['hashedexpress', 'class', 'need', 'null', 'check', 'variabl', 'need', 'default', 'valu']"
Create stl.cpp,5915,closed,https://github.com/ethereum/aleth/issues/5915,ethereum/aleth,"['create', 'stlcpp']","['creat', 'stl', 'cpp']"
Ethereum Mining,5914,open,https://github.com/ethereum/aleth/issues/5914,ethereum/aleth,"['ethereum', 'mining']","['ethereum', 'mine']"
Issues,5913,closed,https://github.com/ethereum/aleth/issues/5913,ethereum/aleth,['issues'],['issu']
error: Expected equality of these values:   ethash::revision,5912,open,https://github.com/ethereum/aleth/issues/5912,ethereum/aleth,"['error', 'expected', 'equality', 'value', 'ethashrevision']","['error', 'expect', 'equal', 'valu', 'ethash', 'revis']"
cmake: undefined reference to 'pthread_create',5911,open,https://github.com/ethereum/aleth/issues/5911,ethereum/aleth,"['cmake', 'undefined', 'reference', 'pthread_create']","['cmake', 'undefin', 'refer', 'pthread_creat']"
Retesteth support,5909,open,https://github.com/ethereum/aleth/issues/5909,ethereum/aleth,"['retesteth', 'support']","['retesteth', 'support']"
"The process aleth-vm throws an OutofMemoryError when it detect an ""infinite loop""",5908,open,https://github.com/ethereum/aleth/issues/5908,ethereum/aleth,"['the', 'process', 'alethvm', 'throw', 'outofmemoryerror', 'detect', 'infinite', 'loop']","['the', 'process', 'aleth', 'vm', 'throw', 'outofmemoryerror', 'detect', 'infinit', 'loop']"
how to build for ARM64,5907,open,https://github.com/ethereum/aleth/issues/5907,ethereum/aleth,"['build', 'arm64']","['build', 'arm64']"
"""infinite loop"" test can cause potential denial of service",5906,open,https://github.com/ethereum/aleth/issues/5906,ethereum/aleth,"['infinite', 'loop', 'test', 'cause', 'potential', 'denial', 'service']","['infinit', 'loop', 'test', 'caus', 'potenti', 'denial', 'servic']"
"related to the gasUsed --- Different behaviours between ""aleth"" and ""go-ethereum"" for the opcode ""0xfd""",5905,open,https://github.com/ethereum/aleth/issues/5905,ethereum/aleth,"['related', 'gasused', 'different', 'behaviour', 'aleth', 'goethereum', 'opcode', '0xfd']","['relat', 'gasus', 'differ', 'behaviour', 'aleth', 'go', 'ethereum', 'opcod', '0xfd']"
a incidental block sync stuck bug,5904,open,https://github.com/ethereum/aleth/issues/5904,ethereum/aleth,"['incidental', 'block', 'sync', 'stuck', 'bug']","['incident', 'block', 'sync', 'stuck', 'bug']"
BlockHeader fields number & timestamp overflow while converting to RLP,5903,open,https://github.com/ethereum/aleth/issues/5903,ethereum/aleth,"['blockheader', 'field', 'number', 'timestamp', 'overflow', 'converting', 'rlp']","['blockhead', 'field', 'number', 'timestamp', 'overflow', 'convert', 'rlp']"
jsonrpcproxy.py resulting in wrong response,5902,open,https://github.com/ethereum/aleth/issues/5902,ethereum/aleth,"['jsonrpcproxypy', 'resulting', 'wrong', 'response']","['jsonrpcproxi', 'py', 'result', 'wrong', 'respons']"
cmake .. ERROR,5901,open,https://github.com/ethereum/aleth/issues/5901,ethereum/aleth,"['cmake', 'error']","['cmake', 'error']"
update tests,5900,closed,https://github.com/ethereum/aleth/issues/5900,ethereum/aleth,"['update', 'test']","['updat', 'test']"
why the aleth can run the odd length of bytecode?Is it a bug?,5898,open,https://github.com/ethereum/aleth/issues/5898,ethereum/aleth,"['aleth', 'run', 'odd', 'length', 'bytecodeis', 'bug']","['aleth', 'run', 'odd', 'length', 'bytecod', 'is', 'bug']"
Support forkid in ENR,5897,open,https://github.com/ethereum/aleth/issues/5897,ethereum/aleth,"['support', 'forkid', 'enr']","['support', 'forkid', 'enr']"
aleth + retesteth runtest issue 2,5896,closed,https://github.com/ethereum/aleth/issues/5896,ethereum/aleth,"['aleth', 'retesteth', 'runtest', 'issue', '2']","['aleth', 'retesteth', 'runtest', 'issu', '2']"
aleth + retesteth --filltests issue2,5895,closed,https://github.com/ethereum/aleth/issues/5895,ethereum/aleth,"['aleth', 'retesteth', 'filltests', 'issue2']","['aleth', 'retesteth', 'filltest', 'issue2']"
aleth + retesteth --filltests issue 1,5894,closed,https://github.com/ethereum/aleth/issues/5894,ethereum/aleth,"['aleth', 'retesteth', 'filltests', 'issue', '1']","['aleth', 'retesteth', 'filltest', 'issu', '1']"
testeth treat nullrlp as invalid,5893,closed,https://github.com/ethereum/aleth/issues/5893,ethereum/aleth,"['testeth', 'treat', 'nullrlp', 'invalid']","['testeth', 'treat', 'nullrlp', 'invalid']"
Race condition in key manager,5892,open,https://github.com/ethereum/aleth/issues/5892,ethereum/aleth,"['race', 'condition', 'key', 'manager']","['race', 'condit', 'key', 'manag']"
update tests,5891,closed,https://github.com/ethereum/aleth/issues/5891,ethereum/aleth,"['update', 'test']","['updat', 'test']"
aleth + retesteth issue 2,5890,closed,https://github.com/ethereum/aleth/issues/5890,ethereum/aleth,"['aleth', 'retesteth', 'issue', '2']","['aleth', 'retesteth', 'issu', '2']"
Add fork identifier into ENR,5889,open,https://github.com/ethereum/aleth/issues/5889,ethereum/aleth,"['add', 'fork', 'identifier', 'enr']","['add', 'fork', 'identifi', 'enr']"
Incorrect RETURNDATASIZE and RETURNDATACOPY implementation,5887,closed,https://github.com/ethereum/aleth/issues/5887,ethereum/aleth,"['incorrect', 'returndatasize', 'returndatacopy', 'implementation']","['incorrect', 'returndatas', 'returndatacopi', 'implement']"
aleth + retesteth issue 1,5886,open,https://github.com/ethereum/aleth/issues/5886,ethereum/aleth,"['aleth', 'retesteth', 'issue', '1']","['aleth', 'retesteth', 'issu', '1']"
update tests (retesteth generated + geth),5885,closed,https://github.com/ethereum/aleth/issues/5885,ethereum/aleth,"['update', 'test', 'retesteth', 'generated', 'geth']","['updat', 'test', 'retesteth', 'gener', 'geth']"
How to RLP encode a JSON String for a raw transaction?,5884,open,https://github.com/ethereum/aleth/issues/5884,ethereum/aleth,"['how', 'rlp', 'encode', 'json', 'string', 'raw', 'transaction']","['how', 'rlp', 'encod', 'json', 'string', 'raw', 'transact']"
Incorrect retry logic in OverlayDB::commit(),5883,open,https://github.com/ethereum/aleth/issues/5883,ethereum/aleth,"['incorrect', 'retry', 'logic', 'overlaydbcommit']","['incorrect', 'retri', 'logic', 'overlaydb', 'commit']"
fix typo,5882,closed,https://github.com/ethereum/aleth/issues/5882,ethereum/aleth,"['fix', 'typo']","['fix', 'typo']"
testclient issue with test_modifytimestamp,5881,open,https://github.com/ethereum/aleth/issues/5881,ethereum/aleth,"['testclient', 'issue', 'test_modifytimestamp']","['testclient', 'issu', 'test_modifytimestamp']"
Different behaviours between parity-evm and aleth-vm,5880,open,https://github.com/ethereum/aleth/issues/5880,ethereum/aleth,"['different', 'behaviour', 'parityevm', 'alethvm']","['differ', 'behaviour', 'pariti', 'evm', 'aleth', 'vm']"
EVMC gas refunds,5879,open,https://github.com/ethereum/aleth/issues/5879,ethereum/aleth,"['evmc', 'gas', 'refund']","['evmc', 'ga', 'refund']"
fix issue #5598 misleading output on import,5878,open,https://github.com/ethereum/aleth/issues/5878,ethereum/aleth,"['fix', 'issue', '5598', 'misleading', 'output', 'import']","['fix', 'issu', '5598', 'mislead', 'output', 'import']"
Is there a way to execute simple smart contract using Aleth source code?,5876,open,https://github.com/ethereum/aleth/issues/5876,ethereum/aleth,"['is', 'way', 'execute', 'simple', 'smart', 'contract', 'using', 'aleth', 'source', 'code']","['is', 'way', 'execut', 'simpl', 'smart', 'contract', 'use', 'aleth', 'sourc', 'code']"
Pass options to EVMC class constructor instead of using globally set options,5875,closed,https://github.com/ethereum/aleth/issues/5875,ethereum/aleth,"['pass', 'option', 'evmc', 'class', 'constructor', 'instead', 'using', 'globally', 'set', 'option']","['pass', 'option', 'evmc', 'class', 'constructor', 'instead', 'use', 'global', 'set', 'option']"
fatal error: evmc/evmc.h: No such file or directory,5874,closed,https://github.com/ethereum/aleth/issues/5874,ethereum/aleth,"['fatal', 'error', 'evmcevmch', 'no', 'file', 'directory']","['fatal', 'error', 'evmc', 'evmc', 'h', 'no', 'file', 'directori']"
Aleth dumps hure log and exists,5873,open,https://github.com/ethereum/aleth/issues/5873,ethereum/aleth,"['aleth', 'dump', 'hure', 'log', 'exists']","['aleth', 'dump', 'hure', 'log', 'exist']"
Extend cases when ClientTest::importRawBlock throws exception with a nested detailed error,5872,closed,https://github.com/ethereum/aleth/issues/5872,ethereum/aleth,"['extend', 'case', 'clienttestimportrawblock', 'throw', 'exception', 'nested', 'detailed', 'error']","['extend', 'case', 'clienttest', 'importrawblock', 'throw', 'except', 'nest', 'detail', 'error']"
ClientTest::importRawBlock throws exception with a nested detailed error,5871,closed,https://github.com/ethereum/aleth/issues/5871,ethereum/aleth,"['clienttestimportrawblock', 'throw', 'exception', 'nested', 'detailed', 'error']","['clienttest', 'importrawblock', 'throw', 'except', 'nest', 'detail', 'error']"
Snapshot download can fail because of uint256 overflow,5870,open,https://github.com/ethereum/aleth/issues/5870,ethereum/aleth,"['snapshot', 'download', 'fail', 'uint256', 'overflow']","['snapshot', 'download', 'fail', 'uint256', 'overflow']"
Snapshot download can fail because of exception,5869,open,https://github.com/ethereum/aleth/issues/5869,ethereum/aleth,"['snapshot', 'download', 'fail', 'exception']","['snapshot', 'download', 'fail', 'except']"
return importBlockFailed ImportResult in test_importRawBlock,5868,closed,https://github.com/ethereum/aleth/issues/5868,ethereum/aleth,"['return', 'importblockfailed', 'importresult', 'test_importrawblock']","['return', 'importblockfail', 'importresult', 'test_importrawblock']"
Add aleth-bootnode readme,5867,closed,https://github.com/ethereum/aleth/issues/5867,ethereum/aleth,"['add', 'alethbootnode', 'readme']","['add', 'aleth', 'bootnod', 'readm']"
Make RPC output same as Geth's for 2 RPC functions,5866,closed,https://github.com/ethereum/aleth/issues/5866,ethereum/aleth,"['make', 'rpc', 'output', 'geths', '2', 'rpc', 'function']","['make', 'rpc', 'output', 'geth', '2', 'rpc', 'function']"
Fix race condition which permanently pauses sync,5865,closed,https://github.com/ethereum/aleth/issues/5865,ethereum/aleth,"['fix', 'race', 'condition', 'permanently', 'pause', 'sync']","['fix', 'race', 'condit', 'perman', 'paus', 'sync']"
Allow submitting several transaction from the same sender,5864,closed,https://github.com/ethereum/aleth/issues/5864,ethereum/aleth,"['allow', 'submitting', 'several', 'transaction', 'sender']","['allow', 'submit', 'sever', 'transact', 'sender']"
Invalid transaction nonce when import transaction of the same origin,5863,closed,https://github.com/ethereum/aleth/issues/5863,ethereum/aleth,"['invalid', 'transaction', 'nonce', 'import', 'transaction', 'origin']","['invalid', 'transact', 'nonc', 'import', 'transact', 'origin']"
Aleth syncing restarts due to receiving (suspected) ETC block header,5862,open,https://github.com/ethereum/aleth/issues/5862,ethereum/aleth,"['aleth', 'syncing', 'restarts', 'due', 'receiving', 'suspected', 'etc', 'block', 'header']","['aleth', 'sync', 'restart', 'due', 'receiv', 'suspect', 'etc', 'block', 'header']"
"Aleth's databases should be stored in an ""Aleth"" subdirectory",5861,open,https://github.com/ethereum/aleth/issues/5861,ethereum/aleth,"['aleths', 'database', 'stored', 'aleth', 'subdirectory']","['aleth', 'databas', 'store', 'aleth', 'subdirectori']"
"Aleth's named pipe contains ""geth.ipc""",5860,closed,https://github.com/ethereum/aleth/issues/5860,ethereum/aleth,"['aleths', 'named', 'pipe', 'contains', 'gethipc']","['aleth', 'name', 'pipe', 'contain', 'geth', 'ipc']"
EIP-2384 Difficulty Bomb Delay / Muir Glacier fork,5859,closed,https://github.com/ethereum/aleth/issues/5859,ethereum/aleth,"['eip2384', 'difficulty', 'bomb', 'delay', 'muir', 'glacier', 'fork']","['eip', '2384', 'difficulti', 'bomb', 'delay', 'muir', 'glacier', 'fork']"
Update -h output in README,5858,closed,https://github.com/ethereum/aleth/issues/5858,ethereum/aleth,"['update', 'h', 'output', 'readme']","['updat', 'h', 'output', 'readm']"
Fix Windows build error in libscrypt,5857,closed,https://github.com/ethereum/aleth/issues/5857,ethereum/aleth,"['fix', 'windows', 'build', 'error', 'libscrypt']","['fix', 'window', 'build', 'error', 'libscrypt']"
Hexadecimal addresses without 0x in debug_accountRange result,5856,closed,https://github.com/ethereum/aleth/issues/5856,ethereum/aleth,"['hexadecimal', 'address', 'without', '0x', 'debug_accountrange', 'result']","['hexadecim', 'address', 'without', '0x', 'debug_accountrang', 'result']"
aleth-precompiles library,5855,open,https://github.com/ethereum/aleth/issues/5855,ethereum/aleth,"['alethprecompiles', 'library']","['aleth', 'precompil', 'librari']"
Upgrade EVMC to 7.1.0,5854,closed,https://github.com/ethereum/aleth/issues/5854,ethereum/aleth,"['upgrade', 'evmc', '710']","['upgrad', 'evmc', '7', '1', '0']"
Aleth logs 0 active peers despite importing blocks,5853,closed,https://github.com/ethereum/aleth/issues/5853,ethereum/aleth,"['aleth', 'log', '0', 'active', 'peer', 'despite', 'importing', 'block']","['aleth', 'log', '0', 'activ', 'peer', 'despit', 'import', 'block']"
Output original opcode instead of PUSHC/JUMPC/JUMPCI in VM trace,5852,closed,https://github.com/ethereum/aleth/issues/5852,ethereum/aleth,"['output', 'original', 'opcode', 'instead', 'pushcjumpcjumpci', 'vm', 'trace']","['output', 'origin', 'opcod', 'instead', 'pushc', 'jumpc', 'jumpci', 'vm', 'trace']"
Post body of onRoomAvailable handler to network thread,5851,closed,https://github.com/ethereum/aleth/issues/5851,ethereum/aleth,"['post', 'body', 'onroomavailable', 'handler', 'network', 'thread']","['post', 'bodi', 'onroomavail', 'handler', 'network', 'thread']"
Make accounts section optional in config,5850,closed,https://github.com/ethereum/aleth/issues/5850,ethereum/aleth,"['make', 'account', 'section', 'optional', 'config']","['make', 'account', 'section', 'option', 'config']"
Remove ChainParams default constructor,5849,closed,https://github.com/ethereum/aleth/issues/5849,ethereum/aleth,"['remove', 'chainparams', 'default', 'constructor']","['remov', 'chainparam', 'default', 'constructor']"
"Adding ""codeFile"" parameter into aleth-vm options",5848,closed,https://github.com/ethereum/aleth/issues/5848,ethereum/aleth,"['adding', 'codefile', 'parameter', 'alethvm', 'option']","['ad', 'codefil', 'paramet', 'aleth', 'vm', 'option']"
LegacyVM with optimizations reports incorrect opcodes in trace,5847,closed,https://github.com/ethereum/aleth/issues/5847,ethereum/aleth,"['legacyvm', 'optimization', 'report', 'incorrect', 'opcodes', 'trace']","['legacyvm', 'optim', 'report', 'incorrect', 'opcod', 'trace']"
Make depth and pc fields integer in standard trace JSON,5846,closed,https://github.com/ethereum/aleth/issues/5846,ethereum/aleth,"['make', 'depth', 'pc', 'field', 'integer', 'standard', 'trace', 'json']","['make', 'depth', 'pc', 'field', 'integ', 'standard', 'trace', 'json']"
"Don't output 'Test Case ""customTestSuite"":' in testeth --testfile mode",5845,closed,https://github.com/ethereum/aleth/issues/5845,ethereum/aleth,"['dont', 'output', 'test', 'case', 'customtestsuite', 'testeth', 'testfile', 'mode']","['don', 'output', 'test', 'case', 'customtestsuit', 'testeth', 'testfil', 'mode']"
