issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Altair tests - fix mixed up formats,2261,open,https://github.com/ethereum/eth2.0-specs/issues/2261,ethereum/eth2.0-specs,"['altair', 'test', 'fix', 'mixed', 'format']","['altair', 'test', 'fix', 'mix', 'format']"
Beacon chain changes missing from altair/beacon-chain.md,2260,open,https://github.com/ethereum/eth2.0-specs/issues/2260,ethereum/eth2.0-specs,"['beacon', 'chain', 'change', 'missing', 'altairbeaconchainmd']","['beacon', 'chain', 'chang', 'miss', 'altair', 'beacon', 'chain', 'md']"
Altair testing fork version fixes,2259,open,https://github.com/ethereum/eth2.0-specs/issues/2259,ethereum/eth2.0-specs,"['altair', 'testing', 'fork', 'version', 'fix']","['altair', 'test', 'fork', 'version', 'fix']"
reduce justification and finalization Altair diff,2258,open,https://github.com/ethereum/eth2.0-specs/issues/2258,ethereum/eth2.0-specs,"['reduce', 'justification', 'finalization', 'altair', 'diff']","['reduc', 'justif', 'final', 'altair', 'diff']"
Pure consensus upgrade version of the merge,2257,open,https://github.com/ethereum/eth2.0-specs/issues/2257,ethereum/eth2.0-specs,"['pure', 'consensus', 'upgrade', 'version', 'merge']","['pure', 'consensu', 'upgrad', 'version', 'merg']"
Executable Altair validator guide,2256,closed,https://github.com/ethereum/eth2.0-specs/issues/2256,ethereum/eth2.0-specs,"['executable', 'altair', 'validator', 'guide']","['execut', 'altair', 'valid', 'guid']"
Use different name for constant for sync committee aggregates,2255,open,https://github.com/ethereum/eth2.0-specs/issues/2255,ethereum/eth2.0-specs,"['use', 'different', 'name', 'constant', 'sync', 'committee', 'aggregate']","['use', 'differ', 'name', 'constant', 'sync', 'committe', 'aggreg']"
phase1 rebased,2254,open,https://github.com/ethereum/eth2.0-specs/issues/2254,ethereum/eth2.0-specs,"['phase1', 'rebased']","['phase1', 'rebas']"
backport generator fixes to dev,2253,open,https://github.com/ethereum/eth2.0-specs/issues/2253,ethereum/eth2.0-specs,"['backport', 'generator', 'fix', 'dev']","['backport', 'gener', 'fix', 'dev']"
fix v1.1.0-alpha.1 test generators,2252,closed,https://github.com/ethereum/eth2.0-specs/issues/2252,ethereum/eth2.0-specs,"['fix', 'v110alpha1', 'test', 'generator']","['fix', 'v1', '1', '0', 'alpha', '1', 'test', 'gener']"
Organize phase 0 validator guide type definitions,2251,closed,https://github.com/ethereum/eth2.0-specs/issues/2251,ethereum/eth2.0-specs,"['organize', 'phase', '0', 'validator', 'guide', 'type', 'definition']","['organ', 'phase', '0', 'valid', 'guid', 'type', 'definit']"
Rename `sync-protocol.md` to `light-client-sync.md` and executable Altair validator guide,2250,closed,https://github.com/ethereum/eth2.0-specs/issues/2250,ethereum/eth2.0-specs,"['rename', 'syncprotocolmd', 'lightclientsyncmd', 'executable', 'altair', 'validator', 'guide']","['renam', 'sync', 'protocol', 'md', 'light', 'client', 'sync', 'md', 'execut', 'altair', 'valid', 'guid']"
bump version.txt to 1.1.0-alpha.1,2249,closed,https://github.com/ethereum/eth2.0-specs/issues/2249,ethereum/eth2.0-specs,"['bump', 'versiontxt', '110alpha1']","['bump', 'version', 'txt', '1', '1', '0', 'alpha', '1']"
Fix list indentation,2248,open,https://github.com/ethereum/eth2.0-specs/issues/2248,ethereum/eth2.0-specs,"['fix', 'list', 'indentation']","['fix', 'list', 'indent']"
Enhance gen_runner error handler + check with `INCOMPLETE` temporary file,2247,closed,https://github.com/ethereum/eth2.0-specs/issues/2247,ethereum/eth2.0-specs,"['enhance', 'gen_runner', 'error', 'handler', 'check', 'incomplete', 'temporary', 'file']","['enhanc', 'gen_runn', 'error', 'handler', 'check', 'incomplet', 'temporari', 'file']"
refactor sync committee rewards,2246,closed,https://github.com/ethereum/eth2.0-specs/issues/2246,ethereum/eth2.0-specs,"['refactor', 'sync', 'committee', 'reward']","['refactor', 'sync', 'committe', 'reward']"
Enhance gen_runner error handler,2245,closed,https://github.com/ethereum/eth2.0-specs/issues/2245,ethereum/eth2.0-specs,"['enhance', 'gen_runner', 'error', 'handler']","['enhanc', 'gen_runn', 'error', 'handler']"
Altair P2P,2244,closed,https://github.com/ethereum/eth2.0-specs/issues/2244,ethereum/eth2.0-specs,"['altair', 'p2p']","['altair', 'p2p']"
fix altair test generators,2243,closed,https://github.com/ethereum/eth2.0-specs/issues/2243,ethereum/eth2.0-specs,"['fix', 'altair', 'test', 'generator']","['fix', 'altair', 'test', 'gener']"
Define SyncAggregate to bundle sync committee bits and signature,2242,closed,https://github.com/ethereum/eth2.0-specs/issues/2242,ethereum/eth2.0-specs,"['define', 'syncaggregate', 'bundle', 'sync', 'committee', 'bit', 'signature']","['defin', 'syncaggreg', 'bundl', 'sync', 'committe', 'bit', 'signatur']"
suffix ALTAIR on update constants,2241,closed,https://github.com/ethereum/eth2.0-specs/issues/2241,ethereum/eth2.0-specs,"['suffix', 'altair', 'update', 'constant']","['suffix', 'altair', 'updat', 'constant']"
Enable Altair genesis tests + rename `SpecLightclient` -> `SpecAltair` + disable too slow test,2240,closed,https://github.com/ethereum/eth2.0-specs/issues/2240,ethereum/eth2.0-specs,"['enable', 'altair', 'genesis', 'test', 'rename', 'speclightclient', 'specaltair', 'disable', 'slow', 'test']","['enabl', 'altair', 'genesi', 'test', 'renam', 'speclightcli', 'specaltair', 'disabl', 'slow', 'test']"
Fix `NEXT_SYNC_COMMITTEE_INDEX` (leftover of #2236),2239,closed,https://github.com/ethereum/eth2.0-specs/issues/2239,ethereum/eth2.0-specs,"['fix', 'next_sync_committee_index', 'leftover', '2236']","['fix', 'next_sync_committee_index', 'leftov', '2236']"
Minor formatting fix,2238,closed,https://github.com/ethereum/eth2.0-specs/issues/2238,ethereum/eth2.0-specs,"['minor', 'formatting', 'fix']","['minor', 'format', 'fix']"
[minor] Fix missing --cov-report,2237,closed,https://github.com/ethereum/eth2.0-specs/issues/2237,ethereum/eth2.0-specs,"['minor', 'fix', 'missing', 'covreport']","['minor', 'fix', 'miss', 'cov', 'report']"
Altair cosmetic cleanups plus a couple substantive changes,2236,closed,https://github.com/ethereum/eth2.0-specs/issues/2236,ethereum/eth2.0-specs,"['altair', 'cosmetic', 'cleanup', 'plus', 'couple', 'substantive', 'change']","['altair', 'cosmet', 'cleanup', 'plu', 'coupl', 'substant', 'chang']"
Altair in description and titles,2235,closed,https://github.com/ethereum/eth2.0-specs/issues/2235,ethereum/eth2.0-specs,"['altair', 'description', 'title']","['altair', 'descript', 'titl']"
[minor] Fix some leftover from #2097 (ssz-snappy),2234,closed,https://github.com/ethereum/eth2.0-specs/issues/2234,ethereum/eth2.0-specs,"['minor', 'fix', 'leftover', '2097', 'sszsnappy']","['minor', 'fix', 'leftov', '2097', 'ssz', 'snappi']"
Update Altair config files,2232,closed,https://github.com/ethereum/eth2.0-specs/issues/2232,ethereum/eth2.0-specs,"['update', 'altair', 'config', 'file']","['updat', 'altair', 'config', 'file']"
Consider renaming ALTAIR_* constants,2231,closed,https://github.com/ethereum/eth2.0-specs/issues/2231,ethereum/eth2.0-specs,"['consider', 'renaming', 'altair_', 'constant']","['consid', 'renam', 'altair_', 'constant']"
Altair pre-release v1.1.0-alpha.1,2230,closed,https://github.com/ethereum/eth2.0-specs/issues/2230,ethereum/eth2.0-specs,"['altair', 'prerelease', 'v110alpha1']","['altair', 'pre', 'releas', 'v1', '1', '0', 'alpha', '1']"
[WIP] The Merge,2229,open,https://github.com/ethereum/eth2.0-specs/issues/2229,ethereum/eth2.0-specs,"['wip', 'the', 'merge']","['wip', 'the', 'merg']"
"Rename ""HF1""/""LIGHTCLIENT_PATCH"" to Altair",2228,closed,https://github.com/ethereum/eth2.0-specs/issues/2228,ethereum/eth2.0-specs,"['rename', 'hf1lightclient_patch', 'altair']","['renam', 'hf1', 'lightclient_patch', 'altair']"
Disallow Voting For The Current Eth1Data in State,2227,open,https://github.com/ethereum/eth2.0-specs/issues/2227,ethereum/eth2.0-specs,"['disallow', 'voting', 'for', 'the', 'current', 'eth1data', 'state']","['disallow', 'vote', 'for', 'the', 'current', 'eth1data', 'state']"
Consider reducing `TARGET_AGGREGATORS_PER_COMMITTEE`,2226,open,https://github.com/ethereum/eth2.0-specs/issues/2226,ethereum/eth2.0-specs,"['consider', 'reducing', 'target_aggregators_per_committee']","['consid', 'reduc', 'target_aggregators_per_committe']"
remove faulty de-duplication condition for seen aggregates,2225,closed,https://github.com/ethereum/eth2.0-specs/issues/2225,ethereum/eth2.0-specs,"['remove', 'faulty', 'deduplication', 'condition', 'seen', 'aggregate']","['remov', 'faulti', 'de', 'duplic', 'condit', 'seen', 'aggreg']"
Add missed generator requirement ,2224,closed,https://github.com/ethereum/eth2.0-specs/issues/2224,ethereum/eth2.0-specs,"['add', 'missed', 'generator', 'requirement']","['add', 'miss', 'gener', 'requir']"
Bump py_ecc to v5.2.0,2223,closed,https://github.com/ethereum/eth2.0-specs/issues/2223,ethereum/eth2.0-specs,"['bump', 'py_ecc', 'v520']","['bump', 'py_ecc', 'v5', '2', '0']"
independent leak score feature,2222,closed,https://github.com/ethereum/eth2.0-specs/issues/2222,ethereum/eth2.0-specs,"['independent', 'leak', 'score', 'feature']","['independ', 'leak', 'score', 'featur']"
Make `test_fork.py` truly pass (on #2220),2221,closed,https://github.com/ethereum/eth2.0-specs/issues/2221,ethereum/eth2.0-specs,"['make', 'test_forkpy', 'truly', 'pas', '2220']","['make', 'test_fork', 'py', 'truli', 'pass', '2220']"
Altair fork tests,2220,closed,https://github.com/ethereum/eth2.0-specs/issues/2220,ethereum/eth2.0-specs,"['altair', 'fork', 'test']","['altair', 'fork', 'test']"
Fix a small typo,2219,closed,https://github.com/ethereum/eth2.0-specs/issues/2219,ethereum/eth2.0-specs,"['fix', 'small', 'typo']","['fix', 'small', 'typo']"
"Rename the stub protocol version ""HF1""/""LIGHTCLIENT_PATCH"" name to Altair",2218,closed,https://github.com/ethereum/eth2.0-specs/issues/2218,ethereum/eth2.0-specs,"['rename', 'stub', 'protocol', 'version', 'hf1lightclient_patch', 'name', 'altair']","['renam', 'stub', 'protocol', 'version', 'hf1', 'lightclient_patch', 'name', 'altair']"
bump setup.py to `dev` version's dependencies,2217,open,https://github.com/ethereum/eth2.0-specs/issues/2217,ethereum/eth2.0-specs,"['bump', 'setuppy', 'dev', 'version', 'dependency']","['bump', 'setup', 'py', 'dev', 'version', 'depend']"
port @justindrake's general cleanups from #2212,2216,closed,https://github.com/ethereum/eth2.0-specs/issues/2216,ethereum/eth2.0-specs,"['port', 'justindrakes', 'general', 'cleanup', '2212']","['port', 'justindrak', 'gener', 'cleanup', '2212']"
Backport v1.0.1 to dev,2215,closed,https://github.com/ethereum/eth2.0-specs/issues/2215,ethereum/eth2.0-specs,"['backport', 'v101', 'dev']","['backport', 'v1', '0', '1', 'dev']"
ensure venvs build with python3.8 in makefile,2214,closed,https://github.com/ethereum/eth2.0-specs/issues/2214,ethereum/eth2.0-specs,"['ensure', 'venvs', 'build', 'python38', 'makefile']","['ensur', 'venv', 'build', 'python3', '8', 'makefil']"
Add operation for withdrawal_credentials change operation,2213,open,https://github.com/ethereum/eth2.0-specs/issues/2213,ethereum/eth2.0-specs,"['add', 'operation', 'withdrawal_credentials', 'change', 'operation']","['add', 'oper', 'withdrawal_credenti', 'chang', 'oper']"
64 epoch cleanup by @justindrake,2212,closed,https://github.com/ethereum/eth2.0-specs/issues/2212,ethereum/eth2.0-specs,"['64', 'epoch', 'cleanup', 'justindrake']","['64', 'epoch', 'cleanup', 'justindrak']"
[minor release] 0x01 credentials,2211,closed,https://github.com/ethereum/eth2.0-specs/issues/2211,ethereum/eth2.0-specs,"['minor', 'release', '0x01', 'credential']","['minor', 'releas', '0x01', 'credenti']"
Disable phase1/enable lightclient ssz static types tests generators,2210,closed,https://github.com/ethereum/eth2.0-specs/issues/2210,ethereum/eth2.0-specs,"['disable', 'phase1enable', 'lightclient', 'ssz', 'static', 'type', 'test', 'generator']","['disabl', 'phase1', 'enabl', 'lightclient', 'ssz', 'static', 'type', 'test', 'gener']"
Update test generation docs,2209,closed,https://github.com/ethereum/eth2.0-specs/issues/2209,ethereum/eth2.0-specs,"['update', 'test', 'generation', 'doc']","['updat', 'test', 'gener', 'doc']"
Ensure the deposit contract has been compiled before running tests,2208,closed,https://github.com/ethereum/eth2.0-specs/issues/2208,ethereum/eth2.0-specs,"['ensure', 'deposit', 'contract', 'compiled', 'running', 'test']","['ensur', 'deposit', 'contract', 'compil', 'run', 'test']"
cytoolz warnings when running `make test`,2207,open,https://github.com/ethereum/eth2.0-specs/issues/2207,ethereum/eth2.0-specs,"['cytoolz', 'warning', 'running', 'make', 'test']","['cytoolz', 'warn', 'run', 'make', 'test']"
Bump Milagro dependency for M1 support,2206,closed,https://github.com/ethereum/eth2.0-specs/issues/2206,ethereum/eth2.0-specs,"['bump', 'milagro', 'dependency', 'm1', 'support']","['bump', 'milagro', 'depend', 'm1', 'support']"
Deposit contract dapp test fatal error,2205,open,https://github.com/ethereum/eth2.0-specs/issues/2205,ethereum/eth2.0-specs,"['deposit', 'contract', 'dapp', 'test', 'fatal', 'error']","['deposit', 'contract', 'dapp', 'test', 'fatal', 'error']"
Makefile warning,2204,open,https://github.com/ethereum/eth2.0-specs/issues/2204,ethereum/eth2.0-specs,"['makefile', 'warning']","['makefil', 'warn']"
Rollup-centric roadmap and 64 shards,2203,closed,https://github.com/ethereum/eth2.0-specs/issues/2203,ethereum/eth2.0-specs,"['rollupcentric', 'roadmap', '64', 'shard']","['rollup', 'centric', 'roadmap', '64', 'shard']"
fork-choice test vectors: starting with `get_head` tests,2202,closed,https://github.com/ethereum/eth2.0-specs/issues/2202,ethereum/eth2.0-specs,"['forkchoice', 'test', 'vector', 'starting', 'get_head', 'test']","['fork', 'choic', 'test', 'vector', 'start', 'get_head', 'test']"
Add Altair validator guide and initial p2p spec,2201,closed,https://github.com/ethereum/eth2.0-specs/issues/2201,ethereum/eth2.0-specs,"['add', 'altair', 'validator', 'guide', 'initial', 'p2p', 'spec']","['add', 'altair', 'valid', 'guid', 'initi', 'p2p', 'spec']"
Correctness & Mechanised proof of the incremental tree algorithm,2200,open,https://github.com/ethereum/eth2.0-specs/issues/2200,ethereum/eth2.0-specs,"['correctness', 'mechanised', 'proof', 'incremental', 'tree', 'algorithm']","['correct', 'mechanis', 'proof', 'increment', 'tree', 'algorithm']"
"[testgen] turn off phase 1, turn on HF1, and refactoring",2199,closed,https://github.com/ethereum/eth2.0-specs/issues/2199,ethereum/eth2.0-specs,"['testgen', 'turn', 'phase', '1', 'turn', 'hf1', 'refactoring']","['testgen', 'turn', 'phase', '1', 'turn', 'hf1', 'refactor']"
update penalty config values for hf1,2198,closed,https://github.com/ethereum/eth2.0-specs/issues/2198,ethereum/eth2.0-specs,"['update', 'penalty', 'config', 'value', 'hf1']","['updat', 'penalti', 'config', 'valu', 'hf1']"
"(block, slot) fork choice",2197,closed,https://github.com/ethereum/eth2.0-specs/issues/2197,ethereum/eth2.0-specs,"['block', 'slot', 'fork', 'choice']","['block', 'slot', 'fork', 'choic']"
Require gossip blocks to have a higher slot than thier parent,2196,closed,https://github.com/ethereum/eth2.0-specs/issues/2196,ethereum/eth2.0-specs,"['require', 'gossip', 'block', 'higher', 'slot', 'thier', 'parent']","['requir', 'gossip', 'block', 'higher', 'slot', 'thier', 'parent']"
Fix some typos,2195,closed,https://github.com/ethereum/eth2.0-specs/issues/2195,ethereum/eth2.0-specs,"['fix', 'typo']","['fix', 'typo']"
64-epoch-boundary cleanups and tests,2194,closed,https://github.com/ethereum/eth2.0-specs/issues/2194,ethereum/eth2.0-specs,"['64epochboundary', 'cleanup', 'test']","['64', 'epoch', 'boundari', 'cleanup', 'test']"
fix and extend accounting reform tests,2193,closed,https://github.com/ethereum/eth2.0-specs/issues/2193,ethereum/eth2.0-specs,"['fix', 'extend', 'accounting', 'reform', 'test']","['fix', 'extend', 'account', 'reform', 'test']"
Penalties+activs+exits only at 64-epoch boundary,2192,closed,https://github.com/ethereum/eth2.0-specs/issues/2192,ethereum/eth2.0-specs,"['penaltiesactivsexits', '64epoch', 'boundary']","['penalti', 'activ', 'exit', '64', 'epoch', 'boundari']"
[testgen] enable HF1 testgen and temporarily disable phase 1 testgen ,2191,closed,https://github.com/ethereum/eth2.0-specs/issues/2191,ethereum/eth2.0-specs,"['testgen', 'enable', 'hf1', 'testgen', 'temporarily', 'disable', 'phase', '1', 'testgen']","['testgen', 'enabl', 'hf1', 'testgen', 'temporarili', 'disabl', 'phase', '1', 'testgen']"
Updated Weak Subjectivity Calculations,2190,closed,https://github.com/ethereum/eth2.0-specs/issues/2190,ethereum/eth2.0-specs,"['updated', 'weak', 'subjectivity', 'calculations']","['updat', 'weak', 'subject', 'calcul']"
test refactor to use helper for duplicates in light client committees,2189,closed,https://github.com/ethereum/eth2.0-specs/issues/2189,ethereum/eth2.0-specs,"['test', 'refactor', 'use', 'helper', 'duplicate', 'light', 'client', 'committee']","['test', 'refactor', 'use', 'helper', 'duplic', 'light', 'client', 'committe']"
Update validator.md,2188,closed,https://github.com/ethereum/eth2.0-specs/issues/2188,ethereum/eth2.0-specs,"['update', 'validatormd']","['updat', 'valid', 'md']"
"Breaking down `process_final_updates`, take 2",2187,closed,https://github.com/ethereum/eth2.0-specs/issues/2187,ethereum/eth2.0-specs,"['breaking', 'process_final_updates', 'take', '2']","['break', 'process_final_upd', 'take', '2']"
Spec-tests format changes [discussion],2186,open,https://github.com/ethereum/eth2.0-specs/issues/2186,ethereum/eth2.0-specs,"['spectests', 'format', 'change', 'discussion']","['spec', 'test', 'format', 'chang', 'discuss']"
"Global quotient penalties, take 2 (WIP)",2185,closed,https://github.com/ethereum/eth2.0-specs/issues/2185,ethereum/eth2.0-specs,"['global', 'quotient', 'penalty', 'take', '2', 'wip']","['global', 'quotient', 'penalti', 'take', '2', 'wip']"
"p2p spec, fix typo: same condition, but non-aggregate attestation here",2184,closed,https://github.com/ethereum/eth2.0-specs/issues/2184,ethereum/eth2.0-specs,"['p2p', 'spec', 'fix', 'typo', 'condition', 'nonaggregate', 'attestation']","['p2p', 'spec', 'fix', 'typo', 'condit', 'non', 'aggreg', 'attest']"
Propagate seen aggregate attestations,2183,open,https://github.com/ethereum/eth2.0-specs/issues/2183,ethereum/eth2.0-specs,"['propagate', 'seen', 'aggregate', 'attestation']","['propag', 'seen', 'aggreg', 'attest']"
