issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
fix: storage doc - grammar,2700,open,https://github.com/ethereum/ethereum-org-website/issues/2700,ethereum/ethereum-org-website,"['fix', 'storage', 'doc', 'grammar']","['fix', 'storag', 'doc', 'grammar']"
Add info on reducing gas costs,2699,open,https://github.com/ethereum/ethereum-org-website/issues/2699,ethereum/ethereum-org-website,"['add', 'info', 'reducing', 'gas', 'cost']","['add', 'info', 'reduc', 'ga', 'cost']"
Add visual demo to Accounts section,2698,open,https://github.com/ethereum/ethereum-org-website/issues/2698,ethereum/ethereum-org-website,"['add', 'visual', 'demo', 'accounts', 'section']","['add', 'visual', 'demo', 'account', 'section']"
aoasis,2697,open,https://github.com/ethereum/ethereum-org-website/issues/2697,ethereum/ethereum-org-website,['aoasis'],['aoasi']
WalterJank,2696,closed,https://github.com/ethereum/ethereum-org-website/issues/2696,ethereum/ethereum-org-website,['walterjank'],['walterjank']
Grants updates,2695,open,https://github.com/ethereum/ethereum-org-website/issues/2695,ethereum/ethereum-org-website,"['grants', 'update']","['grant', 'updat']"
Update deploying-your-first-smart-contract tutorial,2693,open,https://github.com/ethereum/ethereum-org-website/issues/2693,ethereum/ethereum-org-website,"['update', 'deployingyourfirstsmartcontract', 'tutorial']","['updat', 'deploy', 'first', 'smart', 'contract', 'tutori']"
ethereum,2692,open,https://github.com/ethereum/ethereum-org-website/issues/2692,ethereum/ethereum-org-website,['ethereum'],['ethereum']
Ethereum State Transition Graphical Explanation - Whitepaper,2691,open,https://github.com/ethereum/ethereum-org-website/issues/2691,ethereum/ethereum-org-website,"['ethereum', 'state', 'transition', 'graphical', 'explanation', 'whitepaper']","['ethereum', 'state', 'transit', 'graphic', 'explan', 'whitepap']"
Small Grammar Fix,2690,open,https://github.com/ethereum/ethereum-org-website/issues/2690,ethereum/ethereum-org-website,"['small', 'grammar', 'fix']","['small', 'grammar', 'fix']"
Small Grammar Fixes,2689,open,https://github.com/ethereum/ethereum-org-website/issues/2689,ethereum/ethereum-org-website,"['small', 'grammar', 'fixes']","['small', 'grammar', 'fix']"
Update suggest_wallet.md,2688,open,https://github.com/ethereum/ethereum-org-website/issues/2688,ethereum/ethereum-org-website,"['update', 'suggest_walletmd']","['updat', 'suggest_wallet', 'md']"
JSON RPC API client list is outdated,2687,open,https://github.com/ethereum/ethereum-org-website/issues/2687,ethereum/ethereum-org-website,"['json', 'rpc', 'api', 'client', 'list', 'outdated']","['json', 'rpc', 'api', 'client', 'list', 'outdat']"
Deploy v2.20.0,2686,closed,https://github.com/ethereum/ethereum-org-website/issues/2686,ethereum/ethereum-org-website,"['deploy', 'v2200']","['deploy', 'v2', '20', '0']"
Deploy v2.20.0,2685,closed,https://github.com/ethereum/ethereum-org-website/issues/2685,ethereum/ethereum-org-website,"['deploy', 'v2200']","['deploy', 'v2', '20', '0']"
docs: add tmlee as a contributor,2684,closed,https://github.com/ethereum/ethereum-org-website/issues/2684,ethereum/ethereum-org-website,"['doc', 'add', 'tmlee', 'contributor']","['doc', 'add', 'tmlee', 'contributor']"
"Adds Coinomi and Linen wallets [Closes #2539, Closes #2459]",2683,closed,https://github.com/ethereum/ethereum-org-website/issues/2683,ethereum/ethereum-org-website,"['adds', 'coinomi', 'linen', 'wallet', 'closes', '2539', 'closes', '2459']","['add', 'coinomi', 'linen', 'wallet', 'close', '2539', 'close', '2459']"
Broken link on Ethereum for Rust Developers page,2682,open,https://github.com/ethereum/ethereum-org-website/issues/2682,ethereum/ethereum-org-website,"['broken', 'link', 'ethereum', 'rust', 'developers', 'page']","['broken', 'link', 'ethereum', 'rust', 'develop', 'page']"
docs: add erikvdp as a contributor,2681,closed,https://github.com/ethereum/ethereum-org-website/issues/2681,ethereum/ethereum-org-website,"['doc', 'add', 'erikvdp', 'contributor']","['doc', 'add', 'erikvdp', 'contributor']"
docs: add a1irahman as a contributor,2680,closed,https://github.com/ethereum/ethereum-org-website/issues/2680,ethereum/ethereum-org-website,"['doc', 'add', 'a1irahman', 'contributor']","['doc', 'add', 'a1irahman', 'contributor']"
Prevents infinite calls to CoinGecko API [Fixes #2676],2679,closed,https://github.com/ethereum/ethereum-org-website/issues/2679,ethereum/ethereum-org-website,"['prevents', 'infinite', 'call', 'coingecko', 'api', 'fixes', '2676']","['prevent', 'infinit', 'call', 'coingecko', 'api', 'fix', '2676']"
Fix broken links on the learn page ,2678,closed,https://github.com/ethereum/ethereum-org-website/issues/2678,ethereum/ethereum-org-website,"['fix', 'broken', 'link', 'learn', 'page']","['fix', 'broken', 'link', 'learn', 'page']"
Broken links on the learn page,2677,closed,https://github.com/ethereum/ethereum-org-website/issues/2677,ethereum/ethereum-org-website,"['broken', 'link', 'learn', 'page']","['broken', 'link', 'learn', 'page']"
Infinite request made to CoinGecko API endpoints,2676,closed,https://github.com/ethereum/ethereum-org-website/issues/2676,ethereum/ethereum-org-website,"['infinite', 'request', 'made', 'coingecko', 'api', 'endpoint']","['infinit', 'request', 'made', 'coingecko', 'api', 'endpoint']"
improve keyboard accessibility (a11y),2675,open,https://github.com/ethereum/ethereum-org-website/issues/2675,ethereum/ethereum-org-website,"['improve', 'keyboard', 'accessibility', 'a11y']","['improv', 'keyboard', 'access', 'a11i']"
Kazakh Translation ,2674,open,https://github.com/ethereum/ethereum-org-website/issues/2674,ethereum/ethereum-org-website,"['kazakh', 'translation']","['kazakh', 'translat']"
docs: add RonSherfey as a contributor,2673,closed,https://github.com/ethereum/ethereum-org-website/issues/2673,ethereum/ethereum-org-website,"['doc', 'add', 'ronsherfey', 'contributor']","['doc', 'add', 'ronsherfey', 'contributor']"
