issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
gradle changes: version upgrades (gradle and gradle plugins); deprecated property 'classifier' is replaced with 'archiveClassifier',1294,closed,https://github.com/ethereum/ethereumj/issues/1294,ethereum/ethereumj,"['gradle', 'change', 'version', 'upgrade', 'gradle', 'gradle', 'plugins', 'deprecated', 'property', 'classifier', 'replaced', 'archiveclassifier']","['gradl', 'chang', 'version', 'upgrad', 'gradl', 'gradl', 'plugin', 'deprec', 'properti', 'classifi', 'replac', 'archiveclassifi']"
"CallTransaction.Function.decode(byte[] encoded) method ,when params contains string type,decode result is blank",1293,open,https://github.com/ethereum/ethereumj/issues/1293,ethereum/ethereumj,"['calltransactionfunctiondecodebyte', 'encoded', 'method', 'params', 'contains', 'string', 'typedecode', 'result', 'blank']","['calltransact', 'function', 'decod', 'byte', 'encod', 'method', 'param', 'contain', 'string', 'type', 'decod', 'result', 'blank']"
For more security spongycastle -> bouncycastle,1292,open,https://github.com/ethereum/ethereumj/issues/1292,ethereum/ethereumj,"['for', 'security', 'spongycastle', 'bouncycastle']","['for', 'secur', 'spongycastl', 'bouncycastl']"
update build.gradle,1291,closed,https://github.com/ethereum/ethereumj/issues/1291,ethereum/ethereumj,"['update', 'buildgradle']","['updat', 'build', 'gradl']"
fix maven repository url,1290,closed,https://github.com/ethereum/ethereumj/issues/1290,ethereum/ethereumj,"['fix', 'maven', 'repository', 'url']","['fix', 'maven', 'repositori', 'url']"
Create a private network with ethereumj,1289,open,https://github.com/ethereum/ethereumj/issues/1289,ethereum/ethereumj,"['create', 'private', 'network', 'ethereumj']","['creat', 'privat', 'network', 'ethereumj']"
gradle changes: version upgrades (gradle and gradle plugins); URL's are changed (http -->> to https) for artifact repositories and also for some javadoc links,1288,closed,https://github.com/ethereum/ethereumj/issues/1288,ethereum/ethereumj,"['gradle', 'change', 'version', 'upgrade', 'gradle', 'gradle', 'plugins', 'urls', 'changed', 'http', 'http', 'artifact', 'repository', 'also', 'javadoc', 'link']","['gradl', 'chang', 'version', 'upgrad', 'gradl', 'gradl', 'plugin', 'url', 'chang', 'http', 'http', 'artifact', 'repositori', 'also', 'javadoc', 'link']"
Fix the difficulty judgment logic of PoW.,1287,open,https://github.com/ethereum/ethereumj/issues/1287,ethereum/ethereumj,"['fix', 'difficulty', 'judgment', 'logic', 'pow']","['fix', 'difficulti', 'judgment', 'logic', 'pow']"
"opcode ""CODECOPY""",1286,open,https://github.com/ethereum/ethereumj/issues/1286,ethereum/ethereumj,"['opcode', 'codecopy']","['opcod', 'codecopi']"
Fix the check logic of CALLCODE.,1285,open,https://github.com/ethereum/ethereumj/issues/1285,ethereum/ethereumj,"['fix', 'check', 'logic', 'callcode']","['fix', 'check', 'logic', 'callcod']"
