issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Homestead/Tangerine/Spurious: Undefined instruction error on revert,292,open,https://github.com/ethereum/evmone/issues/292,ethereum/evmone,"['homesteadtangerinespurious', 'undefined', 'instruction', 'error', 'revert']","['homestead', 'tangerin', 'spuriou', 'undefin', 'instruct', 'error', 'revert']"
EVM stack guard pages PoC,291,open,https://github.com/ethereum/evmone/issues/291,ethereum/evmone,"['evm', 'stack', 'guard', 'page', 'poc']","['evm', 'stack', 'guard', 'page', 'poc']"
ci: Add Silkworm-driven consensus tests,290,closed,https://github.com/ethereum/evmone/issues/290,ethereum/evmone,"['ci', 'add', 'silkwormdriven', 'consensus', 'test']","['ci', 'add', 'silkworm', 'driven', 'consensu', 'test']"
EIP-2929: Gas cost increases for state access opcodes,289,open,https://github.com/ethereum/evmone/issues/289,ethereum/evmone,"['eip2929', 'gas', 'cost', 'increase', 'state', 'access', 'opcodes']","['eip', '2929', 'ga', 'cost', 'increas', 'state', 'access', 'opcod']"
"bench: Modernize CLI parsing, ignore empty args",288,closed,https://github.com/ethereum/evmone/issues/288,ethereum/evmone,"['bench', 'modernize', 'cli', 'parsing', 'ignore', 'empty', 'args']","['bench', 'modern', 'cli', 'pars', 'ignor', 'empti', 'arg']"
bench: Extract and improve benchmarking helpers,287,closed,https://github.com/ethereum/evmone/issues/287,ethereum/evmone,"['bench', 'extract', 'improve', 'benchmarking', 'helper']","['bench', 'extract', 'improv', 'benchmark', 'helper']"
"bytecode: Add push(opcode, ...)",286,closed,https://github.com/ethereum/evmone/issues/286,ethereum/evmone,"['bytecode', 'add', 'pushopcode']","['bytecod', 'add', 'push', 'opcod']"
Basic opcode tracing,285,open,https://github.com/ethereum/evmone/issues/285,ethereum/evmone,"['basic', 'opcode', 'tracing']","['basic', 'opcod', 'trace']"
baseline: Allow executing with external state,284,closed,https://github.com/ethereum/evmone/issues/284,ethereum/evmone,"['baseline', 'allow', 'executing', 'external', 'state']","['baselin', 'allow', 'execut', 'extern', 'state']"
Instruction time measurment,283,closed,https://github.com/ethereum/evmone/issues/283,ethereum/evmone,"['instruction', 'time', 'measurment']","['instruct', 'time', 'measur']"
execution: export the execute symbol,282,open,https://github.com/ethereum/evmone/issues/282,ethereum/evmone,"['execution', 'export', 'execute', 'symbol']","['execut', 'export', 'execut', 'symbol']"
fuzzer: Add baseline interpreter,281,closed,https://github.com/ethereum/evmone/issues/281,ethereum/evmone,"['fuzzer', 'add', 'baseline', 'interpreter']","['fuzzer', 'add', 'baselin', 'interpret']"
readme: Describe Advanced and Baseline interpreters,280,closed,https://github.com/ethereum/evmone/issues/280,ethereum/evmone,"['readme', 'describe', 'advanced', 'baseline', 'interpreter']","['readm', 'describ', 'advanc', 'baselin', 'interpret']"
Baseline Interpreter Optimizations,279,open,https://github.com/ethereum/evmone/issues/279,ethereum/evmone,"['baseline', 'interpreter', 'optimizations']","['baselin', 'interpret', 'optim']"
EVM instructions synthetic benchmarks,278,closed,https://github.com/ethereum/evmone/issues/278,ethereum/evmone,"['evm', 'instruction', 'synthetic', 'benchmark']","['evm', 'instruct', 'synthet', 'benchmark']"
Refactor DUP and SWAP instruction implementations,277,closed,https://github.com/ethereum/evmone/issues/277,ethereum/evmone,"['refactor', 'dup', 'swap', 'instruction', 'implementation']","['refactor', 'dup', 'swap', 'instruct', 'implement']"
ci: Upgrade compilers and code coverage,276,closed,https://github.com/ethereum/evmone/issues/276,ethereum/evmone,"['ci', 'upgrade', 'compiler', 'code', 'coverage']","['ci', 'upgrad', 'compil', 'code', 'coverag']"
Refactor evmone-bench,275,closed,https://github.com/ethereum/evmone/issues/275,ethereum/evmone,"['refactor', 'evmonebench']","['refactor', 'evmon', 'bench']"
cmake: Upgrade dependencies,274,closed,https://github.com/ethereum/evmone/issues/274,ethereum/evmone,"['cmake', 'upgrade', 'dependency']","['cmake', 'upgrad', 'depend']"
cmake: Check more compiler warnings,273,closed,https://github.com/ethereum/evmone/issues/273,ethereum/evmone,"['cmake', 'check', 'compiler', 'warning']","['cmake', 'check', 'compil', 'warn']"
Make instruction traits inline variables,272,closed,https://github.com/ethereum/evmone/issues/272,ethereum/evmone,"['make', 'instruction', 'trait', 'inline', 'variable']","['make', 'instruct', 'trait', 'inlin', 'variabl']"
Drop Visual Studio 2017 support,271,closed,https://github.com/ethereum/evmone/issues/271,ethereum/evmone,"['drop', 'visual', 'studio', '2017', 'support']","['drop', 'visual', 'studio', '2017', 'support']"
"Make ExecutionState ""clearable""",270,closed,https://github.com/ethereum/evmone/issues/270,ethereum/evmone,"['make', 'executionstate', 'clearable']","['make', 'executionst', 'clearabl']"
Change benchmark cases names,269,closed,https://github.com/ethereum/evmone/issues/269,ethereum/evmone,"['change', 'benchmark', 'case', 'name']","['chang', 'benchmark', 'case', 'name']"
"Refactor instruction tables, add compile-time information",268,closed,https://github.com/ethereum/evmone/issues/268,ethereum/evmone,"['refactor', 'instruction', 'table', 'add', 'compiletime', 'information']","['refactor', 'instruct', 'tabl', 'add', 'compil', 'time', 'inform']"
test: Add evm.return_empty_buffer_at_offset_0,267,closed,https://github.com/ethereum/evmone/issues/267,ethereum/evmone,"['test', 'add', 'evmreturn_empty_buffer_at_offset_0']","['test', 'add', 'evm', 'return_empty_buffer_at_offset_0']"
Add ExecutionState::reset() to allow execution state reuse,266,closed,https://github.com/ethereum/evmone/issues/266,ethereum/evmone,"['add', 'executionstatereset', 'allow', 'execution', 'state', 'reuse']","['add', 'executionst', 'reset', 'allow', 'execut', 'state', 'reus']"
ci: Pin state tests revision,265,closed,https://github.com/ethereum/evmone/issues/265,ethereum/evmone,"['ci', 'pin', 'state', 'test', 'revision']","['ci', 'pin', 'state', 'test', 'revis']"
bench: Add benchmarks for comparison of EVMC types,264,open,https://github.com/ethereum/evmone/issues/264,ethereum/evmone,"['bench', 'add', 'benchmark', 'comparison', 'evmc', 'type']","['bench', 'add', 'benchmark', 'comparison', 'evmc', 'type']"
test: Convert EVM execution to parameterized tests,263,closed,https://github.com/ethereum/evmone/issues/263,ethereum/evmone,"['test', 'convert', 'evm', 'execution', 'parameterized', 'test']","['test', 'convert', 'evm', 'execut', 'parameter', 'test']"
Unittest tools,262,closed,https://github.com/ethereum/evmone/issues/262,ethereum/evmone,"['unittest', 'tool']","['unittest', 'tool']"
Baseline interpreter,261,closed,https://github.com/ethereum/evmone/issues/261,ethereum/evmone,"['baseline', 'interpreter']","['baselin', 'interpret']"
Export SELFDESTRUCT instruction implementation,260,closed,https://github.com/ethereum/evmone/issues/260,ethereum/evmone,"['export', 'selfdestruct', 'instruction', 'implementation']","['export', 'selfdestruct', 'instruct', 'implement']"
Move status code and output ref to generic ExecutionState,259,closed,https://github.com/ethereum/evmone/issues/259,ethereum/evmone,"['move', 'status', 'code', 'output', 'ref', 'generic', 'executionstate']","['move', 'statu', 'code', 'output', 'ref', 'gener', 'executionst']"
New evmone instance,258,closed,https://github.com/ethereum/evmone/issues/258,ethereum/evmone,"['new', 'evmone', 'instance']","['new', 'evmon', 'instanc']"
Extract SSTORE instruction implementation,257,closed,https://github.com/ethereum/evmone/issues/257,ethereum/evmone,"['extract', 'sstore', 'instruction', 'implementation']","['extract', 'sstore', 'instruct', 'implement']"
Fuzzing update,256,closed,https://github.com/ethereum/evmone/issues/256,ethereum/evmone,"['fuzzing', 'update']","['fuzz', 'updat']"
Expose call instructions,255,closed,https://github.com/ethereum/evmone/issues/255,ethereum/evmone,"['expose', 'call', 'instruction']","['expos', 'call', 'instruct']"
Create codeql-analysis.yml,254,open,https://github.com/ethereum/evmone/issues/254,ethereum/evmone,"['create', 'codeqlanalysisyml']","['creat', 'codeql', 'analysi', 'yml']"
Optimize away heavy operations discarded by POP,253,closed,https://github.com/ethereum/evmone/issues/253,ethereum/evmone,"['optimize', 'away', 'heavy', 'operation', 'discarded', 'pop']","['optim', 'away', 'heavi', 'oper', 'discard', 'pop']"
CREATE(2) should only populate return data on failure,252,closed,https://github.com/ethereum/evmone/issues/252,ethereum/evmone,"['create2', 'populate', 'return', 'data', 'failure']","['creat', '2', 'popul', 'return', 'data', 'failur']"
And Infer and InferArray,251,closed,https://github.com/ethereum/evmone/issues/251,ethereum/evmone,"['and', 'infer', 'inferarray']","['and', 'infer', 'inferarray']"
Extract generic instruction implemenations,250,closed,https://github.com/ethereum/evmone/issues/250,ethereum/evmone,"['extract', 'generic', 'instruction', 'implemenations']","['extract', 'gener', 'instruct', 'implemen']"
Call tests,249,closed,https://github.com/ethereum/evmone/issues/249,ethereum/evmone,"['call', 'test']","['call', 'test']"
Refactor calls implementations,248,closed,https://github.com/ethereum/evmone/issues/248,ethereum/evmone,"['refactor', 'call', 'implementation']","['refactor', 'call', 'implement']"
