issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
docs: remove mention of godep,22548,open,https://github.com/ethereum/go-ethereum/issues/22548,ethereum/go-ethereum,"['doc', 'remove', 'mention', 'godep']","['doc', 'remov', 'mention', 'godep']"
p2p: fix minor typo,22547,open,https://github.com/ethereum/go-ethereum/issues/22547,ethereum/go-ethereum,"['p2p', 'fix', 'minor', 'typo']","['p2p', 'fix', 'minor', 'typo']"
"""only replay-protected (EIP-155) transactions allowed over RPC"" error when try to submit a transaction in Ropsten network",22546,closed,https://github.com/ethereum/go-ethereum/issues/22546,ethereum/go-ethereum,"['replayprotected', 'eip155', 'transaction', 'allowed', 'rpc', 'error', 'try', 'submit', 'transaction', 'ropsten', 'network']","['replay', 'protect', 'eip', '155', 'transact', 'allow', 'rpc', 'error', 'tri', 'submit', 'transact', 'ropsten', 'network']"
cmd/faucet: Support testnet flags in the faucet,22545,open,https://github.com/ethereum/go-ethereum/issues/22545,ethereum/go-ethereum,"['cmdfaucet', 'support', 'testnet', 'flag', 'faucet']","['cmd', 'faucet', 'support', 'testnet', 'flag', 'faucet']"
Cannot verify contract deployed with abi,22544,open,https://github.com/ethereum/go-ethereum/issues/22544,ethereum/go-ethereum,"['can', 'verify', 'contract', 'deployed', 'abi']","['can', 'verifi', 'contract', 'deploy', 'abi']"
Fix comment for `requestReset`,22543,closed,https://github.com/ethereum/go-ethereum/issues/22543,ethereum/go-ethereum,"['fix', 'comment', 'requestreset']","['fix', 'comment', 'requestreset']"
Offline Pruning with Ancient Chain Data Directory,22542,closed,https://github.com/ethereum/go-ethereum/issues/22542,ethereum/go-ethereum,"['offline', 'pruning', 'ancient', 'chain', 'data', 'directory']","['offlin', 'prune', 'ancient', 'chain', 'data', 'directori']"
Does geth removed whisper(--shh)?,22541,closed,https://github.com/ethereum/go-ethereum/issues/22541,ethereum/go-ethereum,"['does', 'geth', 'removed', 'whispershh']","['doe', 'geth', 'remov', 'whisper', 'shh']"
[core] Race condition on diffLayer,22540,open,https://github.com/ethereum/go-ethereum/issues/22540,ethereum/go-ethereum,"['core', 'race', 'condition', 'difflayer']","['core', 'race', 'condit', 'difflay']"
core/vm: implement EIP-3403,22539,open,https://github.com/ethereum/go-ethereum/issues/22539,ethereum/go-ethereum,"['corevm', 'implement', 'eip3403']","['core', 'vm', 'implement', 'eip', '3403']"
cmd/devp2p: fix error in updating the cursor when collecting route53 records,22538,closed,https://github.com/ethereum/go-ethereum/issues/22538,ethereum/go-ethereum,"['cmddevp2p', 'fix', 'error', 'updating', 'cursor', 'collecting', 'route53', 'record']","['cmd', 'devp2p', 'fix', 'error', 'updat', 'cursor', 'collect', 'route53', 'record']"
cmd/devp2p: add flag for AWS region,22537,closed,https://github.com/ethereum/go-ethereum/issues/22537,ethereum/go-ethereum,"['cmddevp2p', 'add', 'flag', 'aws', 'region']","['cmd', 'devp2p', 'add', 'flag', 'aw', 'region']"
cmd/devp2p: fix upsert check for route53 updates,22536,open,https://github.com/ethereum/go-ethereum/issues/22536,ethereum/go-ethereum,"['cmddevp2p', 'fix', 'upsert', 'check', 'route53', 'update']","['cmd', 'devp2p', 'fix', 'upsert', 'check', 'route53', 'updat']"
cmd/devp2p: add block hash announcement test to eth test suite,22535,open,https://github.com/ethereum/go-ethereum/issues/22535,ethereum/go-ethereum,"['cmddevp2p', 'add', 'block', 'hash', 'announcement', 'test', 'eth', 'test', 'suite']","['cmd', 'devp2p', 'add', 'block', 'hash', 'announc', 'test', 'eth', 'test', 'suit']"
Snap sync leads to corrupted state,22534,open,https://github.com/ethereum/go-ethereum/issues/22534,ethereum/go-ethereum,"['snap', 'sync', 'lead', 'corrupted', 'state']","['snap', 'sync', 'lead', 'corrupt', 'state']"
p2p/dnsdisc: fix flaw in dns size calculation,22533,closed,https://github.com/ethereum/go-ethereum/issues/22533,ethereum/go-ethereum,"['p2pdnsdisc', 'fix', 'flaw', 'dns', 'size', 'calculation']","['p2p', 'dnsdisc', 'fix', 'flaw', 'dn', 'size', 'calcul']"
DNS discovery uses too large responses to fit within UDP packet size,22532,closed,https://github.com/ethereum/go-ethereum/issues/22532,ethereum/go-ethereum,"['dns', 'discovery', 'us', 'large', 'response', 'fit', 'within', 'udp', 'packet', 'size']","['dn', 'discoveri', 'use', 'larg', 'respons', 'fit', 'within', 'udp', 'packet', 'size']"
Faucet / LES not working since v1.10.1,22531,open,https://github.com/ethereum/go-ethereum/issues/22531,ethereum/go-ethereum,"['faucet', 'les', 'working', 'since', 'v1101']","['faucet', 'le', 'work', 'sinc', 'v1', '10', '1']"
"rename ""spap"" to ""snap""",22530,closed,https://github.com/ethereum/go-ethereum/issues/22530,ethereum/go-ethereum,"['rename', 'spap', 'snap']","['renam', 'spap', 'snap']"
Memory leak on high JSON RPC load,22529,open,https://github.com/ethereum/go-ethereum/issues/22529,ethereum/go-ethereum,"['memory', 'leak', 'high', 'json', 'rpc', 'load']","['memori', 'leak', 'high', 'json', 'rpc', 'load']"
geth resyncs last day every restart,22528,open,https://github.com/ethereum/go-ethereum/issues/22528,ethereum/go-ethereum,"['geth', 'resyncs', 'last', 'day', 'every', 'restart']","['geth', 'resync', 'last', 'day', 'everi', 'restart']"
Can't get a viable ws or http connection to geth via node console,22527,closed,https://github.com/ethereum/go-ethereum/issues/22527,ethereum/go-ethereum,"['cant', 'get', 'viable', 'w', 'http', 'connection', 'geth', 'via', 'node', 'console']","['can', 'get', 'viabl', 'ws', 'http', 'connect', 'geth', 'via', 'node', 'consol']"
added relay info on mev-get for miners section,22526,closed,https://github.com/ethereum/go-ethereum/issues/22526,ethereum/go-ethereum,"['added', 'relay', 'info', 'mevget', 'miner', 'section']","['ad', 'relay', 'info', 'mev', 'get', 'miner', 'section']"
ropsten network always Hard fork and higher than the official website https://ropsten.etherscan.io/,22525,closed,https://github.com/ethereum/go-ethereum/issues/22525,ethereum/go-ethereum,"['ropsten', 'network', 'always', 'hard', 'fork', 'higher', 'official', 'website', 'httpsropstenetherscanio']","['ropsten', 'network', 'alway', 'hard', 'fork', 'higher', 'offici', 'websit', 'http', 'ropsten', 'etherscan', 'io']"
Shutdown is very slow,22524,open,https://github.com/ethereum/go-ethereum/issues/22524,ethereum/go-ethereum,"['shutdown', 'slow']","['shutdown', 'slow']"
