issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
not able to open eter wallet,4240,closed,https://github.com/ethereum/mist/issues/4240,ethereum/mist,"['able', 'open', 'eter', 'wallet']","['abl', 'open', 'eter', 'wallet']"
No password/passphrase how to get imported to other wallet???,4239,closed,https://github.com/ethereum/mist/issues/4239,ethereum/mist,"['no', 'passwordpassphrase', 'get', 'imported', 'wallet']","['no', 'password', 'passphras', 'get', 'import', 'wallet']"
Excellent,4238,closed,https://github.com/ethereum/mist/issues/4238,ethereum/mist,['excellent'],['excel']
Cannot transfer my Ethereum out of Wallet to Ledger Nano S,4237,closed,https://github.com/ethereum/mist/issues/4237,ethereum/mist,"['can', 'transfer', 'ethereum', 'wallet', 'ledger', 'nano', 's']","['can', 'transfer', 'ethereum', 'wallet', 'ledger', 'nano', 's']"
Mist stays in `connecting` state,4233,closed,https://github.com/ethereum/mist/issues/4233,ethereum/mist,"['mist', 'stay', 'connecting', 'state']","['mist', 'stay', 'connect', 'state']"
problem installing tailwindcss ,4230,closed,https://github.com/ethereum/mist/issues/4230,ethereum/mist,"['problem', 'installing', 'tailwindcss']","['problem', 'instal', 'tailwindcss']"
0x447f320347fbAB577BbD737F1a911E848899F845,4229,closed,https://github.com/ethereum/mist/issues/4229,ethereum/mist,['0x447f320347fbab577bbd737f1a911e848899f845'],['0x447f320347fbab577bbd737f1a911e848899f845']
Warning! Error encountered during contract execution [Reverted],4228,closed,https://github.com/ethereum/mist/issues/4228,ethereum/mist,"['warning', 'error', 'encountered', 'contract', 'execution', 'reverted']","['warn', 'error', 'encount', 'contract', 'execut', 'revert']"
Hi world,4227,closed,https://github.com/ethereum/mist/issues/4227,ethereum/mist,"['hi', 'world']","['hi', 'world']"
"Please help cant open my ETH wallet,  ",4226,open,https://github.com/ethereum/mist/issues/4226,ethereum/mist,"['please', 'help', 'cant', 'open', 'eth', 'wallet']","['pleas', 'help', 'cant', 'open', 'eth', 'wallet']"
"My balance is zero, but etherscan shows my balance.",4225,closed,https://github.com/ethereum/mist/issues/4225,ethereum/mist,"['my', 'balance', 'zero', 'etherscan', 'show', 'balance']","['my', 'balanc', 'zero', 'etherscan', 'show', 'balanc']"
Stuck in Splash screen,4224,open,https://github.com/ethereum/mist/issues/4224,ethereum/mist,"['stuck', 'splash', 'screen']","['stuck', 'splash', 'screen']"
"It requieres some Gith, WTF IS THIS",4223,open,https://github.com/ethereum/mist/issues/4223,ethereum/mist,"['it', 'requieres', 'gith', 'wtf', 'is', 'this']","['it', 'requier', 'gith', 'wtf', 'is', 'thi']"
Fatal: Error starting Ethereum: listen udp :30303:,4222,open,https://github.com/ethereum/mist/issues/4222,ethereum/mist,"['fatal', 'error', 'starting', 'ethereum', 'listen', 'udp', '30303']","['fatal', 'error', 'start', 'ethereum', 'listen', 'udp', '30303']"
"Me ethereum wallet stopped syncing with the network on new years day, during the last upgrade. And its been 6 days, and it won't sync at all? i live in cincinnati ohio area  USA. ",4221,open,https://github.com/ethereum/mist/issues/4221,ethereum/mist,"['me', 'ethereum', 'wallet', 'stopped', 'syncing', 'network', 'new', 'year', 'day', 'last', 'upgrade', 'and', '6', 'day', 'wont', 'sync', 'live', 'cincinnati', 'ohio', 'area', 'usa']","['me', 'ethereum', 'wallet', 'stop', 'sync', 'network', 'new', 'year', 'day', 'last', 'upgrad', 'and', '6', 'day', 'sync', 'live', 'cincinnati', 'ohio', 'area', 'usa']"
Create dockerimage.yml,4220,open,https://github.com/ethereum/mist/issues/4220,ethereum/mist,"['create', 'dockerimageyml']","['creat', 'dockerimag', 'yml']"
How much time it takes to generate wallet? ,4218,open,https://github.com/ethereum/mist/issues/4218,ethereum/mist,"['how', 'much', 'time', 'take', 'generate', 'wallet']","['how', 'much', 'time', 'take', 'gener', 'wallet']"
Checksum mismatch in dowloaded node! ,4217,open,https://github.com/ethereum/mist/issues/4217,ethereum/mist,"['checksum', 'mismatch', 'dowloaded', 'node']","['checksum', 'mismatch', 'dowload', 'node']"
Create MIST for a custom token?,4216,open,https://github.com/ethereum/mist/issues/4216,ethereum/mist,"['create', 'mist', 'custom', 'token']","['creat', 'mist', 'custom', 'token']"
wallet problem geth finishes work,4215,open,https://github.com/ethereum/mist/issues/4215,ethereum/mist,"['wallet', 'problem', 'geth', 'finish', 'work']","['wallet', 'problem', 'geth', 'finish', 'work']"
"""No data found: select a contract from the 'select contract' menu""",4214,open,https://github.com/ethereum/mist/issues/4214,ethereum/mist,"['no', 'data', 'found', 'select', 'contract', 'select', 'contract', 'menu']","['no', 'data', 'found', 'select', 'contract', 'select', 'contract', 'menu']"
How to update  wallet?,4213,open,https://github.com/ethereum/mist/issues/4213,ethereum/mist,"['how', 'update', 'wallet']","['how', 'updat', 'wallet']"
wallet problem ,4212,open,https://github.com/ethereum/mist/issues/4212,ethereum/mist,"['wallet', 'problem']","['wallet', 'problem']"
Blockchain won´t Update,4210,open,https://github.com/ethereum/mist/issues/4210,ethereum/mist,"['blockchain', 'wont', 'update']","['blockchain', 'updat']"
Coudn't connect to node on IPC,4209,open,https://github.com/ethereum/mist/issues/4209,ethereum/mist,"['coudnt', 'connect', 'node', 'ipc']","['coudn', 'connect', 'node', 'ipc']"
I lost just 6 character of my private key how to find them,4208,open,https://github.com/ethereum/mist/issues/4208,ethereum/mist,"['i', 'lost', '6', 'character', 'private', 'key', 'find']","['i', 'lost', '6', 'charact', 'privat', 'key', 'find']"
Machenry27,4207,open,https://github.com/ethereum/mist/issues/4207,ethereum/mist,['machenry27'],['machenry27']
Unable to launch Ethereum Wallet v0.11.1,4206,open,https://github.com/ethereum/mist/issues/4206,ethereum/mist,"['unable', 'launch', 'ethereum', 'wallet', 'v0111']","['unabl', 'launch', 'ethereum', 'wallet', 'v0', '11', '1']"
Gith nod issue,4205,closed,https://github.com/ethereum/mist/issues/4205,ethereum/mist,"['gith', 'nod', 'issue']","['gith', 'nod', 'issu']"
why Gas estimation is always bad for private network!!!,4204,closed,https://github.com/ethereum/mist/issues/4204,ethereum/mist,"['gas', 'estimation', 'always', 'bad', 'private', 'network']","['ga', 'estim', 'alway', 'bad', 'privat', 'network']"
please help! I can't select gas fee,4203,open,https://github.com/ethereum/mist/issues/4203,ethereum/mist,"['please', 'help', 'i', 'cant', 'select', 'gas', 'fee']","['pleas', 'help', 'i', 'select', 'ga', 'fee']"
Did I lose my account?,4202,open,https://github.com/ethereum/mist/issues/4202,ethereum/mist,"['did', 'i', 'lose', 'account']","['did', 'i', 'lose', 'account']"
DEPRECATION NOTICE,4201,open,https://github.com/ethereum/mist/issues/4201,ethereum/mist,"['deprecation', 'notice']","['deprec', 'notic']"
test issue #3,4200,closed,https://github.com/ethereum/mist/issues/4200,ethereum/mist,"['test', 'issue', '3']","['test', 'issu', '3']"
test issue #2,4199,closed,https://github.com/ethereum/mist/issues/4199,ethereum/mist,"['test', 'issue', '2']","['test', 'issu', '2']"
test issue,4198,closed,https://github.com/ethereum/mist/issues/4198,ethereum/mist,"['test', 'issue']","['test', 'issu']"
Ethereum Wallet not work No Sync option after today Geth update,4197,closed,https://github.com/ethereum/mist/issues/4197,ethereum/mist,"['ethereum', 'wallet', 'work', 'no', 'sync', 'option', 'today', 'geth', 'update']","['ethereum', 'wallet', 'work', 'no', 'sync', 'option', 'today', 'geth', 'updat']"
Hacked or System Error ?,4196,closed,https://github.com/ethereum/mist/issues/4196,ethereum/mist,"['hacked', 'system', 'error']","['hack', 'system', 'error']"
"GETH is running in the background but wallet wont connect to my local node, regardless if its just ethereum wallet or MIST",4195,closed,https://github.com/ethereum/mist/issues/4195,ethereum/mist,"['geth', 'running', 'background', 'wallet', 'wont', 'connect', 'local', 'node', 'regardless', 'ethereum', 'wallet', 'mist']","['geth', 'run', 'background', 'wallet', 'wont', 'connect', 'local', 'node', 'regardless', 'ethereum', 'wallet', 'mist']"
"Can't send eth, because confirming window is stuck",4194,open,https://github.com/ethereum/mist/issues/4194,ethereum/mist,"['cant', 'send', 'eth', 'confirming', 'window', 'stuck']","['can', 'send', 'eth', 'confirm', 'window', 'stuck']"
Hi,4193,closed,https://github.com/ethereum/mist/issues/4193,ethereum/mist,['hi'],['hi']
Update to geth 1.8.23 for constantinopel,4192,open,https://github.com/ethereum/mist/issues/4192,ethereum/mist,"['update', 'geth', '1823', 'constantinopel']","['updat', 'geth', '1', '8', '23', 'constantinopel']"
someone can send from my wallet,4191,open,https://github.com/ethereum/mist/issues/4191,ethereum/mist,"['someone', 'send', 'wallet']","['someon', 'send', 'wallet']"
chore: Update geth 1.8.23,4190,closed,https://github.com/ethereum/mist/issues/4190,ethereum/mist,"['chore', 'update', 'geth', '1823']","['chore', 'updat', 'geth', '1', '8', '23']"
Submissions ,4189,closed,https://github.com/ethereum/mist/issues/4189,ethereum/mist,['submissions'],['submiss']
Wrong Password ,4188,open,https://github.com/ethereum/mist/issues/4188,ethereum/mist,"['wrong', 'password']","['wrong', 'password']"
"Ethereum node connection error:'( - Head state missing, repairing chain",4187,open,https://github.com/ethereum/mist/issues/4187,ethereum/mist,"['ethereum', 'node', 'connection', 'error', 'head', 'state', 'missing', 'repairing', 'chain']","['ethereum', 'node', 'connect', 'error', 'head', 'state', 'miss', 'repair', 'chain']"
Не устанавливается кошелек Ethereum.,4186,open,https://github.com/ethereum/mist/issues/4186,ethereum/mist,"['не', 'устанавливается', 'кошелек', 'ethereum']","['не', 'устанавливается', 'кошелек', 'ethereum']"
myETHfist,4183,open,https://github.com/ethereum/mist/issues/4183,ethereum/mist,['myethfist'],['myethfist']
newfist,4182,open,https://github.com/ethereum/mist/issues/4182,ethereum/mist,['newfist'],['newfist']
web3.eth.getBalance is missing in HTML,4181,open,https://github.com/ethereum/mist/issues/4181,ethereum/mist,"['web3ethgetbalance', 'missing', 'html']","['web3', 'eth', 'getbal', 'miss', 'html']"
window.web3.eth is missing,4180,closed,https://github.com/ethereum/mist/issues/4180,ethereum/mist,"['windowweb3eth', 'missing']","['window', 'web3', 'eth', 'miss']"
can somebody fix this wallet once and for all?,4179,closed,https://github.com/ethereum/mist/issues/4179,ethereum/mist,"['somebody', 'fix', 'wallet']","['somebodi', 'fix', 'wallet']"
Update to Geth 1.8.22,4178,closed,https://github.com/ethereum/mist/issues/4178,ethereum/mist,"['update', 'geth', '1822']","['updat', 'geth', '1', '8', '22']"
Dutch updates to Mist interface,4177,open,https://github.com/ethereum/mist/issues/4177,ethereum/mist,"['dutch', 'update', 'mist', 'interface']","['dutch', 'updat', 'mist', 'interfac']"
Ethereum Wallet fails to communicate with local geth node,4176,open,https://github.com/ethereum/mist/issues/4176,ethereum/mist,"['ethereum', 'wallet', 'fails', 'communicate', 'local', 'geth', 'node']","['ethereum', 'wallet', 'fail', 'commun', 'local', 'geth', 'node']"
Not able to connect to Main net from the past 8 hours And not able to import multisig wallet,4175,open,https://github.com/ethereum/mist/issues/4175,ethereum/mist,"['not', 'able', 'connect', 'main', 'net', 'past', '8', 'hour', 'and', 'able', 'import', 'multisig', 'wallet']","['not', 'abl', 'connect', 'main', 'net', 'past', '8', 'hour', 'and', 'abl', 'import', 'multisig', 'wallet']"
Updating geth,4174,closed,https://github.com/ethereum/mist/issues/4174,ethereum/mist,"['updating', 'geth']","['updat', 'geth']"
Wrong password (but it is not),4173,open,https://github.com/ethereum/mist/issues/4173,ethereum/mist,"['wrong', 'password']","['wrong', 'password']"
Fixes infinite error when result is null,4172,open,https://github.com/ethereum/mist/issues/4172,ethereum/mist,"['fixes', 'infinite', 'error', 'result', 'null']","['fix', 'infinit', 'error', 'result', 'null']"
Account generation problem,4169,open,https://github.com/ethereum/mist/issues/4169,ethereum/mist,"['account', 'generation', 'problem']","['account', 'gener', 'problem']"
Merges develop into master,4168,closed,https://github.com/ethereum/mist/issues/4168,ethereum/mist,"['merges', 'develop', 'master']","['merg', 'develop', 'master']"
Update geth 1.8.20,4167,closed,https://github.com/ethereum/mist/issues/4167,ethereum/mist,"['update', 'geth', '1820']","['updat', 'geth', '1', '8', '20']"
Returned error:personal_sign Transaction method not implemented,4166,open,https://github.com/ethereum/mist/issues/4166,ethereum/mist,"['returned', 'errorpersonal_sign', 'transaction', 'method', 'implemented']","['return', 'error', 'personal_sign', 'transact', 'method', 'implement']"
Meteor update,4165,closed,https://github.com/ethereum/mist/issues/4165,ethereum/mist,"['meteor', 'update']","['meteor', 'updat']"
--datadir option not working,4164,closed,https://github.com/ethereum/mist/issues/4164,ethereum/mist,"['datadir', 'option', 'working']","['datadir', 'option', 'work']"
amolha7bk@gmail.com,4163,closed,https://github.com/ethereum/mist/issues/4163,ethereum/mist,['amolha7bkgmailcom'],"['amolha7bk', 'gmail', 'com']"
geth never fully syncs in Mist,4162,open,https://github.com/ethereum/mist/issues/4162,ethereum/mist,"['geth', 'never', 'fully', 'syncs', 'mist']","['geth', 'never', 'fulli', 'sync', 'mist']"
