issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
"Run Berlin ethethereum/tests, except for modexp-related ones",1992,closed,https://github.com/ethereum/py-evm/issues/1992,ethereum/py-evm,"['run', 'berlin', 'ethethereumtests', 'except', 'modexprelated', 'one']","['run', 'berlin', 'ethethereum', 'test', 'except', 'modexp', 'relat', 'one']"
Enable Berlin fixture tests,1991,open,https://github.com/ethereum/py-evm/issues/1991,ethereum/py-evm,"['enable', 'berlin', 'fixture', 'test']","['enabl', 'berlin', 'fixtur', 'test']"
Improve name of AccountDB.lock_changes(),1990,open,https://github.com/ethereum/py-evm/issues/1990,ethereum/py-evm,"['improve', 'name', 'accountdblock_changes']","['improv', 'name', 'accountdb', 'lock_chang']"
Calculate modexp gas fee correctly EIP-2565,1989,closed,https://github.com/ethereum/py-evm/issues/1989,ethereum/py-evm,"['calculate', 'modexp', 'gas', 'fee', 'correctly', 'eip2565']","['calcul', 'modexp', 'ga', 'fee', 'correctli', 'eip', '2565']"
Handle huge exponents in modexp without crashing,1988,open,https://github.com/ethereum/py-evm/issues/1988,ethereum/py-evm,"['handle', 'huge', 'exponent', 'modexp', 'without', 'crashing']","['handl', 'huge', 'expon', 'modexp', 'without', 'crash']"
Update ethereum/tests to v8.0.1,1987,closed,https://github.com/ethereum/py-evm/issues/1987,ethereum/py-evm,"['update', 'ethereumtests', 'v801']","['updat', 'ethereum', 'test', 'v8', '0', '1']"
"EIP 2929 - dynamic state access costs, by cache warmth",1986,closed,https://github.com/ethereum/py-evm/issues/1986,ethereum/py-evm,"['eip', '2929', 'dynamic', 'state', 'access', 'cost', 'cache', 'warmth']","['eip', '2929', 'dynam', 'state', 'access', 'cost', 'cach', 'warmth']"
Upgrade tests to v8.0.1,1985,closed,https://github.com/ethereum/py-evm/issues/1985,ethereum/py-evm,"['upgrade', 'test', 'v801']","['upgrad', 'test', 'v8', '0', '1']"
Fixed: Outdated py-evm version in Guide Doc - #1983,1984,closed,https://github.com/ethereum/py-evm/issues/1984,ethereum/py-evm,"['fixed', 'outdated', 'pyevm', 'version', 'guide', 'doc', '1983']","['fix', 'outdat', 'py', 'evm', 'version', 'guid', 'doc', '1983']"
Outdated py-evm version in Guide Doc: 'FrontierState' object has no attribute 'get_balance',1983,open,https://github.com/ethereum/py-evm/issues/1983,ethereum/py-evm,"['outdated', 'pyevm', 'version', 'guide', 'doc', 'frontierstate', 'object', 'attribute', 'get_balance']","['outdat', 'py', 'evm', 'version', 'guid', 'doc', 'frontierst', 'object', 'attribut', 'get_bal']"
[WIP] EIP 2929,1982,closed,https://github.com/ethereum/py-evm/issues/1982,ethereum/py-evm,"['wip', 'eip', '2929']","['wip', 'eip', '2929']"
[WIP] Eip 2929,1981,closed,https://github.com/ethereum/py-evm/issues/1981,ethereum/py-evm,"['wip', 'eip', '2929']","['wip', 'eip', '2929']"
