issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
fix matomo - switchTo,996,closed,https://github.com/ethereum/remix-project/issues/996,ethereum/remix-project,"['fix', 'matomo', 'switchto']","['fix', 'matomo', 'switchto']"
Disable matomo,995,closed,https://github.com/ethereum/remix-project/issues/995,ethereum/remix-project,"['disable', 'matomo']","['disabl', 'matomo']"
remove uneeded call to matomo,994,closed,https://github.com/ethereum/remix-project/issues/994,ethereum/remix-project,"['remove', 'uneeded', 'call', 'matomo']","['remov', 'uneed', 'call', 'matomo']"
bugfix app manager,993,open,https://github.com/ethereum/remix-project/issues/993,ethereum/remix-project,"['bugfix', 'app', 'manager']","['bugfix', 'app', 'manag']"
Merge pull request #1 from ethereum/master,992,open,https://github.com/ethereum/remix-project/issues/992,ethereum/remix-project,"['merge', 'pull', 'request', '1', 'ethereummaster']","['merg', 'pull', 'request', '1', 'ethereum', 'master']"
Reports of Parse error : source file requires different compiler version ,991,open,https://github.com/ethereum/remix-project/issues/991,ethereum/remix-project,"['reports', 'parse', 'error', 'source', 'file', 'requires', 'different', 'compiler', 'version']","['report', 'pars', 'error', 'sourc', 'file', 'requir', 'differ', 'compil', 'version']"
dgit update,990,open,https://github.com/ethereum/remix-project/issues/990,ethereum/remix-project,"['dgit', 'update']","['dgit', 'updat']"
Editor: when switching between localhost & workspaces - the localhost files are still there,989,open,https://github.com/ethereum/remix-project/issues/989,ethereum/remix-project,"['editor', 'switching', 'localhost', 'workspace', 'localhost', 'file', 'still']","['editor', 'switch', 'localhost', 'workspac', 'localhost', 'file', 'still']"
Solidity Unit testing plugin improvements,988,open,https://github.com/ethereum/remix-project/issues/988,ethereum/remix-project,"['solidity', 'unit', 'testing', 'plugin', 'improvement']","['solid', 'unit', 'test', 'plugin', 'improv']"
fix event workspaceCreated,987,open,https://github.com/ethereum/remix-project/issues/987,ethereum/remix-project,"['fix', 'event', 'workspacecreated']","['fix', 'event', 'workspacecr']"
Display localhost title after connection to remixd,986,closed,https://github.com/ethereum/remix-project/issues/986,ethereum/remix-project,"['display', 'localhost', 'title', 'connection', 'remixd']","['display', 'localhost', 'titl', 'connect', 'remixd']"
Move Static Analysis Tab To Reactjs,985,open,https://github.com/ethereum/remix-project/issues/985,ethereum/remix-project,"['move', 'static', 'analysis', 'tab', 'to', 'reactjs']","['move', 'static', 'analysi', 'tab', 'to', 'reactj']"
Fix switch workspace when remixd is activated from the plugin manager,984,closed,https://github.com/ethereum/remix-project/issues/984,ethereum/remix-project,"['fix', 'switch', 'workspace', 'remixd', 'activated', 'plugin', 'manager']","['fix', 'switch', 'workspac', 'remixd', 'activ', 'plugin', 'manag']"
Add remix-desktop on home tab,983,open,https://github.com/ethereum/remix-project/issues/983,ethereum/remix-project,"['add', 'remixdesktop', 'home', 'tab']","['add', 'remix', 'desktop', 'home', 'tab']"
Fix create gist,982,closed,https://github.com/ethereum/remix-project/issues/982,ethereum/remix-project,"['fix', 'create', 'gist']","['fix', 'creat', 'gist']"
Remove carat,981,closed,https://github.com/ethereum/remix-project/issues/981,ethereum/remix-project,"['remove', 'carat']","['remov', 'carat']"
fix switching workspaces,980,closed,https://github.com/ethereum/remix-project/issues/980,ethereum/remix-project,"['fix', 'switching', 'workspace']","['fix', 'switch', 'workspac']"
updated the remix-tabs version,979,closed,https://github.com/ethereum/remix-project/issues/979,ethereum/remix-project,"['updated', 'remixtabs', 'version']","['updat', 'remix', 'tab', 'version']"
Use workspace provider for setting up the files,978,open,https://github.com/ethereum/remix-project/issues/978,ethereum/remix-project,"['use', 'workspace', 'provider', 'setting', 'file']","['use', 'workspac', 'provid', 'set', 'file']"
remixd modal grabs the url including all the url parameters,977,open,https://github.com/ethereum/remix-project/issues/977,ethereum/remix-project,"['remixd', 'modal', 'grab', 'url', 'including', 'url', 'parameter']","['remixd', 'modal', 'grab', 'url', 'includ', 'url', 'paramet']"
file provider sends out full paths in workspace version,976,open,https://github.com/ethereum/remix-project/issues/976,ethereum/remix-project,"['file', 'provider', 'sends', 'full', 'path', 'workspace', 'version']","['file', 'provid', 'send', 'full', 'path', 'workspac', 'version']"
Compilerconfig,975,open,https://github.com/ethereum/remix-project/issues/975,ethereum/remix-project,['compilerconfig'],['compilerconfig']
Add workspace name to tabs,974,closed,https://github.com/ethereum/remix-project/issues/974,ethereum/remix-project,"['add', 'workspace', 'name', 'tab']","['add', 'workspac', 'name', 'tab']"
hover text for workspace options updated,973,closed,https://github.com/ethereum/remix-project/issues/973,ethereum/remix-project,"['hover', 'text', 'workspace', 'option', 'updated']","['hover', 'text', 'workspac', 'option', 'updat']"
Ok to OK in file explorer modals,972,closed,https://github.com/ethereum/remix-project/issues/972,ethereum/remix-project,"['ok', 'ok', 'file', 'explorer', 'modal']","['ok', 'ok', 'file', 'explor', 'modal']"
Update remixd modal,971,closed,https://github.com/ethereum/remix-project/issues/971,ethereum/remix-project,"['update', 'remixd', 'modal']","['updat', 'remixd', 'modal']"
Fix multiple badges,970,closed,https://github.com/ethereum/remix-project/issues/970,ethereum/remix-project,"['fix', 'multiple', 'badge']","['fix', 'multipl', 'badg']"
Improve Error Messages,969,open,https://github.com/ethereum/remix-project/issues/969,ethereum/remix-project,"['improve', 'error', 'messages']","['improv', 'error', 'messag']"
Update publish to gist modal with workspace name.,968,closed,https://github.com/ethereum/remix-project/issues/968,ethereum/remix-project,"['update', 'publish', 'gist', 'modal', 'workspace', 'name']","['updat', 'publish', 'gist', 'modal', 'workspac', 'name']"
Blank name for files with the same name displayed in editor tabs.,967,closed,https://github.com/ethereum/remix-project/issues/967,ethereum/remix-project,"['blank', 'name', 'file', 'name', 'displayed', 'editor', 'tab']","['blank', 'name', 'file', 'name', 'display', 'editor', 'tab']"
Refactored Context Menu,966,closed,https://github.com/ethereum/remix-project/issues/966,ethereum/remix-project,"['refactored', 'context', 'menu']","['refactor', 'context', 'menu']"
switch from localhost to another workspace gives a console error,965,closed,https://github.com/ethereum/remix-project/issues/965,ethereum/remix-project,"['switch', 'localhost', 'another', 'workspace', 'give', 'console', 'error']","['switch', 'localhost', 'anoth', 'workspac', 'give', 'consol', 'error']"
default workspace is selected showing remixd file when remix is turned on in the Plugin man,964,closed,https://github.com/ethereum/remix-project/issues/964,ethereum/remix-project,"['default', 'workspace', 'selected', 'showing', 'remixd', 'file', 'remix', 'turned', 'plugin', 'man']","['default', 'workspac', 'select', 'show', 'remixd', 'file', 'remix', 'turn', 'plugin', 'man']"
terminated remixd modal needs a space in the modal.,963,closed,https://github.com/ethereum/remix-project/issues/963,ethereum/remix-project,"['terminated', 'remixd', 'modal', 'need', 'space', 'modal']","['termin', 'remixd', 'modal', 'need', 'space', 'modal']"
remixd: when switching between localhost & another workspace...,962,closed,https://github.com/ethereum/remix-project/issues/962,ethereum/remix-project,"['remixd', 'switching', 'localhost', 'another', 'workspace']","['remixd', 'switch', 'localhost', 'anoth', 'workspac']"
compiler multiple badges,961,closed,https://github.com/ethereum/remix-project/issues/961,ethereum/remix-project,"['compiler', 'multiple', 'badge']","['compil', 'multipl', 'badg']"
using struct declared out of contract scope in public function makes debugger to disappear,960,open,https://github.com/ethereum/remix-project/issues/960,ethereum/remix-project,"['using', 'struct', 'declared', 'contract', 'scope', 'public', 'function', 'make', 'debugger', 'disappear']","['use', 'struct', 'declar', 'contract', 'scope', 'public', 'function', 'make', 'debugg', 'disappear']"
load a local file into workspace - only loads to the root,959,open,https://github.com/ethereum/remix-project/issues/959,ethereum/remix-project,"['load', 'local', 'file', 'workspace', 'load', 'root']","['load', 'local', 'file', 'workspac', 'load', 'root']"
why is there a caret to the left of the workspace icons,958,open,https://github.com/ethereum/remix-project/issues/958,ethereum/remix-project,"['caret', 'left', 'workspace', 'icon']","['caret', 'left', 'workspac', 'icon']"
publish to gist fail,957,closed,https://github.com/ethereum/remix-project/issues/957,ethereum/remix-project,"['publish', 'gist', 'fail']","['publish', 'gist', 'fail']"
