issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Fix keccak bug,11134,open,https://github.com/ethereum/solidity/issues/11134,ethereum/solidity,"['fix', 'keccak', 'bug']","['fix', 'keccak', 'bug']"
[DOCS] Update OpenZeppelin's ECDSA contract URL,11133,open,https://github.com/ethereum/solidity/issues/11133,ethereum/solidity,"['docs', 'update', 'openzeppelins', 'ecdsa', 'contract', 'url']","['doc', 'updat', 'openzeppelin', 'ecdsa', 'contract', 'url']"
"solc mode that runs the Yul optimization checks, other expensive compiler checks",11132,open,https://github.com/ethereum/solidity/issues/11132,ethereum/solidity,"['solc', 'mode', 'run', 'yul', 'optimization', 'check', 'expensive', 'compiler', 'check']","['solc', 'mode', 'run', 'yul', 'optim', 'check', 'expens', 'compil', 'check']"
[Optimizer] Legacy optimizer precomputes successive keccak256 from the same location but different size incorrectly,11131,open,https://github.com/ethereum/solidity/issues/11131,ethereum/solidity,"['optimizer', 'legacy', 'optimizer', 'precomputes', 'successive', 'keccak256', 'location', 'different', 'size', 'incorrectly']","['optim', 'legaci', 'optim', 'precomput', 'success', 'keccak256', 'locat', 'differ', 'size', 'incorrectli']"
Explain language inspirations in some depth,11130,open,https://github.com/ethereum/solidity/issues/11130,ethereum/solidity,"['explain', 'language', 'inspiration', 'depth']","['explain', 'languag', 'inspir', 'depth']"
Do not treat SMTChecker tests in a special way,11129,open,https://github.com/ethereum/solidity/issues/11129,ethereum/solidity,"['do', 'treat', 'smtchecker', 'test', 'special', 'way']","['do', 'treat', 'smtchecker', 'test', 'special', 'way']"
[Sol->Yul] Invalid code generated while compiling code with circular reference,11128,open,https://github.com/ethereum/solidity/issues/11128,ethereum/solidity,"['solyul', 'invalid', 'code', 'generated', 'compiling', 'code', 'circular', 'reference']","['sol', 'yul', 'invalid', 'code', 'gener', 'compil', 'code', 'circular', 'refer']"
[SMTChecker] Do not create verification targets for contracts that cannot be deployed.,11126,open,https://github.com/ethereum/solidity/issues/11126,ethereum/solidity,"['smtchecker', 'do', 'create', 'verification', 'target', 'contract', 'deployed']","['smtchecker', 'do', 'creat', 'verif', 'target', 'contract', 'deploy']"
Disable safety checks on individual statements for gas efficiency,11125,open,https://github.com/ethereum/solidity/issues/11125,ethereum/solidity,"['disable', 'safety', 'check', 'individual', 'statement', 'gas', 'efficiency']","['disabl', 'safeti', 'check', 'individu', 'statement', 'ga', 'effici']"
Add creationCode/runtimeCode contract creation detection to call graph,11124,open,https://github.com/ethereum/solidity/issues/11124,ethereum/solidity,"['add', 'creationcoderuntimecode', 'contract', 'creation', 'detection', 'call', 'graph']","['add', 'creationcod', 'runtimecod', 'contract', 'creation', 'detect', 'call', 'graph']"
Add verbatim builtin.,11123,open,https://github.com/ethereum/solidity/issues/11123,ethereum/solidity,"['add', 'verbatim', 'builtin']","['add', 'verbatim', 'builtin']"
[SMTChecker] Show local variables in cex,11122,open,https://github.com/ethereum/solidity/issues/11122,ethereum/solidity,"['smtchecker', 'show', 'local', 'variable', 'cex']","['smtchecker', 'show', 'local', 'variabl', 'cex']"
Document the version/kind fields in the natspec documentation,11121,closed,https://github.com/ethereum/solidity/issues/11121,ethereum/solidity,"['document', 'versionkind', 'field', 'natspec', 'documentation']","['document', 'version', 'kind', 'field', 'natspec', 'document']"
Natspec: change parameters to be an array,11120,open,https://github.com/ethereum/solidity/issues/11120,ethereum/solidity,"['natspec', 'change', 'parameter', 'array']","['natspec', 'chang', 'paramet', 'array']"
Use solidity-docgen in the CI,11119,open,https://github.com/ethereum/solidity/issues/11119,ethereum/solidity,"['use', 'soliditydocgen', 'ci']","['use', 'solid', 'docgen', 'ci']"
Understanding creation context when optimizing Yul subobjects,11118,open,https://github.com/ethereum/solidity/issues/11118,ethereum/solidity,"['understanding', 'creation', 'context', 'optimizing', 'yul', 'subobjects']","['understand', 'creation', 'context', 'optim', 'yul', 'subobject']"
Fix small bug in GasMeter calculation in creation context,11117,closed,https://github.com/ethereum/solidity/issues/11117,ethereum/solidity,"['fix', 'small', 'bug', 'gasmeter', 'calculation', 'creation', 'context']","['fix', 'small', 'bug', 'gasmet', 'calcul', 'creation', 'context']"
[SMTChecker] Handle InaccessibleDynamicType,11116,open,https://github.com/ethereum/solidity/issues/11116,ethereum/solidity,"['smtchecker', 'handle', 'inaccessibledynamictype']","['smtchecker', 'handl', 'inaccessibledynamictyp']"
[Question] Error While Compiling (Solidity 0.8.2),11115,closed,https://github.com/ethereum/solidity/issues/11115,ethereum/solidity,"['question', 'error', 'while', 'compiling', 'solidity', '082']","['question', 'error', 'while', 'compil', 'solid', '0', '8', '2']"
NatSpec and multiple events with identical signature,11114,open,https://github.com/ethereum/solidity/issues/11114,ethereum/solidity,"['natspec', 'multiple', 'event', 'identical', 'signature']","['natspec', 'multipl', 'event', 'ident', 'signatur']"
Adds reusable FileReader interface doing some more logic.,11113,open,https://github.com/ethereum/solidity/issues/11113,ethereum/solidity,"['adds', 'reusable', 'filereader', 'interface', 'logic']","['add', 'reusabl', 'fileread', 'interfac', 'logic']"
[SMTChecker] Small refactoring of defining SMT expressions for structs/tuples,11112,closed,https://github.com/ethereum/solidity/issues/11112,ethereum/solidity,"['smtchecker', 'small', 'refactoring', 'defining', 'smt', 'expression', 'structstuples']","['smtchecker', 'small', 'refactor', 'defin', 'smt', 'express', 'struct', 'tupl']"
How to check size of calldata,11111,closed,https://github.com/ethereum/solidity/issues/11111,ethereum/solidity,"['how', 'check', 'size', 'calldata']","['how', 'check', 'size', 'calldata']"
[isoltest] Add support for external sources.,11110,open,https://github.com/ethereum/solidity/issues/11110,ethereum/solidity,"['isoltest', 'add', 'support', 'external', 'source']","['isoltest', 'add', 'support', 'extern', 'sourc']"
Fix small bug in inliner heuristics.,11109,closed,https://github.com/ethereum/solidity/issues/11109,ethereum/solidity,"['fix', 'small', 'bug', 'inliner', 'heuristic']","['fix', 'small', 'bug', 'inlin', 'heurist']"
Remove remains of shellcheck ignore list,11108,closed,https://github.com/ethereum/solidity/issues/11108,ethereum/solidity,"['remove', 'remains', 'shellcheck', 'ignore', 'list']","['remov', 'remain', 'shellcheck', 'ignor', 'list']"
Inline ordinary jumps to small blocks and jumps to terminating control flow.,11107,open,https://github.com/ethereum/solidity/issues/11107,ethereum/solidity,"['inline', 'ordinary', 'jump', 'small', 'block', 'jump', 'terminating', 'control', 'flow']","['inlin', 'ordinari', 'jump', 'small', 'block', 'jump', 'termin', 'control', 'flow']"
Respect memory model,11106,open,https://github.com/ethereum/solidity/issues/11106,ethereum/solidity,"['respect', 'memory', 'model']","['respect', 'memori', 'model']"
Path resolution docs,11105,open,https://github.com/ethereum/solidity/issues/11105,ethereum/solidity,"['path', 'resolution', 'doc']","['path', 'resolut', 'doc']"
Add missing header to Algorithms.h.,11104,closed,https://github.com/ethereum/solidity/issues/11104,ethereum/solidity,"['add', 'missing', 'header', 'algorithmsh']","['add', 'miss', 'header', 'algorithm', 'h']"
error: ‘list’ in namespace ‘std’ does not name a template type,11103,closed,https://github.com/ethereum/solidity/issues/11103,ethereum/solidity,"['error', 'list', 'namespace', 'std', 'name', 'template', 'type']","['error', 'list', 'namespac', 'std', 'name', 'templat', 'type']"
A smart contract hub that routes calls to various child smart contracts to bypass the 24KB bytecode limit ,11102,open,https://github.com/ethereum/solidity/issues/11102,ethereum/solidity,"['a', 'smart', 'contract', 'hub', 'route', 'call', 'various', 'child', 'smart', 'contract', 'bypass', '24kb', 'bytecode', 'limit']","['a', 'smart', 'contract', 'hub', 'rout', 'call', 'variou', 'child', 'smart', 'contract', 'bypass', '24kb', 'bytecod', 'limit']"
Add more details around what it means to use Ether units,11101,open,https://github.com/ethereum/solidity/issues/11101,ethereum/solidity,"['add', 'detail', 'around', 'mean', 'use', 'ether', 'unit']","['add', 'detail', 'around', 'mean', 'use', 'ether', 'unit']"
core dumped when testing,11100,open,https://github.com/ethereum/solidity/issues/11100,ethereum/solidity,"['core', 'dumped', 'testing']","['core', 'dump', 'test']"
Ethereum,11099,closed,https://github.com/ethereum/solidity/issues/11099,ethereum/solidity,['ethereum'],['ethereum']
isoltest: add --accept-updates option,11098,closed,https://github.com/ethereum/solidity/issues/11098,ethereum/solidity,"['isoltest', 'add', 'acceptupdates', 'option']","['isoltest', 'add', 'accept', 'updat', 'option']"
[SMTChecker] Reset reference variables on assignment to a variable of reference type,11097,closed,https://github.com/ethereum/solidity/issues/11097,ethereum/solidity,"['smtchecker', 'reset', 'reference', 'variable', 'assignment', 'variable', 'reference', 'type']","['smtchecker', 'reset', 'refer', 'variabl', 'assign', 'variabl', 'refer', 'type']"
Testing docker images and CI runs for Debian stable,11096,open,https://github.com/ethereum/solidity/issues/11096,ethereum/solidity,"['testing', 'docker', 'image', 'ci', 'run', 'debian', 'stable']","['test', 'docker', 'imag', 'ci', 'run', 'debian', 'stabl']"
