issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Handle transactions as opaque objects of bytes or List[bytes] until VM can deterministically decode them,2125,closed,https://github.com/ethereum/trinity/issues/2125,ethereum/trinity,"['handle', 'transaction', 'opaque', 'object', 'byte', 'listbytes', 'vm', 'deterministically', 'decode']","['handl', 'transact', 'opaqu', 'object', 'byte', 'list', 'byte', 'vm', 'determinist', 'decod']"
Upgrade cruft & fix a bunch of flaky tests,2124,closed,https://github.com/ethereum/trinity/issues/2124,ethereum/trinity,"['upgrade', 'cruft', 'fix', 'bunch', 'flaky', 'test']","['upgrad', 'cruft', 'fix', 'bunch', 'flaki', 'test']"
Berlin support,2123,open,https://github.com/ethereum/trinity/issues/2123,ethereum/trinity,"['berlin', 'support']","['berlin', 'support']"
[POC] Implement 'proxy' mode for bridge infrastructure,2122,open,https://github.com/ethereum/trinity/issues/2122,ethereum/trinity,"['poc', 'implement', 'proxy', 'mode', 'bridge', 'infrastructure']","['poc', 'implement', 'proxi', 'mode', 'bridg', 'infrastructur']"
cannot install dev dependencies,2121,open,https://github.com/ethereum/trinity/issues/2121,ethereum/trinity,"['install', 'dev', 'dependency']","['instal', 'dev', 'depend']"
Can't install Trinity on Mac Catalina 10.15.4,2120,open,https://github.com/ethereum/trinity/issues/2120,ethereum/trinity,"['cant', 'install', 'trinity', 'mac', 'catalina', '10154']","['can', 'instal', 'triniti', 'mac', 'catalina', '10', '15', '4']"
Update quickstart.rst to specify correct pythondev version,2119,open,https://github.com/ethereum/trinity/issues/2119,ethereum/trinity,"['update', 'quickstartrst', 'specify', 'correct', 'pythondev', 'version']","['updat', 'quickstart', 'rst', 'specifi', 'correct', 'pythondev', 'version']"
TimeoutError: IPC socket file has not appeared in 30 seconds,2118,open,https://github.com/ethereum/trinity/issues/2118,ethereum/trinity,"['timeouterror', 'ipc', 'socket', 'file', 'appeared', '30', 'second']","['timeouterror', 'ipc', 'socket', 'file', 'appear', '30', 'second']"
Incomplete BLS key validation,2117,open,https://github.com/ethereum/trinity/issues/2117,ethereum/trinity,"['incomplete', 'bls', 'key', 'validation']","['incomplet', 'bl', 'key', 'valid']"
Issue #1959 easier upnp support,2116,open,https://github.com/ethereum/trinity/issues/2116,ethereum/trinity,"['issue', '1959', 'easier', 'upnp', 'support']","['issu', '1959', 'easier', 'upnp', 'support']"
Fix handling of witness hashes request when they don't exist in the DB,2115,closed,https://github.com/ethereum/trinity/issues/2115,ethereum/trinity,"['fix', 'handling', 'witness', 'hash', 'request', 'dont', 'exist', 'db']","['fix', 'handl', 'wit', 'hash', 'request', 'exist', 'db']"
BeamSyncer.import_block(): fetch witness if missing,2114,closed,https://github.com/ethereum/trinity/issues/2114,ethereum/trinity,"['beamsyncerimport_block', 'fetch', 'witness', 'missing']","['beamsync', 'import_block', 'fetch', 'wit', 'miss']"
Move witness fetcher to BeamSyncService,2113,closed,https://github.com/ethereum/trinity/issues/2113,ethereum/trinity,"['move', 'witness', 'fetcher', 'beamsyncservice']","['move', 'wit', 'fetcher', 'beamsyncservic']"
Pivot when beam sync lag is more than 30 blocks,2112,closed,https://github.com/ethereum/trinity/issues/2112,ethereum/trinity,"['pivot', 'beam', 'sync', 'lag', '30', 'block']","['pivot', 'beam', 'sync', 'lag', '30', 'block']"
Fix argcomplete version,2111,closed,https://github.com/ethereum/trinity/issues/2111,ethereum/trinity,"['fix', 'argcomplete', 'version']","['fix', 'argcomplet', 'version']"
More peer/sync metrics,2110,closed,https://github.com/ethereum/trinity/issues/2110,ethereum/trinity,"['more', 'peersync', 'metric']","['more', 'peer', 'sync', 'metric']"
Store union of hashes for block witness,2109,closed,https://github.com/ethereum/trinity/issues/2109,ethereum/trinity,"['store', 'union', 'hash', 'block', 'witness']","['store', 'union', 'hash', 'block', 'wit']"
Trinity crashes because some components can't establish an event bus connection to another component,2108,open,https://github.com/ethereum/trinity/issues/2108,ethereum/trinity,"['trinity', 'crash', 'component', 'cant', 'establish', 'event', 'bus', 'connection', 'another', 'component']","['triniti', 'crash', 'compon', 'establish', 'event', 'bu', 'connect', 'anoth', 'compon']"
Fetch block witness upon receipt of NewBlockHashes msgs,2107,closed,https://github.com/ethereum/trinity/issues/2107,ethereum/trinity,"['fetch', 'block', 'witness', 'upon', 'receipt', 'newblockhashes', 'msg']","['fetch', 'block', 'wit', 'upon', 'receipt', 'newblockhash', 'msg']"
Record metrics for block witnesses and missing state,2106,closed,https://github.com/ethereum/trinity/issues/2106,ethereum/trinity,"['record', 'metric', 'block', 'witness', 'missing', 'state']","['record', 'metric', 'block', 'wit', 'miss', 'state']"
Do not overwrite existing witness hashes for a given block in the DB,2105,closed,https://github.com/ethereum/trinity/issues/2105,ethereum/trinity,"['do', 'overwrite', 'existing', 'witness', 'hash', 'given', 'block', 'db']","['do', 'overwrit', 'exist', 'wit', 'hash', 'given', 'block', 'db']"
ETHProxyPeer exposes wit_api property even if the remote doesn't support the wit protocol,2104,open,https://github.com/ethereum/trinity/issues/2104,ethereum/trinity,"['ethproxypeer', 'expose', 'wit_api', 'property', 'even', 'remote', 'doesnt', 'support', 'wit', 'protocol']","['ethproxyp', 'expos', 'wit_api', 'properti', 'even', 'remot', 'support', 'wit', 'protocol']"
Download block witnesses upon receiving a NewBlock msg,2103,closed,https://github.com/ethereum/trinity/issues/2103,ethereum/trinity,"['download', 'block', 'witness', 'upon', 'receiving', 'newblock', 'msg']","['download', 'block', 'wit', 'upon', 'receiv', 'newblock', 'msg']"
rpc-state-istanbul fails intermittently with a crash,2102,open,https://github.com/ethereum/trinity/issues/2102,ethereum/trinity,"['rpcstateistanbul', 'fails', 'intermittently', 'crash']","['rpc', 'state', 'istanbul', 'fail', 'intermitt', 'crash']"
Fix a couple bugs in NewBlockComponent,2101,closed,https://github.com/ethereum/trinity/issues/2101,ethereum/trinity,"['fix', 'couple', 'bug', 'newblockcomponent']","['fix', 'coupl', 'bug', 'newblockcompon']"
Implement the wit p2p sub-protocol,2100,closed,https://github.com/ethereum/trinity/issues/2100,ethereum/trinity,"['implement', 'wit', 'p2p', 'subprotocol']","['implement', 'wit', 'p2p', 'sub', 'protocol']"
"Implement AsyncWitnessDB, to store recent block witness hashes",2099,closed,https://github.com/ethereum/trinity/issues/2099,ethereum/trinity,"['implement', 'asyncwitnessdb', 'store', 'recent', 'block', 'witness', 'hash']","['implement', 'asyncwitnessdb', 'store', 'recent', 'block', 'wit', 'hash']"
component/db-shell: use correct consensus_context_class in mining chain,2098,closed,https://github.com/ethereum/trinity/issues/2098,ethereum/trinity,"['componentdbshell', 'use', 'correct', 'consensus_context_class', 'mining', 'chain']","['compon', 'db', 'shell', 'use', 'correct', 'consensus_context_class', 'mine', 'chain']"
Don't exit the state backfill service,2097,closed,https://github.com/ethereum/trinity/issues/2097,ethereum/trinity,"['dont', 'exit', 'state', 'backfill', 'service']","['don', 'exit', 'state', 'backfil', 'servic']"
NewBlock component propagates received blocks incorrectly,2096,closed,https://github.com/ethereum/trinity/issues/2096,ethereum/trinity,"['newblock', 'component', 'propagates', 'received', 'block', 'incorrectly']","['newblock', 'compon', 'propag', 'receiv', 'block', 'incorrectli']"
"_match_predictive_node_requests_to_peers (daemon task) exits when BeamStateBackfill completes, crashing trinity",2095,closed,https://github.com/ethereum/trinity/issues/2095,ethereum/trinity,"['_match_predictive_node_requests_to_peers', 'daemon', 'task', 'exit', 'beamstatebackfill', 'completes', 'crashing', 'trinity']","['_match_predictive_node_requests_to_p', 'daemon', 'task', 'exit', 'beamstatebackfil', 'complet', 'crash', 'triniti']"
Intermittent failure on  tests/core/tx-pool/test_tx_pool.py,2094,open,https://github.com/ethereum/trinity/issues/2094,ethereum/trinity,"['intermittent', 'failure', 'testscoretxpooltest_tx_poolpy']","['intermitt', 'failur', 'test', 'core', 'tx', 'pool', 'test_tx_pool', 'py']"
Fix ETHProtocolV65.command_length,2093,closed,https://github.com/ethereum/trinity/issues/2093,ethereum/trinity,"['fix', 'ethprotocolv65command_length']","['fix', 'ethprotocolv65', 'command_length']"
Verify NewBlock performance on Clique chains,2092,open,https://github.com/ethereum/trinity/issues/2092,ethereum/trinity,"['verify', 'newblock', 'performance', 'clique', 'chain']","['verifi', 'newblock', 'perform', 'cliqu', 'chain']"
issue #1998 - raise friendly error when checkpoint too close from tip,2091,closed,https://github.com/ethereum/trinity/issues/2091,ethereum/trinity,"['issue', '1998', 'raise', 'friendly', 'error', 'checkpoint', 'close', 'tip']","['issu', '1998', 'rais', 'friendli', 'error', 'checkpoint', 'close', 'tip']"
Disable resolver in dockerfile for consistent builds,2090,closed,https://github.com/ethereum/trinity/issues/2090,ethereum/trinity,"['disable', 'resolver', 'dockerfile', 'consistent', 'build']","['disabl', 'resolv', 'dockerfil', 'consist', 'build']"
Support various mining consensus when validating newly seen blocks,2089,closed,https://github.com/ethereum/trinity/issues/2089,ethereum/trinity,"['support', 'various', 'mining', 'consensus', 'validating', 'newly', 'seen', 'block']","['support', 'variou', 'mine', 'consensu', 'valid', 'newli', 'seen', 'block']"
Update py-evm dependency to 0.3.0a20,2088,closed,https://github.com/ethereum/trinity/issues/2088,ethereum/trinity,"['update', 'pyevm', 'dependency', '030a20']","['updat', 'py', 'evm', 'depend', '0', '3', '0a20']"
