issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
eth_call formatter breaks when supplying third argument,1921,open,https://github.com/ethereum/web3.py/issues/1921,ethereum/web3.py,"['eth_call', 'formatter', 'break', 'supplying', 'third', 'argument']","['eth_cal', 'formatt', 'break', 'suppli', 'third', 'argument']"
"Add uninstall_filter, deprecate uninstallFilter",1920,open,https://github.com/ethereum/web3.py/issues/1920,ethereum/web3.py,"['add', 'uninstall_filter', 'deprecate', 'uninstallfilter']","['add', 'uninstall_filt', 'deprec', 'uninstallfilt']"
"Add get_filter_logs, deprecate getFilterLogs",1919,open,https://github.com/ethereum/web3.py/issues/1919,ethereum/web3.py,"['add', 'get_filter_logs', 'deprecate', 'getfilterlogs']","['add', 'get_filter_log', 'deprec', 'getfilterlog']"
Clarify snake case migration strategy,1918,closed,https://github.com/ethereum/web3.py/issues/1918,ethereum/web3.py,"['clarify', 'snake', 'case', 'migration', 'strategy']","['clarifi', 'snake', 'case', 'migrat', 'strategi']"
Temporarily disable parity tests,1917,closed,https://github.com/ethereum/web3.py/issues/1917,ethereum/web3.py,"['temporarily', 'disable', 'parity', 'test']","['temporarili', 'disabl', 'pariti', 'test']"
Tiffany/get filter changes to snakecase,1916,open,https://github.com/ethereum/web3.py/issues/1916,ethereum/web3.py,"['tiffanyget', 'filter', 'change', 'snakecase']","['tiffani', 'get', 'filter', 'chang', 'snakecas']"
Tiffany/sign typed data to snakecase,1915,open,https://github.com/ethereum/web3.py/issues/1915,ethereum/web3.py,"['tiffanysign', 'typed', 'data', 'snakecase']","['tiffani', 'sign', 'type', 'data', 'snakecas']"
suggestion filter_by_name() in web3/_utils/abi.py,1914,open,https://github.com/ethereum/web3.py/issues/1914,ethereum/web3.py,"['suggestion', 'filter_by_name', 'web3_utilsabipy']","['suggest', 'filter_by_nam', 'web3', '_util', 'abi', 'py']"
snakecase EstimateGas to estimate_gas,1913,open,https://github.com/ethereum/web3.py/issues/1913,ethereum/web3.py,"['snakecase', 'estimategas', 'estimate_gas']","['snakecas', 'estimatega', 'estimate_ga']"
Failed to get token balance,1912,open,https://github.com/ethereum/web3.py/issues/1912,ethereum/web3.py,"['failed', 'get', 'token', 'balance']","['fail', 'get', 'token', 'balanc']"
