issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Dead URL for JSON-RPC javascrip API,737,open,https://github.com/ethereum/wiki/issues/737,ethereum/wiki,"['dead', 'url', 'jsonrpc', 'javascrip', 'api']","['dead', 'url', 'json', 'rpc', 'javascrip', 'api']"
Old before deleting all files go to wiki wiki instead,736,closed,https://github.com/ethereum/wiki/issues/736,ethereum/wiki,"['old', 'deleting', 'file', 'go', 'wiki', 'wiki', 'instead']","['old', 'delet', 'file', 'go', 'wiki', 'wiki', 'instead']"
Bull,735,open,https://github.com/ethereum/wiki/issues/735,ethereum/wiki,['bull'],['bull']
https://etherscan.io/verifyContract-solc-json?a=0x0039f22efb07a647557…,713,open,https://github.com/ethereum/wiki/issues/713,ethereum/wiki,['httpsetherscanioverifycontractsolcjsona0x0039f22efb07a647557'],"['http', 'etherscan', 'io', 'verifycontract', 'solc', 'json', '0x0039f22efb07a647557']"
Issue,711,closed,https://github.com/ethereum/wiki/issues/711,ethereum/wiki,['issue'],['issu']
White paper,706,closed,https://github.com/ethereum/wiki/issues/706,ethereum/wiki,"['white', 'paper']","['white', 'paper']"
Typo in the key/value contract example in the wiki,703,open,https://github.com/ethereum/wiki/issues/703,ethereum/wiki,"['typo', 'keyvalue', 'contract', 'example', 'wiki']","['typo', 'key', 'valu', 'contract', 'exampl', 'wiki']"
No meta data displayed in search results,702,closed,https://github.com/ethereum/wiki/issues/702,ethereum/wiki,"['no', 'meta', 'data', 'displayed', 'search', 'result']","['no', 'meta', 'data', 'display', 'search', 'result']"
https://github.com/ethereum/wiki/pull/699#issuecomment-638235820,701,open,https://github.com/ethereum/wiki/issues/701,ethereum/wiki,['httpsgithubcomethereumwikipull699issuecomment638235820'],"['http', 'github', 'com', 'ethereum', 'wiki', 'pull', '699', 'issuecom', '638235820']"
https://github.com/ethereum/wiki/pull/699#issuecomment-638235820,700,closed,https://github.com/ethereum/wiki/issues/700,ethereum/wiki,['httpsgithubcomethereumwikipull699issuecomment638235820'],"['http', 'github', 'com', 'ethereum', 'wiki', 'pull', '699', 'issuecom', '638235820']"
0xc5Df3685889DE636F0613f304811f38e78F0c7a3,699,open,https://github.com/ethereum/wiki/issues/699,ethereum/wiki,['0xc5df3685889de636f0613f304811f38e78f0c7a3'],['0xc5df3685889de636f0613f304811f38e78f0c7a3']
0xc5Df3685889DE636F0613f304811f38e78F0c7a3,698,open,https://github.com/ethereum/wiki/issues/698,ethereum/wiki,['0xc5df3685889de636f0613f304811f38e78f0c7a3'],['0xc5df3685889de636f0613f304811f38e78f0c7a3']
ambigeous code block example,697,open,https://github.com/ethereum/wiki/issues/697,ethereum/wiki,"['ambigeous', 'code', 'block', 'example']","['ambig', 'code', 'block', 'exampl']"
small typo,696,open,https://github.com/ethereum/wiki/issues/696,ethereum/wiki,"['small', 'typo']","['small', 'typo']"
Migrate the whitepaper to ethereum.org/whitepaper/,695,closed,https://github.com/ethereum/wiki/issues/695,ethereum/wiki,"['migrate', 'whitepaper', 'ethereumorgwhitepaper']","['migrat', 'whitepap', 'ethereum', 'org', 'whitepap']"
Create puttin,694,closed,https://github.com/ethereum/wiki/issues/694,ethereum/wiki,"['create', 'puttin']","['creat', 'puttin']"
savann,693,closed,https://github.com/ethereum/wiki/issues/693,ethereum/wiki,['savann'],['savann']
Broken link in white paper to historical sources of the white paper (at the very bottom),691,open,https://github.com/ethereum/wiki/issues/691,ethereum/wiki,"['broken', 'link', 'white', 'paper', 'historical', 'source', 'white', 'paper', 'bottom']","['broken', 'link', 'white', 'paper', 'histor', 'sourc', 'white', 'paper', 'bottom']"
ATTENTION!This page does not represent the entire state of the ethereum network - listing a node on this page is a voluntary process.,689,open,https://github.com/ethereum/wiki/issues/689,ethereum/wiki,"['attentionthis', 'page', 'represent', 'entire', 'state', 'ethereum', 'network', 'listing', 'node', 'page', 'voluntary', 'process']","['attent', 'thi', 'page', 'repres', 'entir', 'state', 'ethereum', 'network', 'list', 'node', 'page', 'voluntari', 'process']"
Broken link to web3js version 1.x.x,688,closed,https://github.com/ethereum/wiki/issues/688,ethereum/wiki,"['broken', 'link', 'web3js', 'version', '1xx']","['broken', 'link', 'web3j', 'version', '1', 'x', 'x']"
What is the meaining of ord(input) in RLP code example?,687,open,https://github.com/ethereum/wiki/issues/687,ethereum/wiki,"['what', 'meaining', 'ordinput', 'rlp', 'code', 'example']","['what', 'meain', 'ord', 'input', 'rlp', 'code', 'exampl']"
The link for Ethereum Contract ABI under eth_call needs a reroute,686,closed,https://github.com/ethereum/wiki/issues/686,ethereum/wiki,"['the', 'link', 'ethereum', 'contract', 'abi', 'eth_call', 'need', 'reroute']","['the', 'link', 'ethereum', 'contract', 'abi', 'eth_cal', 'need', 'rerout']"
wiki: eth_pendingTransactions documentation lacks 'for managed addresses' caveat,685,open,https://github.com/ethereum/wiki/issues/685,ethereum/wiki,"['wiki', 'eth_pendingtransactions', 'documentation', 'lack', 'managed', 'address', 'caveat']","['wiki', 'eth_pendingtransact', 'document', 'lack', 'manag', 'address', 'caveat']"
Clients page is outdated,684,closed,https://github.com/ethereum/wiki/issues/684,ethereum/wiki,"['clients', 'page', 'outdated']","['client', 'page', 'outdat']"
Typo in the figure of `Ethereum State Transition Function`,683,open,https://github.com/ethereum/wiki/issues/683,ethereum/wiki,"['typo', 'figure', 'ethereum', 'state', 'transition', 'function']","['typo', 'figur', 'ethereum', 'state', 'transit', 'function']"
Referance to Pantheon client that has been renamed Hyperledger Besu,682,open,https://github.com/ethereum/wiki/issues/682,ethereum/wiki,"['referance', 'pantheon', 'client', 'renamed', 'hyperledger', 'besu']","['refer', 'pantheon', 'client', 'renam', 'hyperledg', 'besu']"
Rationale for mac storage algorithm ,681,open,https://github.com/ethereum/wiki/issues/681,ethereum/wiki,"['rationale', 'mac', 'storage', 'algorithm']","['rational', 'mac', 'storag', 'algorithm']"
Old before deleting all files go to wiki wiki instead,680,closed,https://github.com/ethereum/wiki/issues/680,ethereum/wiki,"['old', 'deleting', 'file', 'go', 'wiki', 'wiki', 'instead']","['old', 'delet', 'file', 'go', 'wiki', 'wiki', 'instead']"
eth_getProof documentation is missing the address property in the returned object,679,closed,https://github.com/ethereum/wiki/issues/679,ethereum/wiki,"['eth_getproof', 'documentation', 'missing', 'address', 'property', 'returned', 'object']","['eth_getproof', 'document', 'miss', 'address', 'properti', 'return', 'object']"
eth_gasPrice format example has leading zeros,675,closed,https://github.com/ethereum/wiki/issues/675,ethereum/wiki,"['eth_gasprice', 'format', 'example', 'leading', 'zero']","['eth_gaspric', 'format', 'exampl', 'lead', 'zero']"
scrypt example not compliant with RFC 7914,674,open,https://github.com/ethereum/wiki/issues/674,ethereum/wiki,"['scrypt', 'example', 'compliant', 'rfc', '7914']","['scrypt', 'exampl', 'compliant', 'rfc', '7914']"
eth_getunclebyblockhashandindex typo,673,closed,https://github.com/ethereum/wiki/issues/673,ethereum/wiki,"['eth_getunclebyblockhashandindex', 'typo']","['eth_getunclebyblockhashandindex', 'typo']"
