issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Replace floor with ceil in EXP gas cost,787,open,https://github.com/ethereum/yellowpaper/issues/787,ethereum/yellowpaper,"['replace', 'floor', 'ceil', 'exp', 'gas', 'cost']","['replac', 'floor', 'ceil', 'exp', 'ga', 'cost']"
Reference to GHOST protocol,786,open,https://github.com/ethereum/yellowpaper/issues/786,ethereum/yellowpaper,"['reference', 'ghost', 'protocol']","['refer', 'ghost', 'protocol']"
Missing SELFBALANCE opcode (EIP-1884),785,open,https://github.com/ethereum/yellowpaper/issues/785,ethereum/yellowpaper,"['missing', 'selfbalance', 'opcode', 'eip1884']","['miss', 'selfbal', 'opcod', 'eip', '1884']"
Missing CHAINID opcode (EIP-1344),784,open,https://github.com/ethereum/yellowpaper/issues/784,ethereum/yellowpaper,"['missing', 'chainid', 'opcode', 'eip1344']","['miss', 'chainid', 'opcod', 'eip', '1344']"
"fix: Update SLOAD, BALANCE, and EXTCODEHASH costs after EIP-1884",783,closed,https://github.com/ethereum/yellowpaper/issues/783,ethereum/yellowpaper,"['fix', 'update', 'sload', 'balance', 'extcodehash', 'cost', 'eip1884']","['fix', 'updat', 'sload', 'balanc', 'extcodehash', 'cost', 'eip', '1884']"
Update transaction data gas cost for EIP 2028,782,closed,https://github.com/ethereum/yellowpaper/issues/782,ethereum/yellowpaper,"['update', 'transaction', 'data', 'gas', 'cost', 'eip', '2028']","['updat', 'transact', 'data', 'ga', 'cost', 'eip', '2028']"
Fix hyperlink,781,open,https://github.com/ethereum/yellowpaper/issues/781,ethereum/yellowpaper,"['fix', 'hyperlink']","['fix', 'hyperlink']"
EPUB render,780,open,https://github.com/ethereum/yellowpaper/issues/780,ethereum/yellowpaper,"['epub', 'render']","['epub', 'render']"
Clarify reward rounding,779,open,https://github.com/ethereum/yellowpaper/issues/779,ethereum/yellowpaper,"['clarify', 'reward', 'rounding']","['clarifi', 'reward', 'round']"
Corrections for CALLCODE and DELEGATECALL,778,open,https://github.com/ethereum/yellowpaper/issues/778,ethereum/yellowpaper,"['corrections', 'callcode', 'delegatecall']","['correct', 'callcod', 'delegatecal']"
[FIX] Status in receipt RLP may be != 0,777,open,https://github.com/ethereum/yellowpaper/issues/777,ethereum/yellowpaper,"['fix', 'status', 'receipt', 'rlp', 'may', '0']","['fix', 'statu', 'receipt', 'rlp', 'may', '0']"
Update authors.,776,closed,https://github.com/ethereum/yellowpaper/issues/776,ethereum/yellowpaper,"['update', 'author']","['updat', 'author']"
"Improve spec of MLOAD, MSTORE, and MSIZE.",775,open,https://github.com/ethereum/yellowpaper/issues/775,ethereum/yellowpaper,"['improve', 'spec', 'mload', 'mstore', 'msize']","['improv', 'spec', 'mload', 'mstore', 'msize']"
How are externally owned accounts created?,774,closed,https://github.com/ethereum/yellowpaper/issues/774,ethereum/yellowpaper,"['how', 'externally', 'owned', 'account', 'created']","['how', 'extern', 'own', 'account', 'creat']"
Update Yellow Paper to Petersburg (aka Constantinople Fix),773,closed,https://github.com/ethereum/yellowpaper/issues/773,ethereum/yellowpaper,"['update', 'yellow', 'paper', 'petersburg', 'aka', 'constantinople', 'fix']","['updat', 'yellow', 'paper', 'petersburg', 'aka', 'constantinopl', 'fix']"
Prefer MUST to SHOULD for requirements,772,open,https://github.com/ethereum/yellowpaper/issues/772,ethereum/yellowpaper,"['prefer', 'must', 'should', 'requirement']","['prefer', 'must', 'should', 'requir']"
Attempting to set a variable = raw_call gives me a compiler bug AttributeError,771,closed,https://github.com/ethereum/yellowpaper/issues/771,ethereum/yellowpaper,"['attempting', 'set', 'variable', 'raw_call', 'give', 'compiler', 'bug', 'attributeerror']","['attempt', 'set', 'variabl', 'raw_cal', 'give', 'compil', 'bug', 'attributeerror']"
 Signature details omit information about ECDSA nonces,770,open,https://github.com/ethereum/yellowpaper/issues/770,ethereum/yellowpaper,"['signature', 'detail', 'omit', 'information', 'ecdsa', 'nonce']","['signatur', 'detail', 'omit', 'inform', 'ecdsa', 'nonc']"
Fix syntax error.,769,closed,https://github.com/ethereum/yellowpaper/issues/769,ethereum/yellowpaper,"['fix', 'syntax', 'error']","['fix', 'syntax', 'error']"
Fix the SHA3 instruction gas calculation.,768,open,https://github.com/ethereum/yellowpaper/issues/768,ethereum/yellowpaper,"['fix', 'sha3', 'instruction', 'gas', 'calculation']","['fix', 'sha3', 'instruct', 'ga', 'calcul']"
MSIZE after access to offset ``2^256-1``,767,open,https://github.com/ethereum/yellowpaper/issues/767,ethereum/yellowpaper,"['msize', 'access', 'offset', '22561']","['msize', 'access', 'offset', '2', '256', '1']"
Fix mathematical symbols (17 modifications).,766,closed,https://github.com/ethereum/yellowpaper/issues/766,ethereum/yellowpaper,"['fix', 'mathematical', 'symbol', '17', 'modification']","['fix', 'mathemat', 'symbol', '17', 'modif']"
Fix mathematical symbols.,765,closed,https://github.com/ethereum/yellowpaper/issues/765,ethereum/yellowpaper,"['fix', 'mathematical', 'symbol']","['fix', 'mathemat', 'symbol']"
Add missing right parenthesis. ,764,closed,https://github.com/ethereum/yellowpaper/issues/764,ethereum/yellowpaper,"['add', 'missing', 'right', 'parenthesis']","['add', 'miss', 'right', 'parenthesi']"
fix G_quaddivisor (should be 20),763,closed,https://github.com/ethereum/yellowpaper/issues/763,ethereum/yellowpaper,"['fix', 'g_quaddivisor', '20']","['fix', 'g_quaddivisor', '20']"
G_quaddivisor is incorrect (should be 20),762,closed,https://github.com/ethereum/yellowpaper/issues/762,ethereum/yellowpaper,"['g_quaddivisor', 'incorrect', '20']","['g_quaddivisor', 'incorrect', '20']"
Add missing param,761,closed,https://github.com/ethereum/yellowpaper/issues/761,ethereum/yellowpaper,"['add', 'missing', 'param']","['add', 'miss', 'param']"
Fix ECPAIRING gas cost,760,closed,https://github.com/ethereum/yellowpaper/issues/760,ethereum/yellowpaper,"['fix', 'ecpairing', 'gas', 'cost']","['fix', 'ecpair', 'ga', 'cost']"
Gas cost of ECPAIRING is incorrect ,759,closed,https://github.com/ethereum/yellowpaper/issues/759,ethereum/yellowpaper,"['gas', 'cost', 'ecpairing', 'incorrect']","['ga', 'cost', 'ecpair', 'incorrect']"
YP semantics for RETURNDATACOPY are incorrect,758,open,https://github.com/ethereum/yellowpaper/issues/758,ethereum/yellowpaper,"['yp', 'semantics', 'returndatacopy', 'incorrect']","['yp', 'semant', 'returndatacopi', 'incorrect']"
