issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
VM: Add vm.buildBlock() and BlockBuilder API,1158,open,https://github.com/ethereumjs/ethereumjs-monorepo/issues/1158,ethereumjs/ethereumjs-monorepo,"['vm', 'add', 'vmbuildblock', 'blockbuilder', 'api']","['vm', 'add', 'vm', 'buildblock', 'blockbuild', 'api']"
[VM] Incorrect type of ExecResult.exceptionError,1157,open,https://github.com/ethereumjs/ethereumjs-monorepo/issues/1157,ethereumjs/ethereumjs-monorepo,"['vm', 'incorrect', 'type', 'execresultexceptionerror']","['vm', 'incorrect', 'type', 'execresult', 'exceptionerror']"
Client: small BN fixes,1156,closed,https://github.com/ethereumjs/ethereumjs-monorepo/issues/1156,ethereumjs/ethereumjs-monorepo,"['client', 'small', 'bn', 'fix']","['client', 'small', 'bn', 'fix']"
VM: Test setup didn't catch Node 10 bug,1155,open,https://github.com/ethereumjs/ethereumjs-monorepo/issues/1155,ethereumjs/ethereumjs-monorepo,"['vm', 'test', 'setup', 'didnt', 'catch', 'node', '10', 'bug']","['vm', 'test', 'setup', 'catch', 'node', '10', 'bug']"
E2E - Tracking issue for upgrading HardhatEVM to V5,1154,open,https://github.com/ethereumjs/ethereumjs-monorepo/issues/1154,ethereumjs/ethereumjs-monorepo,"['e2e', 'tracking', 'issue', 'upgrading', 'hardhatevm', 'v5']","['e2e', 'track', 'issu', 'upgrad', 'hardhatevm', 'v5']"
Make genesis params settable for any hardfork in block headers,1153,closed,https://github.com/ethereumjs/ethereumjs-monorepo/issues/1153,ethereumjs/ethereumjs-monorepo,"['make', 'genesis', 'params', 'settable', 'hardfork', 'block', 'header']","['make', 'genesi', 'param', 'settabl', 'hardfork', 'block', 'header']"
VM: generate EIP-2930 Access Lists,1152,open,https://github.com/ethereumjs/ethereumjs-monorepo/issues/1152,ethereumjs/ethereumjs-monorepo,"['vm', 'generate', 'eip2930', 'access', 'lists']","['vm', 'gener', 'eip', '2930', 'access', 'list']"
Berlin Releases,1151,open,https://github.com/ethereumjs/ethereumjs-monorepo/issues/1151,ethereumjs/ethereumjs-monorepo,"['berlin', 'releases']","['berlin', 'releas']"
Common: add BN support,1150,closed,https://github.com/ethereumjs/ethereumjs-monorepo/issues/1150,ethereumjs/ethereumjs-monorepo,"['common', 'add', 'bn', 'support']","['common', 'add', 'bn', 'support']"
Fix devp2p browser compatibility ,1149,closed,https://github.com/ethereumjs/ethereumjs-monorepo/issues/1149,ethereumjs/ethereumjs-monorepo,"['fix', 'devp2p', 'browser', 'compatibility']","['fix', 'devp2p', 'browser', 'compat']"
Implement EIP1559 Fee Market,1148,open,https://github.com/ethereumjs/ethereumjs-monorepo/issues/1148,ethereumjs/ethereumjs-monorepo,"['implement', 'eip1559', 'fee', 'market']","['implement', 'eip1559', 'fee', 'market']"
Client: local client connections for debugging,1147,closed,https://github.com/ethereumjs/ethereumjs-monorepo/issues/1147,ethereumjs/ethereumjs-monorepo,"['client', 'local', 'client', 'connection', 'debugging']","['client', 'local', 'client', 'connect', 'debug']"
Util monorepo transition,1146,closed,https://github.com/ethereumjs/ethereumjs-monorepo/issues/1146,ethereumjs/ethereumjs-monorepo,"['util', 'monorepo', 'transition']","['util', 'monorepo', 'transit']"
Client: split CLI transports options for bootnodes and multiaddrs,1145,closed,https://github.com/ethereumjs/ethereumjs-monorepo/issues/1145,ethereumjs/ethereumjs-monorepo,"['client', 'split', 'cli', 'transport', 'option', 'bootnodes', 'multiaddrs']","['client', 'split', 'cli', 'transport', 'option', 'bootnod', 'multiaddr']"
