issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Convert mocha to tape,294,closed,https://github.com/ethereumjs/ethereumjs-util/issues/294,ethereumjs/ethereumjs-util,"['convert', 'mocha', 'tape']","['convert', 'mocha', 'tape']"
New Release v7.0.9,293,closed,https://github.com/ethereumjs/ethereumjs-util/issues/293,ethereumjs/ethereumjs-util,"['new', 'release', 'v709']","['new', 'releas', 'v7', '0', '9']"
housekeeping: remove use of deprecated assert methods,292,closed,https://github.com/ethereumjs/ethereumjs-util/issues/292,ethereumjs/ethereumjs-util,"['housekeeping', 'remove', 'use', 'deprecated', 'assert', 'method']","['housekeep', 'remov', 'use', 'deprec', 'assert', 'method']"
ethereumjs-util v8 Release Planning,291,open,https://github.com/ethereumjs/ethereumjs-util/issues/291,ethereumjs/ethereumjs-util,"['ethereumjsutil', 'v8', 'release', 'planning']","['ethereumj', 'util', 'v8', 'releas', 'plan']"
signature/address: support for high recovery and chain IDs,290,closed,https://github.com/ethereumjs/ethereumjs-util/issues/290,ethereumjs/ethereumjs-util,"['signatureaddress', 'support', 'high', 'recovery', 'chain', 'ids']","['signatur', 'address', 'support', 'high', 'recoveri', 'chain', 'id']"
Upgrade to ethereumjs-config v2,289,closed,https://github.com/ethereumjs/ethereumjs-util/issues/289,ethereumjs/ethereumjs-util,"['upgrade', 'ethereumjsconfig', 'v2']","['upgrad', 'ethereumj', 'config', 'v2']"
New Release v7.0.8,288,closed,https://github.com/ethereumjs/ethereumjs-util/issues/288,ethereumjs/ethereumjs-util,"['new', 'release', 'v708']","['new', 'releas', 'v7', '0', '8']"
Handle signatures for chainIds greater than 110,287,closed,https://github.com/ethereumjs/ethereumjs-util/issues/287,ethereumjs/ethereumjs-util,"['handle', 'signature', 'chainids', 'greater', '110']","['handl', 'signatur', 'chainid', 'greater', '110']"
"Upgrade ethereumjs-config to v2, switch from Coveralls to CodeCov",286,closed,https://github.com/ethereumjs/ethereumjs-util/issues/286,ethereumjs/ethereumjs-util,"['upgrade', 'ethereumjsconfig', 'v2', 'switch', 'coveralls', 'codecov']","['upgrad', 'ethereumj', 'config', 'v2', 'switch', 'coveral', 'codecov']"
Add `Address.equals(address: Address)`,285,closed,https://github.com/ethereumjs/ethereumjs-util/issues/285,ethereumjs/ethereumjs-util,"['add', 'addressequalsaddress', 'address']","['add', 'address', 'equal', 'address', 'address']"
