issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
5V0.6.x,147,closed,https://github.com/ethereumjs/ethereumjs-wallet/issues/147,ethereumjs/ethereumjs-wallet,['5v06x'],"['5v0', '6', 'x']"
Wallet v2 Release Planning,146,open,https://github.com/ethereumjs/ethereumjs-wallet/issues/146,ethereumjs/ethereumjs-wallet,"['wallet', 'v2', 'release', 'planning']","['wallet', 'v2', 'releas', 'plan']"
Add named export for Wallet class,145,open,https://github.com/ethereumjs/ethereumjs-wallet/issues/145,ethereumjs/ethereumjs-wallet,"['add', 'named', 'export', 'wallet', 'class']","['add', 'name', 'export', 'wallet', 'class']"
Import Wallet returns undefined / Add named Wallet export,144,open,https://github.com/ethereumjs/ethereumjs-wallet/issues/144,ethereumjs/ethereumjs-wallet,"['import', 'wallet', 'return', 'undefined', 'add', 'named', 'wallet', 'export']","['import', 'wallet', 'return', 'undefin', 'add', 'name', 'wallet', 'export']"
genetare a mnemonic phrase from private key,143,closed,https://github.com/ethereumjs/ethereumjs-wallet/issues/143,ethereumjs/ethereumjs-wallet,"['genetare', 'mnemonic', 'phrase', 'private', 'key']","['genetar', 'mnemon', 'phrase', 'privat', 'key']"
"Missing API method to validate a publicKey, privateKey pair",142,open,https://github.com/ethereumjs/ethereumjs-wallet/issues/142,ethereumjs/ethereumjs-wallet,"['missing', 'api', 'method', 'validate', 'publickey', 'privatekey', 'pair']","['miss', 'api', 'method', 'valid', 'publickey', 'privatekey', 'pair']"
New release v1.0.1,139,closed,https://github.com/ethereumjs/ethereumjs-wallet/issues/139,ethereumjs/ethereumjs-wallet,"['new', 'release', 'v101']","['new', 'releas', 'v1', '0', '1']"
"Karma Update / CI Checks on Node 12, 14",138,open,https://github.com/ethereumjs/ethereumjs-wallet/issues/138,ethereumjs/ethereumjs-wallet,"['karma', 'update', 'ci', 'checks', 'node', '12', '14']","['karma', 'updat', 'ci', 'check', 'node', '12', '14']"
fromV3 broken in 0.6.3+,137,closed,https://github.com/ethereumjs/ethereumjs-wallet/issues/137,ethereumjs/ethereumjs-wallet,"['fromv3', 'broken', '063']","['fromv3', 'broken', '0', '6', '3']"
wallet.toV3 fails in the browser ,136,closed,https://github.com/ethereumjs/ethereumjs-wallet/issues/136,ethereumjs/ethereumjs-wallet,"['wallettov3', 'fails', 'browser']","['wallet', 'tov3', 'fail', 'browser']"
