issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Windows builds?,730,closed,https://github.com/ethereumproject/go-ethereum/issues/730,ethereumproject/go-ethereum,"['windows', 'build']","['window', 'build']"
fix: update readme,729,closed,https://github.com/ethereumproject/go-ethereum/issues/729,ethereumproject/go-ethereum,"['fix', 'update', 'readme']","['fix', 'updat', 'readm']"
Hash geth-classic-v6.0.9-linux.tar.gz is different with .sha256,728,closed,https://github.com/ethereumproject/go-ethereum/issues/728,ethereumproject/go-ethereum,"['hash', 'gethclassicv609linuxtargz', 'different', 'sha256']","['hash', 'geth', 'classic', 'v6', '0', '9', 'linux', 'tar', 'gz', 'differ', 'sha256']"
make geth v6.0.9 error,727,closed,https://github.com/ethereumproject/go-ethereum/issues/727,ethereumproject/go-ethereum,"['make', 'geth', 'v609', 'error']","['make', 'geth', 'v6', '0', '9', 'error']"
make geth error,726,closed,https://github.com/ethereumproject/go-ethereum/issues/726,ethereumproject/go-ethereum,"['make', 'geth', 'error']","['make', 'geth', 'error']"
Etc are not synchronized,725,closed,https://github.com/ethereumproject/go-ethereum/issues/725,ethereumproject/go-ethereum,"['etc', 'synchronized']","['etc', 'synchron']"
cannot sync data,724,closed,https://github.com/ethereumproject/go-ethereum/issues/724,ethereumproject/go-ethereum,"['sync', 'data']","['sync', 'data']"
geth-classic-v6.0.8-linux.tar.gz archive seems to be incorrectly compressed,723,closed,https://github.com/ethereumproject/go-ethereum/issues/723,ethereumproject/go-ethereum,"['gethclassicv608linuxtargz', 'archive', 'seems', 'incorrectly', 'compressed']","['geth', 'classic', 'v6', '0', '8', 'linux', 'tar', 'gz', 'archiv', 'seem', 'incorrectli', 'compress']"
"getTransactionReceipt's ""status"" field problem",722,closed,https://github.com/ethereumproject/go-ethereum/issues/722,ethereumproject/go-ethereum,"['gettransactionreceipts', 'status', 'field', 'problem']","['gettransactionreceipt', 'statu', 'field', 'problem']"
Mined blocks rolled back after quit,721,closed,https://github.com/ethereumproject/go-ethereum/issues/721,ethereumproject/go-ethereum,"['mined', 'block', 'rolled', 'back', 'quit']","['mine', 'block', 'roll', 'back', 'quit']"
What is the height of EIP658 hard fork on the main network and morden test network?,720,closed,https://github.com/ethereumproject/go-ethereum/issues/720,ethereumproject/go-ethereum,"['what', 'height', 'eip658', 'hard', 'fork', 'main', 'network', 'morden', 'test', 'network']","['what', 'height', 'eip658', 'hard', 'fork', 'main', 'network', 'morden', 'test', 'network']"
Feature request: Submit Block RPC,719,closed,https://github.com/ethereumproject/go-ethereum/issues/719,ethereumproject/go-ethereum,"['feature', 'request', 'submit', 'block', 'rpc']","['featur', 'request', 'submit', 'block', 'rpc']"
Repo cleanup,718,closed,https://github.com/ethereumproject/go-ethereum/issues/718,ethereumproject/go-ethereum,"['repo', 'cleanup']","['repo', 'cleanup']"
