issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Call contract method at specific block,1391,open,https://github.com/ethers-io/ethers.js/issues/1391,ethers-io/ethers.js,"['call', 'contract', 'method', 'specific', 'block']","['call', 'contract', 'method', 'specif', 'block']"
"Constantly getting ""Could not detect network errors""",1390,open,https://github.com/ethers-io/ethers.js/issues/1390,ethers-io/ethers.js,"['constantly', 'getting', 'could', 'detect', 'network', 'error']","['constantli', 'get', 'could', 'detect', 'network', 'error']"
Provider.getLogs() only returns 100 results on rinkeby,1389,open,https://github.com/ethers-io/ethers.js/issues/1389,ethers-io/ethers.js,"['providergetlogs', 'return', '100', 'result', 'rinkeby']","['provid', 'getlog', 'return', '100', 'result', 'rinkebi']"
How to close a websocket connection?,1388,open,https://github.com/ethers-io/ethers.js/issues/1388,ethers-io/ethers.js,"['how', 'close', 'websocket', 'connection']","['how', 'close', 'websocket', 'connect']"
Fix browser ESM example,1387,open,https://github.com/ethers-io/ethers.js/issues/1387,ethers-io/ethers.js,"['fix', 'browser', 'esm', 'example']","['fix', 'browser', 'esm', 'exampl']"
How to send and sign a transaction?,1386,open,https://github.com/ethers-io/ethers.js/issues/1386,ethers-io/ethers.js,"['how', 'send', 'sign', 'transaction']","['how', 'send', 'sign', 'transact']"
Makes ContractInterface readonly.,1385,open,https://github.com/ethers-io/ethers.js/issues/1385,ethers-io/ethers.js,"['makes', 'contractinterface', 'readonly']","['make', 'contractinterfac', 'readonli']"
Improve typings for contracts,1384,open,https://github.com/ethers-io/ethers.js/issues/1384,ethers-io/ethers.js,"['improve', 'typing', 'contract']","['improv', 'type', 'contract']"
A way to clean cache state of base provider,1383,open,https://github.com/ethers-io/ethers.js/issues/1383,ethers-io/ethers.js,"['a', 'way', 'clean', 'cache', 'state', 'base', 'provider']","['a', 'way', 'clean', 'cach', 'state', 'base', 'provid']"
Add _clearCache() to base-provider,1382,open,https://github.com/ethers-io/ethers.js/issues/1382,ethers-io/ethers.js,"['add', '_clearcache', 'baseprovider']","['add', '_clearcach', 'base', 'provid']"
Unpredictable gas limit error when sending transaction (in documentation example),1381,open,https://github.com/ethers-io/ethers.js/issues/1381,ethers-io/ethers.js,"['unpredictable', 'gas', 'limit', 'error', 'sending', 'transaction', 'documentation', 'example']","['unpredict', 'ga', 'limit', 'error', 'send', 'transact', 'document', 'exampl']"
How can I track any private contract?,1379,closed,https://github.com/ethers-io/ethers.js/issues/1379,ethers-io/ethers.js,"['how', 'i', 'track', 'private', 'contract']","['how', 'i', 'track', 'privat', 'contract']"
Duplicate events when using WebSocketProvider,1378,closed,https://github.com/ethers-io/ethers.js/issues/1378,ethers-io/ethers.js,"['duplicate', 'event', 'using', 'websocketprovider']","['duplic', 'event', 'use', 'websocketprovid']"
Contract that uses InfuraProvider sends a transaction instead of calling the view contract function,1377,closed,https://github.com/ethers-io/ethers.js/issues/1377,ethers-io/ethers.js,"['contract', 'us', 'infuraprovider', 'sends', 'transaction', 'instead', 'calling', 'view', 'contract', 'function']","['contract', 'use', 'infuraprovid', 'send', 'transact', 'instead', 'call', 'view', 'contract', 'function']"
Simpler fallback provider,1374,closed,https://github.com/ethers-io/ethers.js/issues/1374,ethers-io/ethers.js,"['simpler', 'fallback', 'provider']","['simpler', 'fallback', 'provid']"
decode event logs,1373,open,https://github.com/ethers-io/ethers.js/issues/1373,ethers-io/ethers.js,"['decode', 'event', 'log']","['decod', 'event', 'log']"
ฺ UnhandledPromiseRejectionWarning: Error: invalid BigNumber value ,1372,closed,https://github.com/ethers-io/ethers.js/issues/1372,ethers-io/ethers.js,"['unhandledpromiserejectionwarning', 'error', 'invalid', 'bignumber', 'value']","['unhandledpromiserejectionwarn', 'error', 'invalid', 'bignumb', 'valu']"
FallbackProvider repeatedly requests block numbers,1371,open,https://github.com/ethers-io/ethers.js/issues/1371,ethers-io/ethers.js,"['fallbackprovider', 'repeatedly', 'request', 'block', 'number']","['fallbackprovid', 'repeatedli', 'request', 'block', 'number']"
Update ledgerjs libraries,1370,open,https://github.com/ethers-io/ethers.js/issues/1370,ethers-io/ethers.js,"['update', 'ledgerjs', 'library']","['updat', 'ledgerj', 'librari']"
How do you estimate the and set the gasPrice / gasLimit in a method?,1366,closed,https://github.com/ethers-io/ethers.js/issues/1366,ethers-io/ethers.js,"['how', 'estimate', 'set', 'gasprice', 'gaslimit', 'method']","['how', 'estim', 'set', 'gaspric', 'gaslimit', 'method']"
"hardware-wallets: ""Error: transaction.chainId/signature.v mismatch""",1365,open,https://github.com/ethers-io/ethers.js/issues/1365,ethers-io/ethers.js,"['hardwarewallets', 'error', 'transactionchainidsignaturev', 'mismatch']","['hardwar', 'wallet', 'error', 'transact', 'chainid', 'signatur', 'v', 'mismatch']"
Typed Transactions,1364,open,https://github.com/ethers-io/ethers.js/issues/1364,ethers-io/ethers.js,"['typed', 'transactions']","['type', 'transact']"
Outdated Ledger Libraries,1363,closed,https://github.com/ethers-io/ethers.js/issues/1363,ethers-io/ethers.js,"['outdated', 'ledger', 'libraries']","['outdat', 'ledger', 'librari']"
The provider return wrong balances of accounts and cannot be overridden with custom network.,1362,closed,https://github.com/ethers-io/ethers.js/issues/1362,ethers-io/ethers.js,"['the', 'provider', 'return', 'wrong', 'balance', 'account', 'overridden', 'custom', 'network']","['the', 'provid', 'return', 'wrong', 'balanc', 'account', 'overridden', 'custom', 'network']"
abi decode value returned as `[Getter]` and throws error when accessing it,1361,open,https://github.com/ethers-io/ethers.js/issues/1361,ethers-io/ethers.js,"['abi', 'decode', 'value', 'returned', 'getter', 'throw', 'error', 'accessing']","['abi', 'decod', 'valu', 'return', 'getter', 'throw', 'error', 'access']"
Binacne smart chain,1359,closed,https://github.com/ethers-io/ethers.js/issues/1359,ethers-io/ethers.js,"['binacne', 'smart', 'chain']","['binacn', 'smart', 'chain']"
Default API key used despite custom Provider specified,1356,closed,https://github.com/ethers-io/ethers.js/issues/1356,ethers-io/ethers.js,"['default', 'api', 'key', 'used', 'despite', 'custom', 'provider', 'specified']","['default', 'api', 'key', 'use', 'despit', 'custom', 'provid', 'specifi']"
Yarn 2 compatibility,1355,open,https://github.com/ethers-io/ethers.js/issues/1355,ethers-io/ethers.js,"['yarn', '2', 'compatibility']","['yarn', '2', 'compat']"
Add DivMod to BigNumber,1354,open,https://github.com/ethers-io/ethers.js/issues/1354,ethers-io/ethers.js,"['add', 'divmod', 'bignumber']","['add', 'divmod', 'bignumb']"
How to throw error when there is no return when calling smart contract method?,1353,open,https://github.com/ethers-io/ethers.js/issues/1353,ethers-io/ethers.js,"['how', 'throw', 'error', 'return', 'calling', 'smart', 'contract', 'method']","['how', 'throw', 'error', 'return', 'call', 'smart', 'contract', 'method']"
Missing default block parameter in provider estimateGas,1352,closed,https://github.com/ethers-io/ethers.js/issues/1352,ethers-io/ethers.js,"['missing', 'default', 'block', 'parameter', 'provider', 'estimategas']","['miss', 'default', 'block', 'paramet', 'provid', 'estimatega']"
Get logs based on event name,1351,closed,https://github.com/ethers-io/ethers.js/issues/1351,ethers-io/ethers.js,"['get', 'log', 'based', 'event', 'name']","['get', 'log', 'base', 'event', 'name']"
Forces a block to be mined,1348,closed,https://github.com/ethers-io/ethers.js/issues/1348,ethers-io/ethers.js,"['forces', 'block', 'mined']","['forc', 'block', 'mine']"
Assert fails while using BigNumber,1347,closed,https://github.com/ethers-io/ethers.js/issues/1347,ethers-io/ethers.js,"['assert', 'fails', 'using', 'bignumber']","['assert', 'fail', 'use', 'bignumb']"
fixes #1345,1346,open,https://github.com/ethers-io/ethers.js/issues/1346,ethers-io/ethers.js,"['fix', '1345']","['fix', '1345']"
Symlink creation fails on windows when run in non admin mode with no permission error.,1345,open,https://github.com/ethers-io/ethers.js/issues/1345,ethers-io/ethers.js,"['symlink', 'creation', 'fails', 'window', 'run', 'non', 'admin', 'mode', 'permission', 'error']","['symlink', 'creation', 'fail', 'window', 'run', 'non', 'admin', 'mode', 'permiss', 'error']"
ethers.getDefaultProvider(network) doesn't support hardhat/31337 network?,1344,closed,https://github.com/ethers-io/ethers.js/issues/1344,ethers-io/ethers.js,"['ethersgetdefaultprovidernetwork', 'doesnt', 'support', 'hardhat31337', 'network']","['ether', 'getdefaultprovid', 'network', 'support', 'hardhat', '31337', 'network']"
Documentation: signMessage input format not specified,1343,open,https://github.com/ethers-io/ethers.js/issues/1343,ethers-io/ethers.js,"['documentation', 'signmessage', 'input', 'format', 'specified']","['document', 'signmessag', 'input', 'format', 'specifi']"
"""contract.filter"" create wrong topic for type ""bytes4""",1342,open,https://github.com/ethers-io/ethers.js/issues/1342,ethers-io/ethers.js,"['contractfilter', 'create', 'wrong', 'topic', 'type', 'bytes4']","['contract', 'filter', 'creat', 'wrong', 'topic', 'type', 'bytes4']"
"Add GETH Method: ""getRawTransaction""",1341,open,https://github.com/ethers-io/ethers.js/issues/1341,ethers-io/ethers.js,"['add', 'geth', 'method', 'getrawtransaction']","['add', 'geth', 'method', 'getrawtransact']"
contract.on() to fire after a number of confirmations. How to do it?,1340,closed,https://github.com/ethers-io/ethers.js/issues/1340,ethers-io/ethers.js,"['contracton', 'fire', 'number', 'confirmation', 'how']","['contract', 'fire', 'number', 'confirm', 'how']"
contract.on() not always triggered for events,1339,closed,https://github.com/ethers-io/ethers.js/issues/1339,ethers-io/ethers.js,"['contracton', 'always', 'triggered', 'event']","['contract', 'alway', 'trigger', 'event']"
Typo fix,1338,open,https://github.com/ethers-io/ethers.js/issues/1338,ethers-io/ethers.js,"['typo', 'fix']","['typo', 'fix']"
transform from ethereumjs-util keccak256 to ethers.js keccak256,1337,closed,https://github.com/ethers-io/ethers.js/issues/1337,ethers-io/ethers.js,"['transform', 'ethereumjsutil', 'keccak256', 'ethersjs', 'keccak256']","['transform', 'ethereumj', 'util', 'keccak256', 'ether', 'js', 'keccak256']"
