issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
build(deps): bump reqwest from 0.10.8 to 0.11.2,2304,open,https://github.com/graphprotocol/graph-node/issues/2304,graphprotocol/graph-node,"['builddeps', 'bump', 'reqwest', '0108', '0112']","['build', 'dep', 'bump', 'reqwest', '0', '10', '8', '0', '11', '2']"
build(deps): bump atomic_refcell from 0.1.6 to 0.1.7,2303,open,https://github.com/graphprotocol/graph-node/issues/2303,graphprotocol/graph-node,"['builddeps', 'bump', 'atomic_refcell', '016', '017']","['build', 'dep', 'bump', 'atomic_refcel', '0', '1', '6', '0', '1', '7']"
build(deps): bump derive_more from 0.99.11 to 0.99.13,2302,open,https://github.com/graphprotocol/graph-node/issues/2302,graphprotocol/graph-node,"['builddeps', 'bump', 'derive_more', '09911', '09913']","['build', 'dep', 'bump', 'derive_mor', '0', '99', '11', '0', '99', '13']"
build(deps): bump config from 0.10.1 to 0.11.0,2301,open,https://github.com/graphprotocol/graph-node/issues/2301,graphprotocol/graph-node,"['builddeps', 'bump', 'config', '0101', '0110']","['build', 'dep', 'bump', 'config', '0', '10', '1', '0', '11', '0']"
build(deps): bump priority-queue from 0.7.0 to 1.1.1,2300,open,https://github.com/graphprotocol/graph-node/issues/2300,graphprotocol/graph-node,"['builddeps', 'bump', 'priorityqueue', '070', '111']","['build', 'dep', 'bump', 'prioriti', 'queue', '0', '7', '0', '1', '1', '1']"
build(deps): bump anyhow from 1.0.38 to 1.0.39,2299,open,https://github.com/graphprotocol/graph-node/issues/2299,graphprotocol/graph-node,"['builddeps', 'bump', 'anyhow', '1038', '1039']","['build', 'dep', 'bump', 'anyhow', '1', '0', '38', '1', '0', '39']"
build(deps): bump rand from 0.6.5 to 0.8.3,2298,open,https://github.com/graphprotocol/graph-node/issues/2298,graphprotocol/graph-node,"['builddeps', 'bump', 'rand', '065', '083']","['build', 'dep', 'bump', 'rand', '0', '6', '5', '0', '8', '3']"
build(deps): bump wasmtime from 0.21.0 to 0.25.0,2297,open,https://github.com/graphprotocol/graph-node/issues/2297,graphprotocol/graph-node,"['builddeps', 'bump', 'wasmtime', '0210', '0250']","['build', 'dep', 'bump', 'wasmtim', '0', '21', '0', '0', '25', '0']"
build(deps): bump async-trait from 0.1.41 to 0.1.48,2296,open,https://github.com/graphprotocol/graph-node/issues/2296,graphprotocol/graph-node,"['builddeps', 'bump', 'asynctrait', '0141', '0148']","['build', 'dep', 'bump', 'async', 'trait', '0', '1', '41', '0', '1', '48']"
build(deps): bump tokio-stream from 0.1.3 to 0.1.5,2295,open,https://github.com/graphprotocol/graph-node/issues/2295,graphprotocol/graph-node,"['builddeps', 'bump', 'tokiostream', '013', '015']","['build', 'dep', 'bump', 'tokio', 'stream', '0', '1', '3', '0', '1', '5']"
Subgraph not working after successful deployment,2294,open,https://github.com/graphprotocol/graph-node/issues/2294,graphprotocol/graph-node,"['subgraph', 'working', 'successful', 'deployment']","['subgraph', 'work', 'success', 'deploy']"
Copy subgraph data in batches when grafting,2293,open,https://github.com/graphprotocol/graph-node/issues/2293,graphprotocol/graph-node,"['copy', 'subgraph', 'data', 'batch', 'grafting']","['copi', 'subgraph', 'data', 'batch', 'graft']"
Refactor ethereum logic out of RuntimeHost,2292,open,https://github.com/graphprotocol/graph-node/issues/2292,graphprotocol/graph-node,"['refactor', 'ethereum', 'logic', 'runtimehost']","['refactor', 'ethereum', 'logic', 'runtimehost']"
docker: Fix error in Dockerfile,2291,closed,https://github.com/graphprotocol/graph-node/issues/2291,graphprotocol/graph-node,"['docker', 'fix', 'error', 'dockerfile']","['docker', 'fix', 'error', 'dockerfil']"
Optimize queries for `check_interface_entity_uniqueness`,2290,open,https://github.com/graphprotocol/graph-node/issues/2290,graphprotocol/graph-node,"['optimize', 'query', 'check_interface_entity_uniqueness']","['optim', 'queri', 'check_interface_entity_uniqu']"
