issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Bump ini from 1.3.5 to 1.3.7 in /challenger,184,open,https://github.com/leapdao/solEVM-enforcer/issues/184,leapdao/solEVM-enforcer,"['bump', 'ini', '135', '137', 'challenger']","['bump', 'ini', '1', '3', '5', '1', '3', '7', 'challeng']"
Bump lodash from 4.17.11 to 4.17.19 in /challenger,183,open,https://github.com/leapdao/solEVM-enforcer/issues/183,leapdao/solEVM-enforcer,"['bump', 'lodash', '41711', '41719', 'challenger']","['bump', 'lodash', '4', '17', '11', '4', '17', '19', 'challeng']"
Bump lodash from 4.17.15 to 4.17.19,182,open,https://github.com/leapdao/solEVM-enforcer/issues/182,leapdao/solEVM-enforcer,"['bump', 'lodash', '41715', '41719']","['bump', 'lodash', '4', '17', '15', '4', '17', '19']"
Bump acorn from 5.7.3 to 5.7.4 in /challenger,181,open,https://github.com/leapdao/solEVM-enforcer/issues/181,leapdao/solEVM-enforcer,"['bump', 'acorn', '573', '574', 'challenger']","['bump', 'acorn', '5', '7', '3', '5', '7', '4', 'challeng']"
Bump acorn from 6.2.1 to 6.4.1,180,open,https://github.com/leapdao/solEVM-enforcer/issues/180,leapdao/solEVM-enforcer,"['bump', 'acorn', '621', '641']","['bump', 'acorn', '6', '2', '1', '6', '4', '1']"
Seperate the Verifier contract from the EVMRuntime.,179,open,https://github.com/leapdao/solEVM-enforcer/issues/179,leapdao/solEVM-enforcer,"['seperate', 'verifier', 'contract', 'evmruntime']","['seper', 'verifi', 'contract', 'evmruntim']"
WIP: missing tokenBag methods,178,closed,https://github.com/leapdao/solEVM-enforcer/issues/178,leapdao/solEVM-enforcer,"['wip', 'missing', 'tokenbag', 'method']","['wip', 'miss', 'tokenbag', 'method']"
Address overflows/underflows,177,open,https://github.com/leapdao/solEVM-enforcer/issues/177,leapdao/solEVM-enforcer,"['address', 'overflowsunderflows']","['address', 'overflow', 'underflow']"
Add tokenBag to the state commitment,176,open,https://github.com/leapdao/solEVM-enforcer/issues/176,leapdao/solEVM-enforcer,"['add', 'tokenbag', 'state', 'commitment']","['add', 'tokenbag', 'state', 'commit']"
Add all tokenBag methos we wish to support,175,closed,https://github.com/leapdao/solEVM-enforcer/issues/175,leapdao/solEVM-enforcer,"['add', 'tokenbag', 'methos', 'wish', 'support']","['add', 'tokenbag', 'metho', 'wish', 'support']"
Verify our interpretation of call/staticcall,174,open,https://github.com/leapdao/solEVM-enforcer/issues/174,leapdao/solEVM-enforcer,"['verify', 'interpretation', 'callstaticcall']","['verifi', 'interpret', 'call', 'staticcal']"
Add more test fixtures testing hofffman structure.,173,open,https://github.com/leapdao/solEVM-enforcer/issues/173,leapdao/solEVM-enforcer,"['add', 'test', 'fixture', 'testing', 'hofffman', 'structure']","['add', 'test', 'fixtur', 'test', 'hofffman', 'structur']"
Bump eslint-utils from 1.4.0 to 1.4.3,172,open,https://github.com/leapdao/solEVM-enforcer/issues/172,leapdao/solEVM-enforcer,"['bump', 'eslintutils', '140', '143']","['bump', 'eslint', 'util', '1', '4', '0', '1', '4', '3']"
What's up with gas metering in tests?,171,open,https://github.com/leapdao/solEVM-enforcer/issues/171,leapdao/solEVM-enforcer,"['whats', 'gas', 'metering', 'test']","['what', 'ga', 'meter', 'test']"
compare EVMRuntime.js with HEVM,170,open,https://github.com/leapdao/solEVM-enforcer/issues/170,leapdao/solEVM-enforcer,"['compare', 'evmruntimejs', 'hevm']","['compar', 'evmruntim', 'js', 'hevm']"
implement Hofmann structure,169,closed,https://github.com/leapdao/solEVM-enforcer/issues/169,leapdao/solEVM-enforcer,"['implement', 'hofmann', 'structure']","['implement', 'hofmann', 'structur']"
Create a spec for all the on-chain limits,168,closed,https://github.com/leapdao/solEVM-enforcer/issues/168,leapdao/solEVM-enforcer,"['create', 'spec', 'onchain', 'limit']","['creat', 'spec', 'chain', 'limit']"
Merge back ExecutionPoker from challenger service,167,open,https://github.com/leapdao/solEVM-enforcer/issues/167,leapdao/solEVM-enforcer,"['merge', 'back', 'executionpoker', 'challenger', 'service']","['merg', 'back', 'executionpok', 'challeng', 'servic']"
Bump safer-eval from 1.3.3 to 1.3.5 in /challenger,166,open,https://github.com/leapdao/solEVM-enforcer/issues/166,leapdao/solEVM-enforcer,"['bump', 'safereval', '133', '135', 'challenger']","['bump', 'safer', 'eval', '1', '3', '3', '1', '3', '5', 'challeng']"
"Present EVM Enforcer at ""Blockchain For Science"" Conference",165,closed,https://github.com/leapdao/solEVM-enforcer/issues/165,leapdao/solEVM-enforcer,"['present', 'evm', 'enforcer', 'blockchain', 'for', 'science', 'conference']","['present', 'evm', 'enforc', 'blockchain', 'for', 'scienc', 'confer']"
update repo from base repo,164,closed,https://github.com/leapdao/solEVM-enforcer/issues/164,leapdao/solEVM-enforcer,"['update', 'repo', 'base', 'repo']","['updat', 'repo', 'base', 'repo']"
"register tx fails with ""gas required exceeds allowance or always failing transaction""",163,open,https://github.com/leapdao/solEVM-enforcer/issues/163,leapdao/solEVM-enforcer,"['register', 'tx', 'fails', 'gas', 'required', 'exceeds', 'allowance', 'always', 'failing', 'transaction']","['regist', 'tx', 'fail', 'ga', 'requir', 'exce', 'allow', 'alway', 'fail', 'transact']"
Add more fixtures to improve coverage,162,closed,https://github.com/leapdao/solEVM-enforcer/issues/162,leapdao/solEVM-enforcer,"['add', 'fixture', 'improve', 'coverage']","['add', 'fixtur', 'improv', 'coverag']"
Overview of changes:,161,closed,https://github.com/leapdao/solEVM-enforcer/issues/161,leapdao/solEVM-enforcer,"['overview', 'change']","['overview', 'chang']"
Develatus apparatus,160,closed,https://github.com/leapdao/solEVM-enforcer/issues/160,leapdao/solEVM-enforcer,"['develatus', 'apparatus']","['develatu', 'apparatu']"
Solver service,159,closed,https://github.com/leapdao/solEVM-enforcer/issues/159,leapdao/solEVM-enforcer,"['solver', 'service']","['solver', 'servic']"
Chore,158,closed,https://github.com/leapdao/solEVM-enforcer/issues/158,leapdao/solEVM-enforcer,['chore'],['chore']
Implement resultProofs for Enforcer,157,closed,https://github.com/leapdao/solEVM-enforcer/issues/157,leapdao/solEVM-enforcer,"['implement', 'resultproofs', 'enforcer']","['implement', 'resultproof', 'enforc']"
pass-down customEnvironmentHash,156,closed,https://github.com/leapdao/solEVM-enforcer/issues/156,leapdao/solEVM-enforcer,"['passdown', 'customenvironmenthash']","['pass', 'customenvironmenthash']"
Include `step` into stateHash,155,closed,https://github.com/leapdao/solEVM-enforcer/issues/155,leapdao/solEVM-enforcer,"['include', 'step', 'statehash']","['includ', 'step', 'statehash']"
ExecutionPoker: remove old invalidateLastStep cruft,154,closed,https://github.com/leapdao/solEVM-enforcer/issues/154,leapdao/solEVM-enforcer,"['executionpoker', 'remove', 'old', 'invalidatelaststep', 'cruft']","['executionpok', 'remov', 'old', 'invalidatelaststep', 'cruft']"
ExecutionPoker: fix codeHash condition,153,closed,https://github.com/leapdao/solEVM-enforcer/issues/153,leapdao/solEVM-enforcer,"['executionpoker', 'fix', 'codehash', 'condition']","['executionpok', 'fix', 'codehash', 'condit']"
update dev packages and add 'use strict'; explicitly,152,closed,https://github.com/leapdao/solEVM-enforcer/issues/152,leapdao/solEVM-enforcer,"['update', 'dev', 'package', 'add', 'use', 'strict', 'explicitly']","['updat', 'dev', 'packag', 'add', 'use', 'strict', 'explicitli']"
add migration script for verifier and enforcer,151,closed,https://github.com/leapdao/solEVM-enforcer/issues/151,leapdao/solEVM-enforcer,"['add', 'migration', 'script', 'verifier', 'enforcer']","['add', 'migrat', 'script', 'verifi', 'enforc']"
Use time in seconds instead of measuring blocks,150,closed,https://github.com/leapdao/solEVM-enforcer/issues/150,leapdao/solEVM-enforcer,"['use', 'time', 'second', 'instead', 'measuring', 'block']","['use', 'time', 'second', 'instead', 'measur', 'block']"
docs comment,149,closed,https://github.com/leapdao/solEVM-enforcer/issues/149,leapdao/solEVM-enforcer,"['doc', 'comment']","['doc', 'comment']"
Third and last part for #137,148,closed,https://github.com/leapdao/solEVM-enforcer/issues/148,leapdao/solEVM-enforcer,"['third', 'last', 'part', '137']","['third', 'last', 'part', '137']"
Second part for #137,147,closed,https://github.com/leapdao/solEVM-enforcer/issues/147,leapdao/solEVM-enforcer,"['second', 'part', '137']","['second', 'part', '137']"
Use ExecutionPoker for dispute fixtures,146,closed,https://github.com/leapdao/solEVM-enforcer/issues/146,leapdao/solEVM-enforcer,"['use', 'executionpoker', 'dispute', 'fixture']","['use', 'executionpok', 'disput', 'fixtur']"
Use ExecutionPoker for dispute fixtures,145,closed,https://github.com/leapdao/solEVM-enforcer/issues/145,leapdao/solEVM-enforcer,"['use', 'executionpoker', 'dispute', 'fixture']","['use', 'executionpok', 'disput', 'fixtur']"
fix gas baselines after new EVMCode features,144,closed,https://github.com/leapdao/solEVM-enforcer/issues/144,leapdao/solEVM-enforcer,"['fix', 'gas', 'baseline', 'new', 'evmcode', 'feature']","['fix', 'ga', 'baselin', 'new', 'evmcod', 'featur']"
Import first part of #137,143,closed,https://github.com/leapdao/solEVM-enforcer/issues/143,leapdao/solEVM-enforcer,"['import', 'first', 'part', '137']","['import', 'first', 'part', '137']"
Record and compare gas costs for EVMRuntime #96,142,closed,https://github.com/leapdao/solEVM-enforcer/issues/142,leapdao/solEVM-enforcer,"['record', 'compare', 'gas', 'cost', 'evmruntime', '96']","['record', 'compar', 'ga', 'cost', 'evmruntim', '96']"
Use 'real' time instead of measuring in number of block,141,closed,https://github.com/leapdao/solEVM-enforcer/issues/141,leapdao/solEVM-enforcer,"['use', 'real', 'time', 'instead', 'measuring', 'number', 'block']","['use', 'real', 'time', 'instead', 'measur', 'number', 'block']"
Implement resultProofs for Enforcer,140,closed,https://github.com/leapdao/solEVM-enforcer/issues/140,leapdao/solEVM-enforcer,"['implement', 'resultproofs', 'enforcer']","['implement', 'resultproof', 'enforc']"
speedup circle-ci,139,closed,https://github.com/leapdao/solEVM-enforcer/issues/139,leapdao/solEVM-enforcer,"['speedup', 'circleci']","['speedup', 'circl', 'ci']"
new enforcer interface,138,closed,https://github.com/leapdao/solEVM-enforcer/issues/138,leapdao/solEVM-enforcer,"['new', 'enforcer', 'interface']","['new', 'enforc', 'interfac']"
"Remove codeContractAddress from Enforcer, Verifier, implement EVMCode",137,closed,https://github.com/leapdao/solEVM-enforcer/issues/137,leapdao/solEVM-enforcer,"['remove', 'codecontractaddress', 'enforcer', 'verifier', 'implement', 'evmcode']","['remov', 'codecontractaddress', 'enforc', 'verifi', 'implement', 'evmcod']"
Update truffle and add mocha do dev dependencies,136,closed,https://github.com/leapdao/solEVM-enforcer/issues/136,leapdao/solEVM-enforcer,"['update', 'truffle', 'add', 'mocha', 'dev', 'dependency']","['updat', 'truffl', 'add', 'mocha', 'dev', 'depend']"
research the use of Swarm for primeCasino,135,closed,https://github.com/leapdao/solEVM-enforcer/issues/135,leapdao/solEVM-enforcer,"['research', 'use', 'swarm', 'primecasino']","['research', 'use', 'swarm', 'primecasino']"
Discussion around parameters for stable Enforcer/Verifier interface,134,closed,https://github.com/leapdao/solEVM-enforcer/issues/134,leapdao/solEVM-enforcer,"['discussion', 'around', 'parameter', 'stable', 'enforcerverifier', 'interface']","['discuss', 'around', 'paramet', 'stabl', 'enforc', 'verifi', 'interfac']"
OOB: migrate to circleci,133,closed,https://github.com/leapdao/solEVM-enforcer/issues/133,leapdao/solEVM-enforcer,"['oob', 'migrate', 'circleci']","['oob', 'migrat', 'circleci']"
Migrate TestMemOps to js test as this is much faster,132,closed,https://github.com/leapdao/solEVM-enforcer/issues/132,leapdao/solEVM-enforcer,"['migrate', 'testmemops', 'j', 'test', 'much', 'faster']","['migrat', 'testmemop', 'js', 'test', 'much', 'faster']"
initial circleci,131,closed,https://github.com/leapdao/solEVM-enforcer/issues/131,leapdao/solEVM-enforcer,"['initial', 'circleci']","['initi', 'circleci']"
Misc. fixes,130,closed,https://github.com/leapdao/solEVM-enforcer/issues/130,leapdao/solEVM-enforcer,"['misc', 'fix']","['misc', 'fix']"
add invalidChallengeRate param to solver/challenger service,129,closed,https://github.com/leapdao/solEVM-enforcer/issues/129,leapdao/solEVM-enforcer,"['add', 'invalidchallengerate', 'param', 'solverchallenger', 'service']","['add', 'invalidchallenger', 'param', 'solver', 'challeng', 'servic']"
prime casino frontend - UI elements,128,closed,https://github.com/leapdao/solEVM-enforcer/issues/128,leapdao/solEVM-enforcer,"['prime', 'casino', 'frontend', 'ui', 'element']","['prime', 'casino', 'frontend', 'ui', 'element']"
"create a delivery report for EF, and make sure to get next milestone",127,closed,https://github.com/leapdao/solEVM-enforcer/issues/127,leapdao/solEVM-enforcer,"['create', 'delivery', 'report', 'ef', 'make', 'sure', 'get', 'next', 'milestone']","['creat', 'deliveri', 'report', 'ef', 'make', 'sure', 'get', 'next', 'mileston']"
write a blog post about prime casino,126,closed,https://github.com/leapdao/solEVM-enforcer/issues/126,leapdao/solEVM-enforcer,"['write', 'blog', 'post', 'prime', 'casino']","['write', 'blog', 'post', 'prime', 'casino']"
