issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Update Cargo.toml,299,open,https://github.com/matter-labs/zksync/issues/299,matter-labs/zksync,"['update', 'cargotoml']","['updat', 'cargo', 'toml']"
miss contract file,298,open,https://github.com/matter-labs/zksync/issues/298,matter-labs/zksync,"['miss', 'contract', 'file']","['miss', 'contract', 'file']"
chainId <= 255,297,open,https://github.com/matter-labs/zksync/issues/297,matter-labs/zksync,"['chainid', '255']","['chainid', '255']"
Using zkWallet with a local environment,296,open,https://github.com/matter-labs/zksync/issues/296,matter-labs/zksync,"['using', 'zkwallet', 'local', 'environment']","['use', 'zkwallet', 'local', 'environ']"
zksync client ,295,open,https://github.com/matter-labs/zksync/issues/295,matter-labs/zksync,"['zksync', 'client']","['zksync', 'client']"
Withdrawal questions:,294,closed,https://github.com/matter-labs/zksync/issues/294,matter-labs/zksync,"['withdrawal', 'question']","['withdraw', 'question']"
Unable to run `zk init`,293,closed,https://github.com/matter-labs/zksync/issues/293,matter-labs/zksync,"['unable', 'run', 'zk', 'init']","['unabl', 'run', 'zk', 'init']"
EthereumProvider default times update,292,open,https://github.com/matter-labs/zksync/issues/292,matter-labs/zksync,"['ethereumprovider', 'default', 'time', 'update']","['ethereumprovid', 'default', 'time', 'updat']"
Please add AlphaWallet as one of the web3 providers,291,open,https://github.com/matter-labs/zksync/issues/291,matter-labs/zksync,"['please', 'add', 'alphawallet', 'one', 'web3', 'provider']","['pleas', 'add', 'alphawallet', 'one', 'web3', 'provid']"
a fix in the batch fee check,290,closed,https://github.com/matter-labs/zksync/issues/290,matter-labs/zksync,"['fix', 'batch', 'fee', 'check']","['fix', 'batch', 'fee', 'check']"
fix: _proc_macro_hack_xxx in the root ,289,closed,https://github.com/matter-labs/zksync/issues/289,matter-labs/zksync,"['fix', '_proc_macro_hack_xxx', 'root']","['fix', '_proc_macro_hack_xxx', 'root']"
Explorer has an error of CORS,288,closed,https://github.com/matter-labs/zksync/issues/288,matter-labs/zksync,"['explorer', 'error', 'cors']","['explor', 'error', 'cor']"
Added network parameter to RpcProvider::from_addr(),287,closed,https://github.com/matter-labs/zksync/issues/287,matter-labs/zksync,"['added', 'network', 'parameter', 'rpcproviderfrom_addr']","['ad', 'network', 'paramet', 'rpcprovid', 'from_addr']"
Add items needed to set up the explorer,286,closed,https://github.com/matter-labs/zksync/issues/286,matter-labs/zksync,"['add', 'item', 'needed', 'set', 'explorer']","['add', 'item', 'need', 'set', 'explor']"
fix(cli): fix an error message,285,open,https://github.com/matter-labs/zksync/issues/285,matter-labs/zksync,"['fixcli', 'fix', 'error', 'message']","['fix', 'cli', 'fix', 'error', 'messag']"
