issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Hardhat-etherscan - SO INTERESTING - says can't verify even if it's already verified.,1344,open,https://github.com/nomiclabs/hardhat/issues/1344,nomiclabs/hardhat,"['hardhatetherscan', 'so', 'interesting', 'say', 'cant', 'verify', 'even', 'already', 'verified']","['hardhat', 'etherscan', 'so', 'interest', 'say', 'verifi', 'even', 'alreadi', 'verifi']"
Artifact deployment and contract function calls doesn't mine when auto mining is off and interval is 0,1343,open,https://github.com/nomiclabs/hardhat/issues/1343,nomiclabs/hardhat,"['artifact', 'deployment', 'contract', 'function', 'call', 'doesnt', 'mine', 'auto', 'mining', 'interval', '0']","['artifact', 'deploy', 'contract', 'function', 'call', 'mine', 'auto', 'mine', 'interv', '0']"
Add empty .prettierrc,1342,closed,https://github.com/nomiclabs/hardhat/issues/1342,nomiclabs/hardhat,"['add', 'empty', 'prettierrc']","['add', 'empti', 'prettierrc']"
Proposal: Use relative instead of absolute paths for file references,1341,open,https://github.com/nomiclabs/hardhat/issues/1341,nomiclabs/hardhat,"['proposal', 'use', 'relative', 'instead', 'absolute', 'path', 'file', 'reference']","['propos', 'use', 'rel', 'instead', 'absolut', 'path', 'file', 'refer']"
"HH903 err: In test, getContractAt does not work with ABI",1340,closed,https://github.com/nomiclabs/hardhat/issues/1340,nomiclabs/hardhat,"['hh903', 'err', 'in', 'test', 'getcontractat', 'work', 'abi']","['hh903', 'err', 'in', 'test', 'getcontractat', 'work', 'abi']"
Non-async way to have a list of accounts,1339,open,https://github.com/nomiclabs/hardhat/issues/1339,nomiclabs/hardhat,"['nonasync', 'way', 'list', 'account']","['non', 'async', 'way', 'list', 'account']"
Vyper compiler support for CircleCI,1338,open,https://github.com/nomiclabs/hardhat/issues/1338,nomiclabs/hardhat,"['vyper', 'compiler', 'support', 'circleci']","['vyper', 'compil', 'support', 'circleci']"
Upgrade ethereumjs components for VM v5,1337,open,https://github.com/nomiclabs/hardhat/issues/1337,nomiclabs/hardhat,"['upgrade', 'ethereumjs', 'component', 'vm', 'v5']","['upgrad', 'ethereumj', 'compon', 'vm', 'v5']"
"With TypeScript, stack traces are off",1336,closed,https://github.com/nomiclabs/hardhat/issues/1336,nomiclabs/hardhat,"['with', 'typescript', 'stack', 'trace']","['with', 'typescript', 'stack', 'trace']"
Don't remove artifacts from other language,1335,open,https://github.com/nomiclabs/hardhat/issues/1335,nomiclabs/hardhat,"['dont', 'remove', 'artifact', 'language']","['don', 'remov', 'artifact', 'languag']"
forking from a node that requires authentication,1334,open,https://github.com/nomiclabs/hardhat/issues/1334,nomiclabs/hardhat,"['forking', 'node', 'requires', 'authentication']","['fork', 'node', 'requir', 'authent']"
Add ISSUE_TEMPLATE,1333,closed,https://github.com/nomiclabs/hardhat/issues/1333,nomiclabs/hardhat,"['add', 'issue_template']","['add', 'issue_templ']"
HH503 due to MacOS solc binaries having changed,1332,open,https://github.com/nomiclabs/hardhat/issues/1332,nomiclabs/hardhat,"['hh503', 'due', 'macos', 'solc', 'binary', 'changed']","['hh503', 'due', 'maco', 'solc', 'binari', 'chang']"
Add HECO to hardhat-etherscan,1331,open,https://github.com/nomiclabs/hardhat/issues/1331,nomiclabs/hardhat,"['add', 'heco', 'hardhatetherscan']","['add', 'heco', 'hardhat', 'etherscan']"
use new smock default branch in docs,1330,closed,https://github.com/nomiclabs/hardhat/issues/1330,nomiclabs/hardhat,"['use', 'new', 'smock', 'default', 'branch', 'doc']","['use', 'new', 'smock', 'default', 'branch', 'doc']"
Update downloader.ts,1329,open,https://github.com/nomiclabs/hardhat/issues/1329,nomiclabs/hardhat,"['update', 'downloaderts']","['updat', 'download', 'ts']"
Add `debug_traceTransaction` RPC method,1328,open,https://github.com/nomiclabs/hardhat/issues/1328,nomiclabs/hardhat,"['add', 'debug_tracetransaction', 'rpc', 'method']","['add', 'debug_tracetransact', 'rpc', 'method']"
Sort batched responses by id,1327,open,https://github.com/nomiclabs/hardhat/issues/1327,nomiclabs/hardhat,"['sort', 'batched', 'response', 'id']","['sort', 'batch', 'respons', 'id']"
