issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
"Thread 'fetch' panicked at 'cannot access native cert store: Custom { kind: InvalidData, error: BadDER }', src/libcore/result.rs:1188",11906,open,https://github.com/openethereum/parity-ethereum/issues/11906,openethereum/parity-ethereum,"['thread', 'fetch', 'panicked', 'access', 'native', 'cert', 'store', 'custom', 'kind', 'invaliddata', 'error', 'badder', 'srclibcoreresultrs1188']","['thread', 'fetch', 'panick', 'access', 'nativ', 'cert', 'store', 'custom', 'kind', 'invaliddata', 'error', 'badder', 'src', 'libcor', 'result', 'rs', '1188']"
Very Slow Sync of Tracing Node,11905,open,https://github.com/openethereum/parity-ethereum/issues/11905,openethereum/parity-ethereum,"['very', 'slow', 'sync', 'tracing', 'node']","['veri', 'slow', 'sync', 'trace', 'node']"
 sync is stuck at 10790000 for v3.1.0-rc.1,11904,open,https://github.com/openethereum/parity-ethereum/issues/11904,openethereum/parity-ethereum,"['sync', 'stuck', '10790000', 'v310rc1']","['sync', 'stuck', '10790000', 'v3', '1', '0', 'rc', '1']"
openethereum v3.1.0-rc.1 sync stuck at blocknumber 10790000 (0xa4a470),11903,closed,https://github.com/openethereum/parity-ethereum/issues/11903,openethereum/parity-ethereum,"['openethereum', 'v310rc1', 'sync', 'stuck', 'blocknumber', '10790000', '0xa4a470']","['openethereum', 'v3', '1', '0', 'rc', '1', 'sync', 'stuck', 'blocknumb', '10790000', '0xa4a470']"
update Whisper Options,11902,open,https://github.com/openethereum/parity-ethereum/issues/11902,openethereum/parity-ethereum,"['update', 'whisper', 'options']","['updat', 'whisper', 'option']"
trace_replayBlockTransactions used too much memory,11901,open,https://github.com/openethereum/parity-ethereum/issues/11901,openethereum/parity-ethereum,"['trace_replayblocktransactions', 'used', 'much', 'memory']","['trace_replayblocktransact', 'use', 'much', 'memori']"
RUSTSEC-2020-0058: crate has been renamed to `cipher`,11900,open,https://github.com/openethereum/parity-ethereum/issues/11900,openethereum/parity-ethereum,"['rustsec20200058', 'crate', 'renamed', 'cipher']","['rustsec', '2020', '0058', 'crate', 'renam', 'cipher']"
"Thread 'main' panicked at 'attempted to leave type `linked_hash_map::Node<ethereum_types::H256, block_state::CliqueBlockState>` uninitialized, which is invalid'",11899,open,https://github.com/openethereum/parity-ethereum/issues/11899,openethereum/parity-ethereum,"['thread', 'main', 'panicked', 'attempted', 'leave', 'type', 'linked_hash_mapnodeethereum_typesh256', 'block_statecliqueblockstate', 'uninitialized', 'invalid']","['thread', 'main', 'panick', 'attempt', 'leav', 'type', 'linked_hash_map', 'node', 'ethereum_typ', 'h256', 'block_stat', 'cliqueblockst', 'uniniti', 'invalid']"
FR: DNS in Reserved Peers File,11898,open,https://github.com/openethereum/parity-ethereum/issues/11898,openethereum/parity-ethereum,"['fr', 'dns', 'reserved', 'peers', 'file']","['fr', 'dn', 'reserv', 'peer', 'file']"
How do I migrate the DB from 3.0 to 3.1 on Windows?,11897,open,https://github.com/openethereum/parity-ethereum/issues/11897,openethereum/parity-ethereum,"['how', 'i', 'migrate', 'db', '30', '31', 'windows']","['how', 'i', 'migrat', 'db', '3', '0', '3', '1', 'window']"
Update AuRa `check_future` ; handling step transitions,11896,open,https://github.com/openethereum/parity-ethereum/issues/11896,openethereum/parity-ethereum,"['update', 'aura', 'check_future', 'handling', 'step', 'transition']","['updat', 'aura', 'check_futur', 'handl', 'step', 'transit']"
`TimestampOverflow` error on AuRa chain with multiple step durations,11895,open,https://github.com/openethereum/parity-ethereum/issues/11895,openethereum/parity-ethereum,"['timestampoverflow', 'error', 'aura', 'chain', 'multiple', 'step', 'duration']","['timestampoverflow', 'error', 'aura', 'chain', 'multipl', 'step', 'durat']"
RPC API: get receipts by block number,11894,open,https://github.com/openethereum/parity-ethereum/issues/11894,openethereum/parity-ethereum,"['rpc', 'api', 'get', 'receipt', 'block', 'number']","['rpc', 'api', 'get', 'receipt', 'block', 'number']"
Is it possible to (re)use some crate as libraries?,11893,open,https://github.com/openethereum/parity-ethereum/issues/11893,openethereum/parity-ethereum,"['is', 'possible', 'reuse', 'crate', 'library']","['is', 'possibl', 'use', 'crate', 'librari']"
Inconsistent block generation time in a private POA network,11892,open,https://github.com/openethereum/parity-ethereum/issues/11892,openethereum/parity-ethereum,"['inconsistent', 'block', 'generation', 'time', 'private', 'poa', 'network']","['inconsist', 'block', 'gener', 'time', 'privat', 'poa', 'network']"
This is a good idea,11891,open,https://github.com/openethereum/parity-ethereum/issues/11891,openethereum/parity-ethereum,"['this', 'good', 'idea']","['thi', 'good', 'idea']"
ETH transaction dropped and gets stuck in network. 0 ETH transaction also stuck. Metamask was used to send transaction. ,11890,closed,https://github.com/openethereum/parity-ethereum/issues/11890,openethereum/parity-ethereum,"['eth', 'transaction', 'dropped', 'get', 'stuck', 'network', '0', 'eth', 'transaction', 'also', 'stuck', 'metamask', 'used', 'send', 'transaction']","['eth', 'transact', 'drop', 'get', 'stuck', 'network', '0', 'eth', 'transact', 'also', 'stuck', 'metamask', 'use', 'send', 'transact']"
Client will not start. ,11889,open,https://github.com/openethereum/parity-ethereum/issues/11889,openethereum/parity-ethereum,"['client', 'start']","['client', 'start']"
Openethereum 3.1rc1 fails - GLIBC_2.29 not found,11888,open,https://github.com/openethereum/parity-ethereum/issues/11888,openethereum/parity-ethereum,"['openethereum', '31rc1', 'fails', 'glibc_229', 'found']","['openethereum', '3', '1rc1', 'fail', 'glibc_2', '29', 'found']"
Strange Log Entry,11887,open,https://github.com/openethereum/parity-ethereum/issues/11887,openethereum/parity-ethereum,"['strange', 'log', 'entry']","['strang', 'log', 'entri']"
Increasing memory fragmentation while syncing for extended periods of time?,11886,open,https://github.com/openethereum/parity-ethereum/issues/11886,openethereum/parity-ethereum,"['increasing', 'memory', 'fragmentation', 'syncing', 'extended', 'period', 'time']","['increas', 'memori', 'fragment', 'sync', 'extend', 'period', 'time']"
Add RPC eth_symbol test (eip-3014),11885,open,https://github.com/openethereum/parity-ethereum/issues/11885,openethereum/parity-ethereum,"['add', 'rpc', 'eth_symbol', 'test', 'eip3014']","['add', 'rpc', 'eth_symbol', 'test', 'eip', '3014']"
[DELETE THIS] EIP-1898,11884,closed,https://github.com/openethereum/parity-ethereum/issues/11884,openethereum/parity-ethereum,"['delete', 'this', 'eip1898']","['delet', 'thi', 'eip', '1898']"
v2.5.14 release not on any branch,11883,open,https://github.com/openethereum/parity-ethereum/issues/11883,openethereum/parity-ethereum,"['v2514', 'release', 'branch']","['v2', '5', '14', 'releas', 'branch']"
Goerli sync error,11882,open,https://github.com/openethereum/parity-ethereum/issues/11882,openethereum/parity-ethereum,"['goerli', 'sync', 'error']","['goerli', 'sync', 'error']"
OpenEthereum 3.1RC1 is available for testing,11881,open,https://github.com/openethereum/parity-ethereum/issues/11881,openethereum/parity-ethereum,"['openethereum', '31rc1', 'available', 'testing']","['openethereum', '3', '1rc1', 'avail', 'test']"
"openethereum node immediately sends PING message to freshly connected peer, creating useless traffic",11880,open,https://github.com/openethereum/parity-ethereum/issues/11880,openethereum/parity-ethereum,"['openethereum', 'node', 'immediately', 'sends', 'ping', 'message', 'freshly', 'connected', 'peer', 'creating', 'useless', 'traffic']","['openethereum', 'node', 'immedi', 'send', 'ping', 'messag', 'freshli', 'connect', 'peer', 'creat', 'useless', 'traffic']"
Add `wasmDisableTransition` spec option,11879,open,https://github.com/openethereum/parity-ethereum/issues/11879,openethereum/parity-ethereum,"['add', 'wasmdisabletransition', 'spec', 'option']","['add', 'wasmdisabletransit', 'spec', 'option']"
Bump jsonrpc-* to v15,11878,closed,https://github.com/openethereum/parity-ethereum/issues/11878,openethereum/parity-ethereum,"['bump', 'jsonrpc', 'v15']","['bump', 'jsonrpc', 'v15']"
Transaction Efficiency Decrease Due to Syncing,11877,closed,https://github.com/openethereum/parity-ethereum/issues/11877,openethereum/parity-ethereum,"['transaction', 'efficiency', 'decrease', 'due', 'syncing']","['transact', 'effici', 'decreas', 'due', 'sync']"
run out of disk with 500GB+,11876,open,https://github.com/openethereum/parity-ethereum/issues/11876,openethereum/parity-ethereum,"['run', 'disk', '500gb']","['run', 'disk', '500gb']"
