issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
POSDAO: fix snapshotting and remove temporary code,3732,open,https://github.com/poanetwork/blockscout/issues/3732,poanetwork/blockscout,"['posdao', 'fix', 'snapshotting', 'remove', 'temporary', 'code']","['posdao', 'fix', 'snapshot', 'remov', 'temporari', 'code']"
Handle bad gateway at pending transactions fetcher,3731,closed,https://github.com/poanetwork/blockscout/issues/3731,poanetwork/blockscout,"['handle', 'bad', 'gateway', 'pending', 'transaction', 'fetcher']","['handl', 'bad', 'gateway', 'pend', 'transact', 'fetcher']"
Set default period for average block time counter refresh interval,3730,closed,https://github.com/poanetwork/blockscout/issues/3730,poanetwork/blockscout,"['set', 'default', 'period', 'average', 'block', 'time', 'counter', 'refresh', 'interval']","['set', 'default', 'period', 'averag', 'block', 'time', 'counter', 'refresh', 'interv']"
Token on-demand balance fetcher: handle nil balance,3729,closed,https://github.com/poanetwork/blockscout/issues/3729,poanetwork/blockscout,"['token', 'ondemand', 'balance', 'fetcher', 'handle', 'nil', 'balance']","['token', 'demand', 'balanc', 'fetcher', 'handl', 'nil', 'balanc']"
Coinprice api endpoint: handle nil rates,3728,closed,https://github.com/poanetwork/blockscout/issues/3728,poanetwork/blockscout,"['coinprice', 'api', 'endpoint', 'handle', 'nil', 'rate']","['coinpric', 'api', 'endpoint', 'handl', 'nil', 'rate']"
"I have a transaction stuck on the chain for a day, can you help me find out what is the reason, not a fee issue, this is blockchain information ",3727,closed,https://github.com/poanetwork/blockscout/issues/3727,poanetwork/blockscout,"['i', 'transaction', 'stuck', 'chain', 'day', 'help', 'find', 'reason', 'fee', 'issue', 'blockchain', 'information']","['i', 'transact', 'stuck', 'chain', 'day', 'help', 'find', 'reason', 'fee', 'issu', 'blockchain', 'inform']"
Mumbai: error when trying to verify and publish GSN contracts,3726,closed,https://github.com/poanetwork/blockscout/issues/3726,poanetwork/blockscout,"['mumbai', 'error', 'trying', 'verify', 'publish', 'gsn', 'contract']","['mumbai', 'error', 'tri', 'verifi', 'publish', 'gsn', 'contract']"
Mainnet: <Issue Title>,3725,closed,https://github.com/poanetwork/blockscout/issues/3725,poanetwork/blockscout,"['mainnet', 'issue', 'title']","['mainnet', 'issu', 'titl']"
Mainnet: <Issue Title>,3724,closed,https://github.com/poanetwork/blockscout/issues/3724,poanetwork/blockscout,"['mainnet', 'issue', 'title']","['mainnet', 'issu', 'titl']"
Fix losing digits at value conversion back from WEI,3723,closed,https://github.com/poanetwork/blockscout/issues/3723,poanetwork/blockscout,"['fix', 'losing', 'digit', 'value', 'conversion', 'back', 'wei']","['fix', 'lose', 'digit', 'valu', 'convers', 'back', 'wei']"
Allow double quotes for (u)int arrays inputs during contract interaction,3722,closed,https://github.com/poanetwork/blockscout/issues/3722,poanetwork/blockscout,"['allow', 'double', 'quote', 'uint', 'array', 'input', 'contract', 'interaction']","['allow', 'doubl', 'quot', 'u', 'int', 'array', 'input', 'contract', 'interact']"
Ethereum Classic: <Issue Title>,3721,closed,https://github.com/poanetwork/blockscout/issues/3721,poanetwork/blockscout,"['ethereum', 'classic', 'issue', 'title']","['ethereum', 'classic', 'issu', 'titl']"
xDai: <Issue Title>,3720,closed,https://github.com/poanetwork/blockscout/issues/3720,poanetwork/blockscout,"['xdai', 'issue', 'title']","['xdai', 'issu', 'titl']"
Rename ethprice API endpoint,3719,closed,https://github.com/poanetwork/blockscout/issues/3719,poanetwork/blockscout,"['rename', 'ethprice', 'api', 'endpoint']","['renam', 'ethpric', 'api', 'endpoint']"
xDai: <PermaPending>,3718,closed,https://github.com/poanetwork/blockscout/issues/3718,poanetwork/blockscout,"['xdai', 'permapending']","['xdai', 'permapend']"
Update alpine-elixir-phoenix 1.11.3,3717,closed,https://github.com/poanetwork/blockscout/issues/3717,poanetwork/blockscout,"['update', 'alpineelixirphoenix', '1113']","['updat', 'alpin', 'elixir', 'phoenix', '1', '11', '3']"
Support automatic verification of clones using minimal proxy contract pattern (EIP 1167),3716,open,https://github.com/poanetwork/blockscout/issues/3716,poanetwork/blockscout,"['support', 'automatic', 'verification', 'clone', 'using', 'minimal', 'proxy', 'contract', 'pattern', 'eip', '1167']","['support', 'automat', 'verif', 'clone', 'use', 'minim', 'proxi', 'contract', 'pattern', 'eip', '1167']"
Pending transactions sanitizer process,3715,closed,https://github.com/poanetwork/blockscout/issues/3715,poanetwork/blockscout,"['pending', 'transaction', 'sanitizer', 'process']","['pend', 'transact', 'sanit', 'process']"
"Application alerts management: whole explorer, staking dapp",3714,closed,https://github.com/poanetwork/blockscout/issues/3714,poanetwork/blockscout,"['application', 'alert', 'management', 'whole', 'explorer', 'staking', 'dapp']","['applic', 'alert', 'manag', 'whole', 'explor', 'stake', 'dapp']"
Ethereum Classic: <Issue Title>,3713,closed,https://github.com/poanetwork/blockscout/issues/3713,poanetwork/blockscout,"['ethereum', 'classic', 'issue', 'title']","['ethereum', 'classic', 'issu', 'titl']"
POSDAO refactoring: use pool ID instead of staking address,3712,closed,https://github.com/poanetwork/blockscout/issues/3712,poanetwork/blockscout,"['posdao', 'refactoring', 'use', 'pool', 'id', 'instead', 'staking', 'address']","['posdao', 'refactor', 'use', 'pool', 'id', 'instead', 'stake', 'address']"
Ethereum Classic: <Issue Title>,3711,closed,https://github.com/poanetwork/blockscout/issues/3711,poanetwork/blockscout,"['ethereum', 'classic', 'issue', 'title']","['ethereum', 'classic', 'issu', 'titl']"
Missing @destination in bridged-tokens template,3710,closed,https://github.com/poanetwork/blockscout/issues/3710,poanetwork/blockscout,"['missing', 'destination', 'bridgedtokens', 'template']","['miss', 'destin', 'bridg', 'token', 'templat']"
Fix 413 Request Entity Too Large returned from single request batch,3709,closed,https://github.com/poanetwork/blockscout/issues/3709,poanetwork/blockscout,"['fix', '413', 'request', 'entity', 'too', 'large', 'returned', 'single', 'request', 'batch']","['fix', '413', 'request', 'entiti', 'too', 'larg', 'return', 'singl', 'request', 'batch']"
npm 6 > npm 7,3708,closed,https://github.com/poanetwork/blockscout/issues/3708,poanetwork/blockscout,"['npm', '6', 'npm', '7']","['npm', '6', 'npm', '7']"
Bridged tokens price feed improvement,3707,closed,https://github.com/poanetwork/blockscout/issues/3707,poanetwork/blockscout,"['bridged', 'token', 'price', 'feed', 'improvement']","['bridg', 'token', 'price', 'feed', 'improv']"
 Mainnet: <Lost successful transaction>,3706,closed,https://github.com/poanetwork/blockscout/issues/3706,poanetwork/blockscout,"['mainnet', 'lost', 'successful', 'transaction']","['mainnet', 'lost', 'success', 'transact']"
Ethereum Classic: <Issue Title>,3705,closed,https://github.com/poanetwork/blockscout/issues/3705,poanetwork/blockscout,"['ethereum', 'classic', 'issue', 'title']","['ethereum', 'classic', 'issu', 'titl']"
Pending tx,3704,closed,https://github.com/poanetwork/blockscout/issues/3704,poanetwork/blockscout,"['pending', 'tx']","['pend', 'tx']"
