issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Fix Deduplication in Powchain Service,8640,open,https://github.com/prysmaticlabs/prysm/issues/8640,prysmaticlabs/prysm,"['fix', 'deduplication', 'powchain', 'service']","['fix', 'dedupl', 'powchain', 'servic']"
Introduce API StateFetcher,8639,open,https://github.com/prysmaticlabs/prysm/issues/8639,prysmaticlabs/prysm,"['introduce', 'api', 'statefetcher']","['introduc', 'api', 'statefetch']"
Altair HF1 Tracking,8638,open,https://github.com/prysmaticlabs/prysm/issues/8638,prysmaticlabs/prysm,"['altair', 'hf1', 'tracking']","['altair', 'hf1', 'track']"
"Embed Config Pattern For Slasher, Slashing Protection",8637,closed,https://github.com/prysmaticlabs/prysm/issues/8637,prysmaticlabs/prysm,"['embed', 'config', 'pattern', 'for', 'slasher', 'slashing', 'protection']","['emb', 'config', 'pattern', 'for', 'slasher', 'slash', 'protect']"
Embed Config Pattern for Sync Services,8636,closed,https://github.com/prysmaticlabs/prysm/issues/8636,prysmaticlabs/prysm,"['embed', 'config', 'pattern', 'sync', 'services']","['emb', 'config', 'pattern', 'sync', 'servic']"
"Embed Config Pattern For Attestation, POW Chain, and RPC Services",8635,closed,https://github.com/prysmaticlabs/prysm/issues/8635,prysmaticlabs/prysm,"['embed', 'config', 'pattern', 'for', 'attestation', 'pow', 'chain', 'rpc', 'services']","['emb', 'config', 'pattern', 'for', 'attest', 'pow', 'chain', 'rpc', 'servic']"
Process Found Slashings and Send to Operations Pool in Optimized Slasher,8634,open,https://github.com/prysmaticlabs/prysm/issues/8634,prysmaticlabs/prysm,"['process', 'found', 'slashings', 'send', 'operations', 'pool', 'optimized', 'slasher']","['process', 'found', 'slash', 'send', 'oper', 'pool', 'optim', 'slasher']"
State: various clean up,8633,closed,https://github.com/prysmaticlabs/prysm/issues/8633,prysmaticlabs/prysm,"['state', 'various', 'clean']","['state', 'variou', 'clean']"
Feature Flag for Enabling Slashing Protection Pruning,8632,closed,https://github.com/prysmaticlabs/prysm/issues/8632,prysmaticlabs/prysm,"['feature', 'flag', 'enabling', 'slashing', 'protection', 'pruning']","['featur', 'flag', 'enabl', 'slash', 'protect', 'prune']"
Implement GetBeaconState in the debug API,8631,open,https://github.com/prysmaticlabs/prysm/issues/8631,prysmaticlabs/prysm,"['implement', 'getbeaconstate', 'debug', 'api']","['implement', 'getbeaconst', 'debug', 'api']"
