issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Display order ID on Add Cash error message,1889,open,https://github.com/rainbow-me/rainbow/issues/1889,rainbow-me/rainbow,"['display', 'order', 'id', 'add', 'cash', 'error', 'message']","['display', 'order', 'id', 'add', 'cash', 'error', 'messag']"
Improvements for fetching charts,1888,open,https://github.com/rainbow-me/rainbow/issues/1888,rainbow-me/rainbow,"['improvements', 'fetching', 'chart']","['improv', 'fetch', 'chart']"
"Fix ""unexpected nil unwrapping"" after very quick dismiss of the chart",1887,closed,https://github.com/rainbow-me/rainbow/issues/1887,rainbow-me/rainbow,"['fix', 'unexpected', 'nil', 'unwrapping', 'quick', 'dismiss', 'chart']","['fix', 'unexpect', 'nil', 'unwrap', 'quick', 'dismiss', 'chart']"
"Revert ""Increase reliability of fast refresh""",1886,closed,https://github.com/rainbow-me/rainbow/issues/1886,rainbow-me/rainbow,"['revert', 'increase', 'reliability', 'fast', 'refresh']","['revert', 'increas', 'reliabl', 'fast', 'refresh']"
Optimize discover memory usage,1885,open,https://github.com/rainbow-me/rainbow/issues/1885,rainbow-me/rainbow,"['optimize', 'discover', 'memory', 'usage']","['optim', 'discov', 'memori', 'usag']"
"Remove mUSD + Add EURS + rename to ""stablecoins""",1884,open,https://github.com/rainbow-me/rainbow/issues/1884,rainbow-me/rainbow,"['remove', 'musd', 'add', 'eurs', 'rename', 'stablecoins']","['remov', 'musd', 'add', 'eur', 'renam', 'stablecoin']"
Add gas section,1883,open,https://github.com/rainbow-me/rainbow/issues/1883,rainbow-me/rainbow,"['add', 'gas', 'section']","['add', 'ga', 'section']"
bump react-coin-icons to 0.1.38,1882,closed,https://github.com/rainbow-me/rainbow/issues/1882,rainbow-me/rainbow,"['bump', 'reactcoinicons', '0138']","['bump', 'react', 'coin', 'icon', '0', '1', '38']"
show slippage warning on DepositModal,1881,open,https://github.com/rainbow-me/rainbow/issues/1881,rainbow-me/rainbow,"['show', 'slippage', 'warning', 'depositmodal']","['show', 'slippag', 'warn', 'depositmod']"
QR Needs Auth UI tweaks & sushi color,1880,closed,https://github.com/rainbow-me/rainbow/issues/1880,rainbow-me/rainbow,"['qr', 'needs', 'auth', 'ui', 'tweak', 'sushi', 'color']","['qr', 'need', 'auth', 'ui', 'tweak', 'sushi', 'color']"
disco tweaks,1879,closed,https://github.com/rainbow-me/rainbow/issues/1879,rainbow-me/rainbow,"['disco', 'tweak']","['disco', 'tweak']"
@skylar/disco tweaks,1878,closed,https://github.com/rainbow-me/rainbow/issues/1878,rainbow-me/rainbow,"['skylardisco', 'tweak']","['skylar', 'disco', 'tweak']"
bump add cash amounts,1877,closed,https://github.com/rainbow-me/rainbow/issues/1877,rainbow-me/rainbow,"['bump', 'add', 'cash', 'amount']","['bump', 'add', 'cash', 'amount']"
Increase reliability of fast refresh,1876,closed,https://github.com/rainbow-me/rainbow/issues/1876,rainbow-me/rainbow,"['increase', 'reliability', 'fast', 'refresh']","['increas', 'reliabl', 'fast', 'refresh']"
Do not store charts in redux,1875,closed,https://github.com/rainbow-me/rainbow/issues/1875,rainbow-me/rainbow,"['do', 'store', 'chart', 'redux']","['do', 'store', 'chart', 'redux']"
Adjust swap copy,1874,closed,https://github.com/rainbow-me/rainbow/issues/1874,rainbow-me/rainbow,"['adjust', 'swap', 'copy']","['adjust', 'swap', 'copi']"
bump react-native-radial-gradient,1873,closed,https://github.com/rainbow-me/rainbow/issues/1873,rainbow-me/rainbow,"['bump', 'reactnativeradialgradient']","['bump', 'react', 'nativ', 'radial', 'gradient']"
LEAKZ,1872,closed,https://github.com/rainbow-me/rainbow/issues/1872,rainbow-me/rainbow,['leakz'],['leakz']
update e2e - ganache flow,1871,closed,https://github.com/rainbow-me/rainbow/issues/1871,rainbow-me/rainbow,"['update', 'e2e', 'ganache', 'flow']","['updat', 'e2e', 'ganach', 'flow']"
