issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Node withdrawal address can be modified by the hot wallet at any time.,194,open,https://github.com/rocket-pool/rocketpool/issues/194,rocket-pool/rocketpool,"['node', 'withdrawal', 'address', 'modified', 'hot', 'wallet', 'time']","['node', 'withdraw', 'address', 'modifi', 'hot', 'wallet', 'time']"
Minipool eth1 withdrawals,193,closed,https://github.com/rocket-pool/rocketpool/issues/193,rocket-pool/rocketpool,"['minipool', 'eth1', 'withdrawal']","['minipool', 'eth1', 'withdraw']"
Undercollateralized node claims & node withdrawal address,192,closed,https://github.com/rocket-pool/rocketpool/issues/192,rocket-pool/rocketpool,"['undercollateralized', 'node', 'claim', 'node', 'withdrawal', 'address']","['undercollater', 'node', 'claim', 'node', 'withdraw', 'address']"
Unprocessed minipool index,191,closed,https://github.com/rocket-pool/rocketpool/issues/191,rocket-pool/rocketpool,"['unprocessed', 'minipool', 'index']","['unprocess', 'minipool', 'index']"
Security considerations docs initial draft,190,open,https://github.com/rocket-pool/rocketpool/issues/190,rocket-pool/rocketpool,"['security', 'consideration', 'doc', 'initial', 'draft']","['secur', 'consider', 'doc', 'initi', 'draft']"
"Implement ""active and withdrawn"" minipool index",189,closed,https://github.com/rocket-pool/rocketpool/issues/189,rocket-pool/rocketpool,"['implement', 'active', 'withdrawn', 'minipool', 'index']","['implement', 'activ', 'withdrawn', 'minipool', 'index']"
Unable to withdraw nETH,188,closed,https://github.com/rocket-pool/rocketpool/issues/188,rocket-pool/rocketpool,"['unable', 'withdraw', 'neth']","['unabl', 'withdraw', 'neth']"
Node rpl claims,187,closed,https://github.com/rocket-pool/rocketpool/issues/187,rocket-pool/rocketpool,"['node', 'rpl', 'claim']","['node', 'rpl', 'claim']"
V2.5 tokenomics jake,186,closed,https://github.com/rocket-pool/rocketpool/issues/186,rocket-pool/rocketpool,"['v25', 'tokenomics', 'jake']","['v2', '5', 'tokenom', 'jake']"
Bump ini from 1.3.5 to 1.3.7,185,open,https://github.com/rocket-pool/rocketpool/issues/185,rocket-pool/rocketpool,"['bump', 'ini', '135', '137']","['bump', 'ini', '1', '3', '5', '1', '3', '7']"
"Add node ""withdrawal address"" functionality",184,closed,https://github.com/rocket-pool/rocketpool/issues/184,rocket-pool/rocketpool,"['add', 'node', 'withdrawal', 'address', 'functionality']","['add', 'node', 'withdraw', 'address', 'function']"
"""npm test"" failed",183,open,https://github.com/rocket-pool/rocketpool/issues/183,rocket-pool/rocketpool,"['npm', 'test', 'failed']","['npm', 'test', 'fail']"
Stronger encouragement to check the changelog for breaking changes.,182,closed,https://github.com/rocket-pool/rocketpool/issues/182,rocket-pool/rocketpool,"['stronger', 'encouragement', 'check', 'changelog', 'breaking', 'change']","['stronger', 'encourag', 'check', 'changelog', 'break', 'chang']"
"Enhancement: ""Advanced"" eth1 option, Bring Your Own URL",181,closed,https://github.com/rocket-pool/rocketpool/issues/181,rocket-pool/rocketpool,"['enhancement', 'advanced', 'eth1', 'option', 'bring', 'your', 'own', 'url']","['enhanc', 'advanc', 'eth1', 'option', 'bring', 'your', 'own', 'url']"
modify default location of rocketpool_eth1 container volume,180,closed,https://github.com/rocket-pool/rocketpool/issues/180,rocket-pool/rocketpool,"['modify', 'default', 'location', 'rocketpool_eth1', 'container', 'volume']","['modifi', 'default', 'locat', 'rocketpool_eth1', 'contain', 'volum']"
Solidity Coverage,179,open,https://github.com/rocket-pool/rocketpool/issues/179,rocket-pool/rocketpool,"['solidity', 'coverage']","['solid', 'coverag']"
rETH safety swing caps,178,open,https://github.com/rocket-pool/rocketpool/issues/178,rocket-pool/rocketpool,"['reth', 'safety', 'swing', 'cap']","['reth', 'safeti', 'swing', 'cap']"
Error: while migrating Migrations: Returned error: Exceeds block gas limit,177,closed,https://github.com/rocket-pool/rocketpool/issues/177,rocket-pool/rocketpool,"['error', 'migrating', 'migrations', 'returned', 'error', 'exceeds', 'block', 'gas', 'limit']","['error', 'migrat', 'migrat', 'return', 'error', 'exce', 'block', 'ga', 'limit']"
Change .gitattribute to .gitattributes,176,closed,https://github.com/rocket-pool/rocketpool/issues/176,rocket-pool/rocketpool,"['change', 'gitattribute', 'gitattributes']","['chang', 'gitattribut', 'gitattribut']"
Deposit pool burn,175,closed,https://github.com/rocket-pool/rocketpool/issues/175,rocket-pool/rocketpool,"['deposit', 'pool', 'burn']","['deposit', 'pool', 'burn']"
Bump lodash from 4.17.15 to 4.17.19,174,closed,https://github.com/rocket-pool/rocketpool/issues/174,rocket-pool/rocketpool,"['bump', 'lodash', '41715', '41719']","['bump', 'lodash', '4', '17', '15', '4', '17', '19']"
Update Solidity Version,173,closed,https://github.com/rocket-pool/rocketpool/issues/173,rocket-pool/rocketpool,"['update', 'solidity', 'version']","['updat', 'solid', 'version']"
Error: while migrating Migrations: Returned error: Exceeds block gas limit,172,closed,https://github.com/rocket-pool/rocketpool/issues/172,rocket-pool/rocketpool,"['error', 'migrating', 'migrations', 'returned', 'error', 'exceeds', 'block', 'gas', 'limit']","['error', 'migrat', 'migrat', 'return', 'error', 'exce', 'block', 'ga', 'limit']"
fails with node v12,171,closed,https://github.com/rocket-pool/rocketpool/issues/171,rocket-pool/rocketpool,"['fails', 'node', 'v12']","['fail', 'node', 'v12']"
Withdrawal keys,170,closed,https://github.com/rocket-pool/rocketpool/issues/170,rocket-pool/rocketpool,"['withdrawal', 'key']","['withdraw', 'key']"
Contract events,169,closed,https://github.com/rocket-pool/rocketpool/issues/169,rocket-pool/rocketpool,"['contract', 'event']","['contract', 'event']"
Minipool staking,168,closed,https://github.com/rocket-pool/rocketpool/issues/168,rocket-pool/rocketpool,"['minipool', 'staking']","['minipool', 'stake']"
Withdrawal keys,167,closed,https://github.com/rocket-pool/rocketpool/issues/167,rocket-pool/rocketpool,"['withdrawal', 'key']","['withdraw', 'key']"
Node Fee Event,166,closed,https://github.com/rocket-pool/rocketpool/issues/166,rocket-pool/rocketpool,"['node', 'fee', 'event']","['node', 'fee', 'event']"
Log network utilisation on deposits,165,closed,https://github.com/rocket-pool/rocketpool/issues/165,rocket-pool/rocketpool,"['log', 'network', 'utilisation', 'deposit']","['log', 'network', 'utilis', 'deposit']"
Storage contracts accessible by older contracts,164,closed,https://github.com/rocket-pool/rocketpool/issues/164,rocket-pool/rocketpool,"['storage', 'contract', 'accessible', 'older', 'contract']","['storag', 'contract', 'access', 'older', 'contract']"
Deposit contract update,163,closed,https://github.com/rocket-pool/rocketpool/issues/163,rocket-pool/rocketpool,"['deposit', 'contract', 'update']","['deposit', 'contract', 'updat']"
Uniswap integration,162,closed,https://github.com/rocket-pool/rocketpool/issues/162,rocket-pool/rocketpool,"['uniswap', 'integration']","['uniswap', 'integr']"
Staking durations update,161,closed,https://github.com/rocket-pool/rocketpool/issues/161,rocket-pool/rocketpool,"['staking', 'duration', 'update']","['stake', 'durat', 'updat']"
disabled inactive node minipool creation,160,closed,https://github.com/rocket-pool/rocketpool/issues/160,rocket-pool/rocketpool,"['disabled', 'inactive', 'node', 'minipool', 'creation']","['disabl', 'inact', 'node', 'minipool', 'creation']"
Add withdrawal key aggregation,159,closed,https://github.com/rocket-pool/rocketpool/issues/159,rocket-pool/rocketpool,"['add', 'withdrawal', 'key', 'aggregation']","['add', 'withdraw', 'key', 'aggreg']"
