issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
when make util/util.go:42:17: undefined: common,469,open,https://github.com/sammy007/open-ethereum-pool/issues/469,sammy007/open-ethereum-pool,"['make', 'utilutilgo4217', 'undefined', 'common']","['make', 'util', 'util', 'go', '42', '17', 'undefin', 'common']"
Add SSL port,468,open,https://github.com/sammy007/open-ethereum-pool/issues/468,sammy007/open-ethereum-pool,"['add', 'ssl', 'port']","['add', 'ssl', 'port']"
No mining work available yet.,467,open,https://github.com/sammy007/open-ethereum-pool/issues/467,sammy007/open-ethereum-pool,"['no', 'mining', 'work', 'available', 'yet']","['no', 'mine', 'work', 'avail', 'yet']"
Is this repo still valid uptodate for Ethereum pool?,466,closed,https://github.com/sammy007/open-ethereum-pool/issues/466,sammy007/open-ethereum-pool,"['is', 'repo', 'still', 'valid', 'uptodate', 'ethereum', 'pool']","['is', 'repo', 'still', 'valid', 'uptod', 'ethereum', 'pool']"
./config.json weird output,465,open,https://github.com/sammy007/open-ethereum-pool/issues/465,sammy007/open-ethereum-pool,"['configjson', 'weird', 'output']","['config', 'json', 'weird', 'output']"
Ethereum Classic Support for EtcHash (ECIP 1099) / Thanos mining algorithm,464,open,https://github.com/sammy007/open-ethereum-pool/issues/464,sammy007/open-ethereum-pool,"['ethereum', 'classic', 'support', 'etchash', 'ecip', '1099', 'thanos', 'mining', 'algorithm']","['ethereum', 'classic', 'support', 'etchash', 'ecip', '1099', 'thano', 'mine', 'algorithm']"
Util make problem,463,open,https://github.com/sammy007/open-ethereum-pool/issues/463,sammy007/open-ethereum-pool,"['util', 'make', 'problem']","['util', 'make', 'problem']"
Parity Open Ethereum Issue,462,open,https://github.com/sammy007/open-ethereum-pool/issues/462,sammy007/open-ethereum-pool,"['parity', 'open', 'ethereum', 'issue']","['pariti', 'open', 'ethereum', 'issu']"
"make failed, cannot find main module",461,closed,https://github.com/sammy007/open-ethereum-pool/issues/461,sammy007/open-ethereum-pool,"['make', 'failed', 'find', 'main', 'module']","['make', 'fail', 'find', 'main', 'modul']"
Multi Server Location Cluster setup,460,open,https://github.com/sammy007/open-ethereum-pool/issues/460,sammy007/open-ethereum-pool,"['multi', 'server', 'location', 'cluster', 'setup']","['multi', 'server', 'locat', 'cluster', 'setup']"
build error,459,closed,https://github.com/sammy007/open-ethereum-pool/issues/459,sammy007/open-ethereum-pool,"['build', 'error']","['build', 'error']"
Current round variance doesn't work,458,open,https://github.com/sammy007/open-ethereum-pool/issues/458,sammy007/open-ethereum-pool,"['current', 'round', 'variance', 'doesnt', 'work']","['current', 'round', 'varianc', 'work']"
Experimental: support geth `--miner.notify` option to push mining jobs,457,open,https://github.com/sammy007/open-ethereum-pool/issues/457,sammy007/open-ethereum-pool,"['experimental', 'support', 'geth', 'minernotify', 'option', 'push', 'mining', 'job']","['experiment', 'support', 'geth', 'miner', 'notifi', 'option', 'push', 'mine', 'job']"
"Purged stale stats from backend, 2283 shares affected, elapsed time 2.510441ms",456,open,https://github.com/sammy007/open-ethereum-pool/issues/456,sammy007/open-ethereum-pool,"['purged', 'stale', 'stats', 'backend', '2283', 'share', 'affected', 'elapsed', 'time', '2510441ms']","['purg', 'stale', 'stat', 'backend', '2283', 'share', 'affect', 'elaps', 'time', '2', '510441m']"
Hackmod,455,closed,https://github.com/sammy007/open-ethereum-pool/issues/455,sammy007/open-ethereum-pool,['hackmod'],['hackmod']
"Error while refreshing pending block on main: strconv.ParseUint: parsing """": invalid syntax",454,open,https://github.com/sammy007/open-ethereum-pool/issues/454,sammy007/open-ethereum-pool,"['error', 'refreshing', 'pending', 'block', 'main', 'strconvparseuint', 'parsing', 'invalid', 'syntax']","['error', 'refresh', 'pend', 'block', 'main', 'strconv', 'parseuint', 'pars', 'invalid', 'syntax']"
no longer works out the box - unpinned nested dependencies hard to debug,453,closed,https://github.com/sammy007/open-ethereum-pool/issues/453,sammy007/open-ethereum-pool,"['longer', 'work', 'box', 'unpinned', 'nested', 'dependency', 'hard', 'debug']","['longer', 'work', 'box', 'unpin', 'nest', 'depend', 'hard', 'debug']"
Develop,451,open,https://github.com/sammy007/open-ethereum-pool/issues/451,sammy007/open-ethereum-pool,['develop'],['develop']
miner stats not showing open ethereum pool,450,open,https://github.com/sammy007/open-ethereum-pool/issues/450,sammy007/open-ethereum-pool,"['miner', 'stats', 'showing', 'open', 'ethereum', 'pool']","['miner', 'stat', 'show', 'open', 'ethereum', 'pool']"
Block reward is x2 less than expected,449,open,https://github.com/sammy007/open-ethereum-pool/issues/449,sammy007/open-ethereum-pool,"['block', 'reward', 'x2', 'le', 'expected']","['block', 'reward', 'x2', 'less', 'expect']"
Malformed stratum request for params ,448,open,https://github.com/sammy007/open-ethereum-pool/issues/448,sammy007/open-ethereum-pool,"['malformed', 'stratum', 'request', 'params']","['malform', 'stratum', 'request', 'param']"
Unable to process payouts: account is locked on ETC classic,447,open,https://github.com/sammy007/open-ethereum-pool/issues/447,sammy007/open-ethereum-pool,"['unable', 'process', 'payouts', 'account', 'locked', 'etc', 'classic']","['unabl', 'process', 'payout', 'account', 'lock', 'etc', 'classic']"
How to Connect ASIC Miner to this Pool?,446,open,https://github.com/sammy007/open-ethereum-pool/issues/446,sammy007/open-ethereum-pool,"['how', 'connect', 'asic', 'miner', 'pool']","['how', 'connect', 'asic', 'miner', 'pool']"
open-zcash-pool fork from open-ethereum-pool -  Stats API Temporarily Down  Usually it's just a temporal issue and mining is not affected.,445,open,https://github.com/sammy007/open-ethereum-pool/issues/445,sammy007/open-ethereum-pool,"['openzcashpool', 'fork', 'openethereumpool', 'stats', 'api', 'temporarily', 'down', 'usually', 'temporal', 'issue', 'mining', 'affected']","['open', 'zcash', 'pool', 'fork', 'open', 'ethereum', 'pool', 'stat', 'api', 'temporarili', 'down', 'usual', 'tempor', 'issu', 'mine', 'affect']"
Can we use the software to make a pool for my private geth block chain?,444,open,https://github.com/sammy007/open-ethereum-pool/issues/444,sammy007/open-ethereum-pool,"['can', 'use', 'software', 'make', 'pool', 'private', 'geth', 'block', 'chain']","['can', 'use', 'softwar', 'make', 'pool', 'privat', 'geth', 'block', 'chain']"
How to calculate reportedHashrate?!,443,open,https://github.com/sammy007/open-ethereum-pool/issues/443,sammy007/open-ethereum-pool,"['how', 'calculate', 'reportedhashrate']","['how', 'calcul', 'reportedhashr']"
EthereumStratum/2.0.0 implementation to support both ProgPoW and ethash ,442,open,https://github.com/sammy007/open-ethereum-pool/issues/442,sammy007/open-ethereum-pool,"['ethereumstratum200', 'implementation', 'support', 'progpow', 'ethash']","['ethereumstratum', '2', '0', '0', 'implement', 'support', 'progpow', 'ethash']"
pool run error  : while refreshing block template on main: not supported,441,open,https://github.com/sammy007/open-ethereum-pool/issues/441,sammy007/open-ethereum-pool,"['pool', 'run', 'error', 'refreshing', 'block', 'template', 'main', 'supported']","['pool', 'run', 'error', 'refresh', 'block', 'templat', 'main', 'support']"
Blank Front End (only footer and background showing),440,closed,https://github.com/sammy007/open-ethereum-pool/issues/440,sammy007/open-ethereum-pool,"['blank', 'front', 'end', 'footer', 'background', 'showing']","['blank', 'front', 'end', 'footer', 'background', 'show']"
Front End,439,closed,https://github.com/sammy007/open-ethereum-pool/issues/439,sammy007/open-ethereum-pool,"['front', 'end']","['front', 'end']"
Running Payment No Response,438,open,https://github.com/sammy007/open-ethereum-pool/issues/438,sammy007/open-ethereum-pool,"['running', 'payment', 'no', 'response']","['run', 'payment', 'no', 'respons']"
Bad Block Reward,437,open,https://github.com/sammy007/open-ethereum-pool/issues/437,sammy007/open-ethereum-pool,"['bad', 'block', 'reward']","['bad', 'block', 'reward']"
alike height but unequal header with getWork,436,open,https://github.com/sammy007/open-ethereum-pool/issues/436,sammy007/open-ethereum-pool,"['alike', 'height', 'unequal', 'header', 'getwork']","['alik', 'height', 'unequ', 'header', 'getwork']"
No worker stats,435,closed,https://github.com/sammy007/open-ethereum-pool/issues/435,sammy007/open-ethereum-pool,"['no', 'worker', 'stats']","['no', 'worker', 'stat']"
no license key,434,open,https://github.com/sammy007/open-ethereum-pool/issues/434,sammy007/open-ethereum-pool,"['license', 'key']","['licens', 'key']"
site loads blank page ,433,open,https://github.com/sammy007/open-ethereum-pool/issues/433,sammy007/open-ethereum-pool,"['site', 'load', 'blank', 'page']","['site', 'load', 'blank', 'page']"
Update unlocker.go for Constantinople ,432,open,https://github.com/sammy007/open-ethereum-pool/issues/432,sammy007/open-ethereum-pool,"['update', 'unlockergo', 'constantinople']","['updat', 'unlock', 'go', 'constantinopl']"
Don't received jobs from the pool,431,open,https://github.com/sammy007/open-ethereum-pool/issues/431,sammy007/open-ethereum-pool,"['dont', 'received', 'job', 'pool']","['don', 'receiv', 'job', 'pool']"
Ethereum Classic Mining Pool,430,open,https://github.com/sammy007/open-ethereum-pool/issues/430,sammy007/open-ethereum-pool,"['ethereum', 'classic', 'mining', 'pool']","['ethereum', 'classic', 'mine', 'pool']"
Zilliqa,429,open,https://github.com/sammy007/open-ethereum-pool/issues/429,sammy007/open-ethereum-pool,['zilliqa'],['zilliqa']
Fix KeepAlive on non TLS connections,428,open,https://github.com/sammy007/open-ethereum-pool/issues/428,sammy007/open-ethereum-pool,"['fix', 'keepalive', 'non', 'tls', 'connection']","['fix', 'keepal', 'non', 'tl', 'connect']"
Add support for TLS to stratum without breaking standard stratum,427,open,https://github.com/sammy007/open-ethereum-pool/issues/427,sammy007/open-ethereum-pool,"['add', 'support', 'tls', 'stratum', 'without', 'breaking', 'standard', 'stratum']","['add', 'support', 'tl', 'stratum', 'without', 'break', 'standard', 'stratum']"
Incorrect new block candidates found after Constantinople hard fork,426,closed,https://github.com/sammy007/open-ethereum-pool/issues/426,sammy007/open-ethereum-pool,"['incorrect', 'new', 'block', 'candidate', 'found', 'constantinople', 'hard', 'fork']","['incorrect', 'new', 'block', 'candid', 'found', 'constantinopl', 'hard', 'fork']"
