issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
/beacon/states/{state_id}/validators/validator_id returns incorrect error code,2275,open,https://github.com/sigp/lighthouse/issues/2275,sigp/lighthouse,"['beaconstatesstate_idvalidatorsvalidator_id', 'return', 'incorrect', 'error', 'code']","['beacon', 'state', 'state_id', 'valid', 'validator_id', 'return', 'incorrect', 'error', 'code']"
Consider being less strict about chain spec in VC,2274,open,https://github.com/sigp/lighthouse/issues/2274,sigp/lighthouse,"['consider', 'le', 'strict', 'chain', 'spec', 'vc']","['consid', 'less', 'strict', 'chain', 'spec', 'vc']"
Feature Request: Add flag to specify location of slashing protection database file,2273,open,https://github.com/sigp/lighthouse/issues/2273,sigp/lighthouse,"['feature', 'request', 'add', 'flag', 'specify', 'location', 'slashing', 'protection', 'database', 'file']","['featur', 'request', 'add', 'flag', 'specifi', 'locat', 'slash', 'protect', 'databas', 'file']"
404's on API requests for slots that have been skipped or orphaned,2272,open,https://github.com/sigp/lighthouse/issues/2272,sigp/lighthouse,"['404s', 'api', 'request', 'slot', 'skipped', 'orphaned']","['404', 'api', 'request', 'slot', 'skip', 'orphan']"
Silent Failure after Cache Lock Timeout,2271,open,https://github.com/sigp/lighthouse/issues/2271,sigp/lighthouse,"['silent', 'failure', 'cache', 'lock', 'timeout']","['silent', 'failur', 'cach', 'lock', 'timeout']"
Start a release checklist,2270,open,https://github.com/sigp/lighthouse/issues/2270,sigp/lighthouse,"['start', 'release', 'checklist']","['start', 'releas', 'checklist']"
[Merged by Bors] - Update mailing list link,2269,closed,https://github.com/sigp/lighthouse/issues/2269,sigp/lighthouse,"['merged', 'bors', 'update', 'mailing', 'list', 'link']","['merg', 'bor', 'updat', 'mail', 'list', 'link']"
Attempt to fix eth1 sim,2268,closed,https://github.com/sigp/lighthouse/issues/2268,sigp/lighthouse,"['attempt', 'fix', 'eth1', 'sim']","['attempt', 'fix', 'eth1', 'sim']"
Fix TimedOut errors in no-eth1-simulator,2267,closed,https://github.com/sigp/lighthouse/issues/2267,sigp/lighthouse,"['fix', 'timedout', 'error', 'noeth1simulator']","['fix', 'timedout', 'error', 'eth1', 'simul']"
Expand observed attestations capacity,2266,open,https://github.com/sigp/lighthouse/issues/2266,sigp/lighthouse,"['expand', 'observed', 'attestation', 'capacity']","['expand', 'observ', 'attest', 'capac']"
Expand observed attesters capacity,2265,closed,https://github.com/sigp/lighthouse/issues/2265,sigp/lighthouse,"['expand', 'observed', 'attester', 'capacity']","['expand', 'observ', 'attest', 'capac']"
[Merged by Bors] - Fix default implementation on FixedVector,2264,closed,https://github.com/sigp/lighthouse/issues/2264,sigp/lighthouse,"['merged', 'bors', 'fix', 'default', 'implementation', 'fixedvector']","['merg', 'bor', 'fix', 'default', 'implement', 'fixedvector']"
[Merged by Bors] - v1.2.1,2263,closed,https://github.com/sigp/lighthouse/issues/2263,sigp/lighthouse,"['merged', 'bors', 'v121']","['merg', 'bor', 'v1', '2', '1']"
Feature Request: Add flag to validator client for custom CA certs ,2262,open,https://github.com/sigp/lighthouse/issues/2262,sigp/lighthouse,"['feature', 'request', 'add', 'flag', 'validator', 'client', 'custom', 'ca', 'cert']","['featur', 'request', 'add', 'flag', 'valid', 'client', 'custom', 'ca', 'cert']"
[Merged by Bors] - Version bump `milagro_bls` to v1.4.2,2261,closed,https://github.com/sigp/lighthouse/issues/2261,sigp/lighthouse,"['merged', 'bors', 'version', 'bump', 'milagro_bls', 'v142']","['merg', 'bor', 'version', 'bump', 'milagro_bl', 'v1', '4', '2']"
[Merged by Bors] - Add prater testnet config,2260,closed,https://github.com/sigp/lighthouse/issues/2260,sigp/lighthouse,"['merged', 'bors', 'add', 'prater', 'testnet', 'config']","['merg', 'bor', 'add', 'prater', 'testnet', 'config']"
Publish the ssz crate to crates.io via CI,2259,open,https://github.com/sigp/lighthouse/issues/2259,sigp/lighthouse,"['publish', 'ssz', 'crate', 'cratesio', 'via', 'ci']","['publish', 'ssz', 'crate', 'crate', 'io', 'via', 'ci']"
Add support for --network prater,2258,closed,https://github.com/sigp/lighthouse/issues/2258,sigp/lighthouse,"['add', 'support', 'network', 'prater']","['add', 'support', 'network', 'prater']"
[Merged by Bors] - Fix voluntary exit to work with latest beacon api,2257,closed,https://github.com/sigp/lighthouse/issues/2257,sigp/lighthouse,"['merged', 'bors', 'fix', 'voluntary', 'exit', 'work', 'latest', 'beacon', 'api']","['merg', 'bor', 'fix', 'voluntari', 'exit', 'work', 'latest', 'beacon', 'api']"
sample issue,2256,closed,https://github.com/sigp/lighthouse/issues/2256,sigp/lighthouse,"['sample', 'issue']","['sampl', 'issu']"
sample issue,2255,closed,https://github.com/sigp/lighthouse/issues/2255,sigp/lighthouse,"['sample', 'issue']","['sampl', 'issu']"
Consider using SO_REUSEADDR for TCP sockets,2254,open,https://github.com/sigp/lighthouse/issues/2254,sigp/lighthouse,"['consider', 'using', 'so_reuseaddr', 'tcp', 'socket']","['consid', 'use', 'so_reuseaddr', 'tcp', 'socket']"
Update stable to v1.2.0,2253,closed,https://github.com/sigp/lighthouse/issues/2253,sigp/lighthouse,"['update', 'stable', 'v120']","['updat', 'stabl', 'v1', '2', '0']"
[Merged by Bors] - Fix proposer cache priming upon state advance,2252,closed,https://github.com/sigp/lighthouse/issues/2252,sigp/lighthouse,"['merged', 'bors', 'fix', 'proposer', 'cache', 'priming', 'upon', 'state', 'advance']","['merg', 'bor', 'fix', 'propos', 'cach', 'prime', 'upon', 'state', 'advanc']"
Monitoring service api,2251,open,https://github.com/sigp/lighthouse/issues/2251,sigp/lighthouse,"['monitoring', 'service', 'api']","['monitor', 'servic', 'api']"
Wrong block returned when you fetch information about orphaned/missed blocks,2250,closed,https://github.com/sigp/lighthouse/issues/2250,sigp/lighthouse,"['wrong', 'block', 'returned', 'fetch', 'information', 'orphanedmissed', 'block']","['wrong', 'block', 'return', 'fetch', 'inform', 'orphan', 'miss', 'block']"
[Merged by Bors] - Release v1.2.0,2249,closed,https://github.com/sigp/lighthouse/issues/2249,sigp/lighthouse,"['merged', 'bors', 'release', 'v120']","['merg', 'bor', 'releas', 'v1', '2', '0']"
[Merged by Bors] - Release candidate v1.2.0-rc.0,2248,closed,https://github.com/sigp/lighthouse/issues/2248,sigp/lighthouse,"['merged', 'bors', 'release', 'candidate', 'v120rc0']","['merg', 'bor', 'releas', 'candid', 'v1', '2', '0', 'rc', '0']"
[Merged by Bors] - Prevent adding and dialing bootnodes when discovery is disabled,2247,closed,https://github.com/sigp/lighthouse/issues/2247,sigp/lighthouse,"['merged', 'bors', 'prevent', 'adding', 'dialing', 'bootnodes', 'discovery', 'disabled']","['merg', 'bor', 'prevent', 'ad', 'dial', 'bootnod', 'discoveri', 'disabl']"
[Merged by Bors] - Update blst to 0.3.3,2246,closed,https://github.com/sigp/lighthouse/issues/2246,sigp/lighthouse,"['merged', 'bors', 'update', 'blst', '033']","['merg', 'bor', 'updat', 'blst', '0', '3', '3']"
beacon_node/store: potential deadlock in hot_cold_store.rs,2245,open,https://github.com/sigp/lighthouse/issues/2245,sigp/lighthouse,"['beacon_nodestore', 'potential', 'deadlock', 'hot_cold_storers']","['beacon_nod', 'store', 'potenti', 'deadlock', 'hot_cold_stor', 'rs']"
Implement weak subjectivity sync,2244,open,https://github.com/sigp/lighthouse/issues/2244,sigp/lighthouse,"['implement', 'weak', 'subjectivity', 'sync']","['implement', 'weak', 'subject', 'sync']"
[Merged by Bors] - Optimize validator duties,2243,closed,https://github.com/sigp/lighthouse/issues/2243,sigp/lighthouse,"['merged', 'bors', 'optimize', 'validator', 'duty']","['merg', 'bor', 'optim', 'valid', 'duti']"
[Merged by Bors] - Resolve RUSTSEC-2020-0146,2242,closed,https://github.com/sigp/lighthouse/issues/2242,sigp/lighthouse,"['merged', 'bors', 'resolve', 'rustsec20200146']","['merg', 'bor', 'resolv', 'rustsec', '2020', '0146']"
[Merged by Bors] - Use advanced state for block production,2241,closed,https://github.com/sigp/lighthouse/issues/2241,sigp/lighthouse,"['merged', 'bors', 'use', 'advanced', 'state', 'block', 'production']","['merg', 'bor', 'use', 'advanc', 'state', 'block', 'product']"
Clean up warnings,2240,open,https://github.com/sigp/lighthouse/issues/2240,sigp/lighthouse,"['clean', 'warning']","['clean', 'warn']"
[Merged by Bors] - Update to the latest libp2p,2239,closed,https://github.com/sigp/lighthouse/issues/2239,sigp/lighthouse,"['merged', 'bors', 'update', 'latest', 'libp2p']","['merg', 'bor', 'updat', 'latest', 'libp2p']"
Tidy cargo audit ignores,2238,closed,https://github.com/sigp/lighthouse/issues/2238,sigp/lighthouse,"['tidy', 'cargo', 'audit', 'ignores']","['tidi', 'cargo', 'audit', 'ignor']"
Resolve RUSTSEC-2020-0146,2237,closed,https://github.com/sigp/lighthouse/issues/2237,sigp/lighthouse,"['resolve', 'rustsec20200146']","['resolv', 'rustsec', '2020', '0146']"
HF1 Fork Choice,2236,closed,https://github.com/sigp/lighthouse/issues/2236,sigp/lighthouse,"['hf1', 'fork', 'choice']","['hf1', 'fork', 'choic']"
[Merged by Bors] - Bump spec tests to v1.0.1,2235,closed,https://github.com/sigp/lighthouse/issues/2235,sigp/lighthouse,"['merged', 'bors', 'bump', 'spec', 'test', 'v101']","['merg', 'bor', 'bump', 'spec', 'test', 'v1', '0', '1']"
[Merged by Bors] - Use the database to persist the pubkey cache,2234,closed,https://github.com/sigp/lighthouse/issues/2234,sigp/lighthouse,"['merged', 'bors', 'use', 'database', 'persist', 'pubkey', 'cache']","['merg', 'bor', 'use', 'databas', 'persist', 'pubkey', 'cach']"
[Merged by Bors] - Expose the startup timestamp to Prometheus,2233,closed,https://github.com/sigp/lighthouse/issues/2233,sigp/lighthouse,"['merged', 'bors', 'expose', 'startup', 'timestamp', 'prometheus']","['merg', 'bor', 'expos', 'startup', 'timestamp', 'prometheu']"
Spec v1.0.1,2232,closed,https://github.com/sigp/lighthouse/issues/2232,sigp/lighthouse,"['spec', 'v101']","['spec', 'v1', '0', '1']"
[Merged by Bors] - Improve error when user doesn't have a wallet,2231,closed,https://github.com/sigp/lighthouse/issues/2231,sigp/lighthouse,"['merged', 'bors', 'improve', 'error', 'user', 'doesnt', 'wallet']","['merg', 'bor', 'improv', 'error', 'user', 'wallet']"
Doppleganger detection,2230,open,https://github.com/sigp/lighthouse/issues/2230,sigp/lighthouse,"['doppleganger', 'detection']","['dopplegang', 'detect']"
Fix local testnet scripts,2229,open,https://github.com/sigp/lighthouse/issues/2229,sigp/lighthouse,"['fix', 'local', 'testnet', 'script']","['fix', 'local', 'testnet', 'script']"
[Merged by Bors] - Validator import password flag,2228,closed,https://github.com/sigp/lighthouse/issues/2228,sigp/lighthouse,"['merged', 'bors', 'validator', 'import', 'password', 'flag']","['merg', 'bor', 'valid', 'import', 'password', 'flag']"
feature request - Add a way to remove the deposit data,2227,closed,https://github.com/sigp/lighthouse/issues/2227,sigp/lighthouse,"['feature', 'request', 'add', 'way', 'remove', 'deposit', 'data']","['featur', 'request', 'add', 'way', 'remov', 'deposit', 'data']"
[Merged by Bors] - Lint for sum and product in consensus code,2226,closed,https://github.com/sigp/lighthouse/issues/2226,sigp/lighthouse,"['merged', 'bors', 'lint', 'sum', 'product', 'consensus', 'code']","['merg', 'bor', 'lint', 'sum', 'product', 'consensu', 'code']"
