issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
[wallet] Skip transaction on chain id mismatch,2176,closed,https://github.com/status-im/status-go/issues/2176,status-im/status-go,"['wallet', 'skip', 'transaction', 'chain', 'id', 'mismatch']","['wallet', 'skip', 'transact', 'chain', 'id', 'mismatch']"
Ban user from community,2175,open,https://github.com/status-im/status-go/issues/2175,status-im/status-go,"['ban', 'user', 'community']","['ban', 'user', 'commun']"
[wallet] WatchTransaction method,2174,open,https://github.com/status-im/status-go/issues/2174,status-im/status-go,"['wallet', 'watchtransaction', 'method']","['wallet', 'watchtransact', 'method']"
📖 Add appmetrics overview doc,2173,open,https://github.com/status-im/status-go/issues/2173,status-im/status-go,"['add', 'appmetrics', 'overview', 'doc']","['add', 'appmetr', 'overview', 'doc']"
chore: Refactor code quality issues,2172,open,https://github.com/status-im/status-go/issues/2172,status-im/status-go,"['chore', 'refactor', 'code', 'quality', 'issue']","['chore', 'refactor', 'code', 'qualiti', 'issu']"
[wallet] GetTransfersByAddress for preloaded transfers,2171,open,https://github.com/status-im/status-go/issues/2171,status-im/status-go,"['wallet', 'gettransfersbyaddress', 'preloaded', 'transfer']","['wallet', 'gettransfersbyaddress', 'preload', 'transfer']"
🎭 📊 Anonymous Metrics V0,2170,closed,https://github.com/status-im/status-go/issues/2170,status-im/status-go,"['anonymous', 'metrics', 'v0']","['anonym', 'metric', 'v0']"
Expand confirmations to private group chat messages,2169,closed,https://github.com/status-im/status-go/issues/2169,status-im/status-go,"['expand', 'confirmation', 'private', 'group', 'chat', 'message']","['expand', 'confirm', 'privat', 'group', 'chat', 'messag']"
[wallet] RPC usage stats,2168,closed,https://github.com/status-im/status-go/issues/2168,status-im/status-go,"['wallet', 'rpc', 'usage', 'stats']","['wallet', 'rpc', 'usag', 'stat']"
Set type as profile for all chats which have not empty profile field,2167,open,https://github.com/status-im/status-go/issues/2167,status-im/status-go,"['set', 'type', 'profile', 'chat', 'empty', 'profile', 'field']","['set', 'type', 'profil', 'chat', 'empti', 'profil', 'field']"
Do not create filters on init for profile chats which are not from contacts,2166,open,https://github.com/status-im/status-go/issues/2166,status-im/status-go,"['do', 'create', 'filter', 'init', 'profile', 'chat', 'contact']","['do', 'creat', 'filter', 'init', 'profil', 'chat', 'contact']"
ci: lower number of remembered jobs to 5,2165,closed,https://github.com/status-im/status-go/issues/2165,status-im/status-go,"['ci', 'lower', 'number', 'remembered', 'job', '5']","['ci', 'lower', 'number', 'rememb', 'job', '5']"
Bug/timeline profile,2164,closed,https://github.com/status-im/status-go/issues/2164,status-im/status-go,"['bugtimeline', 'profile']","['bug', 'timelin', 'profil']"
Fix syncing of public chats,2163,closed,https://github.com/status-im/status-go/issues/2163,status-im/status-go,"['fix', 'syncing', 'public', 'chat']","['fix', 'sync', 'public', 'chat']"
[wallet] Nonce range cache,2162,closed,https://github.com/status-im/status-go/issues/2162,status-im/status-go,"['wallet', 'nonce', 'range', 'cache']","['wallet', 'nonc', 'rang', 'cach']"
[wallet] Store account's last known balance and nonce,2161,closed,https://github.com/status-im/status-go/issues/2161,status-im/status-go,"['wallet', 'store', 'account', 'last', 'known', 'balance', 'nonce']","['wallet', 'store', 'account', 'last', 'known', 'balanc', 'nonc']"
Use json.Marshaler for notifications body,2160,open,https://github.com/status-im/status-go/issues/2160,status-im/status-go,"['use', 'jsonmarshaler', 'notification', 'body']","['use', 'json', 'marshal', 'notif', 'bodi']"
Contact Discovery,2159,closed,https://github.com/status-im/status-go/issues/2159,status-im/status-go,"['contact', 'discovery']","['contact', 'discoveri']"
feat: introduce new `joined` property in `Chat` struct,2158,open,https://github.com/status-im/status-go/issues/2158,status-im/status-go,"['feat', 'introduce', 'new', 'joined', 'property', 'chat', 'struct']","['feat', 'introduc', 'new', 'join', 'properti', 'chat', 'struct']"
Filter message PNs on status go side,2157,closed,https://github.com/status-im/status-go/issues/2157,status-im/status-go,"['filter', 'message', 'pns', 'status', 'go', 'side']","['filter', 'messag', 'pn', 'statu', 'go', 'side']"
SaveContact called for nickname change shouldn't remove the profile photo,2156,open,https://github.com/status-im/status-go/issues/2156,status-im/status-go,"['savecontact', 'called', 'nickname', 'change', 'shouldnt', 'remove', 'profile', 'photo']","['savecontact', 'call', 'nicknam', 'chang', 'remov', 'profil', 'photo']"
Bump version to 0.71.4,2155,closed,https://github.com/status-im/status-go/issues/2155,status-im/status-go,"['bump', 'version', '0714']","['bump', 'version', '0', '71', '4']"
[wallet] Avoid some unnecessary RPC requests,2154,closed,https://github.com/status-im/status-go/issues/2154,status-im/status-go,"['wallet', 'avoid', 'unnecessary', 'rpc', 'request']","['wallet', 'avoid', 'unnecessari', 'rpc', 'request']"
Fix image messages being dropped in profile chats,2153,closed,https://github.com/status-im/status-go/issues/2153,status-im/status-go,"['fix', 'image', 'message', 'dropped', 'profile', 'chat']","['fix', 'imag', 'messag', 'drop', 'profil', 'chat']"
Drop image messages in public chats,2152,closed,https://github.com/status-im/status-go/issues/2152,status-im/status-go,"['drop', 'image', 'message', 'public', 'chat']","['drop', 'imag', 'messag', 'public', 'chat']"
Private Profile Photos,2151,open,https://github.com/status-im/status-go/issues/2151,status-im/status-go,"['private', 'profile', 'photos']","['privat', 'profil', 'photo']"
"""Delivered"" status for messages sent with datasync",2150,closed,https://github.com/status-im/status-go/issues/2150,status-im/status-go,"['delivered', 'status', 'message', 'sent', 'datasync']","['deliv', 'statu', 'messag', 'sent', 'datasync']"
[wallet] Set initial blocks range for a new empty account,2149,closed,https://github.com/status-im/status-go/issues/2149,status-im/status-go,"['wallet', 'set', 'initial', 'block', 'range', 'new', 'empty', 'account']","['wallet', 'set', 'initi', 'block', 'rang', 'new', 'empti', 'account']"
makefile: use git email for AUTHOR value,2148,closed,https://github.com/status-im/status-go/issues/2148,status-im/status-go,"['makefile', 'use', 'git', 'email', 'author', 'value']","['makefil', 'use', 'git', 'email', 'author', 'valu']"
Add status.im and medium unfurling support,2147,closed,https://github.com/status-im/status-go/issues/2147,status-im/status-go,"['add', 'statusim', 'medium', 'unfurling', 'support']","['add', 'statu', 'im', 'medium', 'unfurl', 'support']"
go-ethereum: Drop throttling of inbound connections,2146,closed,https://github.com/status-im/status-go/issues/2146,status-im/status-go,"['goethereum', 'drop', 'throttling', 'inbound', 'connection']","['go', 'ethereum', 'drop', 'throttl', 'inbound', 'connect']"
[wallet] Merge blocks ranges when possible,2145,closed,https://github.com/status-im/status-go/issues/2145,status-im/status-go,"['wallet', 'merge', 'block', 'range', 'possible']","['wallet', 'merg', 'block', 'rang', 'possibl']"
Fix peerpool test,2144,closed,https://github.com/status-im/status-go/issues/2144,status-im/status-go,"['fix', 'peerpool', 'test']","['fix', 'peerpool', 'test']"
using zap.NewNop() ignores configured log level,2143,open,https://github.com/status-im/status-go/issues/2143,status-im/status-go,"['using', 'zapnewnop', 'ignores', 'configured', 'log', 'level']","['use', 'zap', 'newnop', 'ignor', 'configur', 'log', 'level']"
Adding Transactions messages to the localnotifications,2142,closed,https://github.com/status-im/status-go/issues/2142,status-im/status-go,"['adding', 'transactions', 'message', 'localnotifications']","['ad', 'transact', 'messag', 'localnotif']"
Notifications are not dispatched for RequestTransaction/SendTransaction,2141,closed,https://github.com/status-im/status-go/issues/2141,status-im/status-go,"['notifications', 'dispatched', 'requesttransactionsendtransaction']","['notif', 'dispatch', 'requesttransact', 'sendtransact']"
mailserver port,2140,closed,https://github.com/status-im/status-go/issues/2140,status-im/status-go,"['mailserver', 'port']","['mailserv', 'port']"
Handle peer event async in metrics,2139,closed,https://github.com/status-im/status-go/issues/2139,status-im/status-go,"['handle', 'peer', 'event', 'async', 'metric']","['handl', 'peer', 'event', 'async', 'metric']"
fix typo in mailserver archived envelope failures metric,2138,closed,https://github.com/status-im/status-go/issues/2138,status-im/status-go,"['fix', 'typo', 'mailserver', 'archived', 'envelope', 'failure', 'metric']","['fix', 'typo', 'mailserv', 'archiv', 'envelop', 'failur', 'metric']"
Fix deadlock in peerpoool,2137,closed,https://github.com/status-im/status-go/issues/2137,status-im/status-go,"['fix', 'deadlock', 'peerpoool']","['fix', 'deadlock', 'peerpoool']"
Make sure tokens balance can be fetched,2136,closed,https://github.com/status-im/status-go/issues/2136,status-im/status-go,"['make', 'sure', 'token', 'balance', 'fetched']","['make', 'sure', 'token', 'balanc', 'fetch']"
Avoid concurrent access to contacts,2135,closed,https://github.com/status-im/status-go/issues/2135,status-im/status-go,"['avoid', 'concurrent', 'access', 'contact']","['avoid', 'concurr', 'access', 'contact']"
Upgrade pq library,2134,closed,https://github.com/status-im/status-go/issues/2134,status-im/status-go,"['upgrade', 'pq', 'library']","['upgrad', 'pq', 'librari']"
Makefile: add v prefix to version read from VERSION file,2133,closed,https://github.com/status-im/status-go/issues/2133,status-im/status-go,"['makefile', 'add', 'v', 'prefix', 'version', 'read', 'version', 'file']","['makefil', 'add', 'v', 'prefix', 'version', 'read', 'version', 'file']"
Don't leak goroutines on decorator,2132,closed,https://github.com/status-im/status-go/issues/2132,status-im/status-go,"['dont', 'leak', 'goroutines', 'decorator']","['don', 'leak', 'goroutin', 'decor']"
Adding Crypto On Ramp API Endpoint to Wallet Service,2131,closed,https://github.com/status-im/status-go/issues/2131,status-im/status-go,"['adding', 'crypto', 'on', 'ramp', 'api', 'endpoint', 'wallet', 'service']","['ad', 'crypto', 'on', 'ramp', 'api', 'endpoint', 'wallet', 'servic']"
Add back notification code,2130,closed,https://github.com/status-im/status-go/issues/2130,status-im/status-go,"['add', 'back', 'notification', 'code']","['add', 'back', 'notif', 'code']"
Confirmations processing fixed on client side,2129,open,https://github.com/status-im/status-go/issues/2129,status-im/status-go,"['confirmations', 'processing', 'fixed', 'client', 'side']","['confirm', 'process', 'fix', 'client', 'side']"
Confirmation setting fixed for mailservers,2128,closed,https://github.com/status-im/status-go/issues/2128,status-im/status-go,"['confirmation', 'setting', 'fixed', 'mailservers']","['confirm', 'set', 'fix', 'mailserv']"
Fix segmentation failure on mailserver,2127,closed,https://github.com/status-im/status-go/issues/2127,status-im/status-go,"['fix', 'segmentation', 'failure', 'mailserver']","['fix', 'segment', 'failur', 'mailserv']"
Pass topics to mailserver cursor,2126,closed,https://github.com/status-im/status-go/issues/2126,status-im/status-go,"['pass', 'topic', 'mailserver', 'cursor']","['pass', 'topic', 'mailserv', 'cursor']"
"fix ""Pending"" status for messages in private group chat",2125,closed,https://github.com/status-im/status-go/issues/2125,status-im/status-go,"['fix', 'pending', 'status', 'message', 'private', 'group', 'chat']","['fix', 'pend', 'statu', 'messag', 'privat', 'group', 'chat']"
