issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Failed to compile. Module not found: Can't resolve 'drizzle',241,open,https://github.com/trufflesuite/drizzle-legacy/issues/241,trufflesuite/drizzle-legacy,"['failed', 'compile', 'module', 'found', 'cant', 'resolve', 'drizzle']","['fail', 'compil', 'modul', 'found', 'can', 'resolv', 'drizzl']"
Fix customProvider option,240,open,https://github.com/trufflesuite/drizzle-legacy/issues/240,trufflesuite/drizzle-legacy,"['fix', 'customprovider', 'option']","['fix', 'customprovid', 'option']"
Fix broken web3 documentation links,239,open,https://github.com/trufflesuite/drizzle-legacy/issues/239,trufflesuite/drizzle-legacy,"['fix', 'broken', 'web3', 'documentation', 'link']","['fix', 'broken', 'web3', 'document', 'link']"
Web3 update 1.0.0-beta35 -> 1.2.0,238,open,https://github.com/trufflesuite/drizzle-legacy/issues/238,trufflesuite/drizzle-legacy,"['web3', 'update', '100beta35', '120']","['web3', 'updat', '1', '0', '0', 'beta35', '1', '2', '0']"
..,236,closed,https://github.com/trufflesuite/drizzle-legacy/issues/236,trufflesuite/drizzle-legacy,[],[]
Feature/network whitelist,235,closed,https://github.com/trufflesuite/drizzle-legacy/issues/235,trufflesuite/drizzle-legacy,"['featurenetwork', 'whitelist']","['featur', 'network', 'whitelist']"
Initial types added,233,closed,https://github.com/trufflesuite/drizzle-legacy/issues/233,trufflesuite/drizzle-legacy,"['initial', 'type', 'added']","['initi', 'type', 'ad']"
Fix/metamask 6.6.0 breaks access denied Rebased 1.4,232,closed,https://github.com/trufflesuite/drizzle-legacy/issues/232,trufflesuite/drizzle-legacy,"['fixmetamask', '660', 'break', 'access', 'denied', 'rebased', '14']","['fix', 'metamask', '6', '6', '0', 'break', 'access', 'deni', 'rebas', '1', '4']"
Fix/metamask 6.6.0 breaks access denied,231,closed,https://github.com/trufflesuite/drizzle-legacy/issues/231,trufflesuite/drizzle-legacy,"['fixmetamask', '660', 'break', 'access', 'denied']","['fix', 'metamask', '6', '6', '0', 'break', 'access', 'deni']"
If user denies access through MetaMask (6.6.0+) drizzle does not fail gracefully,230,closed,https://github.com/trufflesuite/drizzle-legacy/issues/230,trufflesuite/drizzle-legacy,"['if', 'user', 'denies', 'access', 'metamask', '660', 'drizzle', 'fail', 'gracefully']","['if', 'user', 'deni', 'access', 'metamask', '6', '6', '0', 'drizzl', 'fail', 'grace']"
Calling cacheCall on a contract method which returns a struct gives an error - Web3 related,229,closed,https://github.com/trufflesuite/drizzle-legacy/issues/229,trufflesuite/drizzle-legacy,"['calling', 'cachecall', 'contract', 'method', 'return', 'struct', 'give', 'error', 'web3', 'related']","['call', 'cachecal', 'contract', 'method', 'return', 'struct', 'give', 'error', 'web3', 'relat']"
Fallback issue with infura ws,228,closed,https://github.com/trufflesuite/drizzle-legacy/issues/228,trufflesuite/drizzle-legacy,"['fallback', 'issue', 'infura', 'w']","['fallback', 'issu', 'infura', 'ws']"
Support for Typescript,227,closed,https://github.com/trufflesuite/drizzle-legacy/issues/227,trufflesuite/drizzle-legacy,"['support', 'typescript']","['support', 'typescript']"
drizzle installation Error,225,closed,https://github.com/trufflesuite/drizzle-legacy/issues/225,trufflesuite/drizzle-legacy,"['drizzle', 'installation', 'error']","['drizzl', 'instal', 'error']"
Fix/coinbase init web3,224,closed,https://github.com/trufflesuite/drizzle-legacy/issues/224,trufflesuite/drizzle-legacy,"['fixcoinbase', 'init', 'web3']","['fix', 'coinbas', 'init', 'web3']"
Question: Can I generateStore() with extra initialState?,223,closed,https://github.com/trufflesuite/drizzle-legacy/issues/223,trufflesuite/drizzle-legacy,"['question', 'can', 'i', 'generatestore', 'extra', 'initialstate']","['question', 'can', 'i', 'generatestor', 'extra', 'initialst']"
WIP: web3 update (help needed),222,closed,https://github.com/trufflesuite/drizzle-legacy/issues/222,trufflesuite/drizzle-legacy,"['wip', 'web3', 'update', 'help', 'needed']","['wip', 'web3', 'updat', 'help', 'need']"
