issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Support berlin hardfork,821,open,https://github.com/trufflesuite/ganache-cli/issues/821,trufflesuite/ganache-cli,"['support', 'berlin', 'hardfork']","['support', 'berlin', 'hardfork']"
chore: general clean up and improve usefulness of readme.md,820,closed,https://github.com/trufflesuite/ganache-cli/issues/820,trufflesuite/ganache-cli,"['chore', 'general', 'clean', 'improve', 'usefulness', 'readmemd']","['chore', 'gener', 'clean', 'improv', 'use', 'readm', 'md']"
MetaMask cannot connect to ganache-cli,819,open,https://github.com/trufflesuite/ganache-cli/issues/819,trufflesuite/ganache-cli,"['metamask', 'connect', 'ganachecli']","['metamask', 'connect', 'ganach', 'cli']"
"eth_getTransactionByHash failing with ""Error: Number can only safely store up to 53 bits"" when using ganache-cli with fork",818,open,https://github.com/trufflesuite/ganache-cli/issues/818,trufflesuite/ganache-cli,"['eth_gettransactionbyhash', 'failing', 'error', 'number', 'safely', 'store', '53', 'bit', 'using', 'ganachecli', 'fork']","['eth_gettransactionbyhash', 'fail', 'error', 'number', 'safe', 'store', '53', 'bit', 'use', 'ganach', 'cli', 'fork']"
Feat/containerize,817,closed,https://github.com/trufflesuite/ganache-cli/issues/817,trufflesuite/ganache-cli,['featcontainerize'],"['feat', 'container']"
"Error running -h ""0.0.0.0""",816,closed,https://github.com/trufflesuite/ganache-cli/issues/816,trufflesuite/ganache-cli,"['error', 'running', 'h', '0000']","['error', 'run', 'h', '0', '0', '0', '0']"
ganache-cli failing to eth_estimateGas,815,open,https://github.com/trufflesuite/ganache-cli/issues/815,trufflesuite/ganache-cli,"['ganachecli', 'failing', 'eth_estimategas']","['ganach', 'cli', 'fail', 'eth_estimatega']"
ganache-cli failing on estimateGas,814,closed,https://github.com/trufflesuite/ganache-cli/issues/814,trufflesuite/ganache-cli,"['ganachecli', 'failing', 'estimategas']","['ganach', 'cli', 'fail', 'estimatega']"
Error: VM Exception while processing migration transaction: invalid opcode when testing on different machines,813,closed,https://github.com/trufflesuite/ganache-cli/issues/813,trufflesuite/ganache-cli,"['error', 'vm', 'exception', 'processing', 'migration', 'transaction', 'invalid', 'opcode', 'testing', 'different', 'machine']","['error', 'vm', 'except', 'process', 'migrat', 'transact', 'invalid', 'opcod', 'test', 'differ', 'machin']"
Ganache-cli Fork will not last. Subsequent transactions fail with nonce error and / or out of gas error,812,open,https://github.com/trufflesuite/ganache-cli/issues/812,trufflesuite/ganache-cli,"['ganachecli', 'fork', 'last', 'subsequent', 'transaction', 'fail', 'nonce', 'error', 'gas', 'error']","['ganach', 'cli', 'fork', 'last', 'subsequ', 'transact', 'fail', 'nonc', 'error', 'ga', 'error']"
