issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
System Error when running Ganache 2.5.4 on win32,2463,open,https://github.com/trufflesuite/ganache/issues/2463,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on linux,2462,open,https://github.com/trufflesuite/ganache/issues/2462,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'linux']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'linux']"
System Error when running Ganache 2.5.4 on win32,2461,open,https://github.com/trufflesuite/ganache/issues/2461,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2460,open,https://github.com/trufflesuite/ganache/issues/2460,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2459,open,https://github.com/trufflesuite/ganache/issues/2459,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2458,open,https://github.com/trufflesuite/ganache/issues/2458,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
Unable to link truffle-config.js with Ganache app on OS X,2457,open,https://github.com/trufflesuite/ganache/issues/2457,trufflesuite/ganache,"['unable', 'link', 'truffleconfigjs', 'ganache', 'app', 'os', 'x']","['unabl', 'link', 'truffl', 'config', 'js', 'ganach', 'app', 'os', 'x']"
System Error when running Ganache 2.5.4 on win32,2456,open,https://github.com/trufflesuite/ganache/issues/2456,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2455,open,https://github.com/trufflesuite/ganache/issues/2455,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2454,open,https://github.com/trufflesuite/ganache/issues/2454,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on darwin,2453,open,https://github.com/trufflesuite/ganache/issues/2453,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'darwin']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'darwin']"
System Error when running Ganache 2.5.4 on linux,2452,open,https://github.com/trufflesuite/ganache/issues/2452,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'linux']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'linux']"
System Error when running Ganache 2.5.4 on linux,2451,open,https://github.com/trufflesuite/ganache/issues/2451,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'linux']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'linux']"
System Error when running Ganache 2.5.4 on win32,2450,open,https://github.com/trufflesuite/ganache/issues/2450,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2449,open,https://github.com/trufflesuite/ganache/issues/2449,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2448,open,https://github.com/trufflesuite/ganache/issues/2448,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2447,open,https://github.com/trufflesuite/ganache/issues/2447,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2446,open,https://github.com/trufflesuite/ganache/issues/2446,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2445,open,https://github.com/trufflesuite/ganache/issues/2445,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
Decoding Error when running Ganache 2.5.4 on win32,2444,open,https://github.com/trufflesuite/ganache/issues/2444,trufflesuite/ganache,"['decoding', 'error', 'running', 'ganache', '254', 'win32']","['decod', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2443,open,https://github.com/trufflesuite/ganache/issues/2443,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
Upgrade electron,2442,open,https://github.com/trufflesuite/ganache/issues/2442,trufflesuite/ganache,"['upgrade', 'electron']","['upgrad', 'electron']"
System Error when running Ganache 2.5.4 on win32,2441,open,https://github.com/trufflesuite/ganache/issues/2441,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2440,open,https://github.com/trufflesuite/ganache/issues/2440,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2439,open,https://github.com/trufflesuite/ganache/issues/2439,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on linux,2438,open,https://github.com/trufflesuite/ganache/issues/2438,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'linux']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'linux']"
System Error when running Ganache 2.5.4 on win32,2437,open,https://github.com/trufflesuite/ganache/issues/2437,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2436,open,https://github.com/trufflesuite/ganache/issues/2436,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on darwin,2435,open,https://github.com/trufflesuite/ganache/issues/2435,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'darwin']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'darwin']"
The most important for Ganache 7,2434,closed,https://github.com/trufflesuite/ganache/issues/2434,trufflesuite/ganache,"['the', 'important', 'ganache', '7']","['the', 'import', 'ganach', '7']"
System Error when running Ganache 2.5.4 on win32,2433,open,https://github.com/trufflesuite/ganache/issues/2433,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2432,open,https://github.com/trufflesuite/ganache/issues/2432,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
Decoding Error when running Ganache 2.5.4 on win32,2431,open,https://github.com/trufflesuite/ganache/issues/2431,trufflesuite/ganache,"['decoding', 'error', 'running', 'ganache', '254', 'win32']","['decod', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on darwin,2430,open,https://github.com/trufflesuite/ganache/issues/2430,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'darwin']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'darwin']"
System Error when running Ganache 2.5.4 on linux,2429,open,https://github.com/trufflesuite/ganache/issues/2429,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'linux']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'linux']"
System Error when running Ganache 2.5.4 on win32,2428,open,https://github.com/trufflesuite/ganache/issues/2428,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2427,open,https://github.com/trufflesuite/ganache/issues/2427,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2426,open,https://github.com/trufflesuite/ganache/issues/2426,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2425,open,https://github.com/trufflesuite/ganache/issues/2425,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on darwin,2424,open,https://github.com/trufflesuite/ganache/issues/2424,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'darwin']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'darwin']"
Issue,2423,closed,https://github.com/trufflesuite/ganache/issues/2423,trufflesuite/ganache,['issue'],['issu']
"This is an issue that's slated for Ganache 7.1. Since it's in a future milestone, it hasn't been started yet, so not in the batch",2422,open,https://github.com/trufflesuite/ganache/issues/2422,trufflesuite/ganache,"['this', 'issue', 'thats', 'slated', 'ganache', '71', 'since', 'future', 'milestone', 'hasnt', 'started', 'yet', 'batch']","['thi', 'issu', 'slate', 'ganach', '7', '1', 'sinc', 'futur', 'mileston', 'start', 'yet', 'batch']"
This is an issue that's slated for Ganache 7 but is NOT in the current batch,2421,open,https://github.com/trufflesuite/ganache/issues/2421,trufflesuite/ganache,"['this', 'issue', 'thats', 'slated', 'ganache', '7', 'not', 'current', 'batch']","['thi', 'issu', 'slate', 'ganach', '7', 'not', 'current', 'batch']"
"This is an issue that's slated for Ganache 7, is within the current batch, and is finished (closed)",2420,closed,https://github.com/trufflesuite/ganache/issues/2420,trufflesuite/ganache,"['this', 'issue', 'thats', 'slated', 'ganache', '7', 'within', 'current', 'batch', 'finished', 'closed']","['thi', 'issu', 'slate', 'ganach', '7', 'within', 'current', 'batch', 'finish', 'close']"
This is an issue that's slated for Ganache 7 and is still open. Notice the swim lanes in the Ganache project aren't based on issue completeness.,2419,closed,https://github.com/trufflesuite/ganache/issues/2419,trufflesuite/ganache,"['this', 'issue', 'thats', 'slated', 'ganache', '7', 'still', 'open', 'notice', 'swim', 'lane', 'ganache', 'project', 'arent', 'based', 'issue', 'completeness']","['thi', 'issu', 'slate', 'ganach', '7', 'still', 'open', 'notic', 'swim', 'lane', 'ganach', 'project', 'base', 'issu', 'complet']"
Decoding Error when running Ganache 2.5.4 on win32,2418,open,https://github.com/trufflesuite/ganache/issues/2418,trufflesuite/ganache,"['decoding', 'error', 'running', 'ganache', '254', 'win32']","['decod', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2417,open,https://github.com/trufflesuite/ganache/issues/2417,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2416,open,https://github.com/trufflesuite/ganache/issues/2416,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2415,open,https://github.com/trufflesuite/ganache/issues/2415,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
Decoding Error when running Ganache 2.5.4 on darwin,2414,open,https://github.com/trufflesuite/ganache/issues/2414,trufflesuite/ganache,"['decoding', 'error', 'running', 'ganache', '254', 'darwin']","['decod', 'error', 'run', 'ganach', '2', '5', '4', 'darwin']"
Decoding Error when running Ganache 2.5.4 on win32,2413,open,https://github.com/trufflesuite/ganache/issues/2413,trufflesuite/ganache,"['decoding', 'error', 'running', 'ganache', '254', 'win32']","['decod', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
Decoding Error when running Ganache 2.5.4 on darwin,2412,open,https://github.com/trufflesuite/ganache/issues/2412,trufflesuite/ganache,"['decoding', 'error', 'running', 'ganache', '254', 'darwin']","['decod', 'error', 'run', 'ganach', '2', '5', '4', 'darwin']"
System Error when running Ganache 2.5.4 on linux,2411,open,https://github.com/trufflesuite/ganache/issues/2411,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'linux']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'linux']"
System Error when running Ganache 2.5.4 on win32,2410,open,https://github.com/trufflesuite/ganache/issues/2410,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
System Error when running Ganache 2.5.4 on win32,2409,open,https://github.com/trufflesuite/ganache/issues/2409,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
fix(filecoin): miscellaneous bug fixes and styling requests,2408,open,https://github.com/trufflesuite/ganache/issues/2408,trufflesuite/ganache,"['fixfilecoin', 'miscellaneous', 'bug', 'fix', 'styling', 'request']","['fix', 'filecoin', 'miscellan', 'bug', 'fix', 'style', 'request']"
System Error when running Ganache 2.4.0 on win32,2407,open,https://github.com/trufflesuite/ganache/issues/2407,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '240', 'win32']","['system', 'error', 'run', 'ganach', '2', '4', '0', 'win32']"
System Error when running Ganache 2.5.4 on win32,2406,open,https://github.com/trufflesuite/ganache/issues/2406,trufflesuite/ganache,"['system', 'error', 'running', 'ganache', '254', 'win32']","['system', 'error', 'run', 'ganach', '2', '5', '4', 'win32']"
