issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
eth_signTypedData_v3 for uint64 is not working correctly,967,closed,https://github.com/trustwallet/trust-wallet-ios/issues/967,trustwallet/trust-wallet-ios,"['eth_signtypeddata_v3', 'uint64', 'working', 'correctly']","['eth_signtypeddata_v3', 'uint64', 'work', 'correctli']"
personal_sign fails to sign 32 byte hex payload in iOS,966,closed,https://github.com/trustwallet/trust-wallet-ios/issues/966,trustwallet/trust-wallet-ios,"['personal_sign', 'fails', 'sign', '32', 'byte', 'hex', 'payload', 'ios']","['personal_sign', 'fail', 'sign', '32', 'byte', 'hex', 'payload', 'io']"
JSONRPCKit version,965,closed,https://github.com/trustwallet/trust-wallet-ios/issues/965,trustwallet/trust-wallet-ios,"['jsonrpckit', 'version']","['jsonrpckit', 'version']"
JSONRPCKit version,964,closed,https://github.com/trustwallet/trust-wallet-ios/issues/964,trustwallet/trust-wallet-ios,"['jsonrpckit', 'version']","['jsonrpckit', 'version']"
Coin在新版的怎么处理，你们的Demo 是TrustCore (0.0.7) 我下载下来就是0.2.2 已经没有Coin,963,closed,https://github.com/trustwallet/trust-wallet-ios/issues/963,trustwallet/trust-wallet-ios,"['coin在新版的怎么处理你们的demo', '是trustcore', '007', '我下载下来就是022', '已经没有coin']","['coin在新版的怎么处理', '你们的demo', '是trustcor', '0', '0', '7', '我下载下来就是0', '2', '2', '已经没有coin']"
Error installing RealmSwift,961,closed,https://github.com/trustwallet/trust-wallet-ios/issues/961,trustwallet/trust-wallet-ios,"['error', 'installing', 'realmswift']","['error', 'instal', 'realmswift']"
Can you provide support for TRX,960,closed,https://github.com/trustwallet/trust-wallet-ios/issues/960,trustwallet/trust-wallet-ios,"['can', 'provide', 'support', 'trx']","['can', 'provid', 'support', 'trx']"
"Xcode 10 不能跑起来这个项目error: SWIFT_VERSION '3.0' is unsupported, supported versions are: 4.0, 4.2, 5.0. (in target 'JSONRPCKit')",959,closed,https://github.com/trustwallet/trust-wallet-ios/issues/959,trustwallet/trust-wallet-ios,"['xcode', '10', '不能跑起来这个项目error', 'swift_version', '30', 'unsupported', 'supported', 'version', '40', '42', '50', 'target', 'jsonrpckit']","['xcode', '10', '不能跑起来这个项目error', 'swift_vers', '3', '0', 'unsupport', 'support', 'version', '4', '0', '4', '2', '5', '0', 'target', 'jsonrpckit']"
Incoming transactions marked as Sent causing negative amount on Non Multi-Coin wallets,958,closed,https://github.com/trustwallet/trust-wallet-ios/issues/958,trustwallet/trust-wallet-ios,"['incoming', 'transaction', 'marked', 'sent', 'causing', 'negative', 'amount', 'non', 'multicoin', 'wallet']","['incom', 'transact', 'mark', 'sent', 'caus', 'neg', 'amount', 'non', 'multi', 'coin', 'wallet']"
I hope to restore the previous node server setup feature,956,open,https://github.com/trustwallet/trust-wallet-ios/issues/956,trustwallet/trust-wallet-ios,"['i', 'hope', 'restore', 'previous', 'node', 'server', 'setup', 'feature']","['i', 'hope', 'restor', 'previou', 'node', 'server', 'setup', 'featur']"
Use of undeclared type 'Coin',955,closed,https://github.com/trustwallet/trust-wallet-ios/issues/955,trustwallet/trust-wallet-ios,"['use', 'undeclared', 'type', 'coin']","['use', 'undeclar', 'type', 'coin']"
Can't build,954,closed,https://github.com/trustwallet/trust-wallet-ios/issues/954,trustwallet/trust-wallet-ios,"['cant', 'build']","['can', 'build']"
remove reference to specific Xcode version,953,open,https://github.com/trustwallet/trust-wallet-ios/issues/953,trustwallet/trust-wallet-ios,"['remove', 'reference', 'specific', 'xcode', 'version']","['remov', 'refer', 'specif', 'xcode', 'version']"
ether  stolen ,952,closed,https://github.com/trustwallet/trust-wallet-ios/issues/952,trustwallet/trust-wallet-ios,"['ether', 'stolen']","['ether', 'stolen']"
"changed ethereum classic to ropsten, as a new wallet, successfully built",951,closed,https://github.com/trustwallet/trust-wallet-ios/issues/951,trustwallet/trust-wallet-ios,"['changed', 'ethereum', 'classic', 'ropsten', 'new', 'wallet', 'successfully', 'built']","['chang', 'ethereum', 'classic', 'ropsten', 'new', 'wallet', 'success', 'built']"
trus ios,950,closed,https://github.com/trustwallet/trust-wallet-ios/issues/950,trustwallet/trust-wallet-ios,"['trus', 'io']","['tru', 'io']"
adding ropsten as a choice to switch to in settings,949,closed,https://github.com/trustwallet/trust-wallet-ios/issues/949,trustwallet/trust-wallet-ios,"['adding', 'ropsten', 'choice', 'switch', 'setting']","['ad', 'ropsten', 'choic', 'switch', 'set']"
Use of undeclared type 'Coin' ？,948,closed,https://github.com/trustwallet/trust-wallet-ios/issues/948,trustwallet/trust-wallet-ios,"['use', 'undeclared', 'type', 'coin']","['use', 'undeclar', 'type', 'coin']"
eth_sign sometimes produces invalid signature.,947,open,https://github.com/trustwallet/trust-wallet-ios/issues/947,trustwallet/trust-wallet-ios,"['eth_sign', 'sometimes', 'produce', 'invalid', 'signature']","['eth_sign', 'sometim', 'produc', 'invalid', 'signatur']"
Hasher,946,open,https://github.com/trustwallet/trust-wallet-ios/issues/946,trustwallet/trust-wallet-ios,['hasher'],['hasher']
How can I add kovan testnet?,945,open,https://github.com/trustwallet/trust-wallet-ios/issues/945,trustwallet/trust-wallet-ios,"['how', 'i', 'add', 'kovan', 'testnet']","['how', 'i', 'add', 'kovan', 'testnet']"
Fix currency use user local.,943,open,https://github.com/trustwallet/trust-wallet-ios/issues/943,trustwallet/trust-wallet-ios,"['fix', 'currency', 'use', 'user', 'local']","['fix', 'currenc', 'use', 'user', 'local']"
copy ref link not working,942,open,https://github.com/trustwallet/trust-wallet-ios/issues/942,trustwallet/trust-wallet-ios,"['copy', 'ref', 'link', 'working']","['copi', 'ref', 'link', 'work']"
Pending transaction state not being updated on the app side (parity ethereum node),941,closed,https://github.com/trustwallet/trust-wallet-ios/issues/941,trustwallet/trust-wallet-ios,"['pending', 'transaction', 'state', 'updated', 'app', 'side', 'parity', 'ethereum', 'node']","['pend', 'transact', 'state', 'updat', 'app', 'side', 'pariti', 'ethereum', 'node']"
Update pod,940,closed,https://github.com/trustwallet/trust-wallet-ios/issues/940,trustwallet/trust-wallet-ios,"['update', 'pod']","['updat', 'pod']"
make bootstrap fails when Installing TrezorCrypto,939,closed,https://github.com/trustwallet/trust-wallet-ios/issues/939,trustwallet/trust-wallet-ios,"['make', 'bootstrap', 'fails', 'installing', 'trezorcrypto']","['make', 'bootstrap', 'fail', 'instal', 'trezorcrypto']"
Activate keyboard and cursor in input field,938,closed,https://github.com/trustwallet/trust-wallet-ios/issues/938,trustwallet/trust-wallet-ios,"['activate', 'keyboard', 'cursor', 'input', 'field']","['activ', 'keyboard', 'cursor', 'input', 'field']"
Call correct endpoint for Tron transactions,937,closed,https://github.com/trustwallet/trust-wallet-ios/issues/937,trustwallet/trust-wallet-ios,"['call', 'correct', 'endpoint', 'tron', 'transaction']","['call', 'correct', 'endpoint', 'tron', 'transact']"
js Resources cannot be read,936,closed,https://github.com/trustwallet/trust-wallet-ios/issues/936,trustwallet/trust-wallet-ios,"['j', 'resources', 'read']","['js', 'resourc', 'read']"
dappsBrowserURL ,935,closed,https://github.com/trustwallet/trust-wallet-ios/issues/935,trustwallet/trust-wallet-ios,['dappsbrowserurl'],['dappsbrowserurl']
QR Code Scanner for DApp Browser,934,closed,https://github.com/trustwallet/trust-wallet-ios/issues/934,trustwallet/trust-wallet-ios,"['qr', 'code', 'scanner', 'dapp', 'browser']","['qr', 'code', 'scanner', 'dapp', 'browser']"
how to change settings for rinkeby testnetwork,933,open,https://github.com/trustwallet/trust-wallet-ios/issues/933,trustwallet/trust-wallet-ios,"['change', 'setting', 'rinkeby', 'testnetwork']","['chang', 'set', 'rinkebi', 'testnetwork']"
I found a problem,932,open,https://github.com/trustwallet/trust-wallet-ios/issues/932,trustwallet/trust-wallet-ios,"['i', 'found', 'problem']","['i', 'found', 'problem']"
Can you provide support for EOS?,931,closed,https://github.com/trustwallet/trust-wallet-ios/issues/931,trustwallet/trust-wallet-ios,"['can', 'provide', 'support', 'eos']","['can', 'provid', 'support', 'eo']"
Generate mnemonic words slowly,930,open,https://github.com/trustwallet/trust-wallet-ios/issues/930,trustwallet/trust-wallet-ios,"['generate', 'mnemonic', 'word', 'slowly']","['gener', 'mnemon', 'word', 'slowli']"
About TrustWeb3Provider instantiation,929,closed,https://github.com/trustwallet/trust-wallet-ios/issues/929,trustwallet/trust-wallet-ios,"['about', 'trustweb3provider', 'instantiation']","['about', 'trustweb3provid', 'instanti']"
build trust failed with xcode build,928,closed,https://github.com/trustwallet/trust-wallet-ios/issues/928,trustwallet/trust-wallet-ios,"['build', 'trust', 'failed', 'xcode', 'build']","['build', 'trust', 'fail', 'xcode', 'build']"
FIX decimal separator should be used from Locale,927,closed,https://github.com/trustwallet/trust-wallet-ios/issues/927,trustwallet/trust-wallet-ios,"['fix', 'decimal', 'separator', 'used', 'locale']","['fix', 'decim', 'separ', 'use', 'local']"
Add Custom Token,925,open,https://github.com/trustwallet/trust-wallet-ios/issues/925,trustwallet/trust-wallet-ios,"['add', 'custom', 'token']","['add', 'custom', 'token']"
Add HTML5 Geolocation to the browser,924,open,https://github.com/trustwallet/trust-wallet-ios/issues/924,trustwallet/trust-wallet-ios,"['add', 'html5', 'geolocation', 'browser']","['add', 'html5', 'geoloc', 'browser']"
Fix crash when importing wallets from private key.,923,closed,https://github.com/trustwallet/trust-wallet-ios/issues/923,trustwallet/trust-wallet-ios,"['fix', 'crash', 'importing', 'wallet', 'private', 'key']","['fix', 'crash', 'import', 'wallet', 'privat', 'key']"
ImportWalletViewController: Fix addressRow crash,922,closed,https://github.com/trustwallet/trust-wallet-ios/issues/922,trustwallet/trust-wallet-ios,"['importwalletviewcontroller', 'fix', 'addressrow', 'crash']","['importwalletviewcontrol', 'fix', 'addressrow', 'crash']"
Use of undeclared type 'Coin',921,closed,https://github.com/trustwallet/trust-wallet-ios/issues/921,trustwallet/trust-wallet-ios,"['use', 'undeclared', 'type', 'coin']","['use', 'undeclar', 'type', 'coin']"
