issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Update fragment version,517,open,https://github.com/walleth/walleth/issues/517,walleth/walleth,"['update', 'fragment', 'version']","['updat', 'fragment', 'version']"
NPE at  at org.komputing.khex.model.HexString.constructor-impl (HexString.kt),516,open,https://github.com/walleth/walleth/issues/516,walleth/walleth,"['npe', 'orgkomputingkhexmodelhexstringconstructorimpl', 'hexstringkt']","['npe', 'org', 'komput', 'khex', 'model', 'hexstr', 'constructor', 'impl', 'hexstr', 'kt']"
Problem interacting with KeyCard,515,open,https://github.com/walleth/walleth/issues/515,walleth/walleth,"['problem', 'interacting', 'keycard']","['problem', 'interact', 'keycard']"
Install intent when openvpn is not installed,514,open,https://github.com/walleth/walleth/issues/514,walleth/walleth,"['install', 'intent', 'openvpn', 'installed']","['instal', 'intent', 'openvpn', 'instal']"
java.lang.ClassCastException: android.view.AbsSavedState$1 cannot be cast to android.widget.ScrollView$SavedState,513,open,https://github.com/walleth/walleth/issues/513,walleth/walleth,"['javalangclasscastexception', 'androidviewabssavedstate1', 'cast', 'androidwidgetscrollviewsavedstate']","['java', 'lang', 'classcastexcept', 'android', 'view', 'abssavedst', '1', 'cast', 'android', 'widget', 'scrollview', 'savedst']"
0.49 not on FDroid,512,closed,https://github.com/walleth/walleth/issues/512,walleth/walleth,"['049', 'fdroid']","['0', '49', 'fdroid']"
[Feature request] Possibility to connect BitBox2 wallet,511,open,https://github.com/walleth/walleth/issues/511,walleth/walleth,"['feature', 'request', 'possibility', 'connect', 'bitbox2', 'wallet']","['featur', 'request', 'possibl', 'connect', 'bitbox2', 'wallet']"
Indexer settings,510,open,https://github.com/walleth/walleth/issues/510,walleth/walleth,"['indexer', 'setting']","['index', 'set']"
TREZOR: Switch to account when connecting,509,open,https://github.com/walleth/walleth/issues/509,walleth/walleth,"['trezor', 'switch', 'account', 'connecting']","['trezor', 'switch', 'account', 'connect']"
Receiver info button,508,open,https://github.com/walleth/walleth/issues/508,walleth/walleth,"['receiver', 'info', 'button']","['receiv', 'info', 'button']"
In WalletConnect flow disallow tx edit,507,open,https://github.com/walleth/walleth/issues/507,walleth/walleth,"['in', 'walletconnect', 'flow', 'disallow', 'tx', 'edit']","['in', 'walletconnect', 'flow', 'disallow', 'tx', 'edit']"
In text signing activity show account,506,open,https://github.com/walleth/walleth/issues/506,walleth/walleth,"['in', 'text', 'signing', 'activity', 'show', 'account']","['in', 'text', 'sign', 'activ', 'show', 'account']"
add support for imKey,505,open,https://github.com/walleth/walleth/issues/505,walleth/walleth,"['add', 'support', 'imkey']","['add', 'support', 'imkey']"
Collapse WalletConnect apps for different networks,504,open,https://github.com/walleth/walleth/issues/504,walleth/walleth,"['collapse', 'walletconnect', 'apps', 'different', 'network']","['collaps', 'walletconnect', 'app', 'differ', 'network']"
Fix SignTextActivity when Account has no key,503,closed,https://github.com/walleth/walleth/issues/503,walleth/walleth,"['fix', 'signtextactivity', 'account', 'key']","['fix', 'signtextact', 'account', 'key']"
Support ens `multicall()`,502,open,https://github.com/walleth/walleth/issues/502,walleth/walleth,"['support', 'en', 'multicall']","['support', 'en', 'multical']"
Filter for token list: filter for tokens where balance of current address > 0,501,open,https://github.com/walleth/walleth/issues/501,walleth/walleth,"['filter', 'token', 'list', 'filter', 'token', 'balance', 'current', 'address', '0']","['filter', 'token', 'list', 'filter', 'token', 'balanc', 'current', 'address', '0']"
Reverse ENS resolution,500,open,https://github.com/walleth/walleth/issues/500,walleth/walleth,"['reverse', 'ens', 'resolution']","['revers', 'en', 'resolut']"
Problem sweeping after changing chain,499,closed,https://github.com/walleth/walleth/issues/499,walleth/walleth,"['problem', 'sweeping', 'changing', 'chain']","['problem', 'sweep', 'chang', 'chain']"
"In searches replace ö<>oe , ..",498,open,https://github.com/walleth/walleth/issues/498,walleth/walleth,"['in', 'search', 'replace', 'öoe']","['in', 'search', 'replac', 'ö', 'oe']"
fail androidTests in online flavor,497,open,https://github.com/walleth/walleth/issues/497,walleth/walleth,"['fail', 'androidtests', 'online', 'flavor']","['fail', 'androidtest', 'onlin', 'flavor']"
migrate from mockito to mockk,496,open,https://github.com/walleth/walleth/issues/496,walleth/walleth,"['migrate', 'mockito', 'mockk']","['migrat', 'mockito', 'mockk']"
support eth_signTransaction via WalletConnect,495,open,https://github.com/walleth/walleth/issues/495,walleth/walleth,"['support', 'eth_signtransaction', 'via', 'walletconnect']","['support', 'eth_signtransact', 'via', 'walletconnect']"
replace block.number with block.timestamp,494,open,https://github.com/walleth/walleth/issues/494,walleth/walleth,"['replace', 'blocknumber', 'blocktimestamp']","['replac', 'block', 'number', 'block', 'timestamp']"
Invalidate gas estimation when amount changed,493,open,https://github.com/walleth/walleth/issues/493,walleth/walleth,"['invalidate', 'gas', 'estimation', 'amount', 'changed']","['invalid', 'ga', 'estim', 'amount', 'chang']"
Support transaction filtering,492,open,https://github.com/walleth/walleth/issues/492,walleth/walleth,"['support', 'transaction', 'filtering']","['support', 'transact', 'filter']"
Desktop version via compose for desktop,491,open,https://github.com/walleth/walleth/issues/491,walleth/walleth,"['desktop', 'version', 'via', 'compose', 'desktop']","['desktop', 'version', 'via', 'compos', 'desktop']"
Split CreateTransactionActivity in 2 parts,490,closed,https://github.com/walleth/walleth/issues/490,walleth/walleth,"['split', 'createtransactionactivity', '2', 'part']","['split', 'createtransactionact', '2', 'part']"
check behavior for expired ENS names,489,open,https://github.com/walleth/walleth/issues/489,walleth/walleth,"['check', 'behavior', 'expired', 'ens', 'name']","['check', 'behavior', 'expir', 'en', 'name']"
Screenshots for F-Droid,488,open,https://github.com/walleth/walleth/issues/488,walleth/walleth,"['screenshots', 'fdroid']","['screenshot', 'f', 'droid']"
Stopping service due to app idle,487,open,https://github.com/walleth/walleth/issues/487,walleth/walleth,"['stopping', 'service', 'due', 'app', 'idle']","['stop', 'servic', 'due', 'app', 'idl']"
Migrate OnlineInitContentProvider to AndroidX startup,486,open,https://github.com/walleth/walleth/issues/486,walleth/walleth,"['migrate', 'onlineinitcontentprovider', 'androidx', 'startup']","['migrat', 'onlineinitcontentprovid', 'androidx', 'startup']"
A display issue,485,closed,https://github.com/walleth/walleth/issues/485,walleth/walleth,"['a', 'display', 'issue']","['a', 'display', 'issu']"
In Request TX screen: show warning if no key,484,open,https://github.com/walleth/walleth/issues/484,walleth/walleth,"['in', 'request', 'tx', 'screen', 'show', 'warning', 'key']","['in', 'request', 'tx', 'screen', 'show', 'warn', 'key']"
better signal when there is no connectivity to RPC,483,open,https://github.com/walleth/walleth/issues/483,walleth/walleth,"['better', 'signal', 'connectivity', 'rpc']","['better', 'signal', 'connect', 'rpc']"
Cannot add a watch only address via QR code,482,open,https://github.com/walleth/walleth/issues/482,walleth/walleth,"['can', 'add', 'watch', 'address', 'via', 'qr', 'code']","['can', 'add', 'watch', 'address', 'via', 'qr', 'code']"
Support NatSpec through proxy contracts,481,open,https://github.com/walleth/walleth/issues/481,walleth/walleth,"['support', 'natspec', 'proxy', 'contract']","['support', 'natspec', 'proxi', 'contract']"
A strange error while sending USDT and ETH,480,open,https://github.com/walleth/walleth/issues/480,walleth/walleth,"['a', 'strange', 'error', 'sending', 'usdt', 'eth']","['a', 'strang', 'error', 'send', 'usdt', 'eth']"
Re-broadcast tx with higher gas price,479,open,https://github.com/walleth/walleth/issues/479,walleth/walleth,"['rebroadcast', 'tx', 'higher', 'gas', 'price']","['re', 'broadcast', 'tx', 'higher', 'ga', 'price']"
Migrate to Kotlin 1.4.0,478,closed,https://github.com/walleth/walleth/issues/478,walleth/walleth,"['migrate', 'kotlin', '140']","['migrat', 'kotlin', '1', '4', '0']"
Fix create contract flow in CreateTransactionActivity,477,open,https://github.com/walleth/walleth/issues/477,walleth/walleth,"['fix', 'create', 'contract', 'flow', 'createtransactionactivity']","['fix', 'creat', 'contract', 'flow', 'createtransactionact']"
gas estimation fails for contract creation via WalletConnect,476,open,https://github.com/walleth/walleth/issues/476,walleth/walleth,"['gas', 'estimation', 'fails', 'contract', 'creation', 'via', 'walletconnect']","['ga', 'estim', 'fail', 'contract', 'creation', 'via', 'walletconnect']"
Full ERC-681 support in scanned QR code,475,open,https://github.com/walleth/walleth/issues/475,walleth/walleth,"['full', 'erc681', 'support', 'scanned', 'qr', 'code']","['full', 'erc', '681', 'support', 'scan', 'qr', 'code']"
IPFS via DappNode,474,open,https://github.com/walleth/walleth/issues/474,walleth/walleth,"['ipfs', 'via', 'dappnode']","['ipf', 'via', 'dappnod']"
Please help it keeps saying could not sign transaction scaler is not in the interval not,473,closed,https://github.com/walleth/walleth/issues/473,walleth/walleth,"['please', 'help', 'keep', 'saying', 'could', 'sign', 'transaction', 'scaler', 'interval']","['pleas', 'help', 'keep', 'say', 'could', 'sign', 'transact', 'scaler', 'interv']"
"Could not sign transaction:scaler Is not in the interval [1,n-1]",472,closed,https://github.com/walleth/walleth/issues/472,walleth/walleth,"['could', 'sign', 'transactionscaler', 'is', 'interval', '1n1']","['could', 'sign', 'transact', 'scaler', 'is', 'interv', '1', 'n', '1']"
access chains_mini.json via ENS,471,open,https://github.com/walleth/walleth/issues/471,walleth/walleth,"['access', 'chains_minijson', 'via', 'ens']","['access', 'chains_mini', 'json', 'via', 'en']"
bundle security-information&Pivacy/Security settings in NavBar,470,open,https://github.com/walleth/walleth/issues/470,walleth/walleth,"['bundle', 'securityinformationpivacysecurity', 'setting', 'navbar']","['bundl', 'secur', 'inform', 'pivaci', 'secur', 'set', 'navbar']"
Add WalletConnect mobile<>mobile support,469,open,https://github.com/walleth/walleth/issues/469,walleth/walleth,"['add', 'walletconnect', 'mobilemobile', 'support']","['add', 'walletconnect', 'mobil', 'mobil', 'support']"
Data is 0x when creating Gnosis Safe Multisig,468,open,https://github.com/walleth/walleth/issues/468,walleth/walleth,"['data', '0x', 'creating', 'gnosis', 'safe', 'multisig']","['data', '0x', 'creat', 'gnosi', 'safe', 'multisig']"
Warning on very high gas fee,467,open,https://github.com/walleth/walleth/issues/467,walleth/walleth,"['warning', 'high', 'gas', 'fee']","['warn', 'high', 'ga', 'fee']"
4-byte fallback to to brute force method,466,open,https://github.com/walleth/walleth/issues/466,walleth/walleth,"['4byte', 'fallback', 'brute', 'force', 'method']","['4', 'byte', 'fallback', 'brute', 'forc', 'method']"
Evaluate migration from Room to sqldelight,465,open,https://github.com/walleth/walleth/issues/465,walleth/walleth,"['evaluate', 'migration', 'room', 'sqldelight']","['evalu', 'migrat', 'room', 'sqldelight']"
Option to use DappNode as node,464,open,https://github.com/walleth/walleth/issues/464,walleth/walleth,"['option', 'use', 'dappnode', 'node']","['option', 'use', 'dappnod', 'node']"
Error building,463,open,https://github.com/walleth/walleth/issues/463,walleth/walleth,"['error', 'building']","['error', 'build']"
ENS support for addresses in action flow,462,open,https://github.com/walleth/walleth/issues/462,walleth/walleth,"['ens', 'support', 'address', 'action', 'flow']","['en', 'support', 'address', 'action', 'flow']"
ENS support for addresses in action flow,461,closed,https://github.com/walleth/walleth/issues/461,walleth/walleth,"['ens', 'support', 'address', 'action', 'flow']","['en', 'support', 'address', 'action', 'flow']"
retry when resolving ENS addresses,460,open,https://github.com/walleth/walleth/issues/460,walleth/walleth,"['retry', 'resolving', 'ens', 'address']","['retri', 'resolv', 'en', 'address']"
issue warning when create new tx on top of pending TX,459,open,https://github.com/walleth/walleth/issues/459,walleth/walleth,"['issue', 'warning', 'create', 'new', 'tx', 'top', 'pending', 'tx']","['issu', 'warn', 'creat', 'new', 'tx', 'top', 'pend', 'tx']"
merge activity_list activity_list_addresses,458,open,https://github.com/walleth/walleth/issues/458,walleth/walleth,"['merge', 'activity_list', 'activity_list_addresses']","['merg', 'activity_list', 'activity_list_address']"
Replace composer,457,open,https://github.com/walleth/walleth/issues/457,walleth/walleth,"['replace', 'composer']","['replac', 'compos']"
Transaction templates,456,open,https://github.com/walleth/walleth/issues/456,walleth/walleth,"['transaction', 'template']","['transact', 'templat']"
create tx in watch only mode,455,open,https://github.com/walleth/walleth/issues/455,walleth/walleth,"['create', 'tx', 'watch', 'mode']","['creat', 'tx', 'watch', 'mode']"
Option for send and receive buttons,454,open,https://github.com/walleth/walleth/issues/454,walleth/walleth,"['option', 'send', 'receive', 'button']","['option', 'send', 'receiv', 'button']"
"getPasswordForAccountType() must be called for ACCOUNT_TYPE_PIN_PROTECTED, ACCOUNT_TYPE_PASSWORD_PROTECTED or ACCOUNT_TYPE_BURNER",453,open,https://github.com/walleth/walleth/issues/453,walleth/walleth,"['getpasswordforaccounttype', 'must', 'called', 'account_type_pin_protected', 'account_type_password_protected', 'account_type_burner']","['getpasswordforaccounttyp', 'must', 'call', 'account_type_pin_protect', 'account_type_password_protect', 'account_type_burn']"
HELP CAN'T SEND MY ETH MAINET BALANCE,452,open,https://github.com/walleth/walleth/issues/452,walleth/walleth,"['help', 'cant', 'send', 'my', 'eth', 'mainet', 'balance']","['help', 'can', 't', 'send', 'my', 'eth', 'mainet', 'balanc']"
leverage upvest gas estimator ,451,open,https://github.com/walleth/walleth/issues/451,walleth/walleth,"['leverage', 'upvest', 'gas', 'estimator']","['leverag', 'upvest', 'ga', 'estim']"
