issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Equalsverifier version bump.,1388,open,https://github.com/web3j/web3j/issues/1388,web3j/web3j,"['equalsverifier', 'version', 'bump']","['equalsverifi', 'version', 'bump']"
Expose `OkHttpClient.Builder` to `HttpService` users,1387,open,https://github.com/web3j/web3j/issues/1387,web3j/web3j,"['expose', 'okhttpclientbuilder', 'httpservice', 'user']","['expos', 'okhttpclient', 'builder', 'httpservic', 'user']"
Alignment with Besu OnChainPrivacyGroups signature modified from 20.10.…,1386,open,https://github.com/web3j/web3j/issues/1386,web3j/web3j,"['alignment', 'besu', 'onchainprivacygroups', 'signature', 'modified', '2010']","['align', 'besu', 'onchainprivacygroup', 'signatur', 'modifi', '20', '10']"
Web3j maven plugin not found,1385,open,https://github.com/web3j/web3j/issues/1385,web3j/web3j,"['web3j', 'maven', 'plugin', 'found']","['web3j', 'maven', 'plugin', 'found']"
`web3j new` command fails,1384,open,https://github.com/web3j/web3j/issues/1384,web3j/web3j,"['web3j', 'new', 'command', 'fails']","['web3j', 'new', 'command', 'fail']"
fixes nested structs with different parameters decoding ,1383,open,https://github.com/web3j/web3j/issues/1383,web3j/web3j,"['fix', 'nested', 'structs', 'different', 'parameter', 'decoding']","['fix', 'nest', 'struct', 'differ', 'paramet', 'decod']"
Fix EIP712 StructuredDataEncoding,1382,closed,https://github.com/web3j/web3j/issues/1382,web3j/web3j,"['fix', 'eip712', 'structureddataencoding']","['fix', 'eip712', 'structureddataencod']"
generate struct java class even when they are used only in arrays,1381,open,https://github.com/web3j/web3j/issues/1381,web3j/web3j,"['generate', 'struct', 'java', 'class', 'even', 'used', 'array']","['gener', 'struct', 'java', 'class', 'even', 'use', 'array']"
Fix #1379 infinity recursion for SolidityFunctionWrapper,1380,open,https://github.com/web3j/web3j/issues/1380,web3j/web3j,"['fix', '1379', 'infinity', 'recursion', 'solidityfunctionwrapper']","['fix', '1379', 'infin', 'recurs', 'solidityfunctionwrapp']"
SolidityFunctionWrapper go into recursion with generateSendTxForCalls=true,1379,open,https://github.com/web3j/web3j/issues/1379,web3j/web3j,"['solidityfunctionwrapper', 'go', 'recursion', 'generatesendtxforcallstrue']","['solidityfunctionwrapp', 'go', 'recurs', 'generatesendtxforcal', 'true']"
Fix IllegalArgumentException from event with unnamed parameter,1378,open,https://github.com/web3j/web3j/issues/1378,web3j/web3j,"['fix', 'illegalargumentexception', 'event', 'unnamed', 'parameter']","['fix', 'illegalargumentexcept', 'event', 'unnam', 'paramet']"
trying to sort out key file,1377,closed,https://github.com/web3j/web3j/issues/1377,web3j/web3j,"['trying', 'sort', 'key', 'file']","['tri', 'sort', 'key', 'file']"
Revert Travis configuration,1376,closed,https://github.com/web3j/web3j/issues/1376,web3j/web3j,"['revert', 'travis', 'configuration']","['revert', 'travi', 'configur']"
Restore keys,1375,closed,https://github.com/web3j/web3j/issues/1375,web3j/web3j,"['restore', 'key']","['restor', 'key']"
Restore travis file,1374,closed,https://github.com/web3j/web3j/issues/1374,web3j/web3j,"['restore', 'travis', 'file']","['restor', 'travi', 'file']"
TransactionException: Cannot unmarshal invalid hex string when deploying contract,1373,closed,https://github.com/web3j/web3j/issues/1373,web3j/web3j,"['transactionexception', 'can', 'unmarshal', 'invalid', 'hex', 'string', 'deploying', 'contract']","['transactionexcept', 'can', 'unmarsh', 'invalid', 'hex', 'string', 'deploy', 'contract']"
[SECURITY] getBytes can have undefined behavior,1371,open,https://github.com/web3j/web3j/issues/1371,web3j/web3j,"['security', 'getbytes', 'undefined', 'behavior']","['secur', 'getbyt', 'undefin', 'behavior']"
Include a sponsor button,1370,closed,https://github.com/web3j/web3j/issues/1370,web3j/web3j,"['include', 'sponsor', 'button']","['includ', 'sponsor', 'button']"
"Exception in thread ""main"" java.lang.IllegalArgumentException: Scalar is not in the interval [1, n - 1]",1369,open,https://github.com/web3j/web3j/issues/1369,web3j/web3j,"['exception', 'thread', 'main', 'javalangillegalargumentexception', 'scalar', 'interval', '1', 'n', '1']","['except', 'thread', 'main', 'java', 'lang', 'illegalargumentexcept', 'scalar', 'interv', '1', 'n', '1']"
Tag release 5.0.0,1368,closed,https://github.com/web3j/web3j/issues/1368,web3j/web3j,"['tag', 'release', '500']","['tag', 'releas', '5', '0', '0']"
Return http status in response,1367,open,https://github.com/web3j/web3j/issues/1367,web3j/web3j,"['return', 'http', 'status', 'response']","['return', 'http', 'statu', 'respons']"
How to het keystore by privatekey,1366,closed,https://github.com/web3j/web3j/issues/1366,web3j/web3j,"['how', 'het', 'keystore', 'privatekey']","['how', 'het', 'keystor', 'privatekey']"
Fixing broken link,1365,closed,https://github.com/web3j/web3j/issues/1365,web3j/web3j,"['fixing', 'broken', 'link']","['fix', 'broken', 'link']"
Do you have any plans to update the web3j-android library?,1364,open,https://github.com/web3j/web3j/issues/1364,web3j/web3j,"['do', 'plan', 'update', 'web3jandroid', 'library']","['do', 'plan', 'updat', 'web3j', 'android', 'librari']"
Interacting with deployed smart contracts,1363,closed,https://github.com/web3j/web3j/issues/1363,web3j/web3j,"['interacting', 'deployed', 'smart', 'contract']","['interact', 'deploy', 'smart', 'contract']"
Update README.md,1362,closed,https://github.com/web3j/web3j/issues/1362,web3j/web3j,"['update', 'readmemd']","['updat', 'readm', 'md']"
`Unsupported type encountered: tuple` when trying to create contract wrapper,1361,open,https://github.com/web3j/web3j/issues/1361,web3j/web3j,"['unsupported', 'type', 'encountered', 'tuple', 'trying', 'create', 'contract', 'wrapper']","['unsupport', 'type', 'encount', 'tupl', 'tri', 'creat', 'contract', 'wrapper']"
`web3j solidity generate` does not recognise options,1360,closed,https://github.com/web3j/web3j/issues/1360,web3j/web3j,"['web3j', 'solidity', 'generate', 'recognise', 'option']","['web3j', 'solid', 'gener', 'recognis', 'option']"
Is the 4.8.4 released ?,1359,closed,https://github.com/web3j/web3j/issues/1359,web3j/web3j,"['is', '484', 'released']","['is', '4', '8', '4', 'releas']"
how to build a  4.8.3 sdk,1358,open,https://github.com/web3j/web3j/issues/1358,web3j/web3j,"['build', '483', 'sdk']","['build', '4', '8', '3', 'sdk']"
When to compile the 4.8.3 SDK,1357,closed,https://github.com/web3j/web3j/issues/1357,web3j/web3j,"['when', 'compile', '483', 'sdk']","['when', 'compil', '4', '8', '3', 'sdk']"
Reconnecting WebSocketService after a close call,1356,open,https://github.com/web3j/web3j/issues/1356,web3j/web3j,"['reconnecting', 'websocketservice', 'close', 'call']","['reconnect', 'websocketservic', 'close', 'call']"
Gas consumed by transaction,1354,closed,https://github.com/web3j/web3j/issues/1354,web3j/web3j,"['gas', 'consumed', 'transaction']","['ga', 'consum', 'transact']"
You update send eth method? ,1353,open,https://github.com/web3j/web3j/issues/1353,web3j/web3j,"['you', 'update', 'send', 'eth', 'method']","['you', 'updat', 'send', 'eth', 'method']"
Added Alchemy Support to the README Page ,1352,closed,https://github.com/web3j/web3j/issues/1352,web3j/web3j,"['added', 'alchemy', 'support', 'readme', 'page']","['ad', 'alchemi', 'support', 'readm', 'page']"
Restoring travis config.,1351,closed,https://github.com/web3j/web3j/issues/1351,web3j/web3j,"['restoring', 'travis', 'config']","['restor', 'travi', 'config']"
Fix substring action version,1350,closed,https://github.com/web3j/web3j/issues/1350,web3j/web3j,"['fix', 'substring', 'action', 'version']","['fix', 'substr', 'action', 'version']"
Release/4.8.4,1349,closed,https://github.com/web3j/web3j/issues/1349,web3j/web3j,['release484'],"['releas', '4', '8', '4']"
"""File outside of allowed directories"", Task :compileSolidity failing!",1347,open,https://github.com/web3j/web3j/issues/1347,web3j/web3j,"['file', 'outside', 'allowed', 'directory', 'task', 'compilesolidity', 'failing']","['file', 'outsid', 'allow', 'directori', 'task', 'compilesolid', 'fail']"
fixes closed connection before getting response from Geth,1344,closed,https://github.com/web3j/web3j/issues/1344,web3j/web3j,"['fix', 'closed', 'connection', 'getting', 'response', 'geth']","['fix', 'close', 'connect', 'get', 'respons', 'geth']"
How long does Web3j live?,1343,open,https://github.com/web3j/web3j/issues/1343,web3j/web3j,"['how', 'long', 'web3j', 'live']","['how', 'long', 'web3j', 'live']"
java.io.IOException: closed,1342,closed,https://github.com/web3j/web3j/issues/1342,web3j/web3j,"['javaioioexception', 'closed']","['java', 'io', 'ioexcept', 'close']"
Update Bouncy Castle 1.68,1341,closed,https://github.com/web3j/web3j/issues/1341,web3j/web3j,"['update', 'bouncy', 'castle', '168']","['updat', 'bounci', 'castl', '1', '68']"
