issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
How to interact with Uni？,202,open,https://github.com/web3p/web3.php/issues/202,web3p/web3.php,"['how', 'interact', 'uni']","['how', 'interact', 'uni']"
ERC721,201,closed,https://github.com/web3p/web3.php/issues/201,web3p/web3.php,['erc721'],['erc721']
updated composer.json,200,open,https://github.com/web3p/web3.php/issues/200,web3p/web3.php,"['updated', 'composerjson']","['updat', 'compos', 'json']"
Guzzle Error on laravel 8,199,open,https://github.com/web3p/web3.php/issues/199,web3p/web3.php,"['guzzle', 'error', 'laravel', '8']","['guzzl', 'error', 'laravel', '8']"
Add github ci,198,closed,https://github.com/web3p/web3.php/issues/198,web3p/web3.php,"['add', 'github', 'ci']","['add', 'github', 'ci']"
invalid solidity type,197,closed,https://github.com/web3p/web3.php/issues/197,web3p/web3.php,"['invalid', 'solidity', 'type']","['invalid', 'solid', 'type']"
Improved comments and error messages,196,open,https://github.com/web3p/web3.php/issues/196,web3p/web3.php,"['improved', 'comment', 'error', 'message']","['improv', 'comment', 'error', 'messag']"
Minor update,195,closed,https://github.com/web3p/web3.php/issues/195,web3p/web3.php,"['minor', 'update']","['minor', 'updat']"
web3.eth.abi.decodeLog,194,closed,https://github.com/web3p/web3.php/issues/194,web3p/web3.php,['web3ethabidecodelog'],"['web3', 'eth', 'abi', 'decodelog']"
web3.eth.abi.decodeLog,193,closed,https://github.com/web3p/web3.php/issues/193,web3p/web3.php,['web3ethabidecodelog'],"['web3', 'eth', 'abi', 'decodelog']"
how setting contract send params ,192,open,https://github.com/web3p/web3.php/issues/192,web3p/web3.php,"['setting', 'contract', 'send', 'params']","['set', 'contract', 'send', 'param']"
Update composer.json,191,closed,https://github.com/web3p/web3.php/issues/191,web3p/web3.php,"['update', 'composerjson']","['updat', 'compos', 'json']"
updated guzzle version to ~7.0,190,closed,https://github.com/web3p/web3.php/issues/190,web3p/web3.php,"['updated', 'guzzle', 'version', '70']","['updat', 'guzzl', 'version', '7', '0']"
Add support to Guzzle 7,189,closed,https://github.com/web3p/web3.php/issues/189,web3p/web3.php,"['add', 'support', 'guzzle', '7']","['add', 'support', 'guzzl', '7']"
Not compatible with ABIEncoderV2 when receiving struct,188,open,https://github.com/web3p/web3.php/issues/188,web3p/web3.php,"['not', 'compatible', 'abiencoderv2', 'receiving', 'struct']","['not', 'compat', 'abiencoderv2', 'receiv', 'struct']"
update composer.json,187,open,https://github.com/web3p/web3.php/issues/187,web3p/web3.php,"['update', 'composerjson']","['updat', 'compos', 'json']"
Basic auth and documentation updates,186,closed,https://github.com/web3p/web3.php/issues/186,web3p/web3.php,"['basic', 'auth', 'documentation', 'update']","['basic', 'auth', 'document', 'updat']"
Basic auth,185,closed,https://github.com/web3p/web3.php/issues/185,web3p/web3.php,"['basic', 'auth']","['basic', 'auth']"
contract batch send transaction,184,open,https://github.com/web3p/web3.php/issues/184,web3p/web3.php,"['contract', 'batch', 'send', 'transaction']","['contract', 'batch', 'send', 'transact']"
request websocket event subscription support,183,open,https://github.com/web3p/web3.php/issues/183,web3p/web3.php,"['request', 'websocket', 'event', 'subscription', 'support']","['request', 'websocket', 'event', 'subscript', 'support']"
request contract batch support,182,open,https://github.com/web3p/web3.php/issues/182,web3p/web3.php,"['request', 'contract', 'batch', 'support']","['request', 'contract', 'batch', 'support']"
Interact with contract using private key instead of accounts stored in rpc endpoint,181,open,https://github.com/web3p/web3.php/issues/181,web3p/web3.php,"['interact', 'contract', 'using', 'private', 'key', 'instead', 'account', 'stored', 'rpc', 'endpoint']","['interact', 'contract', 'use', 'privat', 'key', 'instead', 'account', 'store', 'rpc', 'endpoint']"
Not able to Sending any Amount of Funds ,180,open,https://github.com/web3p/web3.php/issues/180,web3p/web3.php,"['not', 'able', 'sending', 'amount', 'funds']","['not', 'abl', 'send', 'amount', 'fund']"
What are the exact parameters in estimateGas method of contracts?,179,open,https://github.com/web3p/web3.php/issues/179,web3p/web3.php,"['what', 'exact', 'parameter', 'estimategas', 'method', 'contract']","['what', 'exact', 'paramet', 'estimatega', 'method', 'contract']"
Support for Diamonds,178,open,https://github.com/web3p/web3.php/issues/178,web3p/web3.php,"['support', 'diamonds']","['support', 'diamond']"
"Help, example needed for ERC20 account balance enquiry",177,closed,https://github.com/web3p/web3.php/issues/177,web3p/web3.php,"['help', 'example', 'needed', 'erc20', 'account', 'balance', 'enquiry']","['help', 'exampl', 'need', 'erc20', 'account', 'balanc', 'enquiri']"
Signing Messages with private key,176,open,https://github.com/web3p/web3.php/issues/176,web3p/web3.php,"['signing', 'messages', 'private', 'key']","['sign', 'messag', 'privat', 'key']"
How to get all transaction records of the user through the user address,175,open,https://github.com/web3p/web3.php/issues/175,web3p/web3.php,"['how', 'get', 'transaction', 'record', 'user', 'user', 'address']","['how', 'get', 'transact', 'record', 'user', 'user', 'address']"
issues in creating account,174,open,https://github.com/web3p/web3.php/issues/174,web3p/web3.php,"['issue', 'creating', 'account']","['issu', 'creat', 'account']"
What are the params for new method in Contracts?,173,open,https://github.com/web3p/web3.php/issues/173,web3p/web3.php,"['what', 'params', 'new', 'method', 'contracts']","['what', 'param', 'new', 'method', 'contract']"
BigInteger object returned from contract function call can't be negative?,172,open,https://github.com/web3p/web3.php/issues/172,web3p/web3.php,"['biginteger', 'object', 'returned', 'contract', 'function', 'call', 'cant', 'negative']","['biginteg', 'object', 'return', 'contract', 'function', 'call', 'neg']"
How to use eth_subscribe with web3.php?,171,open,https://github.com/web3p/web3.php/issues/171,web3p/web3.php,"['how', 'use', 'eth_subscribe', 'web3php']","['how', 'use', 'eth_subscrib', 'web3', 'php']"
How do i get balance as decimal number,170,closed,https://github.com/web3p/web3.php/issues/170,web3p/web3.php,"['how', 'get', 'balance', 'decimal', 'number']","['how', 'get', 'balanc', 'decim', 'number']"
getBalance returns empty value,169,closed,https://github.com/web3p/web3.php/issues/169,web3p/web3.php,"['getbalance', 'return', 'empty', 'value']","['getbal', 'return', 'empti', 'valu']"
Please provide an example for call sendRawTransaction,168,open,https://github.com/web3p/web3.php/issues/168,web3p/web3.php,"['please', 'provide', 'example', 'call', 'sendrawtransaction']","['pleas', 'provid', 'exampl', 'call', 'sendrawtransact']"
How to select rinkeby?,167,closed,https://github.com/web3p/web3.php/issues/167,web3p/web3.php,"['how', 'select', 'rinkeby']","['how', 'select', 'rinkebi']"
